Source_Name_3FGL,GLON,GLAT,PSR_TOTAL_3FGL,Source_Name_4FGL,Category_4FGL,Flags_3FGL
3FGL J1625.1-0021,13.880847,31.837814,7.501359486861891,4FGL J1625.1-0020,PSR,0
3FGL J1035.7-6720,290.3908,-7.8283772,7.223907761007669,4FGL J1035.4-6720,PSR,0
3FGL J1653.6-0158,16.618132,24.924627,7.121000641686063,4FGL J1653.6-0158,PSR,0
3FGL J1744.1-7619,317.10455,-22.471127,7.073447635884343,4FGL J1744.0-7618,PSR,0
