Source_Name_4FGL,GLON,GLAT,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Category_4FGL,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Category_Prob
4FGL J0003.9-1149,84.59542,-71.0751,1680.0156,-21.9712739,2.1277146,0.17358784,0.26229075,2.7669737,0.99950075,-0.29548064,0.0033132231,0.6666667,-0.45793995,-0.6076023,-0.6580359,-1,1.55247479,PowerLaw,AGN,0.12814528,0.41594663,3FGL J0003.8-1151,,bll,PMN J0004-1148,0.9983225,0.97085786,0,0.939735483,0.0602645169,0.934563715,0.0654362846,0.945374995,0.0546250053,0.939492388,0.0605076119,287,AGN
4FGL J0004.0+0840,103.49598,-52.397846,2233.738,-22.2225257,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.0046211286,0.6666667,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.20135899,PowerLaw,AGN,0.24869604,0.7982378,3FGL J0004.2+0843,,bcu,SDSS J000359.23+084138.1,0.9922678,0,0,0.928250812,0.071749188,0.930414751,0.0695852486,0.92988294,0.0701170601,0.929874737,0.0701252633,301,AGN
4FGL J0004.4-4737,323.986,-67.53783,845.39923,-21.4455073,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,0.6666667,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.81553672,PowerLaw,AGN,0.05322211,0.1629187,3FGL J0004.7-4740,,fsrq,PKS 0002-478,0.9971799,0.97325,0,0.927359243,0.0726407573,0.930563298,0.069436702,0.930239211,0.0697607886,0.9284419,0.0715581002,308,AGN
4FGL J0005.9+3824,113.23228,-23.613338,544.74713,-21.5127929,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,0.6666667,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.14725114,PowerLaw,AGN,0.06724274,0.22276911,3FGL J0006.4+3825,,fsrq,S4 0003+38,0.9926908,0.9090593,0,0.940627264,0.0593727363,0.934978011,0.0650219894,0.931537687,0.068462313,0.933600555,0.0663994446,314,AGN
4FGL J0006.3-0620,93.64702,-66.62518,2028.5834,-22.7956079,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,0.6666667,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.90174992,PowerLaw,AGN,0.25072128,0.7789327,,,bll,PKS 0003-066,0.9901411,0.9994688,0,0.907798412,0.0922015882,0.933484043,0.0665159565,0.902546539,0.0974534609,0.903539645,0.096460355,272,AGN
4FGL J0006.4+0135,100.47745,-59.29749,2459.6868,-22.4552382,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,0.6666667,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.881951776,PowerLaw,AGN,0.1977467,0.64328295,3FGL J0006.2+0135,,bcu,NVSS J000626+013611,0.99729097,0.8214364,0,0.934491687,0.0655083128,0.929581799,0.0704182006,0.933161539,0.0668384612,0.93217167,0.0678283302,299,AGN
4FGL J0007.0+7303,119.66263,10.46168,1452.2994,-16.5194819,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,0.5479403,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.41675212,PLSuperExpCutoff,PSR,0.005550027,0.05125429,3FGL J0007.0+7302,3FHL J0007.0+7303,PSR,PSR J0007+7303,1,0,0,0.923238859,0.0767611405,0.934577301,0.0654226989,0.918420486,0.0815795138,0.917571063,0.0824289371,300,AGN
4FGL J0007.7+4008,113.93701,-21.972776,1874.174,-21.7353604,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,0.6666667,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.88287337,PowerLaw,AGN,0.115732834,0.39049816,3FGL J0007.9+4006,,bcu,NVSS J000741+400830,0.9971315,0,0,0.938434886,0.0615651145,0.933789354,0.0662106461,0.927737427,0.0722625731,0.932870367,0.0671296328,341,AGN
4FGL J0008.0+4711,115.31625,-15.033559,1403.9235,-20.0038765,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,0.0003880337,0.6666667,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.00569525,LogParabola,AGN,0.02349014,0.07345087,3FGL J0008.0+4713,3FHL J0007.9+4711,bll,MG4 J000800+4712,0.99995524,0.9736737,0,0.937221288,0.0627787119,0.933741629,0.0662583706,0.932254617,0.0677453827,0.933503063,0.066496937,290,AGN
4FGL J0008.0-3937,335.9962,-74.58333,830.4236,-22.5506578,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,0.6666667,-0.773522,-0.9073874,-0.995771,-0.9979873,0.900028482,LogParabola,AGN,0.36578268,1.418392,,,bcu,PMN J0008-3945,0.9207396,0.8798844,16,0.953617414,0.0463825864,0.933654257,0.0663457426,0.941445449,0.0585545509,0.945875552,0.0541244475,295,AGN
4FGL J0008.4+1455,107.72407,-46.6767,1717.2878,-21.8397526,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.0014510113,0.6666667,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.06542386,PowerLaw,AGN,0.07194004,0.27068996,3FGL J0008.3+1456,,bcu,NVSS J000825+145635,0.9917855,0,0,0.922048346,0.0779516537,0.926183582,0.0738164176,0.924925688,0.0750743121,0.922177705,0.0778222951,302,AGN
4FGL J0008.4-2339,50.26514,-79.690834,6084.1147,-22.3557113,1.6839513,0.2182928,0.16281697,1.8402169,0.97582525,-0.7381555,0.000803355,0.6666667,-0.276594,-0.3899644,0.14149071,-0.75949216,2.35941719,PowerLaw,AGN,0.10865318,0.33615676,3FGL J0008.6-2340,3FHL J0008.4-2339,bll,RBS 0016,0.9926684,0.91516817,0,0.933924697,0.0660753028,0.936692136,0.0633078641,0.925889862,0.0741101379,0.932939315,0.0670606849,304,AGN
4FGL J0009.1+0628,104.480736,-54.868298,1872.1111,-21.5005361,2.1171386,0.09896444,0.04512154,0.9813813,0.99918073,0.16351931,0.0007112969,0.6666667,-0.6908289,-0.42011616,-0.6028625,-0.49038437,2.42395615,PowerLaw,AGN,0.048880115,0.1527919,3FGL J0009.1+0630,3FHL J0009.1+0628,bll,TXS 0006+061,0.9931449,0.86640173,0,0.94755428,0.0524457196,0.934416104,0.065583896,0.944878648,0.0551213516,0.945007175,0.0549928245,283,AGN
4FGL J0009.3+5030,116.12437,-11.803588,1310.5244,-19.689924,1.987031,0.035371866,0.06981315,4.3845778,0.21764593,-0.44758025,0.00024473228,0.6666667,-0.49609715,-0.4564068,-0.6103414,-0.5451608,4.88353731,LogParabola,AGN,0.015831562,0.047521435,3FGL J0009.3+5030,3FHL J0009.4+5030,bll,NVSS J000922+503028,0.9999694,0.92810774,0,0.941017539,0.0589824607,0.930562346,0.0694376541,0.931724974,0.0682750259,0.939391861,0.0606081394,293,AGN
4FGL J0009.7-3217,0.6727207,-79.58928,1705.5222,-22.4192488,2.1981528,0.1775985,0.075799,0.8613283,-0.99999344,0.99998164,0.0016643126,0.6666667,-0.5080589,-0.7994823,-0.15733007,-0.9999585,2.77714108,PowerLaw,AGN,0.09984529,0.29060018,3FGL J0009.6-3211,,rdg,IC 1531,0.99067837,0.94048434,0,0.950960584,0.0490394155,0.933299677,0.0667003235,0.946989588,0.0530104115,0.943541149,0.0564588511,322,AGN
4FGL J0009.8-4317,327.77505,-71.76617,1959.596,-22.255112,2.145199,0.11915045,-0.040844724,0.7269835,0.9976258,-0.7498374,0.00071471167,0.6666667,-0.57202005,-0.5466139,-0.20197983,-0.99989754,2.46083182,PowerLaw,AGN,0.048107337,0.20885147,,3FHL J0009.7-4319,bll,SUMSS J000949-431654,0.99851024,0.9318478,0,0.938755558,0.0612444424,0.926947327,0.0730526734,0.934292608,0.065707392,0.934866642,0.0651333577,296,AGN
4FGL J0010.6+2043,110.21874,-41.12827,1299.714,-22.563906,2.316534,0.3254802,0.21123806,1.5020043,0.99960864,-0.5378855,0.005072495,0.6666667,-0.702886,-0.521426,-0.99986005,-0.99290526,2.95293446,PowerLaw,AGN,0.18496026,0.63602114,,,fsrq,TXS 0007+205,0.96985173,0,0,0.934931596,0.0650684044,0.930648551,0.0693514494,0.933796007,0.0662039926,0.935071073,0.064928927,317,AGN
