SourceName_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
4FGL J1859.3+0058,34.7043,-1.3086741,3435.3599,-20.001448883837277,2.4061458,0.15959506,0.1681664,2.5456967,-0.42559132,0.9969387,0.001977424,0.32043785,-0.6412368,-0.6805083,-0.81119096,-0.75997704,2.319796992732916,PowerLaw,0.08552775,0.6666667,3FGL J1859.6+0102,,,,0.0,0.0,256,0.8214658934094794,0.17853410659051794,0.9457625019490062,0.05423749805099492,0.8658696480568294,0.13413035194317163,0.5000765995361046,0.49992340046389544,0.0,0.005,0.0,0.509
4FGL J1859.8+1545,47.949753,5.2947764,1594.1761,-21.792436791047038,2.4551075,0.12979189,-0.073379345,1.1813257,-0.58071476,-0.30336994,0.001134243,0.14932764,-0.9071701,-0.5442267,-0.33236116,-0.27817643,2.107728945560282,PowerLaw,0.04597039,0.6666667,,,,,0.0,0.0,0,0.9996477047027134,3.522952973007576E-4,0.9592392810264243,0.040760718973575076,0.9980907429709166,0.0019092570290828682,0.9781634618505585,0.021836538149440837,0.0,0.0,0.0,0.0
4FGL J1900.4+0339,37.22491,-0.34116748,1915.9996,-19.299912612334147,2.4842684,0.13201612,0.3279628,6.3389378,0.98824936,-0.45879677,0.0032072098,0.34133595,-0.62930506,-0.7910553,-0.8596775,-0.9994623,2.6268975106789356,LogParabola,0.0907184,0.6666667,3FGL J1900.8+0337,,,,0.0,0.0,4,0.0016203931395330326,0.998379606860476,0.6092041740709951,0.390795825929005,0.1750991408058288,0.824900859194172,0.12408100682677191,0.8759189931732276,1.0,0.451,1.0,1.0
4FGL J1900.4-4941,347.03696,-21.741291,1253.29,-21.806976304678177,2.345109,0.21889718,0.34345365,3.028355,0.9995384,-0.44118488,0.005856129,0.60566103,-0.539452,-0.6533969,-0.9997867,-0.97515726,2.400992340990692,LogParabola,0.16385469,0.6666667,,,,,0.0,0.0,0,0.9996571999286004,3.4280007141177714E-4,0.9538566517476043,0.0461433482523963,0.970419223704767,0.02958077629523219,0.8288263483325555,0.17117365166744544,0.0,0.002,0.0,0.0
4FGL J1900.7+0426,37.94744,-0.046061184,1469.5343,-19.304765467264975,2.5239875,0.17066881,0.42702687,7.0384264,0.21705253,0.97219545,0.004081352,0.39489186,-0.676148,-0.8157932,-0.96609586,-0.9997989,2.1172986349672027,LogParabola,0.09343472,0.6666667,2FGL J1901.1+0427,,,,0.0,0.0,17,0.004547306786158054,0.9954526932138281,0.5512578243891335,0.4487421756108671,0.0410592217686539,0.9589407782313464,0.0606299348770228,0.9393700651229784,1.0,0.528,1.0,1.0
4FGL J1900.9+0538,39.02515,0.47065985,1431.7819,-19.93131930414955,2.6032255,0.22144462,0.41252828,5.350678,-0.61160976,-0.2541809,0.007394124,0.49955887,-0.7908892,-0.7992869,-0.9427768,-0.99929,1.5790128006828608,LogParabola,0.12474545,0.6666667,,,,,0.0,0.0,16,0.14712464111995857,0.8528753588800458,0.6008304505035686,0.399169549496432,0.2413881515481568,0.758611848451844,0.1950084963521197,0.8049915036478806,1.0,0.466,1.0,1.0
4FGL J1901.1+0730,40.71852,1.2641132,2021.0857,-19.977678638075282,2.4063096,0.16100486,0.28048715,4.5462017,0.953848,-0.77397543,0.0011560984,0.19415893,-0.5544448,-0.61397564,-0.88265556,-0.93059367,1.654647119633386,LogParabola,0.106481366,0.6666667,3FGL J1901.1+0728,,,,0.0,0.0,0,0.0028086732977914723,0.9971913267022183,0.676029445404752,0.32397055459524865,0.2764352450764799,0.7235647549235201,0.06489881494391067,0.9351011850560902,1.0,0.339,0.998,1.0
4FGL J1901.5-1112,24.054312,-7.308552,1208.208,-21.302995237331967,2.5068648,0.14659245,0.15649965,1.9174696,-0.4416745,-0.7696567,0.0032653126,0.34151667,-0.69147605,-0.82725435,-0.50200385,-0.9993885,2.1399498084606847,PowerLaw,0.09980857,0.6666667,,,,,0.0,0.0,0,0.9981871191177304,0.001812880882268663,0.9584972175644559,0.04150278243554465,0.9915690502868916,0.008430949713107354,0.8900198654175033,0.10998013458249689,0.0,0.0,0.0,0.0
4FGL J1901.5-2208,14.038114,-12.011958,3444.023,-22.343334570868482,2.094641,0.25433943,0.19277452,1.5853791,-0.99999154,0.99793935,0.0018665702,0.38326207,0.6336295,-0.68090814,-0.4674732,-0.9999109,1.7306841148642487,PowerLaw,0.16051494,0.6666667,,,,,0.0,0.0,4,0.9974094830721811,0.0025905169278163586,0.9548957078822252,0.045104292117774794,0.9938420995908188,0.0061579004091820684,0.9583649507376572,0.04163504926234173,0.0,0.0,0.0,0.0
4FGL J1901.8-0718,27.589422,-5.6226,1952.3602,-21.031163071265286,2.3392565,0.22291507,0.4790827,3.6541455,-0.98667854,0.99508333,0.005530144,0.70606136,-0.4654592,-0.62575877,-0.88326037,-0.99999475,1.8352493343098726,LogParabola,0.19289343,0.6666667,,,,,0.0,0.0,16,0.6351689969969904,0.3648310030030029,0.8521779552992216,0.14782204470077906,0.7840720804135883,0.2159279195864122,0.2514285548972371,0.748571445102763,0.0,0.054,0.0,1.0
4FGL J1902.2+0448,38.446926,-0.2154043,1715.8763,-19.392150528452117,2.4738743,0.16401567,0.37685704,6.325335,0.9993744,-0.5973714,0.0034603497,0.36923963,-0.5504288,-0.7999431,-0.8888624,-0.9999994,1.7996267713780512,LogParabola,0.09696218,0.6666667,,,,,0.0,0.0,19,4.0407219611570236E-5,0.9999595927804004,0.5647399229771505,0.43526007702284975,0.05429239418820374,0.9457076058117955,0.03651133923900799,0.9634886607609925,1.0,0.51,1.0,1.0
4FGL J1902.4-3417,2.5671675,-16.98757,1646.9847,-21.783224024214196,2.3072608,0.31136304,0.683072,3.6737175,0.99689734,-0.2570927,0.017705174,1.7441795,-0.46894982,-0.7280306,-0.99997026,0.78118676,0.31317772264604304,LogParabola,0.33342028,0.6666667,,,,,0.0,0.0,1,0.9933106359076694,0.006689364092315893,0.5718866087825824,0.428113391217418,0.10095441631413202,0.8990455836858684,0.5468779897674023,0.4531220102325973,0.0,0.498,1.0,0.215
