Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,Category_Prob
3FGL J1827.7+1141,-29.3289616,-27.3579142,2.1120343,1.33720731,3.65328932,0.943907968,-0.544939136,-0.54886627,-0.999992388,10.517796,1960.7927,PowerLaw,0.124347561,0.875652439,0.241571437,0.758428563,0.378955443,0.621044557,0.4893908,0.5106092,1,0.987,0.969,0.58,PSR
3FGL J1829.2+3229,-28.6442339,-27.6848978,2.2854562,1.26020702,3.88354398,0.010875866,-0.459728276,-0.743203177,-0.999972452,18.518923,1200.9813,PowerLaw,0.145151932,0.854848068,0.516919325,0.483080675,0.466509976,0.533490024,0.576728589,0.423271411,1,0.43,0.836,0.067,MIXED
3FGL J1829.2+2731,-25.9474043,-27.5415994,2.6200266,1.04950474,4.03860362,-0.618088333,-0.816087187,-0.754762616,-0.999749986,16.678802,495.60052,PowerLaw,0.946768247,0.053231753,0.832069977,0.167930023,0.777171056,0.222828944,0.903655006,0.096344994,0,0,0,0,AGN
3FGL J1829.2-1504,-33.3347805,-26.7296482,1.6057833,0.914688689,3.51138465,-0.979996142,-0.181229149,-0.476937509,-0.224056009,-2.0470304,18446.219,PowerLaw,0.993656738,0.006343262,0.784389506,0.215610494,0.783755043,0.216244957,0.96807871,0.03192129,0,0.032,0.001,0,AGN
3FGL J1829.3-0135c,-29.1076833,-26.0914385,2.4112813,0.550684191,3.69563459,-0.268428935,-0.647585361,-0.604377233,-0.710937166,4.187894,2365.062,PowerLaw,0.666459644,0.333540356,0.927186713,0.072813287,0.901456682,0.098543318,0.621343583,0.378656417,0,0,0,0.036,AGN
3FGL J1829.9-0203c,-29.1346445,-25.8975946,2.385692,0.768665515,3.5827795,0.886315288,-0.540343458,-0.539424115,-0.889805547,3.8363993,2735.067,PowerLaw,0.056646831,0.943353169,0.780664956,0.219335044,0.762596828,0.237403172,0.455789245,0.544210755,1,0.003,0.052,0.757,MIXED
3FGL J1830.7-1630,-26.7449389,-26.5301971,2.4390836,-1.97464105,3.89198988,-0.811131223,-0.574421288,-0.622105001,-0.765715922,-3.0300484,1118.6771,PowerLaw,0.996024471,0.003975529,0.994264905,0.005735095,0.999955206,4.48e-05,0.928055493,0.071944507,0,0,0,0,AGN
3FGL J1830.8-3136,-29.1302917,-27.3316474,2.1878326,0.883279487,3.7104224,-0.49155565,-0.12384016,-0.692806575,-0.881867828,-9.841611,1695.6232,PowerLaw,0.315497792,0.684502208,0.673343004,0.326656996,0.710606858,0.289393142,0.761513678,0.238486322,1,0.041,0,0,MIXED
3FGL J1831.7-0157c,-28.5749488,-25.6070709,2.5395942,-2.0265189,3.64230153,-0.59838096,-0.889745934,-0.550381785,-0.594065718,3.4711947,2142.4968,PowerLaw,0.696030095,0.303969905,0.99588755,0.00411245,0.999935701,6.43e-05,0.517096221,0.482903779,0,0,0,0.41,AGN
3FGL J1834.8-0630c,-30.2440922,-25.8441304,2.2121224,0.280312232,3.58417972,0.847662127,-0.92553245,-0.316244202,-0.421994176,0.70104617,4739.8506,PowerLaw,0.754113966,0.245886034,0.962717169,0.037282831,0.987700566,0.012299434,0.678629879,0.321370121,0,0,0,0.003,AGN
3FGL J1837.3-2403,-27.9121447,-27.1093753,2.4013948,0.329897096,3.77804077,-0.746296423,-0.44023797,-0.603671877,-0.984088577,-7.8092856,1089.2698,PowerLaw,0.658610841,0.341389159,0.923838165,0.076161835,0.943062328,0.056937672,0.811386208,0.188613792,0,0,0,0,AGN
3FGL J1837.6-0717,-31.0996381,-25.7264306,2.0374575,-0.262232998,3.71994135,-0.890800866,-0.226261817,-0.744548223,-0.618588014,-0.26858705,8606.976,PowerLaw,0.654028479,0.345971521,0.96888621,0.03111379,0.968546252,0.031453748,0.476296557,0.523703443,0,0,0,0.63,MIXED
3FGL J1838.1+3827,-26.0074287,-27.7930097,2.7249722,-0.758225944,3.82580745,-0.797805499,-0.663506252,-0.710155963,-0.892310039,18.896376,430.2253,PowerLaw,0.997563232,0.002436768,0.994294705,0.005705295,0.99915414,0.000846,0.962380911,0.037619089,0,0,0,0,AGN
3FGL J1838.9-0646,-30.6584177,-25.9883715,1.9216511,0.301976765,3.91519417,0.961588763,0.853106577,-0.484549029,-0.673179197,-0.31648526,7696.9375,PowerLaw,0.921186344,0.078813656,0.958134041,0.041865959,0.977553726,0.022446274,0.689534719,0.310465281,0,0,0,0.001,AGN
3FGL J1839.9+7646,-27.7118626,-27.9973287,2.5529265,-0.030491435,3.69964801,-0.615422315,-0.750457519,-0.578108152,-0.986751536,27.004269,664.8142,PowerLaw,0.993128054,0.006871946,0.987603359,0.012396641,0.986641485,0.013358515,0.958520782,0.041479218,0,0,0,0,AGN
3FGL J1840.5+6116,-26.6461979,-27.6056464,2.7322369,-0.780416336,3.96302172,-0.873919722,-0.694618826,-0.539074791,-0.87873729,24.85127,541.1496,PowerLaw,0.999508921,0.000491,0.9950018,0.0049982,0.9996235,0.000377,0.979154037,0.020845963,0,0,0,0,AGN
3FGL J1842.2+2742,-29.0987986,-27.4851908,2.1333652,0.888711168,3.65581118,-0.603269125,-0.352322606,-0.48872471,-0.87026804,14.096134,1787.7429,PowerLaw,0.863060145,0.136939855,0.810377073,0.189622927,0.767689351,0.232310649,0.832044577,0.167955423,0,0,0,0,AGN
3FGL J1844.7-1224,-29.7529245,-26.6082776,2.2779133,-0.349199668,3.95957484,-0.793697156,-0.772441745,-0.323546394,-0.548452215,-4.162127,2651.3757,PowerLaw,0.997672207,0.002327793,0.985334589,0.014665411,0.999030541,0.000969,0.960709452,0.039290548,0,0,0,0,AGN
3FGL J1845.5-2524,-27.669721,-27.1669751,2.2818317,0.638178826,3.69999215,-0.614489451,-0.738560285,-0.346162906,-0.946466517,-10.078848,1171.612,PowerLaw,0.780046979,0.219953021,0.887910271,0.112089729,0.917370983,0.082629017,0.891812773,0.108187227,0,0,0,0,AGN
3FGL J1849.5-0124c,-29.5276532,-25.491738,2.283632,1.11008018,3.60405496,-0.705722981,-0.57953031,-0.712450408,-0.877230833,-0.23266509,4057.3767,PowerLaw,0.001833873,0.998166127,0.379636332,0.620363668,0.22684179,0.77315821,0.214879347,0.785120653,1,0.731,0.998,1,PSR
3FGL J1850.5-0024,-27.2241681,-25.6494409,2.419476,1.29866718,4.16306845,-0.389803753,-0.784130968,-0.703924518,-0.743820423,0.01748402,1781.0112,PowerLaw,0.028954418,0.971045582,0.628499308,0.371500692,0.636191781,0.363808219,0.364777563,0.635222437,1,0.179,0.105,0.98,MIXED
3FGL J1852.8+0158,-24.9878961,-25.7636564,2.547273,1.18699996,3.9984836,-0.662228398,-0.814847714,-0.677980959,-0.802308696,0.58790517,808.3253,PowerLaw,0.066399732,0.933600268,0.613861639,0.386138361,0.687661341,0.312338659,0.342294687,0.657705313,1,0.114,0.079,0.99,MIXED
3FGL J1855.4+0454,-26.105077,-25.9729558,2.5427687,0.908246342,3.65332973,-0.529200822,-0.794957571,-0.728382751,-0.763991624,1.3528053,992.5798,PowerLaw,0.120638398,0.879361602,0.671796033,0.328203967,0.689597532,0.310402468,0.376931152,0.623068848,1,0.029,0.077,0.968,MIXED
3FGL J1855.6+0753,-25.3268972,-26.3704826,2.601826,0.82999584,3.43381267,-0.71419492,-0.782878989,-0.610912534,-0.996871569,2.6574924,646.04767,PowerLaw,0.194075942,0.805924058,0.483079328,0.516920672,0.599517994,0.400482006,0.591624495,0.408375505,1,0.566,0.158,0.071,MIXED
3FGL J1856.1-1217,-26.548342,-26.9207257,2.588904,0.864720936,3.92939464,-0.685219546,-0.850583149,-0.609403675,-0.298671044,-6.600181,756.0801,PowerLaw,0.998470681,0.001529319,0.956094548,0.043905452,0.983556645,0.016443355,0.982641259,0.017358741,0,0,0,0,AGN
3FGL J1857.0-7341,-25.2361441,-27.635424,2.9040427,-0.225397339,3.91382219,-0.796986652,-0.794541129,-0.745181531,-0.999939623,-26.34057,348.09802,PowerLaw,0.999536193,0.000464,0.990512797,0.009487203,0.996241656,0.003758344,0.963624873,0.036375127,0,0,0,0,AGN
3FGL J1857.8+0129c,-29.738381,-25.4558134,2.3426893,1.18509566,3.72508987,-0.002223519,-0.738405394,-0.745587138,-0.850820843,-0.75110644,4155.211,PowerLaw,0.004941011,0.995058989,0.438138712,0.561861288,0.278451251,0.721548749,0.247710964,0.752289036,1,0.62,0.983,1,PSR
3FGL J1857.9+7319,-26.819127,-27.9628285,2.6442003,-0.418413275,3.61074541,-0.750321759,-0.889999936,-0.512951894,-0.278279435,25.438639,542.4123,PowerLaw,0.999863611,0.000136,0.994907559,0.005092441,0.999692644,0.000307,0.98848895,0.01151105,0,0,0,0,AGN
3FGL J1857.9+5549,-25.0241899,-27.5050048,2.9611616,0.288504459,3.60226349,-0.792652479,-0.923378582,-0.245986566,-0.324022839,21.2805,306.27164,PowerLaw,0.999932489,6.75e-05,0.992875071,0.007124929,0.998994383,0.001005617,0.977509274,0.022490726,0,0,0,0,AGN
3FGL J1858.0-5423,-29.5579049,-27.7173278,2.119255,0.795387383,3.65717643,0.376607214,-0.438344574,-0.801167519,-0.374118033,-22.678932,1691.4458,PowerLaw,0.998895968,0.001104032,0.969800012,0.030199988,0.938461223,0.061538777,0.982000675,0.017999325,0,0,0,0,AGN
3FGL J1900.3+0411c,-29.6768301,-25.7824983,2.2217286,0.581265728,3.71981653,-0.269178546,-0.750138453,-0.717547811,-0.509171056,-0.076213814,4013.083,PowerLaw,0.422572592,0.577427408,0.89818632,0.10181368,0.874003157,0.125996843,0.488810024,0.511189976,1,0,0.001,0.565,MIXED
3FGL J1901.5-0126,-25.0791484,-26.5708865,2.6182117,0.466608184,4.10042592,-0.593313396,-0.78000654,-0.705584534,-0.801141342,-2.9207902,603.68555,PowerLaw,0.974187806,0.025812194,0.934265691,0.065734309,0.976381385,0.023618615,0.872605549,0.127394451,0,0,0,0,AGN
3FGL J1902.3-3702c,-27.8224097,-27.3665607,2.316496,1.14904767,3.72287162,0.619785144,-0.710602094,-0.742016748,-0.988383671,-17.962765,935.9431,PowerLaw,0.146754532,0.853245468,0.604118368,0.395881632,0.522711123,0.477288877,0.629049368,0.370950632,1,0.135,0.317,0.009,MIXED
