Source_Name_4FGL,OTHER_TOTAL,OTHER_TOTAL_STD,RAJ2000,DEJ2000,main_id,main_type,other_types,Sep(arksec)
4FGL J1847.7-0125,7.4289454930000005,0.15603649599125344,281.937,-1.4315,SSTOERC G031.2256+00.1711,Candidate YSO,IR |Y*?,43.671005
#4FGL J1838.7-0601,7.372223734,0.1593105969698739,279.69,-6.019,Cl* Stephenson    2    DFK      71,Star,*iC|*  |IR,23.119996
4FGL J1556.8-5242c,7.233408909,0.1420985561786511,239.206,-52.7108,2MASS J15564953-5241450,Candidate YSO,Y*?|IR |*,53.797918
4FGL J1631.7-4826c,7.222270744999999,0.1530916163023519,247.9396,-48.437,SDC G335.894-0.184,DkNeb,DNe|DNe,24.276438
4FGL J1849.4-0117,7.203903123,0.18922636931161688,282.3577,-1.2989,SSTOERC G031.5367-00.1555,Candidate YSO,IR |Y*?,51.178
#4FGL J1756.6-2352,7.059617631,0.18106656695760834,269.1652,-23.8717,ISOGAL-P J175635.9-235215,AGB*,AB*|Mas|IR |*,52.196263
4FGL J1742.0-3020,7.009257927000001,0.192359943325636,265.506,-30.3357,[MML2017] 777,MolCld,MoC,32.574745
4FGL J1904.7+0615,7.009087205,0.17519055818611076,286.1836,6.2532,[SPK2012] MWP1G040012-001102,Bubble,bub,59.959501
