Source_Name_4FGL,GLAT,PSR_TOTAL,GLON
4FGL J1539.4-3323,17.532059,7.343192028999999,338.7878
4FGL J0953.6-1509,29.602777,7.2809390590000005,251.90317
4FGL J0933.8-6232,-7.9074183,7.231546579,282.24362
4FGL J1120.0-2204,36.05591,7.155297581999999,276.49228
4FGL J2112.5-3043,-42.443546,7.101466447,14.9038725
4FGL J1225.9+2951,83.77291,7.047645858,185.42696
