Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variabilityindex_3FGL,HR12_3FGL,HR23_3FGL,HR34_3FGL,HR45_3FGL,GLAT_3FGL,Pivot_Energy_3FGL,SpectrumType_3FGL,GLON,AGN_BDT_3FGL,PSR_BDT_3FGL,AGN_NN_3FGL,PSR_NN_3FGL,AGN_LR_3FGL,PSR_LR_3FGL,AGN_RF_3FGL,PSR_RF_3FGL,Flags_3FGL,Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,Ln_LP_SigCurv,HR12_4FGL,HR23_4FGL,Unc_PLEC_Expfactor,HR34_4FGL,HR45_4FGL,HR56_4FGL,HR67_4FGL,Ln_Variability_Index_4FGL,Ln_Pivot_Energy_4FGL,SpectrumType,ASSOC_FGL,AGN_BDT_4FGL,PSR_BDT_4FGL,AGN_NN_4FGL,PSR_NN_4FGL,AGN_LR_4FGL,PSR_LR_4FGL,AGN_RF_4FGL,PSR_RF_4FGL,Flags_4FGL,_RAJ2000_Parkes,_DEJ2000_Parkes,3FGL_name_Parkes,n_3FGL,Tint,DMmax,Simbad,Separation
3FGL J0933.9-6232,-27.480399828514347,-27.57471706139404,1.4801999,2.1768005870340246,4.0809441767689245,-0.3375191035254452,0.06280421146872904,-0.5512721898778314,-0.9621999364875058,-7.8936515,1713.0546,LogParabola,282.23508,6.200723444498291E-4,0.9993799276555599,0.0377491842502567,0.9622508157497455,0.06518403269649303,0.9348159673035086,0.019078230572698664,0.9809217694273011,0,4FGL J0933.8-6232,282.24362,-7.9074183,-19.715081114708354,2.0739985,0.09567885,0.7086785,14.238538,0.68154293,0.014215201,0.0019718483,0.034314275,-0.5595711,-0.94843525,-1.0,1.969823794880666,7.389203913577585,LogParabola,3FGL J0933.9-6232,4.7966265085852555E-4,0.9995203373491603,0.02809928559779692,0.9719007144022048,0.0036009962635668294,0.9963990037364335,0.022835232880204306,0.9771647671197968,0,143.50833,-62.52611,J0933.9-6232,,"60, 35",627,Simbad,52.87366994901967
3FGL J1539.2-3324,-28.077767183240148,-27.603004084128745,1.5535094,2.2699331739952187,4.058269961529544,0.9997614330881603,0.7384518277840706,-0.44130400085028904,-0.9230753226376222,17.534199,2381.748,LogParabola,338.75925,0.0020586208365696566,0.997941379163423,0.09639273186517675,0.9036072681348226,0.1613479337528812,0.8386520662471187,0.07790693267592791,0.9220930673240723,0,4FGL J1539.4-3323,338.7878,17.532059,-19.865696701917326,2.0120764,0.09927543,0.66567117,12.346545,-0.7449349,0.9999049,0.0016472262,0.12850451,-0.4775629,-0.9209844,-0.994545,1.78510296948125,7.544777194173349,LogParabola,3FGL J1539.2-3324,0.001216889401327359,0.9987831105986574,0.04021779701157567,0.9597822029884244,0.01929989745435929,0.9807001025456404,0.046299384093336574,0.9537006159066622,0,234.8125,-33.42833,J1539.2-3324,,"60, 15, 52,60",269,Simbad,60.49167604064753
3FGL J1808.3-3357,-27.5637771328558,-27.268057954336786,2.229977,1.5024472910978723,3.929574964615015,-0.3553724630324615,-0.43041986745731364,-0.7293624640881016,-0.959072551276874,-6.713244,1384.6901,LogParabola,358.06036,0.01169050949981585,0.9883094905002004,0.13935902379041112,0.8606409762095896,0.3141574708503419,0.6858425291496574,0.46311651836634893,0.5368834816336508,0,4FGL J1808.4-3358,358.0455,-6.725435,-20.255351942555937,2.434298,0.14614168,0.89112556,9.18354,0.9997924,-0.15324578,0.003831481,-0.3261693,-0.84695435,-0.9999999,0.9975592,0.8708571783070636,7.256084514172775,LogParabola,3FGL J1808.3-3357,0.13426723048906178,0.865732769510941,0.07027218146809243,0.929727818531907,0.009389722096948983,0.9906102779030493,0.23376075817329806,0.7662392418267021,0,272.09167,-33.93472,J1808.3-3357,,"56, 60, 60,60",755,Simbad,103.66564465531056
3FGL J2112.5-3044,-26.57769744899115,-27.305255852056085,1.6770878,2.0318642292083404,3.948190099490192,-0.10285100106059189,-0.2550827450937739,-0.5399938797581441,-0.9999968397327368,-42.44867,1133.5055,LogParabola,14.898448,0.02794901163086668,0.9720509883691212,0.18947131405877954,0.8105286859412195,0.09040018520366316,0.9095998147963373,0.08285705085284313,0.9171429491471562,0,4FGL J2112.5-3043,14.9038725,-42.443546,-19.498971656468697,1.994845,0.059643,0.42243305,14.566779,-0.59134024,-0.0051045683,0.0011573188,-0.20232013,-0.5137962,-0.91708815,-0.99991196,1.835408655489381,7.20273930218475,LogParabola,3FGL J2112.5-3044,9.214376446161632E-4,0.9990785623554006,0.05961671877351568,0.9403832812264853,0.003976212899903396,0.9960237871000959,0.018621591297654286,0.9813784087023459,0,318.15,-30.71028,J2112.5-3044,,"56, 60, 60,60,60,60",103,Simbad,88.35861330763362
