Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,Ln_LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Flags,Category_Prob,GLON
4FGL J0004.4-4737,-67.53783,-21.4455073,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.81553672,6.73980898,AGN,fsrq,PowerLaw,3FGL J0004.7-4740,PKS 0002-478,0.999832849,0.000167,0.997232191,0.002767809,0.999968984,3.1e-05,0.997243391,0.002756609,307,0,AGN,323.985992
4FGL J0005.9+3824,-23.613338,-21.5127929,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.14725114,6.3003217,AGN,fsrq,PowerLaw,3FGL J0006.4+3825,S4 0003+38,0.99967589,0.000324,0.995837094,0.004162906,0.994309167,0.005690833,0.994044768,0.005955232,312,0,AGN,113.232277
4FGL J0006.3-0620,-66.62518,-22.7956079,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.90174992,7.615093,AGN,bll,PowerLaw,,PKS 0003-066,0.999500232,0.0005,0.995932251,0.004067749,0.999518793,0.000481,0.994215429,0.005784571,271,0,AGN,93.6470184
4FGL J0006.4+0135,-59.29749,-22.4552382,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.881951776,7.8077893,AGN,bcu,PowerLaw,3FGL J0006.2+0135,NVSS J000626+013611,0.999072443,0.000928,0.981128565,0.018871435,0.979280461,0.020719539,0.990932315,0.009067685,298,0,AGN,100.477448
4FGL J0007.0+7303,10.46168,-16.5194819,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.41675212,7.28090337,PSR,PSR,PLSuperExpCutoff,3FGL J0007.0+7302,PSR J0007+7303,0.225320652,0.774679348,0.02057385,0.97942615,1.8e-14,1,0.195676815,0.804323185,299,0,PSR,119.662628
4FGL J0007.7+4008,-21.972776,-21.7353604,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.88287337,7.53592331,AGN,bcu,PowerLaw,3FGL J0007.9+4006,NVSS J000741+400830,0.998390732,0.001609268,0.996135447,0.003864553,0.995090709,0.004909291,0.990408233,0.009591767,340,0,AGN,113.937012
4FGL J0008.0+4711,-15.033559,-20.0038765,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,0.000388,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.00569525,7.2470261,AGN,bll,LogParabola,3FGL J0008.0+4713,MG4 J000800+4712,0.995378137,0.004621863,0.982725678,0.017274322,0.962574374,0.037425626,0.964183909,0.035816091,289,0,AGN,115.316254
4FGL J0008.0-3937,-74.58333,-22.5506577,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,-0.773522,-0.9073874,-0.995771,-0.9979873,0.900028482,6.72193593,AGN,bcu,LogParabola,,PMN J0008-3945,0.98655672,0.01344328,0.917750374,0.082249626,0.898036306,0.101963694,0.916584793,0.083415207,294,16,AGN,335.996185
4FGL J0008.4+1455,-46.6767,-21.8397526,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.001451011,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.06542386,7.44850146,AGN,bcu,PowerLaw,3FGL J0008.3+1456,NVSS J000825+145635,0.9999276,7.24e-05,0.995741619,0.004258381,0.998601214,0.001398786,0.998237914,0.001762086,301,0,AGN,107.724068
4FGL J0008.4-2339,-79.690834,-22.3557112,1.6839513,0.2182928,0.16281697,1.8402169,0.97582525,-0.7381555,0.000803,-0.276594,-0.3899644,0.14149071,-0.75949216,2.35941719,8.71343651,AGN,bll,PowerLaw,3FGL J0008.6-2340,RBS 0016,0.999439333,0.000561,0.994334966,0.005665034,0.999753526,0.000246,0.996960508,0.003039492,303,0,AGN,50.2651405
