Source_Name_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,GLON_4FGL,Flags
4FGL J1222.5+0414,66.09182,-20.8429160772449,2.7858946,0.050851177,0.09635798,2.8310034,-0.39843974,-0.6730033,0.0017772258,-0.8170142,-0.8452955,-0.9489321,-0.9985789,5.080575885243915,5.843953174058533,AGN,fsrq,LogParabola,3FGL J1222.4+0414,4C +04.42,0.9995622174035523,4.377825964473411E-4,0.9981706855695278,0.0018293144304721799,0.9997000336928699,2.999663071305833E-4,0.993273983739512,0.006726016260488597,301,0.9995794218079705,4.205781920297343E-4,0.9989509375493925,0.001049062450607556,0.996916233291917,0.003083766708082494,0.990861798001934,0.009138201998065306,301,284.8853,0
4FGL J1223.0+1100,72.55489,-22.41978354689259,1.982081,0.24762227,0.22411357,1.9312936,-0.9253821,0.062243577,0.0024873773,-0.7449825,-0.14649606,-0.5822357,-0.91043717,2.5274722433555876,7.975678711805244,AGN,bcu,PowerLaw,,SDSS J122307.24+110038.2,0.9995926736191214,4.073263808785857E-4,0.9969612173436596,0.003038782656340341,0.9972383219206229,0.0027616780793777306,0.9969559284486991,0.0030440715513010068,320,0.999423516560111,5.764834398893943E-4,0.9957642975256811,0.004235702474319386,0.9869032662762873,0.013096733723712548,0.9948509668000749,0.005149033199925097,320,279.11078,0
4FGL J1223.3+1213,73.713776,-22.671385615435764,2.5240042,0.22941281,0.09580392,0.52161247,-0.19209628,-0.6604112,0.008233935,-0.8416372,-0.3329569,-0.9891141,0.90897036,2.3600713364253347,6.721704336666857,AGN,bll,PowerLaw,3FGL J1223.2+1215,MG1 J122332+1208,0.9995331401126075,4.66859887392522E-4,0.9969816526063532,0.003018347393646802,0.9993684209831354,6.31579016864118E-4,0.9916110547432493,0.008388945256750506,290,0.9992378310466896,7.621689533095255E-4,0.990515614533329,0.009484385466670754,0.9933455798242142,0.006654420175786419,0.9760421461983065,0.0239578538016932,290,277.7311,2
4FGL J1223.5+0818,70.04826,-22.301580443457993,1.9220092,0.15480219,0.0924163,1.364726,-0.9994152,0.99995536,7.444689E-4,-0.4018096,-0.4257984,-0.78872746,0.14513454,3.1790772231694944,8.027571434973133,AGN,bll,PowerLaw,3FGL J1223.3+0818,SDSS J122327.49+082030.4,0.9997668185925365,2.3318140746241066E-4,0.9979217576677647,0.002078242332235269,0.999195141179927,8.048588200729787E-4,0.9949095735565728,0.005090426443427425,325,0.9990527512420664,9.472487579338895E-4,0.997540888318032,0.0024591116819686243,0.9972965646894473,0.0027034353105519645,0.9896847691207621,0.010315230879238394,325,282.31,0
4FGL J1223.6-3032,31.947529,-22.464444688680775,1.7327691,0.2597855,0.08946947,0.5451331,0.99970824,-0.55388075,3.9052102E-4,-0.9294393,0.5424684,-0.5028295,-0.2677571,1.7677691558012172,8.942310915569456,AGN,bll,PowerLaw,3FGL J1223.3-3028,NVSS J122337-303246,0.9991720606427015,8.279393572991247E-4,0.9962610175586761,0.0037389824413241114,0.9974769253614714,0.002523074638529187,0.9883094326840245,0.01169056731597488,314,0.9979623586745867,0.002037641325414162,0.9979968058985295,0.0020031941014707804,0.9926678711524098,0.007332128847589101,0.9735110511567978,0.02648894884320209,314,295.8826,0
4FGL J1223.8+4649,69.56846,-23.078790526107845,2.2178204,0.19912682,-0.0077717234,0.07760413,0.4572395,-0.7236124,0.001089126,-0.61418515,-0.5685268,-0.5662098,-0.999665,2.4611910618369106,7.579407642299754,AGN,bll,PowerLaw,,RX J1223.8+4651,0.9996760413061423,3.239586938582011E-4,0.9982160418720791,0.0017839581279212905,0.9988884369447311,0.0011115630552691821,0.9987075393914335,0.0012924606085668124,315,0.9995446063247261,4.553936752747816E-4,0.9995259820350842,4.7401796491598015E-4,0.9965006304730488,0.003499369526950946,0.9975252632196069,0.0024747367803926246,315,136.54121,0
4FGL J1223.8+8039,36.394196,-20.654016864922667,2.265374,0.061801035,0.12522192,4.54804,-0.45931128,-0.4556478,7.948199E-4,-0.61367965,-0.5928933,-0.75707155,-0.89778703,3.279680232875071,6.8419728912298075,AGN,bll,LogParabola,3FGL J1222.7+8041,S5 1221+80,0.9982434605680243,0.0017565394319754139,0.990053124789229,0.009946875210770612,0.9837129243542144,0.01628707564578557,0.9943754151281549,0.005624584871844991,279,0.9561161276759832,0.043883872324016686,0.9684922053883775,0.03150779461162221,0.8745682904670955,0.12543170953290506,0.9549489882165895,0.045051011783410644,279,124.317635,0
4FGL J1223.9+7954,37.145084,-22.91588575203065,1.8104061,0.23482017,0.14224917,1.0675728,0.97116613,-0.8694645,0.0012167449,-0.30495006,-0.3885199,-0.09895273,-0.7940367,2.540019008921906,8.888965912179232,AGN,bll,PowerLaw,3FGL J1222.7+7952,NVSS J122358+795329,0.9998010590324694,1.9894096753088873E-4,0.9981603247371557,0.0018396752628440885,0.9983033326270434,0.0016966673729566677,0.9985959230473391,0.0014040769526609204,324,0.9996292926809943,3.7070731900490605E-4,0.9994892120043458,5.10787995654794E-4,0.9969079461700091,0.0030920538299905134,0.9976332843794966,0.002366715620502959,324,124.44042,0
4FGL J1223.9+5000,66.52132,-21.312671932418663,2.5419528,0.07500851,0.22466134,5.018728,-0.22164416,-0.50646627,0.0026695048,-0.7456683,-0.7783188,-0.87827736,-0.9999846,4.999006743820304,6.425453456009013,AGN,fsrq,LogParabola,3FGL J1224.5+4957,SBS 1221+503,0.9942721125352341,0.005727887464766469,0.9960337538531896,0.003966246146810638,0.9978884165614069,0.002111583438593408,0.9796573551002071,0.020342644899793125,297,0.9913978759098263,0.008602124090172764,0.9960301252409605,0.003969874759039474,0.9833565685740897,0.016643431425910758,0.9209593016281243,0.07904069837187595,297,134.05952,0
4FGL J1224.1+2239,82.36472,-22.942288669319904,1.8479128,0.11646543,-0.12335034,1.8676527,0.86233455,-0.9142054,2.0876752E-4,-0.54517883,-0.7067941,-0.14502026,-0.39867935,1.8215777847186894,9.004764476779481,AGN,bll,PowerLaw,,TXS 1221+229,0.9996460097663586,3.539902336411691E-4,0.9950342157247196,0.004965784275280925,0.9929505851270569,0.00704941487294352,0.9957310572187377,0.004268942781262855,329,0.999103404806168,8.965951938315215E-4,0.9927502818017874,0.007249718198212555,0.9676762639107994,0.032323736089200555,0.9903078907073977,0.009692109292602162,329,247.30682,0
