Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,Category_Prob
3FGL J1645.2-5747,330.233856,-7.91410208,-25.5877235,-27.0929739,-1.40283794,3.63225822,2.6748879,-0.788042088,-0.84037241,-0.505697923,-0.730335043,AGN,bcu,24,0.88404279,0.103007657,0.00585344468,0.00501775872,0.110103765,0.10131915,0.911347679,0.111394838,0.0166420514,0.0323291899,0.0720102694,0.0917452131,0.825491924,0.0535557513,0.0470825763,0.0206924673,0.127425499,0.0439245844,0.82296958,0.0892412465,0.00181216725,0.00167794671,0.175218253,0.0889713229,0.96426653,0.0398104774,0.00322177293,0.00328052903,0.0325116967,0.0381515784,0.976217318,0.0402430986,0.00483288853,0.00901487922,0.0189497936,0.0323054581,0.948563741,0.0178241105,0.0173284077,0.0079715986,0.0341078513,0.013802219,0.9383235,0.0273043278,0.000641622875,0.000480580031,0.0610348773,0.0271773621,AGN
3FGL J1645.9-5420,332.942108,-5.76514578,-25.2481905,-26.9014012,0.958043232,3.59794352,2.71490002,-0.4304335,-0.89185864,-0.7875072,-0.9997931,OTHER,spp,16,0.29333756,0.182486359,0.190114461,0.139670063,0.516547979,0.237631505,0.0922456112,0.113083164,0.47329358,0.157390879,0.434460809,0.164289962,0.400005428,0.0738469724,0.268724203,0.0618659803,0.331270369,0.0743570627,0.139271033,0.0499512691,0.443688013,0.107511353,0.417040955,0.103098588,0.237618537,0.175680898,0.139243832,0.109253563,0.623137631,0.224948943,0.219508334,0.191347171,0.41879442,0.140570125,0.361697246,0.150096265,0.628738765,0.0719952488,0.186947208,0.045648776,0.184314027,0.0542777947,0.276601703,0.0640813147,0.421585851,0.0728910026,0.301812446,0.0615941186,MIXED
3FGL J1645.9+6336,94.1815414,37.9036026,-25.8178905,-28.0320672,-0.931298494,4.60475018,2.685637,-0.717589562,-0.805461151,-0.699149935,-0.828479167,AGN,fsrq,0,0.999749784,0.000201571735,9.34242634e-05,0.000103622183,0.000156792141,0.000136151021,0.990817868,0.00755400097,0.00387979645,0.00369056266,0.00530233516,0.00552873437,0.97502054,0.0110965202,0.0100843634,0.005855331,0.0148950964,0.00913060045,0.994441993,0.0051923874,0.000686820398,0.000724305697,0.00487118668,0.00492218984,0.999816267,0.000143372843,9.79367177e-05,0.000104778348,8.57960792e-05,6.972673e-05,0.996431308,0.00280491086,0.00155197708,0.00115273503,0.00201671455,0.00215725453,0.985169791,0.00706282743,0.00733587488,0.00453278437,0.00749433365,0.00498929854,0.999238809,0.000919201619,8.87253393e-05,8.61187587e-05,0.000672465795,0.000900298215,AGN
3FGL J1647.1-6438,324.991821,-12.4343815,-25.7305836,-27.5830388,-2.93382134,4.2168469,2.1893394,-0.445363317,-0.661971877,-0.61685751,-0.46872856,AGN,bcu,0,0.999115921,0.000539024311,8.72651353e-05,6.81514089e-05,0.000796813684,0.000504183983,0.983579978,0.0178726869,0.00375418837,0.00524494777,0.0126658333,0.0150876543,0.974150264,0.00862043656,0.00868795623,0.00337759225,0.0171617799,0.00654539849,0.994041743,0.00526247526,1.2313538e-05,3.1455976e-05,0.0059459432,0.00525613846,0.999458331,0.000341541399,8.50462182e-05,5.48809437e-05,0.000456622594,0.000309541296,0.994670679,0.00529190863,0.00129298228,0.00133823233,0.00403633835,0.00420808923,0.989606928,0.0029729153,0.00401265617,0.00116522263,0.00638041631,0.00239560503,0.998866194,0.000852207907,8.61421011e-07,1.36330781e-06,0.0011329448,0.0008519673,AGN
3FGL J1647.4+4950,76.651268,40.0895576,-24.633134,-27.6930797,0.853473547,4.88774199,2.42909336,-0.62753103,-0.718362641,-0.691663656,-0.654406897,AGN,bcu,0,0.999368637,0.000427874502,0.000327000992,0.000250736258,0.00030436233,0.000268901226,0.981266276,0.0185016632,0.0084433097,0.00806319442,0.010290414,0.0146700208,0.97890307,0.00772510462,0.00819228849,0.00345533577,0.0129046419,0.00605279343,0.960370201,0.0269734805,0.0149548183,0.00956899465,0.0246749803,0.0231487405,0.999743895,0.000216262948,0.00015581082,0.000123167988,0.000100293823,0.000129811665,0.993745059,0.00412581932,0.00306781144,0.00201721908,0.00318712922,0.00313764199,0.988626493,0.00427799287,0.00523702328,0.00272128416,0.00613648369,0.00280447473,0.991912394,0.00619354097,0.00424889201,0.00193231025,0.0038387137,0.00512612456,AGN
3FGL J1648.3-4611,339.434204,-0.801983774,-23.9872495,-25.9296518,1.82127179,3.59256976,1.32671284,0.9983706,-0.135050948,-0.469807545,-0.923245333,PSR,PSR,4,0.000264453261,0.000226621351,0.792782043,0.180234262,0.206953503,0.18019902,0.000332565458,0.00118784464,0.65267881,0.156929658,0.346988625,0.156936942,0.0208899331,0.0140138494,0.609605944,0.0982417309,0.369504123,0.0972798905,0.0103358416,0.00948940719,0.522005327,0.160760675,0.467658832,0.162958349,5.59842605e-05,8.88924823e-05,0.66555631,0.265454015,0.334387706,0.265443499,0.000795386781,0.00276214708,0.722901962,0.109684796,0.276302652,0.109834441,0.0287209567,0.0204839845,0.628366231,0.0803665567,0.342912813,0.0796237266,0.00983136445,0.00946504459,0.536397749,0.111344434,0.453770886,0.114079661,PSR
3FGL J1648.5-4829,337.698608,-2.30874419,-24.7306725,-26.4259115,0.239525226,3.87955186,2.43813825,0.793438344,-0.942944358,-0.302300809,-0.598328572,AGN,bcu,520,0.275617811,0.217139609,0.0137684473,0.0164861813,0.710613742,0.222696452,0.288854978,0.274128853,0.0749968665,0.0576093952,0.636148156,0.268530616,0.306876807,0.102212315,0.0832797363,0.0350181838,0.609843456,0.112453866,0.367463746,0.143166651,0.00981540723,0.0101708952,0.622720846,0.145474801,0.335142386,0.246068427,0.0120508517,0.0152012186,0.652806762,0.249395067,0.533870138,0.327577225,0.0667208805,0.0657301438,0.399408981,0.297362368,0.552167702,0.102252788,0.0640097369,0.0297876549,0.383822561,0.0983057623,0.554975506,0.12358648,0.0151474433,0.00673982899,0.42987705,0.123691089,MIXED
3FGL J1649.4+5238,80.2420349,39.5300674,-25.5724705,-27.8494487,0.981070384,4.31261338,2.21879435,-0.328150047,-0.544940002,-0.676887537,-0.741858002,AGN,bll,0,0.994436434,0.00537340545,0.00426537374,0.00478934863,0.00129819236,0.00138048289,0.946562217,0.0489003228,0.0312413467,0.0372862205,0.0221964358,0.0280432341,0.956691586,0.0186007172,0.0271449775,0.0153954597,0.0161634367,0.00784207893,0.869369547,0.0454036262,0.0852309899,0.0265846027,0.045399463,0.0363271196,0.997927656,0.00185561838,0.0015368545,0.0015777767,0.000535489326,0.000490399413,0.98117417,0.0195768566,0.0112795107,0.0159399419,0.00754631969,0.00886217999,0.978666336,0.00993833405,0.0138798335,0.0084256713,0.0074538302,0.0036485349,0.962534191,0.0127768661,0.0291904201,0.00684506056,0.00827538867,0.00773882394,AGN
3FGL J1650.2-5044,336.136383,-3.95889044,-23.6615305,-26.6609914,0.309620744,5.40544412,2.29568839,-0.65521868,-0.696946921,-0.566016597,-0.604759187,AGN,bcu,0,0.990048528,0.00979952647,0.00402994394,0.00646377819,0.00592152789,0.00666654801,0.926775398,0.10485606,0.0103237597,0.0130997802,0.0629008418,0.0967847722,0.821964926,0.0664076578,0.0530155758,0.0330517474,0.125019499,0.0528943986,0.945805741,0.0248407606,0.00089273079,0.000994424295,0.0533015287,0.0246995211,0.997476997,0.00313428353,0.00150306465,0.00290966648,0.00101993862,0.000947405912,0.976883668,0.033398733,0.0042825222,0.0055670123,0.0188338097,0.0287381927,0.921965227,0.03572988,0.0317557502,0.0224196788,0.0462790231,0.025165099,0.983546092,0.0065134625,0.000519340508,0.000374845825,0.0159345673,0.00644372852,AGN
3FGL J1650.8+0830,26.6130714,30.6329613,-25.424288,-27.4977737,0.640418757,4.25452615,2.65921164,-0.686583819,-0.801730059,-0.633944887,-0.999946791,AGN,fsrq,0,0.99876253,0.000863362845,0.000628780972,0.000518482136,0.000608688636,0.000545585409,0.910242017,0.0524952445,0.055464119,0.0336502201,0.0342938638,0.0383534599,0.967346879,0.0129385116,0.0186461957,0.00947637245,0.0140069253,0.00704056455,0.792791946,0.0597730887,0.106876278,0.0429588147,0.100331776,0.0413215436,0.999252193,0.000465092839,0.000455412649,0.000322608091,0.000292393876,0.000234082437,0.962951175,0.0205147532,0.0230040783,0.0134601079,0.0140447465,0.0132646584,0.980240207,0.00740408529,0.0122672027,0.00561041833,0.00749258983,0.00309097952,0.930655953,0.0165112322,0.0442572045,0.0115881055,0.0250868423,0.0116877184,AGN
