Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,Flags,Category_Prob
4FGL J0221.4+6241e,133.04836,1.599426,-19.3849364,2.3995674,0.098926276,0.3669594,5.7796793,-0.6163156,-0.10087867,0.004280359,-0.55508775,-0.7890921,-0.9113483,-0.7837015,1.28277659,7.39057407,OTHER,SNR,LogParabola,3FGL J0224.0+6235,HB 3,0.288458139,0.257898368,0.711541861,0.257898368,0.103068841,0.064031143,0.896931159,0.064031143,0.272611747,0.07143112,0.727388253,0.07143112,0.044730715,0.01162696,0.955269285,0.01162696,0.092191802,0.206352665,0.907808198,0.206352665,0.002882355,0.007437581,0.997117645,0.007437581,0.055140359,0.034144906,0.944859641,0.034144906,0.000951,0.000439,0.999048763,0.000439,4,PSR
4FGL J0222.4+6156e,133.41885,0.9361786,-18.1960171,2.4291372,0.02606792,0.25006264,16.489254,0.12975882,-0.3001414,0.000865,-0.6465142,-0.75521547,-0.9039972,-0.7575256,2.23548564,7.18507803,OTHER,snr,LogParabola,3FGL J0223.6+6204,W 3,0.008951075,0.010039498,0.991048925,0.010039498,0.03809697,0.025816167,0.96190303,0.025816167,0.103567871,0.045804789,0.896432129,0.045804789,0.00022,0.000163,0.999779809,0.000163,0.002813908,0.002190782,0.997186092,0.002190782,0.000571,0.001037882,0.999429238,0.001037882,0.026159134,0.021596095,0.973840866,0.021596095,6.6e-07,6.85e-07,0.99999934,6.85e-07,4,PSR
4FGL J0240.5+6113,135.68022,1.0876453,-16.8783512,2.377353,0.007383757,0.1480988,29.357176,-0.12738049,-0.47728193,0.000181,-0.6488829,-0.7069762,-0.86431676,-0.75546217,5.52376722,7.07827691,OTHER,HMB,LogParabola,3FGL J0240.5+6113,LSI +61 303,0.98340747,0.048241786,0.01659253,0.048241786,0.031231563,0.021643766,0.968768437,0.021643766,0.727309124,0.084263823,0.272690876,0.084263823,3.92e-05,4.62e-05,0.99996077,4.62e-05,0.913872934,0.079575963,0.086127066,0.079575963,0.001196842,0.004043168,0.998803158,0.004043168,0.778756861,0.091751273,0.221243139,0.091751273,3.25e-08,7.1e-08,0.999999968,7.1e-08,0,MIXED
4FGL J0242.6-0000,172.09357,-51.930832,-21.3644332,2.3277144,0.07006294,0.03169729,0.8591335,-0.5768897,-0.45829654,0.000748,-0.72857755,-0.6951972,-0.28587434,-0.99997216,2.87562906,6.97520933,OTHER,sbg,PowerLaw,3FGL J0242.7-0001,NGC 1068,0.999706825,0.000176,0.000293,0.000176,0.997834055,0.001372442,0.002165945,0.001372442,0.997482058,0.002366764,0.002517942,0.002366764,0.999561947,0.000163,0.000438,0.000163,0.999047355,0.000658,0.000953,0.000658,0.998711238,0.001721145,0.001288762,0.001721145,0.992361114,0.008606976,0.007638886,0.008606976,0.997446485,0.001422555,0.002553515,0.001422555,0,AGN
4FGL J0328.6+5330,145.08734,-2.4598553,-21.2575323,2.6413724,0.18953875,0.35021895,3.4375503,0.98996186,-0.043438878,0.003691326,-0.6693433,-0.705857,-0.9997169,-0.93731385,2.00495315,6.99359659,OTHER,unk,LogParabola,,NVSS J032847+532859,0.884108899,0.093704123,0.115891101,0.093704123,0.658650652,0.141917136,0.341349348,0.141917136,0.844820158,0.048361138,0.155179842,0.048361138,0.560224827,0.049468569,0.439775173,0.049468569,0.585823444,0.180046266,0.414176556,0.180046266,0.29977936,0.235724337,0.70022064,0.235724337,0.358355611,0.09847195,0.641644389,0.09847195,0.051247021,0.014712396,0.948752979,0.014712396,9,MIXED
4FGL J0359.7+4445,154.47958,-6.2716684,-21.9407595,2.3477778,0.10928557,-0.04989707,0.9992463,-0.82502604,0.123326816,0.0009,-0.9003605,-0.36867717,-0.85525453,0.55661815,1.91091179,7.57098347,OTHER,unk,PowerLaw,,1RXS J040006.3+444512,0.991310915,0.012506234,0.008689085,0.012506234,0.995910516,0.002784738,0.004089484,0.002784738,0.975951518,0.015413731,0.024048482,0.015413731,0.995419069,0.00158064,0.004580931,0.00158064,0.910281727,0.090833947,0.089718273,0.090833947,0.964247604,0.053138944,0.035752396,0.053138944,0.938945433,0.035853093,0.061054567,0.035853093,0.941608137,0.030808736,0.058391863,0.030808736,1,AGN
4FGL J0402.5+5402,148.71283,1.0319921,-22.3386391,1.9806117,0.2098466,0.013368172,0.11767314,0.32358095,0.9397261,0.000307,0.026675342,-0.70600724,-0.4248284,-0.34130034,2.57609722,9.00042432,OTHER,unk,PowerLaw,,TXS 0358+539,0.999669007,0.000318,0.000331,0.000318,0.994549089,0.003870355,0.005450911,0.003870355,0.995912645,0.004637582,0.004087355,0.004637582,0.994561102,0.001946078,0.005438898,0.001946078,0.998817441,0.00119151,0.001182559,0.00119151,0.991391355,0.021017215,0.008608645,0.021017215,0.986637636,0.013090946,0.013362364,0.013090946,0.982552056,0.009679732,0.017447944,0.009679732,4096,AGN
4FGL J0427.2+5533e,150.24223,4.5783525,-19.6951516,1.679643,0.045105934,0.081157,3.9692657,-0.9999937,0.9998475,7.12e-05,0.31692013,-0.1771834,-0.32620916,-0.33774686,2.16478644,9.14534692,OTHER,SNR,LogParabola,3FGL J0425.8+5600,SNR G150.3+04.5,0.971441232,0.099523205,0.028558768,0.099523205,0.925812625,0.065485445,0.074187375,0.065485445,0.901252635,0.044010149,0.098747365,0.044010149,0.836638994,0.051651507,0.163361006,0.051651507,0.896206146,0.103844555,0.103793854,0.103844555,0.770943724,0.233633026,0.229056276,0.233633026,0.945020219,0.039748818,0.054979781,0.039748818,0.503229331,0.125731911,0.496770669,0.125731911,4,AGN
4FGL J0427.8-6704,279.1443,-38.551704,-21.1433461,2.3866549,0.055462845,0.01903793,0.639131,-0.64059556,-0.4688754,0.000608,-0.71610075,-0.6398397,-0.62112343,-0.8145258,2.49210005,6.92877834,OTHER,LMB,PowerLaw,3FGL J0427.9-6704,1SXPS J042749.2-670434,0.999287465,0.000482,0.000713,0.000482,0.997463962,0.001531162,0.002536038,0.001531162,0.994750251,0.00654,0.005249749,0.00654,0.998833727,0.000411,0.001166273,0.000411,0.99699166,0.002084562,0.00300834,0.002084562,0.996659729,0.004385914,0.003340271,0.004385914,0.980652573,0.016945316,0.019347427,0.016945316,0.990917475,0.004721585,0.009082525,0.004721585,0,AGN
4FGL J0452.9+5117,155.99199,4.6304154,-21.4318335,2.6590981,0.18243778,0.3448271,3.1138587,0.23668213,-0.31774235,0.015171907,-0.7242995,-0.87309086,-0.9039322,-0.99609035,2.85820778,6.69308956,OTHER,spp,LogParabola,,SNR G156.2+05.7,0.968198723,0.083235975,0.031801277,0.083235975,0.969598468,0.018496076,0.030401532,0.018496076,0.936593776,0.030639361,0.063406224,0.030639361,0.948678035,0.010287138,0.051321965,0.010287138,0.936968735,0.086489612,0.063031265,0.086489612,0.799987055,0.175223488,0.200012945,0.175223488,0.725000337,0.082371587,0.274999663,0.082371587,0.524774377,0.065258561,0.475225623,0.065258561,0,AGN
4FGL J0500.3+4639e,160.36945,2.6909337,-19.5991739,2.378838,0.06906386,0.16561621,5.1052694,-0.03727412,-0.32645833,0.001410067,-0.71376896,-0.6425872,-0.84830004,-0.81155616,2.35255485,6.73347194,OTHER,SNR,LogParabola,2FGL J0503.2+4643,HB 9,0.802962307,0.160055087,0.197037693,0.160055087,0.580090232,0.146868631,0.419909768,0.146868631,0.710127571,0.074113932,0.289872429,0.074113932,0.705724674,0.038923247,0.294275326,0.038923247,0.095367877,0.117590292,0.904632123,0.117590292,0.078399007,0.113289552,0.921600993,0.113289552,0.414253173,0.111581527,0.585746827,0.111581527,0.095823421,0.025775185,0.904176579,0.025775185,0,MIXED
4FGL J0517.9+5030,158.98521,7.3269634,-22.5710184,2.1176195,0.7015196,0.7394069,2.4041038,-0.9995442,0.9998024,0.012732412,-0.61142325,-0.27327302,-0.8990316,-0.10302374,1.89254132,7.9607411,OTHER,spp,PowerLaw,,SNR G159.6+07.3,0.998085077,0.003121904,0.001914923,0.003121904,0.923985121,0.050046419,0.076014879,0.050046419,0.951142443,0.025237489,0.048857557,0.025237489,0.923618899,0.018094851,0.076381101,0.018094851,0.998893421,0.002157597,0.001106579,0.002157597,0.736178952,0.213361022,0.263821048,0.213361022,0.905668214,0.050004706,0.094331786,0.050004706,0.536058189,0.091157851,0.463941811,0.091157851,0,AGN
4FGL J0519.9-6845e,279.35507,-33.386795,-18.1294723,2.186611,0.024244213,0.16982087,14.141007,-0.13044882,-0.29326144,0.000672,-0.59227926,-0.6458716,-0.82320917,-0.23658988,2.25352079,7.06604547,OTHER,GAL,LogParabola,3FGL J0526.6-6825e,LMC,0.115681862,0.208028542,0.884318138,0.208028542,0.121027028,0.077393204,0.878972972,0.077393204,0.397121919,0.083477637,0.602878081,0.083477637,0.009158041,0.006099835,0.990841959,0.006099835,0.032788395,0.108073061,0.967211605,0.108073061,0.006379277,0.008518382,0.993620723,0.008518382,0.191642397,0.112297076,0.808357603,0.112297076,6.79e-05,5.94e-05,0.999932066,5.94e-05,516,PSR
4FGL J0521.2+1637,187.42412,-11.330111,-22.1319267,2.23058,0.3753365,0.9783059,1.9986765,0.82504565,-0.7793085,0.001015448,-0.33206767,-0.5279931,-0.7864454,-0.56954885,4.02299821,7.73026038,OTHER,css,PowerLaw,,3C 138,0.995647262,0.005663061,0.004352738,0.005663061,0.996863157,0.001904157,0.003136843,0.001904157,0.959179526,0.025629175,0.040820474,0.025629175,0.995953398,0.001681242,0.004046602,0.001681242,0.98103817,0.023580177,0.01896183,0.023580177,0.998264325,0.003367269,0.001735675,0.003367269,0.948816449,0.033004073,0.051183551,0.033004073,0.988535396,0.006017454,0.011464604,0.006017454,0,AGN
