Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
4FGL J1858.9+3636,67.01319,14.394771,986.54443,-22.040040411623668,2.483048,0.29843718,0.62586373,3.4502885,0.6698154,-0.2684679,0.010090903,0.6666667,-0.617192,-0.7558898,-0.9997896,-0.99998885,1.3405628594250105,LogParabola,0.31297562,0.8213205,,,,0.0,0.0,1
4FGL J1859.2-0706,27.466608,-4.955482,1608.2567,-21.335555313984646,2.4644678,0.20865387,0.32902947,2.71851,0.6048527,-0.5964881,0.0066353385,0.6666667,-0.6504047,-0.7116429,-0.63549083,-0.9997021,0.753798504900724,PowerLaw,0.18399306,0.69241136,,,,0.0,0.0,17
4FGL J1859.3+0058,34.7043,-1.3086741,3435.3599,-20.001448883837277,2.4061458,0.15959506,0.1681664,2.5456967,-0.42559132,0.9969387,0.001977424,0.6666667,-0.6412368,-0.6805083,-0.81119096,-0.75997704,2.319796992732916,PowerLaw,0.08552775,0.32043785,3FGL J1859.6+0102,,,0.0,0.0,256
4FGL J1859.8+1545,47.949753,5.2947764,1594.1761,-21.792436791047038,2.4551075,0.12979189,-0.073379345,1.1813257,-0.58071476,-0.30336994,0.001134243,0.6666667,-0.9071701,-0.5442267,-0.33236116,-0.27817643,2.107728945560282,PowerLaw,0.04597039,0.14932764,,,,0.0,0.0,0
4FGL J1900.4-4941,347.03696,-21.741291,1253.29,-21.806976304678177,2.345109,0.21889718,0.34345365,3.028355,0.9995384,-0.44118488,0.005856129,0.6666667,-0.539452,-0.6533969,-0.9997867,-0.97515726,2.400992340990692,LogParabola,0.16385469,0.60566103,,,,0.0,0.0,0
4FGL J1900.4+0339,37.22491,-0.34116748,1915.9996,-19.299912612334147,2.4842684,0.13201612,0.3279628,6.3389378,0.98824936,-0.45879677,0.0032072098,0.6666667,-0.62930506,-0.7910553,-0.8596775,-0.9994623,2.6268975106789356,LogParabola,0.0907184,0.34133595,3FGL J1900.8+0337,,,0.0,0.0,4
4FGL J1900.7+0426,37.94744,-0.046061184,1469.5343,-19.304765467264975,2.5239875,0.17066881,0.42702687,7.0384264,0.21705253,0.97219545,0.004081352,0.6666667,-0.676148,-0.8157932,-0.96609586,-0.9997989,2.1172986349672027,LogParabola,0.09343472,0.39489186,2FGL J1901.1+0427,,,0.0,0.0,17
4FGL J1900.9+0538,39.02515,0.47065985,1431.7819,-19.93131930414955,2.6032255,0.22144462,0.41252828,5.350678,-0.61160976,-0.2541809,0.007394124,0.6666667,-0.7908892,-0.7992869,-0.9427768,-0.99929,1.5790128006828608,LogParabola,0.12474545,0.49955887,,,,0.0,0.0,16
4FGL J1901.1+0730,40.71852,1.2641132,2021.0857,-19.977678638075282,2.4063096,0.16100486,0.28048715,4.5462017,0.953848,-0.77397543,0.0011560984,0.6666667,-0.5544448,-0.61397564,-0.88265556,-0.93059367,1.654647119633386,LogParabola,0.106481366,0.19415893,3FGL J1901.1+0728,,,0.0,0.0,0
4FGL J1901.5-2208,14.038114,-12.011958,3444.023,-22.343334570868482,2.094641,0.25433943,0.19277452,1.5853791,-0.99999154,0.99793935,0.0018665702,0.6666667,0.6336295,-0.68090814,-0.4674732,-0.9999109,1.7306841148642487,PowerLaw,0.16051494,0.38326207,,,,0.0,0.0,4
