GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS2,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
114.2502,-14.338059,-22.671495960842364,2.1983633,0.22415973,0.02462352,0.20407747,-0.9792905,0.9973279,8.183531E-4,-0.6361753,-0.6589638,-0.7605767,-0.124010414,2.8500491432488757,7.76890642369608,AGN,bcu,4FGL J0001.2+4741,PowerLaw,0.105218925,0.27689606,,B3 2358+474,0.99609655,0.93856317,0
89.03272,-67.30501,-20.89792734178824,2.1483262,0.06558173,0.04727811,1.417618,-0.10349428,-0.44158757,8.33099E-4,-0.6502833,-0.43597096,-0.78199154,-0.5599956,2.8254891201209116,7.148627072248065,AGN,bll,4FGL J0001.2-0747,PowerLaw,0.035733853,0.11915199,3FGL J0001.2-0748,PMN J0001-0746,0.99701446,0.93293214,0
107.64935,-40.167652,-20.755864370512228,2.6801705,0.04493158,0.14800178,5.0912256,-0.24777053,-0.6425761,0.0019107913,-0.78641707,-0.87753016,-0.9997511,-0.89316,6.825109735166782,5.930641116467883,AGN,fsrq,4FGL J0001.5+2113,LogParabola,0.03150326,0.09734816,3FGL J0001.4+2120,TXS 2358+209,0.9980486,0.95818156,0
334.22635,-72.02855,-21.99304659859212,1.8335938,0.13819773,0.025063045,0.40303585,-0.5563565,-0.81565475,3.6177432E-4,-0.31606382,-0.27268785,-0.55835617,-0.14999126,2.6210777332677186,8.153609580357248,AGN,bcu,4FGL J0001.6-4156,PowerLaw,0.06202956,0.16583534,3FGL J0002.2-4152,2MASS J00013275-4155252,0.9963356,0.85456926,0
310.08493,-48.963467,-22.19899230399184,1.8019888,0.14996767,0.1313003,2.0598197,-0.92863077,-0.5799706,8.5268216E-4,-0.12173295,-0.43336454,-0.26409936,-0.6256855,2.3044162820122613,8.384995081004408,AGN,bcu,4FGL J0002.1-6728,PowerLaw,0.07734571,0.26890424,3FGL J0002.0-6722,SUMSS J000215-672653,0.9966394,0.9044934,0
117.32041,-0.051036116,-19.779812600414136,2.4731266,0.07613683,0.42859668,9.461157,0.99266785,0.0018570549,0.0018857798,-0.56998783,-0.7318594,-0.98968166,-0.9980955,1.5479485302616522,7.190361817676675,PSR,PSR,4FGL J0002.8+6217,PLSuperExpCutoff,0.06502477,0.19059318,3FGL J0002.6+6218,PSR J0002+6216,1.0,0.0,0
318.9899,-62.788944,-21.92455883588808,1.845431,0.12932381,0.07142608,1.2588248,0.98467094,-0.7529764,5.297295E-4,-0.41107345,-0.37620062,-0.43967292,-0.4608528,1.7170075473930666,8.274123935232113,AGN,bcu,4FGL J0003.1-5248,PowerLaw,0.060838696,0.19333006,3FGL J0003.2-5246,RBS 0006,0.9830022,0.85980093,0
108.438545,-39.380795,-22.653153783278874,2.275706,0.5404578,0.99964654,1.7167195,-0.38511583,-0.81497735,0.0024197397,-0.94270766,0.5786159,-0.900051,-0.9999937,1.5550065279050014,7.757497150339951,AGN,bll,4FGL J0003.2+2207,PowerLaw,0.024958888,0.05938773,,2MASX J00032450+2204559,,0.0,0
65.197784,-76.580986,-21.66414729120602,2.2405226,0.16471803,0.3160174,3.3564024,0.9891295,0.009595376,0.0064438046,-0.54012406,-0.62971777,-0.8879328,-0.99895203,3.7410309778727138,6.970080195654137,AGN,bcu,4FGL J0003.3-1928,LogParabola,0.14015451,0.60530806,,PKS 0000-197,0.9972004,0.91010976,0
314.23904,-56.965885,-22.75402615097728,2.3632457,0.21061169,0.025621843,0.2801407,0.8072822,-0.820896,0.003027135,-0.5377211,-0.48551217,-0.9999003,-0.38655543,1.2357475718822193,7.123532968823178,AGN,bcu,4FGL J0003.3-5905,PowerLaw,0.09697441,0.4669434,,PMN J0003-5905,0.97976094,0.9494421,4
84.59542,-71.0751,-21.97127392701843,2.1277146,0.17358784,0.26229075,2.7669737,0.99950075,-0.29548064,0.0033132231,-0.45793995,-0.6076023,-0.6580359,-1.0,1.5524747920231485,7.426558358068478,AGN,bll,4FGL J0003.9-1149,PowerLaw,0.12814528,0.41594663,3FGL J0003.8-1151,PMN J0004-1148,0.9983225,0.97085786,0
103.49598,-52.397846,-22.222525699318215,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.0046211286,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.2013589920112535,7.711431694327143,AGN,bcu,4FGL J0004.0+0840,PowerLaw,0.24869604,0.7982378,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9922678,0.0,0
323.986,-67.53783,-21.445507270992135,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.815536717983364,6.739808977320824,AGN,fsrq,4FGL J0004.4-4737,PowerLaw,0.05322211,0.1629187,3FGL J0004.7-4740,PKS 0002-478,0.9971799,0.97325,0
113.23228,-23.613338,-21.51279290343917,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.1472511395315137,6.3003217053390745,AGN,fsrq,4FGL J0005.9+3824,PowerLaw,0.06724274,0.22276911,3FGL J0006.4+3825,S4 0003+38,0.9926908,0.9090593,0
93.64702,-66.62518,-22.795607922552346,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.9017499185413453,7.615092995925076,AGN,bll,4FGL J0006.3-0620,PowerLaw,0.25072128,0.7789327,,PKS 0003-066,0.9901411,0.9994688,0
100.47745,-59.29749,-22.455238164858724,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.8819517755489519,7.8077893037477315,AGN,bcu,4FGL J0006.4+0135,PowerLaw,0.1977467,0.64328295,3FGL J0006.2+0135,NVSS J000626+013611,0.99729097,0.8214364,0
119.66263,10.46168,-16.51948192873269,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.4167521249790607,7.280903372475891,PSR,PSR,4FGL J0007.0+7303,PLSuperExpCutoff,0.005550027,0.05125429,3FGL J0007.0+7302,PSR J0007+7303,1.0,0.0,0
113.93701,-21.972776,-21.73536038592122,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.8828733722903617,7.535923308007861,AGN,bcu,4FGL J0007.7+4008,PowerLaw,0.115732834,0.39049816,3FGL J0007.9+4006,NVSS J000741+400830,0.9971315,0.0,0
115.31625,-15.033559,-20.00387653262499,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,3.880337E-4,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.005695249286218,7.247026095921789,AGN,bll,4FGL J0008.0+4711,LogParabola,0.02349014,0.07345087,3FGL J0008.0+4713,MG4 J000800+4712,0.99995524,0.9736737,0
335.9962,-74.58333,-22.55065775087046,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,-0.773522,-0.9073874,-0.995771,-0.9979873,0.9000284818799061,6.721935932046319,AGN,bcu,4FGL J0008.0-3937,LogParabola,0.36578268,1.418392,,PMN J0008-3945,0.9207396,0.8798844,16
107.72407,-46.6767,-21.839752589066723,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.0014510113,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.0654238615385623,7.448501464789423,AGN,bcu,4FGL J0008.4+1455,PowerLaw,0.07194004,0.27068996,3FGL J0008.3+1456,NVSS J000825+145635,0.9917855,0.0,0
50.26514,-79.690834,-22.355711251969847,1.6839513,0.2182928,0.16281697,1.8402169,0.97582525,-0.7381555,8.03355E-4,-0.276594,-0.3899644,0.14149071,-0.75949216,2.3594171857188355,8.713436505929941,AGN,bll,4FGL J0008.4-2339,PowerLaw,0.10865318,0.33615676,3FGL J0008.6-2340,RBS 0016,0.9926684,0.91516817,0
104.480736,-54.868298,-21.500536073392464,2.1171386,0.09896444,0.04512154,0.9813813,0.99918073,0.16351931,7.112969E-4,-0.6908289,-0.42011616,-0.6028625,-0.49038437,2.4239561460871673,7.534822003567095,AGN,bll,4FGL J0009.1+0628,PowerLaw,0.048880115,0.1527919,3FGL J0009.1+0630,TXS 0006+061,0.9931449,0.86640173,0
116.12437,-11.803588,-19.689923955558285,1.987031,0.035371866,0.06981315,4.3845778,0.21764593,-0.44758025,2.4473228E-4,-0.49609715,-0.4564068,-0.6103414,-0.5451608,4.883537310710062,7.178182641437901,AGN,bll,4FGL J0009.3+5030,LogParabola,0.015831562,0.047521435,3FGL J0009.3+5030,NVSS J000922+503028,0.9999694,0.92810774,0
0.6727207,-79.58928,-22.41924878301737,2.1981528,0.1775985,0.075799,0.8613283,-0.99999344,0.99998164,0.0016643126,-0.5080589,-0.7994823,-0.15733007,-0.9999585,2.7771410800746823,7.441626618484626,AGN,rdg,4FGL J0009.7-3217,PowerLaw,0.09984529,0.29060018,3FGL J0009.6-3211,IC 1531,0.99067837,0.94048434,0
327.77505,-71.76617,-22.255112001886403,2.145199,0.11915045,-0.040844724,0.7269835,0.9976258,-0.7498374,7.1471167E-4,-0.57202005,-0.5466139,-0.20197983,-0.99989754,2.4608318233118722,7.580493608529432,AGN,bll,4FGL J0009.8-4317,PowerLaw,0.048107337,0.20885147,,SUMSS J000949-431654,0.99851024,0.9318478,0
110.21874,-41.12827,-22.56390599422617,2.316534,0.3254802,0.21123806,1.5020043,0.99960864,-0.5378855,0.005072495,-0.702886,-0.521426,-0.99986005,-0.99290526,2.952934460973768,7.169899519246078,AGN,fsrq,4FGL J0010.6+2043,PowerLaw,0.18496026,0.63602114,,TXS 0007+205,0.96985173,0.0,0
10.263708,-80.482315,-21.824723731359644,2.4291213,0.109506525,0.10359336,1.7034289,0.90000385,-0.50310785,0.0022344782,-0.6358786,-0.8608819,-0.6418626,-0.9999945,4.362206219286145,6.682492483655819,AGN,fsrq,4FGL J0010.6-3025,PowerLaw,0.07065257,0.20601568,,PKS 0008-307,0.99674195,0.9643442,0
60.28118,-79.400505,-22.976641199276262,2.4946294,0.19624367,-0.034287505,0.3283757,0.98301333,-0.41385394,0.001863804,-0.6621985,-0.7733015,-0.55652726,-0.19732912,2.3399712907956634,6.794007465853339,AGN,bcu,4FGL J0010.8-2154,PowerLaw,0.08828161,0.2913024,,PKS 0008-222,0.9900694,0.95401853,0
102.407234,-60.302692,-21.466768121906085,2.3197815,0.11698573,0.055365816,0.9152117,-0.40855178,-0.6915806,0.0018534434,-0.6581666,-0.46316186,-0.8582718,-0.92524153,4.373405172451942,7.096469359985797,AGN,fsrq,4FGL J0011.4+0057,PowerLaw,0.064857274,0.2408841,2FGL J0011.3+0054,RX J0011.5+0058,0.99867564,0.9197632,0
