spec_ind,signif_curv,var,hr45,class,source_name_1,pro_agn_GB,pro_psr_GB,pro_agn_NN,pro_psr_NN,pro_agn_rf,pro_psr_rf
2.4333627,0.8235445422359445,3.867632923682284,-0.932233611675554,PSR,3FGL J1151.8-6108,0.7998330419067325,0.2001669580932674,0.8857385072058632,0.1142614927941368,0.5972928178810021,0.4027071821189979
2.368808,0.3841058138343895,4.006981414277414,-0.9639237828129406,PSR,3FGL J1417.5-4402,0.9430195474949767,0.05698045250502319,0.9764951386028431,0.0235048613971569,0.9221376522218947,0.07786234777810536
2.2550774,-0.6673139504284745,4.029878927317152,-0.8019788167563282,PSR,3FGL J1553.1+5437,0.9764937835181651,0.023506216481834936,0.990965118411121,0.009034881588879023,0.9999725339930421,2.746600695788526E-5
2.6649535,-0.8153665672857328,3.6816623987078168,-0.7955605752366117,PSR,3FGL J1719.2-2433,0.9781812012709308,0.02181879872906909,0.9914232790198962,0.008576720980103762,0.9937499999068669,0.006250000093133146
2.086256,1.9800005543256032,3.871690682665771,-0.9999771816775467,PSR,3FGL J0002.6+6218,0.10767748272447164,0.8923225172755282,0.14869082106589832,0.8513091789341016,0.26770743501909916,0.7322925649809008
2.0204341,1.8251888616763319,3.515441808264368,-0.999988362289768,PSR,3FGL J0359.5+5413,0.10767748272447164,0.8923225172755282,0.17354562328482076,0.8264543767151793,0.19035952863057143,0.8096404713694285
2.2817585,1.4368438339407559,4.0732542161718985,0.99282432214382,PSR,3FGL J0514.6-4406,0.9487765184477872,0.05122348155221266,0.9755166401013762,0.024483359898623828,0.9025081620930488,0.09749183790695126
2.5418246,2.220550836837008,3.575437566399782,-0.9999547563714714,PSR,3FGL J1056.7-5853,0.10767748272447164,0.8923225172755282,0.11836445103605572,0.8816355489639442,0.32865752816785543,0.6713424718321446
2.5581317,2.150100474515493,3.7633902736851685,-0.9841617898796063,PSR,3FGL J1104.9-6036,0.10767748272447164,0.8923225172755282,0.13302406018795876,0.8669759398120412,0.37035943289093964,0.6296405671090604
2.3879848,1.7572167292764778,4.1657371964182675,-0.9266376299454638,PSR,3FGL J1208.4-6239,0.5145797507459513,0.4854202492540487,0.34389333982734227,0.6561066601726577,0.31428468688488687,0.685715313115113
2.1646054,1.8208090317967216,4.064596407721215,-0.9999935569892606,PSR,3FGL J1350.4-6224,0.10767748272447164,0.8923225172755282,0.23521836969094115,0.7647816303090589,0.3833806338458504,0.6166193661541497
2.284116,1.8431790939689239,4.230030746198678,-0.9999732615184538,PSR,3FGL J1528.3-5836,0.10767748272447164,0.8923225172755282,0.268528635160511,0.7314713648394889,0.37772478526104764,0.6222752147389523
2.1264415,2.0157864968288015,3.995425993338665,-0.7500811057255069,PSR,3FGL J1622.9-5004,0.10767748272447164,0.8923225172755282,0.21191529781748902,0.788084702182511,0.49142656910014326,0.5085734308998567
2.0572636,1.9904773956408415,3.9278058583637927,-0.9592020022608071,PSR,3FGL J1624.2-4041,0.10767748272447164,0.8923225172755282,0.15938677173236934,0.8406132282676306,0.08695860966036366,0.9130413903396364
2.4938385,1.937004367185144,4.00835375518284,-0.8783023622113785,PSR,3FGL J1650.3-4600,0.10767748272447164,0.8923225172755282,0.26336865402395154,0.7366313459760485,0.1613521039916906,0.8386478960083095
2.4792907,1.3827083892011565,3.688897453951938,-0.928155068987998,PSR,3FGL J1827.3-1446,0.3737073442310359,0.6262926557689641,0.5986838662674513,0.4013161337325487,0.18213155933770092,0.8178684406622991
2.2825232,1.7458009895531237,3.801825923528608,-0.8892539053494454,PSR,3FGL J1844.3-0344,0.14918993266629454,0.8508100673337053,0.27948825834518853,0.7205117416548115,0.14604607244944115,0.8539539275505589
1.8963063,1.9256608954650285,3.6809872675779696,-0.9059312038438698,PSR,3FGL J1946.4-5403,0.10767748272447164,0.8923225172755282,0.13574677002129182,0.8642532299787082,0.012514280720741103,0.9874857192792589
2.614499,2.5318159191992655,3.6853580111050794,-0.9814898107795468,PSR,3FGL J2017.9+3627,0.10767748272447164,0.8923225172755282,0.08366025802454198,0.916339741975458,0.2707090845048997,0.7292909154951002
1.8367444,1.677781559887395,4.078730342288933,-0.999935775431332,PSR,3FGL J2310.1-0557,0.14456935051658715,0.8554306494834127,0.22433124591114506,0.7756687540888549,0.02514915746304838,0.9748508425369515
2.410956,1.2227793474596678,3.707542142711125,-0.3411646902546724,AGN,3FGL J0000.1+6545,0.9007215061940206,0.09927849380597953,0.8780846110724112,0.12191538892758881,0.8471311158426089,0.15286888415739103
1.8667319,0.40310004688774054,3.803219190636362,-0.6481892737318573,AGN,3FGL J0000.2-3738,0.9831144865736356,0.016885513426364337,0.9796238329941538,0.02037616700584622,1.0,0.0
1.9460614,0.3138621879170869,3.8313551023606913,-0.49795186771472183,AGN,3FGL J0002.0-6722,0.9844502707110894,0.015549729288910581,0.9853237488448201,0.0146762511551799,1.0,0.0
2.0504425,-0.23529942296034895,3.8140060375761227,-0.8706377580490783,AGN,3FGL J0004.2+0843,0.9814986800506129,0.01850131994938694,0.9898466175434947,0.01015338245650536,0.985526996009404,0.014473003990596029
2.1869004,-1.7786281042231946,3.8191673986930605,-0.3951725265506454,AGN,3FGL J0006.2+0135,0.9821481503915275,0.017851849608472498,0.9920095275311775,0.007990472468822488,1.0,0.0
2.2756045,-0.020848936486780684,3.793004914905388,-0.5895593077013017,AGN,3FGL J0007.9+4006,0.9759289064918548,0.024071093508145215,0.9890267590395514,0.010973240960448532,0.9965811823230877,0.003418817676912326
2.2695491,0.4497952458916993,3.5392097654663734,-0.6761528719520202,AGN,3FGL J0008.3+1456,0.9738805249451721,0.02611947505482793,0.9716334966584455,0.02836650334155452,0.8522588925167138,0.14774110748328617
2.504053,0.061235917290220446,3.9960422270490206,-0.7306166513081951,AGN,3FGL J0014.3-0455,0.9776559466506018,0.02234405334939818,0.9883530744929168,0.01164692550708319,1.0,0.0
1.6399021,0.43271269786526106,3.9966331434162568,-0.47608342748093824,AGN,3FGL J0020.9+0323,0.9831144865736356,0.016885513426364337,0.97798250093089,0.022017499069110068,1.0,0.0
2.784271,-1.6638638980526095,3.641846414047368,-0.9999917679566133,AGN,3FGL J0022.7+4651,0.9309161930721268,0.06908380692787305,0.991804408575395,0.008195591424604997,0.9749999045386968,0.025000095461303246
2.1874866,-0.39339708056426326,3.942383311622283,-0.5462664480616305,AGN,3FGL J0026.2-4812,0.9821481503915275,0.017851849608472498,0.9905041615728176,0.00949583842718231,1.0,0.0
