_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
0.038,65.7517,3FGL J0000.1+6545,6.81,1.0E-12,0.038,65.7517,0.38,PSR,0.19,PSR,203.05,10.79,0.22,MSP,0.52,YNG,Simbad
0.061,-37.6484,3FGL J0000.2-3738,5.09,1.9E-14,0.061,-37.6484,0.0,AGN,0.0,AGN,109.49,-0.63,0.0,,0.13,,Simbad
0.254,63.244,3FGL J0001.0+6314,6.16,8.6E-12,0.254,63.244,0.0,AGN,0.05,AGN,187.32,4.2,0.16,,0.41,,Simbad
0.321,-7.8159,3FGL J0001.2-0748,11.25,4.9E-13,0.321,-7.8159,0.02,AGN,0.01,AGN,81.14,2.64,0.0,,0.04,,Simbad
0.361,21.3379,3FGL J0001.4+2120,11.35,2.5E-11,0.361,21.3379,0.0,AGN,0.0,AGN,203.17,1.55,0.01,,0.32,,Simbad
0.404,35.5905,3FGL J0001.6+3535,4.2,2.9E-13,0.404,35.5905,0.0,AGN,0.04,AGN,194.12,0.33,0.0,,0.17,,Simbad
0.524,-67.3703,3FGL J0002.0-6722,5.89,4.8E-14,0.524,-67.3703,0.0,AGN,0.0,AGN,100.44,-0.72,0.0,,0.13,,Simbad
0.562,-41.8828,3FGL J0002.2-4152,5.16,7.3E-14,0.562,-41.8828,0.0,AGN,0.0,AGN,120.9,-0.78,0.0,,0.16,,Simbad
0.674,62.3006,3FGL J0002.6+6218,17.97,4.3E-12,0.674,62.3006,0.99,PSR,0.81,PSR,1.98,751.35,0.82,YNG,0.54,YNG,Simbad
0.815,-52.7771,3FGL J0003.2-5246,5.67,2.0E-14,0.815,-52.7771,0.0,AGN,0.0,AGN,148.05,-0.61,0.0,,0.13,,Simbad
0.858,31.0085,3FGL J0003.4+3100,6.29,2.0E-12,0.858,31.0085,0.15,PSR,0.08,AGN,181.42,15.5,0.01,MSP,0.17,MSP,Simbad
0.89,57.3597,3FGL J0003.5+5721,5.38,1.1E-13,0.89,57.3597,0.04,AGN,0.04,AGN,206.61,1.63,0.01,,0.24,,Simbad
0.959,-11.8627,3FGL J0003.8-1151,4.18,4.4E-14,0.959,-11.8627,0.0,AGN,0.02,AGN,109.97,0.04,0.0,,0.12,,Simbad
1.055,67.9593,3FGL J0004.2+6757,6.01,6.0E-13,1.055,67.9593,0.67,PSR,0.54,PSR,76.78,218.93,0.49,MSP,0.39,MSP,Simbad
1.057,8.7274,3FGL J0004.2+0843,4.72,3.5E-14,1.057,8.7274,0.0,AGN,0.07,AGN,85.61,1.58,0.0,,0.08,,Simbad
1.181,-47.6711,3FGL J0004.7-4740,14.52,2.1E-12,1.181,-47.6711,0.0,AGN,0.04,AGN,252.91,2.81,0.0,,0.14,,Simbad
1.572,1.5853,3FGL J0006.2+0135,5.52,9.8E-14,1.572,1.5853,0.0,AGN,0.0,AGN,128.35,-0.43,0.0,,0.12,,Simbad
1.612,38.4183,3FGL J0006.4+3825,10.55,6.1E-12,1.612,38.4183,0.0,AGN,0.01,AGN,171.38,0.59,0.0,,0.26,,Simbad
1.651,46.3054,3FGL J0006.6+4618,4.61,2.6E-13,1.651,46.3054,0.0,AGN,0.0,AGN,114.71,0.2,0.01,,0.25,,Simbad
1.766,73.0499,3FGL J0007.0+7302,288.75,7.6E-11,1.766,73.0499,1.0,PSR,0.99,PSR,-0.34,3368.41,0.99,YNG,0.8,YNG,Simbad
1.869,17.711,3FGL J0007.4+1742,4.56,2.2E-13,1.869,17.711,0.0,AGN,0.0,AGN,98.74,0.09,0.0,,0.13,,Simbad
1.983,40.1068,3FGL J0007.9+4006,4.52,1.5E-13,1.983,40.1068,0.0,AGN,0.0,AGN,100.89,-0.48,0.0,,0.14,,Simbad
2.017,47.2281,3FGL J0008.0+4713,24.75,5.7E-13,2.017,47.2281,0.19,PSR,0.06,AGN,146.1,0.4,0.06,MSP,0.22,MSP,Simbad
2.088,14.9336,3FGL J0008.3+1456,6.46,3.8E-13,2.088,14.9336,0.03,AGN,0.19,PSR,120.31,3.9,0.0,MSP,0.12,MSP,Simbad
2.141,68.887,3FGL J0008.5+6853,8.45,4.3E-12,2.141,68.887,0.99,PSR,0.73,PSR,3.12,668.27,0.82,YNG,0.43,MSP,Simbad
2.174,-23.6721,3FGL J0008.6-2340,6.66,5.9E-15,2.174,-23.6721,0.0,AGN,0.0,AGN,158.06,0.68,0.0,,0.11,,Simbad
2.191,65.9677,3FGL J0008.7+6558,8.74,1.5E-11,2.191,65.9677,0.58,PSR,0.46,PSR,11.61,96.11,0.19,MSP,0.41,MSP,Simbad
2.295,6.5052,3FGL J0009.1+0630,8.97,2.5E-13,2.295,6.5052,0.0,AGN,0.0,AGN,111.22,-0.8,0.0,,0.12,,Simbad
2.334,50.5104,3FGL J0009.3+5030,36.49,1.1E-12,2.334,50.5104,0.0,AGN,0.0,AGN,163.17,-0.57,0.06,,0.22,,Simbad
2.402,-32.1987,3FGL J0009.6-3211,5.54,3.1E-13,2.402,-32.1987,0.0,AGN,0.0,AGN,119.85,0.42,0.0,,0.1,,Simbad
2.629,-14.4195,3FGL J0010.5-1425,4.3,3.2E-13,2.629,-14.4195,0.03,AGN,0.23,PSR,104.61,23.9,0.0,MSP,0.13,MSP,Simbad
3.11,70.6721,3FGL J0012.4+7040,4.55,5.5E-13,3.11,70.6721,0.0,AGN,0.0,AGN,154.0,-0.44,0.16,,0.38,,Simbad
3.304,-39.9083,3FGL J0013.2-3954,12.03,5.5E-13,3.304,-39.9083,0.0,AGN,0.0,AGN,139.21,-0.68,0.0,,0.12,,Simbad
3.476,-18.8966,3FGL J0013.9-1853,5.58,3.0E-14,3.476,-18.8966,0.02,AGN,0.11,AGN,118.94,2.95,0.0,,0.15,,Simbad
3.515,-50.4285,3FGL J0014.0-5025,5.65,2.9E-14,3.515,-50.4285,0.0,AGN,0.0,AGN,124.04,-0.65,0.0,,0.1,,Simbad
3.586,-4.9196,3FGL J0014.3-0455,6.33,7.2E-13,3.586,-4.9196,0.0,AGN,0.0,AGN,163.94,-0.41,0.01,,0.23,,Simbad
3.659,61.3182,3FGL J0014.6+6119,7.39,2.7E-14,3.659,61.3182,0.0,AGN,0.0,AGN,92.62,-0.49,0.05,,0.31,,Simbad
3.683,58.0424,3FGL J0014.7+5802,5.55,1.2E-14,3.683,58.0424,0.01,AGN,0.0,AGN,128.34,-0.56,0.0,,0.21,,Simbad
3.941,55.8747,3FGL J0015.7+5552,6.39,4.9E-14,3.941,55.8747,0.0,AGN,0.0,AGN,128.63,-0.57,0.01,,0.22,,Simbad
4.078,-0.2296,3FGL J0016.3-0013,13.63,8.4E-12,4.078,-0.2296,0.0,AGN,0.0,AGN,181.82,1.13,0.0,,0.27,,Simbad
4.135,17.221,3FGL J0016.5+1713,4.09,4.6E-13,4.135,17.221,0.0,AGN,0.02,AGN,156.7,1.89,0.0,,0.19,,Simbad
4.294,14.7612,3FGL J0017.1+1445,4.79,2.0E-14,4.294,14.7612,0.0,AGN,0.01,AGN,212.76,1.18,0.0,,0.17,,Simbad
4.305,-6.7237,3FGL J0017.2-0643,6.22,1.1E-13,4.305,-6.7237,0.04,AGN,0.02,AGN,192.86,2.28,0.0,,0.11,,Simbad
4.405,-5.205,3FGL J0017.6-0512,12.0,1.7E-12,4.405,-5.205,0.0,AGN,0.0,AGN,143.79,0.13,0.06,,0.33,,Simbad
4.603,29.794,3FGL J0018.4+2947,4.96,1.0E-14,4.603,29.794,0.0,AGN,0.0,AGN,115.73,-0.67,0.0,,0.17,,Simbad
4.745,-81.8769,3FGL J0018.9-8152,10.65,1.4E-13,4.745,-81.8769,0.0,AGN,0.0,AGN,123.94,-0.79,0.0,,0.16,,Simbad
4.797,-56.7515,3FGL J0019.1-5645,6.8,3.3E-13,4.797,-56.7515,0.0,AGN,0.0,AGN,142.98,-0.56,0.0,,0.13,,Simbad
4.862,20.3664,3FGL J0019.4+2021,5.04,1.4E-13,4.862,20.3664,0.0,AGN,0.0,AGN,102.3,-0.68,0.0,,0.16,,Simbad
5.231,3.3953,3FGL J0020.9+0323,5.73,6.5E-15,5.231,3.3953,0.0,AGN,0.0,AGN,178.59,-0.49,0.0,,0.12,,Simbad
5.409,-68.5917,3FGL J0021.6-6835,5.37,1.9E-12,5.409,-68.5917,0.0,AGN,0.0,AGN,173.4,3.43,0.0,,0.18,,Simbad
5.415,-25.8867,3FGL J0021.6-2553,11.57,2.7E-13,5.415,-25.8867,0.0,AGN,0.0,AGN,126.73,-0.79,0.0,,0.11,,Simbad
5.536,-18.923,3FGL J0022.1-1855,16.68,1.3E-13,5.536,-18.923,0.01,AGN,0.0,AGN,97.93,-0.53,0.0,,0.15,,Simbad
5.548,-51.691,3FGL J0022.1-5141,13.71,2.3E-13,5.548,-51.691,0.0,AGN,0.01,AGN,108.64,0.0,0.0,,0.11,,Simbad
5.643,6.1378,3FGL J0022.5+0608,28.18,1.4E-12,5.643,6.1378,0.0,AGN,0.0,AGN,127.07,-0.47,0.01,,0.16,,Simbad
5.687,46.8528,3FGL J0022.7+4651,4.16,2.9E-12,5.687,46.8528,0.01,AGN,0.17,AGN,208.15,28.66,0.01,,0.18,,Simbad
5.865,9.3892,3FGL J0023.4+0923,13.33,2.3E-12,5.865,9.3892,1.0,PSR,0.88,PSR,1.03,259.71,0.17,MSP,0.11,MSP,Simbad
5.878,44.9055,3FGL J0023.5+4454,8.96,2.5E-12,5.878,44.9055,0.0,AGN,0.0,AGN,153.86,0.01,0.01,,0.18,,Simbad
5.982,-72.0652,3FGL J0023.9-7203,46.38,7.1E-12,5.982,-72.0652,1.0,PSR,0.99,PSR,-0.45,2152.24,0.05,MSP,0.21,MSP,Simbad
6.11,3.8429,3FGL J0024.4+0350,5.71,3.4E-13,6.11,3.8429,0.0,AGN,0.0,AGN,109.49,0.44,0.0,,0.15,,Simbad
6.433,64.0693,3FGL J0025.7+6404,4.41,4.5E-14,6.433,64.0693,0.0,AGN,0.05,AGN,212.87,1.38,0.16,,0.47,,Simbad
6.557,-48.2101,3FGL J0026.2-4812,6.04,1.7E-13,6.557,-48.2101,0.0,AGN,0.01,AGN,135.34,-0.43,0.0,,0.1,,Simbad
6.685,-46.0597,3FGL J0026.7-4603,5.08,2.9E-13,6.685,-46.0597,0.0,AGN,0.0,AGN,143.81,-0.16,0.0,,0.17,,Simbad
7.161,75.1186,3FGL J0028.6+7507,7.31,5.0E-13,7.161,75.1186,0.01,AGN,0.04,AGN,103.01,8.59,0.01,,0.11,,Simbad
7.201,19.8508,3FGL J0028.8+1951,6.32,1.1E-12,7.201,19.8508,0.01,AGN,0.04,AGN,286.84,5.09,0.01,,0.21,,Simbad
7.296,-70.7555,3FGL J0029.1-7045,12.06,5.1E-13,7.296,-70.7555,0.0,AGN,0.0,AGN,156.34,-0.52,0.0,,0.13,,Simbad
7.566,-16.7749,3FGL J0030.2-1646,9.16,1.6E-14,7.566,-16.7749,0.0,AGN,0.0,AGN,174.72,-0.6,0.0,,0.13,,Simbad
7.589,-42.3954,3FGL J0030.3-4223,28.75,1.9E-11,7.589,-42.3954,0.0,AGN,0.0,AGN,182.84,0.52,0.0,,0.25,,Simbad
7.616,4.8656,3FGL J0030.4+0451,80.76,2.0E-11,7.616,4.8656,1.0,PSR,1.0,PSR,-0.72,3323.53,0.01,MSP,0.11,MSP,Simbad
7.698,-2.1574,3FGL J0030.7-0209,14.97,2.8E-12,7.698,-2.1574,0.0,AGN,0.0,AGN,125.52,2.15,0.0,,0.15,,Simbad
7.813,-23.3427,3FGL J0031.2-2320,4.25,1.1E-13,7.813,-23.3427,0.12,PSR,0.07,AGN,73.7,7.48,0.0,MSP,0.12,MSP,Simbad
7.83,7.4145,3FGL J0031.3+0724,5.1,1.2E-14,7.83,7.4145,0.0,AGN,0.0,AGN,227.29,0.85,0.0,,0.14,,Simbad
7.923,9.6478,3FGL J0031.6+0938,5.07,1.2E-12,7.923,9.6478,0.0,AGN,0.09,AGN,232.45,1.03,0.0,,0.27,,Simbad
8.09,-28.8767,3FGL J0032.3-2852,4.89,9.1E-14,8.09,-28.8767,0.0,AGN,0.01,AGN,134.54,-0.26,0.0,,0.14,,Simbad
8.094,-55.3688,3FGL J0032.3-5522,18.14,1.5E-12,8.094,-55.3688,0.0,AGN,0.0,AGN,130.35,-0.24,0.0,,0.14,,Simbad
8.146,39.2131,3FGL J0032.5+3912,4.95,7.9E-13,8.146,39.2131,0.0,AGN,0.01,AGN,206.01,0.26,0.0,,0.2,,Simbad
8.402,-19.3638,3FGL J0033.6-1921,39.22,4.6E-13,8.402,-19.3638,0.05,AGN,0.01,AGN,156.5,-0.48,0.02,,0.31,,Simbad
8.59,-5.5825,3FGL J0034.3-0534,28.9,6.6E-12,8.59,-5.5825,0.99,PSR,0.99,PSR,-0.4,2223.05,0.0,MSP,0.07,MSP,Simbad
8.809,15.2222,3FGL J0035.2+1513,14.0,8.5E-14,8.809,15.2222,0.0,AGN,0.0,AGN,122.68,-0.72,0.0,,0.16,,Simbad
8.989,59.8318,3FGL J0035.9+5949,27.48,3.1E-13,8.989,59.8318,0.0,AGN,0.0,AGN,117.07,-0.65,0.16,,0.38,,Simbad
9.477,12.6518,3FGL J0037.9+1239,13.34,5.2E-13,9.477,12.6518,0.0,AGN,0.0,AGN,133.67,-0.75,0.0,,0.15,,Simbad
9.509,-25.032,3FGL J0038.0-2501,10.1,1.5E-12,9.509,-25.032,0.0,AGN,0.0,AGN,139.71,1.08,0.01,,0.14,,Simbad
9.523,0.2095,3FGL J0038.0+0012,7.45,1.9E-13,9.523,0.2095,0.0,AGN,0.0,AGN,124.63,-0.39,0.0,,0.15,,Simbad
9.75,-22.3068,3FGL J0039.0-2218,4.41,8.0E-15,9.75,-22.3068,0.0,AGN,0.01,AGN,125.59,-0.1,0.0,,0.17,,Simbad
9.782,-9.6578,3FGL J0039.1-0939,4.76,1.6E-12,9.782,-9.6578,0.14,PSR,0.02,AGN,190.73,9.46,0.0,MSP,0.19,MSP,Simbad
9.798,43.5016,3FGL J0039.1+4330,7.01,4.5E-14,9.798,43.5016,0.01,AGN,0.0,AGN,139.21,-0.48,0.0,,0.13,,Simbad
9.834,62.9415,3FGL J0039.3+6256,11.99,8.3E-13,9.834,62.9415,0.92,PSR,0.89,PSR,-0.11,1868.8,0.03,MSP,0.33,MSP,Simbad
10.083,40.8178,3FGL J0040.3+4049,6.38,4.2E-16,10.083,40.8178,0.0,AGN,0.23,PSR,64.98,2.09,0.0,MSP,0.23,MSP,Simbad
10.147,-23.6513,3FGL J0040.5-2339,4.32,2.1E-14,10.147,-23.6513,0.0,AGN,0.01,AGN,133.46,-0.51,0.0,,0.14,,Simbad
10.5,36.6616,3FGL J0041.9+3639,4.63,1.8E-14,10.5,36.6616,0.0,AGN,0.0,AGN,197.17,-0.01,0.0,,0.25,,Simbad
10.518,23.3046,3FGL J0042.0+2318,6.09,4.1E-13,10.518,23.3046,0.01,AGN,0.0,AGN,124.87,3.44,0.0,,0.13,,Simbad
10.629,41.2957,3FGL J0042.5+4117,5.83,2.4E-12,10.629,41.2957,0.06,AGN,0.05,AGN,283.82,4.59,0.01,,0.2,,Simbad
10.892,-4.7398,3FGL J0043.5-0444,5.84,6.8E-15,10.892,-4.7398,0.0,AGN,0.0,AGN,134.46,-0.66,0.0,,0.11,,Simbad
10.935,-11.2881,3FGL J0043.7-1117,5.9,8.9E-15,10.935,-11.2881,0.07,AGN,0.0,AGN,272.45,0.23,0.0,,0.17,,Simbad
10.969,34.4294,3FGL J0043.8+3425,22.64,8.1E-13,10.969,34.4294,0.0,AGN,0.0,AGN,148.63,-0.71,0.01,,0.18,,Simbad
11.311,-37.0796,3FGL J0045.2-3704,13.56,4.8E-12,11.311,-37.0796,0.0,AGN,0.0,AGN,165.34,0.88,0.0,,0.17,,Simbad
11.349,21.4459,3FGL J0045.3+2126,22.34,2.5E-13,11.349,21.4459,0.0,AGN,0.0,AGN,111.66,-0.76,0.0,,0.17,,Simbad
11.435,12.2881,3FGL J0045.7+1217,14.52,2.0E-13,11.435,12.2881,0.0,AGN,0.0,AGN,100.74,-0.75,0.01,,0.14,,Simbad
11.688,-84.32,3FGL J0046.7-8419,6.24,6.9E-12,11.688,-84.32,0.01,AGN,0.0,AGN,172.73,1.79,0.0,,0.25,,Simbad
11.767,56.9715,3FGL J0047.0+5658,18.09,1.4E-12,11.767,56.9715,0.0,AGN,0.01,AGN,156.02,-0.16,0.02,,0.24,,Simbad
11.887,-25.275,3FGL J0047.5-2516,12.93,6.6E-13,11.887,-25.275,0.0,AGN,0.0,AGN,144.52,-0.65,0.0,,0.14,,Simbad
11.984,54.797,3FGL J0047.9+5447,5.04,9.4E-16,11.984,54.797,0.0,AGN,0.01,AGN,294.02,0.61,0.01,,0.24,,Simbad
12.007,39.843,3FGL J0048.0+3950,9.22,4.3E-14,12.007,39.843,0.0,AGN,0.0,AGN,125.89,-0.77,0.0,,0.16,,Simbad
12.013,22.6008,3FGL J0048.0+2236,14.23,1.6E-12,12.013,22.6008,0.0,AGN,0.0,AGN,128.03,1.3,0.0,,0.08,,Simbad
12.05,-63.7318,3FGL J0048.1-6343,6.83,1.4E-13,12.05,-63.7318,0.01,AGN,0.19,PSR,63.06,9.95,0.0,MSP,0.08,MSP,Simbad
12.253,42.413,3FGL J0049.0+4224,6.95,8.6E-15,12.253,42.413,0.0,AGN,0.0,AGN,126.89,-0.48,0.0,,0.19,,Simbad
12.353,-54.0225,3FGL J0049.4-5401,5.97,9.7E-14,12.353,-54.0225,0.0,AGN,0.0,AGN,119.5,-0.75,0.0,,0.12,,Simbad
12.36,-41.825,3FGL J0049.4-4149,5.66,5.1E-14,12.36,-41.825,0.0,AGN,0.01,AGN,163.03,-0.32,0.0,,0.22,,Simbad
12.441,2.6245,3FGL J0049.7+0237,13.1,9.4E-13,12.441,2.6245,0.0,AGN,0.0,AGN,160.37,-0.65,0.0,,0.15,,Simbad
12.463,-57.6245,3FGL J0049.8-5737,10.08,7.4E-13,12.463,-57.6245,0.0,AGN,0.0,AGN,141.91,0.16,0.0,,0.19,,Simbad
12.514,-44.9717,3FGL J0050.0-4458,6.09,9.5E-13,12.514,-44.9717,0.0,AGN,0.02,AGN,165.75,3.36,0.0,,0.15,,Simbad
12.621,-4.8323,3FGL J0050.4-0449,9.03,1.2E-12,12.621,-4.8323,0.0,AGN,0.0,AGN,150.25,1.51,0.0,,0.09,,Simbad
12.674,-9.4849,3FGL J0050.6-0929,41.98,3.8E-12,12.674,-9.4849,0.0,AGN,0.0,AGN,164.13,-0.61,0.01,,0.21,,Simbad
12.766,-6.8177,3FGL J0051.0-0649,18.39,4.3E-12,12.766,-6.8177,0.0,AGN,0.01,AGN,87.67,3.54,0.0,,0.1,,Simbad
12.82,-62.6881,3FGL J0051.2-6241,23.41,8.4E-14,12.82,-62.6881,0.01,AGN,0.0,AGN,128.63,-0.67,0.0,,0.15,,Simbad
12.904,64.7592,3FGL J0051.6+6445,5.55,2.6E-13,12.904,64.7592,0.04,AGN,0.03,AGN,124.17,0.51,0.05,,0.34,,Simbad
13.723,-24.9235,3FGL J0054.8-2455,15.8,1.0E-13,13.723,-24.9235,0.01,AGN,0.0,AGN,102.11,-0.67,0.01,,0.18,,Simbad
13.801,-12.2326,3FGL J0055.2-1213,4.71,3.4E-13,13.801,-12.2326,0.0,AGN,0.01,AGN,134.67,-0.37,0.0,,0.19,,Simbad
14.076,-21.2801,3FGL J0056.3-2116,12.03,7.8E-14,14.076,-21.2801,0.0,AGN,0.0,AGN,106.04,-0.68,0.0,,0.14,,Simbad
14.09,-9.5937,3FGL J0056.3-0935,9.89,3.5E-14,14.09,-9.5937,0.0,AGN,0.0,AGN,109.78,-0.72,0.0,,0.14,,Simbad
14.483,-5.7083,3FGL J0057.9-0542,5.2,3.3E-13,14.483,-5.7083,0.0,AGN,0.05,AGN,119.26,0.76,0.0,,0.14,,Simbad
14.513,-32.5666,3FGL J0058.0-3233,20.52,8.6E-13,14.513,-32.5666,0.01,AGN,0.0,AGN,128.63,-0.5,0.0,,0.12,,Simbad
14.587,33.2666,3FGL J0058.3+3315,8.25,1.2E-12,14.587,33.2666,0.0,AGN,0.03,AGN,126.12,3.25,0.0,,0.11,,Simbad
14.75,-72.7,3FGL J0059.0-7242e,27.95,1.1E-11,14.75,-72.7,0.85,PSR,0.19,PSR,157.55,4.08,0.01,MSP,,,Simbad
14.796,-57.0218,3FGL J0059.1-5701,11.24,3.8E-12,14.796,-57.0218,0.05,AGN,0.0,AGN,140.07,2.1,0.0,,0.23,,Simbad
14.808,-1.883,3FGL J0059.2-0152,6.01,8.4E-15,14.808,-1.883,0.0,AGN,0.0,AGN,133.63,-0.47,0.0,,0.18,,Simbad
14.905,0.0521,3FGL J0059.6+0003,4.5,6.5E-13,14.905,0.0521,0.01,AGN,0.01,AGN,142.5,3.18,0.01,,0.14,,Simbad
15.068,7.7662,3FGL J0100.2+0745,23.09,2.2E-13,15.068,7.7662,0.0,AGN,0.01,AGN,109.78,-0.01,0.0,,0.17,,Simbad
15.271,-64.373,3FGL J0101.0-6422,26.88,2.8E-12,15.271,-64.373,0.99,PSR,0.99,PSR,-0.5,2190.75,0.01,MSP,0.05,MSP,Simbad
15.537,44.9718,3FGL J0102.1+4458,4.13,1.0E-13,15.537,44.9718,0.0,AGN,0.0,AGN,113.6,0.65,0.0,,0.13,,Simbad
15.54,9.728,3FGL J0102.1+0943,7.09,1.2E-13,15.54,9.728,0.0,AGN,0.0,AGN,107.9,-0.63,0.0,,0.12,,Simbad
15.595,42.2888,3FGL J0102.3+4217,12.72,9.8E-12,15.595,42.2888,0.0,AGN,0.0,AGN,167.19,1.31,0.01,,0.28,,Simbad
15.701,48.6728,3FGL J0102.8+4840,20.34,2.0E-12,15.701,48.6728,0.92,PSR,0.62,PSR,5.5,39.91,0.07,MSP,0.15,MSP,Simbad
15.704,58.4245,3FGL J0102.8+5825,51.5,3.5E-11,15.704,58.4245,0.0,AGN,0.0,AGN,289.88,3.58,0.22,,0.48,,Simbad
15.864,53.6153,3FGL J0103.4+5336,10.36,9.9E-14,15.864,53.6153,0.0,AGN,0.0,AGN,112.01,-0.76,0.01,,0.17,,Simbad
15.941,13.3925,3FGL J0103.7+1323,7.12,6.4E-14,15.941,13.3925,0.0,AGN,0.0,AGN,116.52,-0.47,0.0,,0.1,,Simbad
16.291,-24.2594,3FGL J0105.1-2415,13.2,7.3E-12,16.291,-24.2594,0.0,AGN,0.0,AGN,149.43,1.02,0.0,,0.22,,Simbad
16.33,39.4725,3FGL J0105.3+3928,8.13,5.9E-13,16.33,39.4725,0.0,AGN,0.01,AGN,133.86,0.91,0.0,,0.12,,Simbad
16.627,48.9241,3FGL J0106.5+4855,27.48,1.8E-12,16.627,48.9241,1.0,PSR,1.0,PSR,-0.7,3647.72,0.63,YNG,0.67,YNG,Simbad
16.77,-12.1425,3FGL J0107.0-1208,5.1,1.1E-13,16.77,-12.1425,0.01,AGN,0.0,AGN,92.44,1.31,0.0,,0.14,,Simbad
17.14,-0.5944,3FGL J0108.5-0035,4.18,3.4E-13,17.14,-0.5944,0.17,PSR,0.02,AGN,138.73,17.8,0.0,MSP,0.14,MSP,Simbad
17.18,1.579,3FGL J0108.7+0134,71.65,9.8E-11,17.18,1.579,0.0,AGN,0.02,AGN,157.29,2.98,0.01,,0.37,,Simbad
17.278,18.2696,3FGL J0109.1+1816,10.48,1.0E-13,17.278,18.2696,0.0,AGN,0.0,AGN,120.46,-0.71,0.0,,0.12,,Simbad
17.468,61.5495,3FGL J0109.8+6132,36.55,1.1E-10,17.468,61.5495,0.0,AGN,0.01,AGN,343.46,7.14,0.82,,0.76,,Simbad
17.482,-40.334,3FGL J0109.9-4020,7.67,1.3E-14,17.482,-40.334,0.0,AGN,0.0,AGN,186.02,0.26,0.0,,0.13,,Simbad
17.575,68.115,3FGL J0110.2+6806,19.86,1.9E-13,17.575,68.115,0.0,AGN,0.0,AGN,136.87,-0.52,0.16,,0.28,,Simbad
17.735,-12.9125,3FGL J0110.9-1254,5.81,2.6E-14,17.735,-12.9125,0.0,AGN,0.0,AGN,251.85,1.69,0.01,,0.19,,Simbad
17.877,5.5856,3FGL J0111.5+0535,5.15,1.8E-14,17.877,5.5856,0.0,AGN,0.0,AGN,106.16,-0.7,0.0,,0.14,,Simbad
18.027,22.759,3FGL J0112.1+2245,81.13,2.5E-11,18.027,22.759,0.0,AGN,0.01,AGN,176.65,0.42,0.05,,0.42,,Simbad
18.21,32.127,3FGL J0112.8+3207,44.54,1.7E-11,18.21,32.127,0.0,AGN,0.0,AGN,145.64,0.07,0.01,,0.25,,Simbad
18.244,-75.1053,3FGL J0112.9-7506,5.39,1.2E-13,18.244,-75.1053,0.0,AGN,0.0,AGN,118.79,-0.68,0.0,,0.14,,Simbad
18.256,-35.9012,3FGL J0113.0-3554,7.68,1.5E-12,18.256,-35.9012,0.0,AGN,0.01,AGN,210.28,0.61,0.01,,0.22,,Simbad
18.372,49.8148,3FGL J0113.4+4948,12.22,8.6E-13,18.372,49.8148,0.0,AGN,0.0,AGN,139.23,-0.46,0.01,,0.21,,Simbad
18.71,19.2947,3FGL J0114.8+1917,4.14,1.1E-13,18.71,19.2947,0.0,AGN,0.02,AGN,153.04,-0.08,0.0,,0.13,,Simbad
18.716,13.4342,3FGL J0114.8+1326,19.02,6.6E-13,18.716,13.4342,0.0,AGN,0.0,AGN,134.01,-0.66,0.01,,0.18,,Simbad
18.937,3.9415,3FGL J0115.7+0356,17.5,7.6E-13,18.937,3.9415,0.0,AGN,0.0,AGN,127.69,-0.66,0.0,,0.15,,Simbad
18.955,25.3297,3FGL J0115.8+2519,17.03,2.5E-13,18.955,25.3297,0.0,AGN,0.0,AGN,121.58,-0.75,0.01,,0.19,,Simbad
19.013,-11.5785,3FGL J0116.0-1134,19.86,3.6E-12,19.013,-11.5785,0.0,AGN,0.0,AGN,132.02,0.56,0.0,,0.14,,Simbad
19.066,-27.7404,3FGL J0116.2-2744,5.48,4.3E-14,19.066,-27.7404,0.0,AGN,0.01,AGN,146.86,-0.26,0.0,,0.14,,Simbad
19.099,-61.8906,3FGL J0116.3-6153,9.9,5.8E-14,19.099,-61.8906,0.0,AGN,0.0,AGN,116.42,-0.76,0.0,,0.12,,Simbad
19.22,69.228,3FGL J0116.8+6913,5.06,4.7E-12,19.22,69.228,0.13,PSR,0.02,AGN,187.18,4.9,0.5,YNG,0.41,MSP,Simbad
19.452,-21.2181,3FGL J0117.8-2113,9.38,4.0E-13,19.452,-21.2181,0.0,AGN,0.0,AGN,128.41,-0.33,0.01,,0.17,,Simbad
19.707,-21.7079,3FGL J0118.8-2142,28.43,3.0E-12,19.707,-21.7079,0.0,AGN,0.05,AGN,287.48,9.94,0.05,,0.15,,Simbad
19.73,-14.9639,3FGL J0118.9-1457,7.28,1.9E-14,19.73,-14.9639,0.0,AGN,0.0,AGN,141.31,-0.48,0.0,,0.16,,Simbad
20.124,-27.015,3FGL J0120.4-2700,45.64,1.5E-12,20.124,-27.015,0.03,AGN,0.0,AGN,142.24,-0.44,0.05,,0.33,,Simbad
20.449,51.9046,3FGL J0121.7+5154,6.6,3.9E-14,20.449,51.9046,0.0,AGN,0.0,AGN,142.07,-0.45,0.0,,0.14,,Simbad
20.723,34.391,3FGL J0122.8+3423,9.58,5.4E-15,20.723,34.391,0.0,AGN,0.0,AGN,172.47,-0.46,0.01,,0.17,,Simbad
20.928,-23.2027,3FGL J0123.7-2312,11.06,1.1E-13,20.928,-23.2027,0.0,AGN,0.0,AGN,124.13,-0.77,0.0,,0.11,,Simbad
