_RAJ2000,_DEJ2000,3FGL 3FGL,Sig,Flux,RAJ2000,DEJ2000,LR-P,LRPred,RF-P,RFPred,PSR-Out,AGN-Out,BLR-PSR-P,BLR-PSR-Pred,RF-PSR-P,RF-PSR-Pred,Simbad
114.462,-82.761,3FGL J0737.8-8245,7.5,2.8E-14,114.462,-82.761,0.0,AGN,0.0,AGN,110.98,-0.6,0.0,,0.14,,Simbad
114.536,17.698,3FGL J0738.1+1741,55.35,4.0E-12,114.536,17.698,0.0,AGN,0.0,AGN,166.17,-0.55,0.49,,0.47,,Simbad
114.851,1.6274,3FGL J0739.4+0137,38.99,7.5E-11,114.851,1.6274,0.0,AGN,0.01,AGN,247.18,6.47,0.82,,0.59,,Simbad
114.974,13.2109,3FGL J0739.8+1312,4.17,3.8E-12,114.974,13.2109,0.16,PSR,0.12,AGN,316.62,12.09,0.04,MSP,0.33,MSP,Simbad
115.162,-52.5042,3FGL J0740.6-5230,6.52,2.2E-13,115.162,-52.5042,0.0,AGN,0.01,AGN,161.01,0.44,0.01,,0.2,,Simbad
115.22,66.361,3FGL J0740.8+6621,8.27,3.3E-13,115.22,66.361,0.06,AGN,0.71,PSR,30.01,244.5,0.01,MSP,0.05,MSP,Simbad
115.621,-81.5587,3FGL J0742.4-8133c,4.52,9.5E-16,115.621,-81.5587,0.0,AGN,0.0,AGN,236.44,-0.01,0.0,,0.15,,Simbad
115.66,54.7337,3FGL J0742.6+5444,61.62,3.5E-11,115.66,54.7337,0.0,AGN,0.0,AGN,153.15,0.24,0.16,,0.54,,Simbad
115.673,-56.3903,3FGL J0742.6-5623,6.06,5.3E-12,115.673,-56.3903,0.33,PSR,0.03,AGN,163.51,6.62,0.04,MSP,0.31,MSP,Simbad
115.68,-28.4052,3FGL J0742.7-2824,12.33,6.8E-12,115.68,-28.4052,1.0,PSR,0.43,PSR,12.91,20.8,0.22,MSP,0.59,YNG,Simbad
115.694,-31.1739,3FGL J0742.7-3110,5.46,4.4E-13,115.694,-31.1739,0.01,AGN,0.17,AGN,170.0,14.48,0.06,,0.23,,Simbad
116.038,-38.074,3FGL J0744.1-3804,4.29,4.6E-12,116.038,-38.074,0.63,PSR,0.05,AGN,336.1,12.09,0.25,MSP,0.37,MSP,Simbad
116.045,-25.3994,3FGL J0744.1-2523,18.1,1.2E-11,116.045,-25.3994,0.97,PSR,0.38,PSR,11.69,27.51,0.46,MSP,0.56,YNG,Simbad
116.082,17.2559,3FGL J0744.3+1715,4.91,2.1E-13,116.082,17.2559,0.24,PSR,0.12,AGN,193.94,6.63,0.12,MSP,0.22,MSP,Simbad
116.099,74.5767,3FGL J0744.3+7434,11.91,9.8E-14,116.099,74.5767,0.0,AGN,0.0,AGN,135.31,-0.7,0.01,,0.21,,Simbad
116.218,-40.4679,3FGL J0744.8-4028,7.48,8.7E-13,116.218,-40.4679,0.7,PSR,0.59,PSR,50.6,77.8,0.02,MSP,0.18,MSP,Simbad
116.61,25.6747,3FGL J0746.4+2540,10.72,2.4E-11,116.61,25.6747,0.0,AGN,0.0,AGN,227.11,1.66,0.02,,0.34,,Simbad
116.618,-2.4221,3FGL J0746.4-0225,9.61,1.3E-13,116.618,-2.4221,0.0,AGN,0.0,AGN,115.42,-0.81,0.01,,0.18,,Simbad
116.66,-7.1148,3FGL J0746.6-0706,4.85,9.1E-14,116.66,-7.1148,0.01,AGN,0.04,AGN,118.21,1.76,0.16,,0.22,,Simbad
116.663,-47.9368,3FGL J0746.6-4756,14.62,6.6E-13,116.663,-47.9368,0.0,AGN,0.0,AGN,144.52,-0.55,0.06,,0.25,,Simbad
116.725,85.1979,3FGL J0746.9+8511,9.66,2.0E-14,116.725,85.1979,0.0,AGN,0.0,AGN,134.41,-0.58,0.01,,0.18,,Simbad
116.814,-33.1857,3FGL J0747.2-3311,19.54,5.9E-12,116.814,-33.1857,0.0,AGN,0.0,AGN,152.99,-0.16,0.24,,0.52,,Simbad
116.863,-7.5801,3FGL J0747.4-0734,5.49,6.0E-14,116.863,-7.5801,0.05,AGN,0.0,AGN,149.53,-0.38,0.01,,0.18,,Simbad
116.867,9.068,3FGL J0747.4+0904,5.85,8.7E-14,116.867,9.068,0.01,AGN,0.0,AGN,135.03,-0.47,0.0,,0.11,,Simbad
116.89,-49.4584,3FGL J0747.5-4927,6.15,1.4E-13,116.89,-49.4584,0.0,AGN,0.0,AGN,119.3,-0.49,0.06,,0.25,,Simbad
117.004,-16.661,3FGL J0748.0-1639,8.0,4.9E-12,117.004,-16.661,0.07,AGN,0.0,AGN,157.42,1.1,0.5,,0.53,,Simbad
117.093,24.0236,3FGL J0748.3+2401,9.36,2.0E-13,117.093,24.0236,0.0,AGN,0.0,AGN,125.92,-0.79,0.02,,0.2,,Simbad
117.136,79.1766,3FGL J0748.5+7910,4.72,3.0E-13,117.136,79.1766,0.01,AGN,0.17,AGN,97.97,11.5,0.12,,0.14,,Simbad
117.178,-51.2795,3FGL J0748.7-5116,5.07,1.5E-12,117.178,-51.2795,0.0,AGN,0.0,AGN,189.58,0.18,0.06,,0.26,,Simbad
117.202,-22.1347,3FGL J0748.8-2208,5.87,7.1E-13,117.202,-22.1347,0.01,AGN,0.01,AGN,191.44,0.12,0.05,,0.36,,Simbad
117.22,49.489,3FGL J0748.8+4929,5.67,3.5E-13,117.22,49.489,0.04,AGN,0.04,AGN,144.64,19.64,0.01,,0.07,,Simbad
117.265,44.9868,3FGL J0749.0+4459,8.46,8.6E-13,117.265,44.9868,0.0,AGN,0.0,AGN,142.94,1.1,0.02,,0.19,,Simbad
117.358,10.9835,3FGL J0749.4+1059,6.04,1.7E-13,117.358,10.9835,0.0,AGN,0.0,AGN,121.35,-0.76,0.01,,0.16,,Simbad
117.398,13.3402,3FGL J0749.5+1320,6.4,1.9E-13,117.398,13.3402,0.07,AGN,0.08,AGN,150.7,1.7,0.01,,0.13,,Simbad
117.674,12.5386,3FGL J0750.6+1232,13.26,1.5E-12,117.674,12.5386,0.0,AGN,0.0,AGN,138.9,0.53,0.05,,0.24,,Simbad
117.805,18.1067,3FGL J0751.2+1806,23.91,1.7E-12,117.805,18.1067,1.0,PSR,0.99,PSR,-0.6,3611.29,0.01,MSP,0.04,MSP,Simbad
117.938,-29.7342,3FGL J0751.7-2944,5.49,9.9E-13,117.938,-29.7342,0.0,AGN,0.05,AGN,199.94,2.13,0.5,,0.59,,Simbad
118.152,-16.4892,3FGL J0752.6-1629,6.48,1.6E-13,118.152,-16.4892,0.02,AGN,0.01,AGN,123.96,-0.54,0.02,,0.2,,Simbad
118.283,53.8887,3FGL J0753.1+5353,16.65,4.1E-13,118.283,53.8887,0.0,AGN,0.0,AGN,126.2,-0.67,0.01,,0.17,,Simbad
118.62,-11.813,3FGL J0754.4-1148,18.36,8.6E-13,118.62,-11.813,0.04,AGN,0.02,AGN,123.38,-0.23,0.16,,0.23,,Simbad
118.709,48.4103,3FGL J0754.8+4824,18.5,7.3E-13,118.709,48.4103,0.0,AGN,0.0,AGN,141.56,-0.7,0.02,,0.19,,Simbad
118.802,-26.5615,3FGL J0755.2-2633,7.35,7.1E-12,118.802,-26.5615,0.08,AGN,0.01,AGN,183.49,1.0,0.22,,0.58,,Simbad
119.077,-64.563,3FGL J0756.3-6433,7.79,2.1E-13,119.077,-64.563,0.0,AGN,0.0,AGN,110.17,-0.72,0.0,,0.12,,Simbad
119.274,9.9475,3FGL J0757.0+0956,24.47,1.8E-12,119.274,9.9475,0.0,AGN,0.0,AGN,134.49,-0.54,0.05,,0.26,,Simbad
119.396,-5.6063,3FGL J0757.5-0536,6.21,4.4E-12,119.396,-5.6063,0.74,PSR,0.27,PSR,124.93,24.94,0.12,MSP,0.26,MSP,Simbad
119.545,11.5036,3FGL J0758.1+1130,4.94,9.8E-14,119.545,11.5036,0.0,AGN,0.01,AGN,98.77,1.55,0.02,,0.08,,Simbad
119.656,-14.8661,3FGL J0758.6-1451,12.06,1.6E-12,119.656,-14.8661,0.95,PSR,0.54,PSR,36.96,102.04,0.01,MSP,0.21,MSP,Simbad
119.679,37.7894,3FGL J0758.7+3747,4.56,1.1E-13,119.679,37.7894,0.0,AGN,0.01,AGN,117.8,-0.44,0.02,,0.16,,Simbad
119.727,27.0901,3FGL J0758.9+2705,8.26,2.2E-13,119.727,27.0901,0.05,AGN,0.01,AGN,84.92,2.02,0.02,,0.12,,Simbad
120.174,-48.1147,3FGL J0800.6-4806,5.57,3.3E-12,120.174,-48.1147,0.03,AGN,0.04,AGN,221.07,5.37,0.09,,0.28,,Simbad
120.244,44.0173,3FGL J0800.9+4401,8.23,8.0E-13,120.244,44.0173,0.0,AGN,0.0,AGN,114.05,2.23,0.02,,0.16,,Simbad
120.508,10.0868,3FGL J0802.0+1005,5.56,8.0E-14,120.508,10.0868,0.0,AGN,0.0,AGN,135.04,0.45,0.04,,0.13,,Simbad
120.583,-56.1688,3FGL J0802.3-5610,12.31,4.5E-12,120.583,-56.1688,0.87,PSR,0.41,PSR,48.87,48.37,0.25,MSP,0.37,MSP,Simbad
120.59,-9.696,3FGL J0802.3-0941,8.71,4.5E-13,120.59,-9.696,0.0,AGN,0.01,AGN,155.15,0.02,0.01,,0.2,,Simbad
120.832,-3.6629,3FGL J0803.3-0339,14.48,2.8E-13,120.832,-3.6629,0.0,AGN,0.0,AGN,122.98,-0.78,0.16,,0.24,,Simbad
121.024,-36.4966,3FGL J0804.0-3629,8.97,3.4E-14,121.024,-36.4966,0.02,AGN,0.02,AGN,138.64,0.13,0.01,,0.32,,Simbad
121.106,4.3004,3FGL J0804.4+0418,4.69,1.2E-12,121.106,4.3004,0.0,AGN,0.0,AGN,153.77,-0.51,0.02,,0.27,,Simbad
121.253,-6.3746,3FGL J0805.0-0622,7.86,2.8E-14,121.253,-6.3746,0.0,AGN,0.0,AGN,139.19,-0.71,0.05,,0.15,,Simbad
121.324,-1.2078,3FGL J0805.2-0112,10.35,1.1E-12,121.324,-1.2078,0.0,AGN,0.01,AGN,150.22,0.31,0.02,,0.2,,Simbad
121.352,75.5815,3FGL J0805.4+7534,26.65,3.4E-13,121.352,75.5815,0.0,AGN,0.0,AGN,125.23,-0.73,0.05,,0.2,,Simbad
121.358,61.7455,3FGL J0805.4+6144,18.27,2.1E-11,121.358,61.7455,0.0,AGN,0.01,AGN,146.98,2.11,0.12,,0.4,,Simbad
121.669,59.5592,3FGL J0806.6+5933,6.61,2.1E-14,121.669,59.5592,0.0,AGN,0.01,AGN,219.02,1.07,0.04,,0.14,,Simbad
121.782,-5.695,3FGL J0807.1-0541,19.42,5.8E-13,121.782,-5.695,0.0,AGN,0.0,AGN,122.84,-0.3,0.16,,0.28,,Simbad
121.786,77.7382,3FGL J0807.1+7744,7.73,6.8E-13,121.786,77.7382,0.0,AGN,0.01,AGN,184.12,0.25,0.01,,0.26,,Simbad
