Source_Name_4FGL,GLON,GLAT,ASSOC_FGL,PSR_TOTAL_4FGL,PSR_TOTAL_3FGL,Flags_4FGL,Category_Prob
4FGL J1539.4-3323,338.75925,17.532059,3FGL J1539.2-3324,7.343192028999999,6.3954615862566255,0,PSR
4FGL J0953.6-1509,251.938,29.602777,3FGL J0953.7-1510,7.2809390590000005,6.836152763164767,0,PSR
4FGL J0933.8-6232,282.23508,-7.9074183,3FGL J0933.9-6232,7.231546579,6.141602847496268,0,PSR
4FGL J1120.0-2204,276.46957,36.05591,3FGL J1119.9-2204,7.155297581999999,6.910727307680276,0,PSR
4FGL J2112.5-3043,14.898448,-42.443546,3FGL J2112.5-3044,7.101466447,6.711927258433632,0,PSR
4FGL J1225.9+2951,185.15211,83.77291,3FGL J1225.9+2953,7.047645858,5.1165863840310735,0,MIXED
