GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS2,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing
84.59542,-71.0751,-21.97127392701843,2.1277146,0.17358784,0.26229075,2.7669737,0.99950075,-0.29548064,0.0033132231,-0.45793995,-0.6076023,-0.6580359,-1.0,1.5524747920231485,7.426558358068478,AGN,bll,4FGL J0003.9-1149,PowerLaw,0.12814528,0.41594663,3FGL J0003.8-1151,PMN J0004-1148,0.9983225,0.97085786,0,4FGL J0003.9-1149,0.9992800313001431,0.0007199686998575792,0.9360458983013891,0.06395410169861124,0.9691838344755083,0.030816165524492,0.9794225373700141,0.02057746262998584,286
103.49598,-52.397846,-22.222525699318215,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.0046211286,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.2013589920112535,7.711431694327143,AGN,bcu,4FGL J0004.0+0840,PowerLaw,0.24869604,0.7982378,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9922678,0.0,0,4FGL J0004.0+0840,0.9986645843878642,0.0013354156121349926,0.9942611110095979,0.005738888990402069,0.9935831115331754,0.006416888466823465,0.9835899753281493,0.01641002467185091,300
323.986,-67.53783,-21.445507270992135,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.815536717983364,6.739808977320824,AGN,fsrq,4FGL J0004.4-4737,PowerLaw,0.05322211,0.1629187,3FGL J0004.7-4740,PKS 0002-478,0.9971799,0.97325,0,4FGL J0004.4-4737,0.999832848869212,0.00016715113078741767,0.9972321908087455,0.0027678091912536605,0.9999689841338271,3.101586617301141e-05,0.9972433913428768,0.002756608657123174,307
113.23228,-23.613338,-21.51279290343917,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.1472511395315137,6.3003217053390745,AGN,fsrq,4FGL J0005.9+3824,PowerLaw,0.06724274,0.22276911,3FGL J0006.4+3825,S4 0003+38,0.9926908,0.9090593,0,4FGL J0005.9+3824,0.9996758896705095,0.00032411032948957604,0.9958370942386179,0.004162905761381268,0.9943091668405631,0.005690833159437033,0.994044768170707,0.005955231829292721,312
93.64702,-66.62518,-22.795607922552346,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.9017499185413453,7.615092995925076,AGN,bll,4FGL J0006.3-0620,PowerLaw,0.25072128,0.7789327,,PKS 0003-066,0.9901411,0.9994688,0,4FGL J0006.3-0620,0.999500231788716,0.000499768211284367,0.9959322514112114,0.00406774858878839,0.9995187931676638,0.00048120683233628467,0.9942154287850749,0.005784571214924383,271
100.47745,-59.29749,-22.455238164858724,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.8819517755489519,7.8077893037477315,AGN,bcu,4FGL J0006.4+0135,PowerLaw,0.1977467,0.64328295,3FGL J0006.2+0135,NVSS J000626+013611,0.99729097,0.8214364,0,4FGL J0006.4+0135,0.9990724430864796,0.0009275569135201419,0.9811285651549008,0.018871434845099008,0.9792804607515982,0.020719539248401916,0.9909323153898476,0.009067684610152822,298
119.66263,10.46168,-16.51948192873269,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.4167521249790607,7.280903372475891,PSR,PSR,4FGL J0007.0+7303,PLSuperExpCutoff,0.005550027,0.05125429,3FGL J0007.0+7302,PSR J0007+7303,1.0,0.0,0,4FGL J0007.0+7303,0.22532065152229658,0.7746793484777037,0.020573850369334398,0.9794261496306658,1.7967047396509057e-14,0.9999999999999837,0.19567681525986372,0.8043231847401363,299
113.93701,-21.972776,-21.73536038592122,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.8828733722903617,7.535923308007861,AGN,bcu,4FGL J0007.7+4008,PowerLaw,0.115732834,0.39049816,3FGL J0007.9+4006,NVSS J000741+400830,0.9971315,0.0,0,4FGL J0007.7+4008,0.9983907317752061,0.0016092682247939064,0.9961354472953726,0.0038645527046279795,0.9950907085099279,0.0049092914900725,0.9904082333379647,0.009591766662035916,340
115.31625,-15.033559,-20.00387653262499,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,3.880337E-4,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.005695249286218,7.247026095921789,AGN,bll,4FGL J0008.0+4711,LogParabola,0.02349014,0.07345087,3FGL J0008.0+4713,MG4 J000800+4712,0.99995524,0.9736737,0,4FGL J0008.0+4711,0.9953781369075803,0.004621863092419716,0.9827256780210288,0.0172743219789712,0.9625743739566731,0.03742562604332761,0.9641839093141159,0.03581609068588401,289
335.9962,-74.58333,-22.55065775087046,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,-0.773522,-0.9073874,-0.995771,-0.9979873,0.9000284818799061,6.721935932046319,AGN,bcu,4FGL J0008.0-3937,LogParabola,0.36578268,1.418392,,PMN J0008-3945,0.9207396,0.8798844,16,4FGL J0008.0-3937,0.9865567200026873,0.013443279997313092,0.9177503744761804,0.08224962552381973,0.8980363064962955,0.1019636935037037,0.9165847925211705,0.08341520747882919,294
