Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags
3FGL J0102.8+4840,124.86739349365234,-14.156179428100586,-24.811761521768567,-27.301909511865013,1.6791620990865186,4.007496857029273,2.201201362997591,-0.601507184,-0.432501275,-0.672749268,-0.818048117,PSR,PSR,0
3FGL J0102.8+5825,124.42593383789062,-4.414191722869873,-23.544495287926665,-26.97735176291428,1.6581495997519833,7.308328313434171,2.086999312391474,-0.465251058,-0.619645374,-0.681723312,-0.690411446,AGN,fsrq,0
3FGL J0103.4+5336,124.73735046386719,-9.214271545410156,-25.602483366125806,-27.584798914902116,-1.3404241333888054,3.835006155239604,2.0390236377716064,-0.503359331,-0.565180329,-0.495478532,-0.316275268,AGN,bll,0
3FGL J0103.7+1323,127.53858184814453,-49.36892318725586,-26.177449988579884,-27.79428188053378,0.8903948791248093,3.9658859629309267,1.983665943145752,-0.752353405,0.022059941,-0.364340872,-0.757740501,AGN,bcu,0
3FGL J0105.1-2415,170.83168029785156,-85.78250122070312,-25.41726503431755,-27.863091548542627,0.8594656109284851,4.515869591840017,2.608351945877075,-0.656591021,-0.76782146,-0.778011408,-0.775210684,AGN,fsrq,0
3FGL J0105.3+3928,125.84970092773438,-23.320531845092773,-25.933162623811604,-27.867388539433794,0.2996118453040701,4.18362195971438,2.3259217739105225,-0.69723057,-0.740746826,-0.417329379,-0.882930374,AGN,bll,0
3FGL J0106.5+4855,125.48129272460938,-13.872992515563965,-24.680630180381822,-27.3276395968418,2.2316457182474565,3.7297890912778375,1.4581542208698686,0.956983523,-0.393098303,-0.532094028,-0.996305661,PSR,PSR,0
3FGL J0107.0-1208,137.44775390625,-74.5716323852539,-26.422547786819678,-27.892266198117195,-0.03631193524799564,3.4869659000003956,2.180213212966919,-0.696733435,-0.501860861,-0.453511907,-0.834142442,AGN,bcu,0
3FGL J0108.5-0035,132.44371032714844,-63.14946746826172,-26.371787117035304,-27.802273787349264,0.7239752489164191,3.767615860855859,2.3936922550201416,-0.506328309,-0.586784013,-0.814668329,-0.999914424,AGN,fsrq,0
3FGL J0108.7+0134,131.86766052246094,-60.992469787597656,-23.475988938495703,-27.100974897628067,1.5268906069823955,6.355362563538821,2.3280741975956305,-0.582043109,-0.709799746,-0.668664742,-0.817793363,AGN,fsrq,0
3FGL J0109.1+1816,128.80955505371094,-44.400306701660156,-25.79849709452011,-27.720238144667498,-0.5703364244088305,3.706963692864375,2.0398385524749756,-0.586817798,-0.370108451,-0.591890487,-0.309869958,AGN,bll,0
