Source_Name,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1,Flags
4FGL J0014.9+3212,114.00973,-30.021877,-25.846541178002305,-28.369032830077558,6.345082607960664,2.5612173,0.08653521,0.14044356,2.2762253,3.839051812245612,0.9569795,-0.5808482,-0.8015831,-0.7657342,-0.9989744,0.9801637,AGN,bcu,,,3C 6,0
4FGL J0015.2+3537,114.71823,-26.677507,-27.47104609399928,-28.801075007420515,8.611071416064245,1.9560485,0.16159168,-0.040807247,0.57051593,2.0008521952692053,-0.04364697,0.045969866,-0.7826726,-0.48458856,-0.30437365,-0.3447078,AGN,bll,,,RX J0015.4+3536,0
4FGL J0015.6+5551,117.8881,-6.6570644,-26.179467076413996,-28.253449092017817,8.647593344048166,1.881463,0.09850756,-0.0041418197,0.08676214,2.33794879770646,0.9997699,-0.41584232,-0.5924068,-0.41114298,-0.43133068,-0.29123342,AGN,bll,3FGL J0015.7+5552,3FHL J0015.7+5551,GB6 J0015+5551,0
4FGL J0015.9+2440,112.76397,-37.48992,-26.56178288010797,-28.494953740037463,7.471825903377933,2.3192885,0.09474082,-0.0690817,1.5943102,2.84119474039504,-0.60892814,-0.7739449,-0.68970186,-0.40922195,-0.7135571,-0.23165438,AGN,bll,,,GB6 J0016+2440,0
4FGL J0016.2-0016,104.012276,-61.85269,-25.437008766298014,-28.149245938482526,5.919811831424426,2.6136599,0.07610237,0.18483016,4.1252146,4.408371599163996,0.10687364,-0.6873954,-0.7782242,-0.9594848,-0.5014087,-0.9917287,AGN,fsrq,3FGL J0016.3-0013,,S3 0013-00,0
4FGL J0016.5+1702,111.096794,-45.029816,-26.700756061528367,-28.41625520842523,6.2978249623462155,2.31253,0.2814636,0.29727963,2.1405456,2.7592837491879774,-0.7067928,-0.64665174,-0.653852,-0.8680669,-0.9998937,0.9989445,AGN,fsrq,3FGL J0016.5+1713,,GB6 J0015+1700,0
4FGL J0017.0-0649,99.46171,-68.12262,-26.083489070832957,-28.37862268698721,7.145044113171589,2.2780128,0.09126713,0.031068914,0.7001219,3.276465990413198,0.99347293,-0.5355643,-0.6886256,-0.5284827,-0.72534674,-0.4279373,AGN,bcu,3FGL J0017.2-0643,,PMN J0017-0650,0
4FGL J0017.5-0514,101.209854,-66.667816,-25.2151833006149,-27.857422728556234,6.722372180095629,2.5941525,0.057559416,0.10512555,3.1402748,5.438757564228846,0.25573534,-0.64186424,-0.7555741,-0.79518634,-0.54521,-0.9999995,AGN,FSRQ,3FGL J0017.6-0512,,PMN J0017-0512,0
4FGL J0017.8+1455,110.96526,-47.16783,-26.640127027249683,-28.535177599793492,7.362787314233391,2.0309079,0.22735922,0.19641905,1.7150996,2.6546560155708003,0.9996944,-0.599508,-0.5049534,-0.53039414,-0.69415236,-0.7519606,AGN,bll,,,GB6 J0017+1450,0
4FGL J0018.4+2946,114.44117,-32.54827,-26.35761955107368,-28.324126451155966,8.64608032002904,1.5638436,0.13411729,0.10504266,1.7806312,1.5626016810658618,0.98348415,-0.7276278,-0.16339688,-0.2550024,-0.5445473,0.06417358,AGN,bll,3FGL J0018.4+2947,3FHL J0018.6+2946,RBS 0042,0
4FGL J0019.2-5640,311.75082,-59.890987,-26.42801895230571,-28.70061318510665,7.279309322303638,2.1717246,0.102056146,0.039407466,0.8072444,4.511045780536531,-0.14147468,-0.30710596,-0.68318146,-0.44240114,-0.7245673,-0.9912672,AGN,bcu,3FGL J0019.1-5645,,PMN J0019-5641,0
4FGL J0019.3-8152,304.31436,-35.16209,-25.708730667431542,-28.28879470922303,7.5763608426313676,2.0754688,0.07578304,0.041055746,1.1407557,2.9673310604393324,-0.58215064,-0.5642268,-0.5465431,-0.5113491,-0.52625775,-0.779203,AGN,bll,3FGL J0018.9-8152,3FHL J0019.1-8151,PMN J0019-8152,0
4FGL J0019.6+7327,120.63282,10.72648,-24.675775101773105,-27.3882998258783,6.897308074219289,2.6070993,0.056082763,0.07415682,2.4712949,5.7649091341867384,0.9928982,-0.5328598,-0.78729296,-0.65499556,-0.98937947,-0.9952977,AGN,fsrq,,,S5 0016+73,512
4FGL J0019.6+2022,112.90082,-41.875835,-26.35425068857029,-28.487794966782364,7.433340388986723,2.113348,0.12325742,0.118588634,1.7909195,2.7709087258295826,0.9996886,-0.04197452,-0.5912464,-0.6203103,-0.7835602,-0.32596222,AGN,bll,3FGL J0019.4+2021,,PKS 0017+200,0
4FGL J0020.3+6919,120.17927,6.6266775,-26.243480811236473,-27.637193628595867,7.182104879667224,2.4742925,0.22421771,0.189935,1.8183477,0.6185496794531967,0.97605556,-0.19366726,-0.61478865,-0.7922897,-0.99999744,0.9414829,AGN,bcu,,,TXS 0016+691,8
4FGL J0021.0+0322,108.237045,-58.623074,-27.057134654749053,-28.59865168522084,8.366903862074615,1.6948766,0.25475124,0.14454672,1.3273243,2.8642047486583913,0.50898767,-0.5643468,-0.6387603,-0.24561094,-0.4121958,-0.6992903,AGN,bcu,3FGL J0020.9+0323,,2MASS J00205023+0323578,0
4FGL J0021.5-2552,41.9261,-83.19968,-25.641713082678994,-28.343437321778644,7.171316336772342,2.0815938,0.063222095,0.045913514,1.4465129,3.392197295492875,-0.47508323,-0.42931396,-0.5357655,-0.51326793,-0.75748974,-0.32448784,AGN,bll,3FGL J0021.6-2553,3FHL J0021.4-2550,CRATES J002132.55-255049.3,0
