GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
145.08734,-2.4598553,-21.257532296269325,2.6413724,0.18953875,0.35021895,3.4375503,0.98996186,-0.043438878,0.0036913261,-0.6693433,-0.705857,-0.9997169,-0.93731385,2.0049531510223235,6.993596588376248,4FGL J0328.6+5330,unk,OTHER,LogParabola,0.14076576,0.33184338,,NVSS J032847+532859,0.0,0.9256498,9
154.47958,-6.2716684,-21.94075953801585,2.3477778,0.10928557,-0.04989707,0.9992463,-0.82502604,0.123326816,8.997897E-4,-0.9003605,-0.36867717,-0.85525453,0.55661815,1.910911789208846,7.5709834669397775,4FGL J0359.7+4445,unk,OTHER,PowerLaw,0.041092955,0.12097612,,1RXS J040006.3+444512,0.0,0.8784544,1
148.71283,1.0319921,-22.338639078650502,1.9806117,0.2098466,0.013368172,0.11767314,0.32358095,0.9397261,3.0735397E-4,0.026675342,-0.70600724,-0.4248284,-0.34130034,2.57609721927456,9.000424325215484,4FGL J0402.5+5402,unk,OTHER,PowerLaw,0.089380234,0.24306129,,TXS 0358+539,0.0,0.86799777,4096
150.24223,4.5783525,-19.69515158767664,1.679643,0.045105934,0.081157,3.9692657,-0.9999937,0.9998475,7.122844E-5,0.31692013,-0.1771834,-0.32620916,-0.33774686,2.164786437110098,9.145346920706922,4FGL J0427.2+5533e,SNR,OTHER,LogParabola,0.020915436,0.05339753,3FGL J0425.8+5600,SNR G150.3+04.5,,,4
279.1443,-38.551704,-21.14334607769735,2.3866549,0.055462845,0.01903793,0.639131,-0.64059556,-0.4688754,6.0787203E-4,-0.71610075,-0.6398397,-0.62112343,-0.8145258,2.4921000484801854,6.9287783377193986,4FGL J0427.8-6704,LMB,OTHER,PowerLaw,0.028382856,0.08509205,3FGL J0427.9-6704,1SXPS J042749.2-670434,1.0,0.0,0
155.99199,4.6304154,-21.431833504420233,2.6590981,0.18243778,0.3448271,3.1138587,0.23668213,-0.31774235,0.015171907,-0.7242995,-0.87309086,-0.9039322,-0.99609035,2.8582077762307727,6.6930895640419354,4FGL J0452.9+5117,spp,OTHER,LogParabola,0.161586,1.0157055,,SNR G156.2+05.7,0.8,0.0,0
160.36945,2.6909337,-19.599173863396782,2.378838,0.06906386,0.16561621,5.1052694,-0.03727412,-0.32645833,0.0014100668,-0.71376896,-0.6425872,-0.84830004,-0.81155616,2.3525548468881703,6.733471937003187,4FGL J0500.3+4639e,SNR,OTHER,LogParabola,0.04395271,0.116817094,2FGL J0503.2+4643,HB 9,,,0
158.98521,7.3269634,-22.57101842746687,2.1176195,0.7015196,0.7394069,2.4041038,-0.9995442,0.9998024,0.012732412,-0.61142325,-0.27327302,-0.8990316,-0.10302374,1.8925413187739026,7.9607410987153155,4FGL J0517.9+5030,spp,OTHER,PowerLaw,0.9365509,2.0850055,,SNR G159.6+07.3,0.8,0.0,0
279.35507,-33.386795,-18.129472308932037,2.186611,0.024244213,0.16982087,14.141007,-0.13044882,-0.29326144,6.716066E-4,-0.59227926,-0.6458716,-0.82320917,-0.23658988,2.253520786250972,7.066045464933867,4FGL J0519.9-6845e,GAL,OTHER,LogParabola,0.016041523,0.054799587,3FGL J0526.6-6825e,LMC,,,516
187.42412,-11.330111,-22.13192671411809,2.23058,0.3753365,0.9783059,1.9986765,0.82504565,-0.7793085,0.0010154479,-0.33206767,-0.5279931,-0.7864454,-0.56954885,4.022998209183056,7.73026038033591,4FGL J0521.2+1637,css,OTHER,PowerLaw,0.21498287,0.20545678,,3C 138,0.99609286,0.99724627,0
240.6185,-32.721592,-19.295520559119293,2.4568033,0.020236928,0.07603031,4.9887667,-0.27981958,-0.57773316,4.322597E-4,-0.7402816,-0.7212267,-0.74661607,-0.54547846,6.516926682627485,5.984424146547936,4FGL J0522.9-3628,AGN,OTHER,LogParabola,0.010739572,0.031040194,3FGL J0522.9-3628,PKS 0521-36,1.0,0.9998326,0
228.18494,-29.828896,-19.9292276692066,2.0703573,0.06657035,0.42608765,12.526176,-0.23410994,0.0376316,0.001379479,-0.31656882,-0.5760773,-0.9347003,-0.9999939,1.4769846355767198,7.060908890473354,4FGL J0523.3-2527,bin,OTHER,LogParabola,0.049382307,0.15023309,3FGL J0523.3-2528,CRTS J052316.9-252737,,0.0,0
226.91878,-29.202547,-22.73279243637723,2.7103372,0.12596004,-0.081738904,0.9143782,-0.33572048,-0.77571964,7.232767E-4,-0.65511024,-0.84006464,-0.44498488,-0.99998605,2.5856640498461774,6.580444388780387,4FGL J0524.4-2413,glc,OTHER,PowerLaw,0.07547678,0.13147476,,NGC 1904,0.9633442,0.8323558,1
161.3627,7.0529943,-22.627857532337707,2.02089,0.42602834,0.9890646,3.5562277,-0.8054716,-0.9999857,0.0013047012,0.9997895,-0.00713369,-0.8825434,-0.99999756,2.8279832201832784,8.490058554510167,4FGL J0524.7+4824,spp,OTHER,LogParabola,,0.16841847,,SNR G159.6+07.3,0.8,0.0,2048
280.30667,-32.79878,-22.19510732395863,2.1399925,0.17613736,-0.0076763476,0.10631593,0.9403411,-0.7282086,4.88446E-4,-0.87414426,-0.37183014,-0.23978744,-0.6233243,2.1815469903505984,8.156544275987926,4FGL J0524.8-6938,snr,OTHER,PowerLaw,0.05785136,0.23343587,3FGL J0524.5-6937,LMC SNR N 132D,0.8,0.0,0
