GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,CLASS2,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
119.208755,9.829275,-22.115863139937183,2.4353676,0.25371093,0.07171249,0.72741395,0.9559326,-0.34862667,0.0031954239,-0.6574484,-0.64294577,-0.9865447,0.59027827,2.7852902156673114,7.848670016215193,spp,,4FGL J0002.7+7220,PowerLaw,0.12577988,0.6068855,,SNR G119.5+10.2,0.8,0.0,0
117.32041,-0.051036116,-19.788983489216815,2.4565814,0.059589725,0.44354206,10.631234,0.13850111,-0.17568366,0.0017345655,-0.5468337,-0.7269191,-0.97733164,-0.99997544,1.7934320030965092,7.21648435123621,PSR,,4FGL J0002.8+6217,PLSuperExpCutoff,0.03249271,0.17848769,3FGL J0002.6+6218,PSR J0002+6216,1.0,0.0,0
318.9899,-62.788944,-21.87750305114304,1.8750632,0.11355117,0.05651087,1.1941826,-0.8084972,-0.032542385,5.2519917E-4,-0.5601663,-0.4222626,-0.26994476,-0.6357848,1.6269080175927941,8.235464508984832,bcu,,4FGL J0003.1-5248,PowerLaw,0.052148808,0.18479311,3FGL J0003.2-5246,RBS 0006,0.9830022,0.85980093,0
108.438545,-39.380795,-22.724674763682316,2.210459,0.54521567,0.99968916,2.524255,-0.63229907,-0.91275555,0.0026882524,-0.76434726,0.25363842,-0.9812373,-0.99977446,1.6438653677981918,7.85279337717662,bll,,4FGL J0003.2+2207,PowerLaw,0.021697927,0.011519297,,2MASX J00032450+2204559,,0.0,0
109.38164,-36.411484,-22.327734317486186,2.322378,0.25379533,0.3215461,2.257501,0.9930084,-0.51994723,0.006072323,-0.52332675,-0.7363795,-0.9987986,-0.9933853,0.9946115148089241,7.151102788813083,,,4FGL J0003.3+2511,PowerLaw,0.20529069,0.63528544,,,0.0,0.0,0
65.197784,-76.580986,-21.635448568221115,2.2775729,0.13078499,0.24640359,3.2834492,0.989867,-0.23987928,0.006033979,-0.5789871,-0.6367852,-0.8652741,-0.9999968,3.8261831601090432,6.860452852581848,bcu,,4FGL J0003.3-1928,LogParabola,0.1037209,0.5402587,,PKS 0000-197,0.9972004,0.91010976,0
314.23904,-56.965885,-22.7611352783057,2.4606173,0.13562056,-0.045128092,0.68722254,0.9977469,-0.7594614,9.4946264E-4,-0.6808105,-0.5068701,-0.8270633,-0.99723655,1.5028373838334625,6.947616748345767,bcu,,4FGL J0003.3-5905,PowerLaw,0.05502868,0.20476533,,PMN J0003-5905,0.97976094,0.9494421,4
111.004486,-30.771994,-21.540533970395806,2.198683,0.22232746,0.76952976,4.9781256,-0.81660074,-0.4883601,0.010437739,-0.047854107,-0.7507247,-0.8001265,-1.0,1.8189670142839716,7.349621230710069,,,4FGL J0003.6+3059,LogParabola,0.2417567,0.5353294,3FGL J0003.4+3100,,0.0,0.0,0
84.59542,-71.0751,-21.771609911442216,2.0871086,0.1586458,0.27118722,3.3432026,0.833287,0.99420655,0.002860975,-0.3809477,-0.603182,-0.6146128,-0.9999936,1.4721449396435924,7.425022550712862,bll,,4FGL J0003.9-1149,LogParabola,0.11264896,0.3703427,3FGL J0003.8-1151,PMN J0004-1148,0.9983225,0.97085786,0
116.52632,-5.0228662,-21.75143606470999,2.4234326,0.19627067,0.21672615,2.326301,-0.107881784,0.97506714,0.002997306,-0.7008091,-0.5856442,-0.83654135,-0.999656,2.3457603803473592,7.174689087163998,,,4FGL J0004.0+5715,PowerLaw,0.12877293,0.3648133,3FGL J0003.5+5721,,0.0,0.0,0
