Source_Name,GLON,GLAT,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Variability_Index,ASSOC_FGL,ASSOC_FHL,ASSOC1,HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,Flags
4FGL J0003.3-5905,314.23904,-56.965885,6.8768315,1040.6666,1.3030604E-10,2.5059215E-11,1.8340858E-12,3.310798E-13,1.7268618E-13,2.8564174E-14,2.4606173,0.15367769,1.6223572E-13,3.0617087E-14,2.5030756,0.13562056,-0.045128092,0.05502868,0.68722254,1.7308938E-13,2.9472318E-14,2.4647636,0.20476533,-2.728296E-5,9.4946264E-4,0.6666667,0.01883461,4.4944234,,,PMN J0003-5905,0.9977469,-0.7594614,-0.6808105,-0.5068701,-0.8270633,-0.99723655,AGN,bcu,4
4FGL J0003.9-1149,84.59542,-71.0751,12.366488,1677.4374,3.505177E-10,4.4482935E-11,2.2186916E-12,3.6102217E-13,1.08234236E-13,1.3287634E-14,2.0871086,0.086440966,1.464613E-13,2.1149306E-14,1.9320688,0.1586458,0.27118722,0.11264896,3.3432026,1.4036194E-13,2.0378432E-14,1.2639301,0.3703427,0.0060309917,0.002860975,0.6666667,3.2589183,4.358574,3FGL J0003.8-1151,,PMN J0004-1148,0.833287,0.99420655,-0.3809477,-0.603182,-0.6146128,-0.9999936,AGN,bll,0
4FGL J0004.0+0840,103.49598,-52.397846,6.8997116,2554.3271,1.9185711E-10,3.5494694E-11,2.133496E-12,3.9527997E-13,2.969869E-14,5.4953134E-15,2.035315,0.1281966,4.5140107E-14,9.874137E-15,1.6673219,0.2954434,0.46910653,0.24483436,2.8967838,4.2795398E-14,9.479799E-15,0.56690615,0.82216865,0.008089959,0.0049865237,0.6666667,2.8517587,11.35256,3FGL J0004.2+0843,,SDSS J000359.23+084138.1,-0.6549203,-0.87394583,0.053723566,-0.40610647,-0.9265024,-0.6266245,AGN,bll,0
4FGL J0004.3+4614,114.48897,-15.854909,7.115046,917.12274,2.4093677E-10,3.923831E-11,3.952536E-12,6.2702117E-13,4.776886E-13,6.814182E-14,2.584969,0.110209025,5.144357E-13,8.199068E-14,2.526971,0.15878025,0.06729238,0.081770286,0.8891839,5.1965897E-13,8.268471E-14,2.2354462,0.32934788,0.0032765616,0.0028312765,0.6666667,1.54145,44.86029,,,MG4 J000421+4615,0.78436494,0.28394482,-0.71331286,-0.69412714,-0.99994564,-0.8453689,AGN,fsrq,0
4FGL J0004.4-4737,323.986,-67.53783,19.55275,915.58276,4.359618E-10,3.7467446E-11,5.577965E-12,3.9857866E-13,7.345598E-13,5.2376574E-14,2.36556,0.059154794,8.1582365E-13,6.830967E-14,2.3042858,0.07818232,0.09203692,0.047545202,2.147012,7.9781255E-13,6.3923354E-14,2.0942936,0.14479707,0.0026950687,0.0014095416,0.6666667,2.3795571,139.12305,3FGL J0004.7-4740,,PKS 0002-478,-0.35318813,-0.6425631,-0.68792325,-0.5983481,-0.79795176,-0.9999849,AGN,fsrq,0
4FGL J0005.9+3824,113.23228,-23.613338,16.455746,450.0627,4.251474E-10,4.8877246E-11,7.541098E-12,6.5062127E-13,6.2748686E-12,4.4338657E-13,2.6721156,0.056613576,7.464893E-12,6.1742815E-13,2.5520496,0.08891583,0.18990411,0.06959758,3.11948,7.286112E-12,6.0493196E-13,2.0834904,0.21417004,0.01054902,0.0039724554,0.6666667,3.0628285,26.769516,3FGL J0006.4+3825,,S4 0003+38,-0.21210183,-0.5759856,-0.8141681,-0.85213053,-0.8250857,-0.99999815,AGN,fsrq,0
4FGL J0006.3-0620,93.64702,-66.62518,5.2548656,2162.2083,1.3976847E-10,3.1349683E-11,1.563429E-12,3.512784E-13,3.07161E-14,6.8786762E-15,2.127844,0.14994109,3.924753E-14,1.0678162E-14,2.1056306,0.22726855,0.16953455,0.17283614,1.3159934,3.443991E-14,9.164041E-15,1.8878593,0.3847199,0.001470712,0.0025130922,0.6666667,0.86788064,20.412579,,,PKS 0003-066,-0.7247152,-0.09081931,-0.6298404,-0.46428668,-0.7571772,-0.19542092,AGN,bll,0
4FGL J0006.4+0135,100.47745,-59.29749,6.011418,2602.1719,1.5191187E-10,3.2195253E-11,1.6876348E-12,3.5757725E-13,2.2629468E-14,4.794524E-15,2.0524669,0.15627095,3.0523144E-14,7.874932E-15,1.7409216,0.33404583,0.32114387,0.24654034,1.7532287,2.8987595E-14,7.280543E-15,1.106408,0.7428972,0.0047711013,0.003991583,0.6666667,1.7913101,6.2646704,3FGL J0006.2+0135,,NVSS J000626+013611,0.7859185,0.014901766,-0.33946154,-0.45800528,-0.67855245,-0.9975516,AGN,bll,0
4FGL J0007.7+4008,113.93701,-21.972776,13.7334585,1869.5715,4.032977E-10,4.161232E-11,4.5477914E-12,4.6402763E-13,1.2161746E-13,1.2375379E-14,2.1588902,0.080165885,1.4444758E-13,1.7377443E-14,1.9425657,0.1552492,0.17945859,0.09027822,2.3599446,1.4027877E-13,1.624655E-14,1.5829113,0.2628168,0.003196005,0.0014919636,0.6666667,2.717217,25.763365,3FGL J0007.9+4006,,NVSS J000741+400830,0.9754525,-0.45553756,-0.6128516,-0.38939533,-0.82312024,-0.71462035,AGN,bcu,0
4FGL J0008.0+4711,115.31625,-15.033559,47.191513,1362.5607,2.0532935E-9,8.062639E-11,1.8281543E-11,9.779792E-13,1.0761381E-12,3.939589E-14,2.0470488,0.027792612,1.1630224E-12,4.8029946E-14,1.9286299,0.04325207,0.07913111,0.020301295,3.960164,1.1301732E-12,4.493235E-14,1.8035358,0.064725034,0.0013370034,3.4965607E-4,0.6666667,4.5445995,6.4340043,3FGL J0008.0+4713,3FHL J0007.9+4711,MG4 J000800+4712,-0.49768177,-0.36878565,-0.5170913,-0.42894265,-0.6222457,-0.6937647,AGN,bll,0
