Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing,Times in Testing_O,Flags
4FGL J1611.9-5125c,331.52353,-0.03662832,-19.310575802073306,2.5651765,0.14808275,0.361192,5.8937697,-0.24371362,0.055932105,0.003296573,-0.6044801,-0.799146,-0.96819454,-0.9999256,2.2953173467910863,7.617489874558794,UNASS,None,LogParabola,,,0.2534590197448662,0.7465409802551515,0.2373463115680122,0.7626536884319879,0.09115268460336325,0.9088473153966362,0.2857824062676383,0.7142175937323618,0.019689347234321707,0.9803106527656783,0.013517810350701442,0.9864821896492993,0.0018670423973046928,0.9981329576026944,0.026141278249444757,0.9738587217505557,0,0,52
4FGL J1612.1+1407,27.855194,41.60764,-21.131327824027874,2.1538239,0.18686251,0.71761686,6.8877034,-0.99999905,0.9999293,0.002966924,0.10749736,-0.5920953,-0.90041625,-0.99909794,1.4932935933479847,7.388247893485656,UNASS,None,LogParabola,3FGL J1611.9+1404,,0.008121227963058227,0.9918787720369258,0.17343945259171406,0.8265605474082848,0.06224942380076981,0.9377505761992302,0.16654642268398268,0.8334535773160183,0.005298538589584769,0.9947014614104159,0.0447977499341859,0.9552022500658125,0.0038832766697237246,0.9961167233302757,0.03631763728087936,0.96368236271912,0,0,0
4FGL J1612.1-4526,335.64978,4.302614,-21.36215819278208,2.5400329,0.40102303,0.5713707,3.048864,0.93946207,-0.63271475,0.0014818396,-0.54718405,-0.8039287,-0.99972165,-0.6467594,2.578225530089004,6.850974111622845,UNASS,None,LogParabola,,,0.8591496862171397,0.14085031378286397,0.8302301815500976,0.16976981844990124,0.9202234391626014,0.07977656083739885,0.8408530371187263,0.15914696288127328,0.24765030579813152,0.7523496942018684,0.21140232136999945,0.788597678630001,0.40617233814945347,0.5938276618505468,0.5586230340967013,0.441376965903299,0,0,9
4FGL J1612.4+0409,16.489317,36.91513,-21.871722260015495,2.105999,0.24776587,0.38815302,3.1466308,0.99683166,-0.5931906,0.0034685591,-0.43985224,-0.27196863,-0.90637726,-0.9999523,3.0210407452446977,7.736967882547933,UNASS,None,LogParabola,,,0.9977831662546573,0.0022168337453312256,0.968240911889968,0.03175908811003241,0.9599450419480207,0.04005495805197863,0.9630404243271466,0.0369595756728524,0.993781796421206,0.006218203578793259,0.976273070030733,0.02372692996926597,0.8615136725202222,0.1384863274797788,0.945970894249404,0.05402910575059684,0,0,0
4FGL J1612.4-4419,336.46,5.0755925,-21.715824868957156,2.5154989,0.34085554,0.9677158,2.384204,-0.99913394,0.99799526,0.0010551503,-0.84474933,-0.71811974,-0.45249024,-0.87475926,1.7557639163164678,7.46071933598258,UNASS,None,PowerLaw,,,0.791904370467932,0.20809562953206917,0.7752287425596748,0.2247712574403244,0.7749645371591577,0.22503546284084266,0.8887545769897014,0.11124542301029916,0.049911530489724715,0.9500884695102751,0.17026446946137358,0.8297355305386276,0.09153490482285867,0.9084650951771411,0.5801250689292323,0.4198749310707667,0,0,4120
4FGL J1613.0-5102,331.91165,0.11350931,-19.03258624358686,2.5634136,0.12030994,0.33411586,6.921549,-0.28684026,-0.57124656,0.00273131,-0.51844734,-0.7689615,-0.8849571,-0.99983376,2.828181588332449,7.6665449179915734,UNASS,None,LogParabola,,,0.21355063595414095,0.7864493640458639,0.2535759159041002,0.7464240840959008,0.15467141503409199,0.8453285849659077,0.2291781840897065,0.7708218159102942,0.03871322722276496,0.9612867727772356,0.028207334558023885,0.9717926654419753,0.0037014526733443734,0.9962985473266551,0.07822733195410467,0.9217726680458955,0,0,0
4FGL J1613.1-3840,340.47964,9.071593,-22.19390361722263,2.0196593,0.54860586,0.5266399,1.8752909,0.7297577,0.98344666,0.0011796254,-0.8578517,0.070421755,-0.4768995,-0.6812144,2.444646563340053,8.484696528284411,UNASS,None,PowerLaw,,,0.9942442794709042,0.005755720529079692,0.9526222832479814,0.047377716752018566,0.9809599522159487,0.019040047784052647,0.9805962822804392,0.019403717719561613,0.7947694781549663,0.20523052184503343,0.8847346045147799,0.11526539548521982,0.8525466562646954,0.1474533437353049,0.9409396269780044,0.0590603730219951,0,0,4
4FGL J1615.3-1512,358.67465,24.906782,-22.061702544740466,2.175359,0.28751045,0.3586109,2.5498703,0.7053333,-0.70949674,0.003732469,0.7471007,-0.66287047,-0.5924379,-0.99976003,1.992503139300222,7.669401222310758,UNASS,None,PowerLaw,,,0.9996796577152276,3.203422847619099E-4,0.9689253227273444,0.03107467727265715,0.9782119418421594,0.021788058157840764,0.9793360868725338,0.02066391312746546,0.9969702377565551,0.0030297622434445875,0.9853238809875915,0.014676119012407863,0.905066236550028,0.09493376344997115,0.8974114852704262,0.10258851472957246,0,0,16
4FGL J1615.5-5434,329.747,-2.7063904,-21.584338157791983,2.428048,0.18698083,0.101995744,1.0294747,0.9869038,-0.78994054,0.0022223694,-0.59498096,-0.7605498,-0.5548298,-0.7240415,1.336246527665889,7.764444190799762,UNASS,None,PowerLaw,,,0.9939467796767754,0.006053220323229232,0.9229715514233808,0.0770284485766198,0.9397101889592971,0.060289811040702475,0.9766139301001997,0.023386069899799973,0.9892080356940596,0.010791964305939922,0.5550080501782971,0.4449919498217027,0.5102665830424783,0.48973341695752165,0.9105950787101305,0.08940492128986846,0,0,268
4FGL J1615.9-4322,337.57724,5.326226,-21.937580467416463,2.518052,1.7444589,0.235068,1.6548507,0.9807417,-0.48493946,0.00671104,-0.85973436,-0.68816304,-0.38577425,-0.8285882,2.607550297949476,7.1883245150829005,UNASS,None,PowerLaw,,,0.9423554015616068,0.05764459843837441,0.9564164058187079,0.043583594181292,0.9917866476734783,0.00821335232652193,0.8303013029169557,0.16969869708304297,0.7972808080504264,0.20271919194957488,0.7724161993863122,0.227583800613688,0.7685480128342022,0.23145198716579665,0.8198746484100354,0.1801253515899655,0,0,4376
