GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
309.86963,-57.381134,-22.172636109339347,2.4455292,0.12934808,0.03234201,0.5456326,0.9996536,-0.79322946,0.0016615334,-0.66681516,-0.6648398,-0.66460323,-0.99973434,2.7926833412159664,7.2035737361008225,,4FGL J0022.0-5921,PowerLaw,0.06274625,0.22251946,,,0.0,0.0,0
321.8499,-73.93347,-22.921912715273315,2.051701,0.16861032,-0.029386755,0.40885162,0.87558043,-0.8147525,3.6401808E-4,-0.22646931,-0.61539286,-0.99989355,0.99966276,2.998082210288587,7.97078712466631,,4FGL J0023.6-4209,PowerLaw,0.06329365,0.21587077,,,0.72,0.0,256
114.974655,-38.41322,-22.28246168734412,2.1399548,0.1335543,-0.004189503,0.06582008,-0.859533,0.7441788,9.865402E-4,-0.813438,-0.1373151,-0.48889515,-1.0,2.9173543210729225,7.717272408372501,,4FGL J0024.1+2402,PowerLaw,0.05752357,0.24457437,,,0.0,0.0,0
314.39056,-67.90782,-22.424380811955082,2.1414979,0.24364264,0.26861224,1.8691654,-0.5982862,-0.7469175,0.002527476,-0.27468997,-0.71317464,-0.5359963,-0.9999599,2.674779002436457,7.677457075506096,,4FGL J0025.4-4838,PowerLaw,0.17258146,0.46031895,,,0.0,0.0,16
308.98776,-57.21784,-22.719519615674116,2.4660225,0.20892468,0.06215189,0.6173967,-0.7727394,-0.5502337,0.003504895,-0.6826474,-0.7710536,-0.59871155,-0.7340516,2.7849114224416933,7.2744975766295665,,4FGL J0025.5-5936,PowerLaw,0.110613845,0.43063986,,,0.12,0.0,272
104.761604,-69.51759,-22.6200299518282,1.9447428,0.23691197,0.08838483,0.88176763,0.91592973,0.96089983,0.0010935222,-0.73101103,-0.08805808,-0.9048024,0.5627683,2.1810984700170537,8.200801308227613,,4FGL J0026.1-0732,PowerLaw,0.117149465,0.34477246,,,0.0,0.0,0
113.453476,-56.826523,-22.692305328885155,2.9577625,0.13020572,-0.04769005,0.58481854,0.23386604,-0.768104,0.0016254631,-0.903205,-0.8081589,-0.13240527,-0.9990145,2.3881681170397884,5.769678105753334,,4FGL J0030.6+0539,PowerLaw,0.067918345,0.13201617,,,0.19,0.0,16
327.03723,-79.83805,-23.272454016896994,1.8849779,0.26759788,0.02518245,0.23115736,0.96905583,0.7161944,0.001047607,0.50160897,-0.564899,-0.45460153,-0.20070124,2.01064777983353,8.483395220582771,,4FGL J0030.9-3618,PowerLaw,0.12065578,0.46033093,,,0.0,0.0,4
70.318275,-84.105675,-22.200116089431617,2.1493816,0.40240973,0.7693234,3.3719153,-0.9999863,0.99981797,0.0024795088,0.009363027,-0.57584566,-0.9109904,-0.8334808,1.8921057345181638,7.341178426593897,,4FGL J0031.0-2327,LogParabola,0.39643177,0.05713981,3FGL J0031.2-2320,,0.45,0.0,0
308.3834,-60.11082,-22.697660248068402,1.9893942,0.22147551,0.11078512,1.1407472,-0.9171682,-0.396703,0.0020813087,-0.43077707,-0.51527065,-0.31386158,-0.99944484,2.6775325039345046,8.000497438773538,,4FGL J0031.5-5648,PowerLaw,0.11616374,0.4740005,,,0.0,0.0,0
