Source_Name_3FGL,Flux_Density_3FGL,Unc_Energy_Flux100_3FGL,PowerLaw_Index,Signif_Curve_3FGL,var_3FGL,hr12_3FGL,hr23_3FGL,hr34_3FGL,hr45_3FGL,GLAT_3FGL,Category_4FGL
3FGL J0000.2-3738,-31.572484157651193,-28.030843002008744,1.8667319,0.40310004688774054,3.803219190636362,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,-74.946754,AGN
3FGL J0002.0-6722,-30.66141013659135,-27.904511120552147,1.9460614,0.3138621879170869,3.8313551023606913,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,-49.061836,AGN
3FGL J0004.2+0843,-30.972925255785086,-27.86031076587199,2.0504425,-0.23529942296034895,3.8140060375761227,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,-52.363342,AGN
3FGL J0006.2+0135,-29.957469208986623,-27.897549448104716,2.1869004,-1.7786281042231946,3.8191673986930605,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,-59.296867,AGN
3FGL J0007.9+4006,-29.518621952015796,-27.811253296988966,2.2756045,-0.020848936486780684,3.793004914905388,-0.23640781773404712,-0.7857580082559009,-0.4598722314558544,-0.5895593077013017,-22.007206,AGN
3FGL J0008.3+1456,-28.591714124098004,-27.8123655982153,2.2695491,0.4497952458916993,3.5392097654663734,-0.49492585804791145,-0.5450800398095748,-0.6665679906146269,-0.6761528719520202,-46.658096,AGN
3FGL J0014.3-0455,-27.95216759423886,-27.448810731980732,2.504053,0.061235917290220446,3.9960422270490206,-0.5965988060456026,-0.8271707467049291,-0.512704790395914,-0.7306166513081951,-66.09583,AGN
3FGL J0016.5+1713,-28.404942308166298,-27.871782758376515,2.438119,0.813639431864053,3.9680954842985345,-0.5651304706865975,-0.6487431672129087,-0.9146185519314425,-0.33892222501269914,-44.850296,AGN
3FGL J0020.9+0323,-32.66525154880992,-27.728900904351107,1.6399021,0.43271269786526106,3.9966331434162568,-0.9988298584244456,0.9996047432273832,-0.20042441311169254,-0.47608342748093824,-58.60079,AGN
3FGL J0032.3-5522,-27.234578925520772,-27.77464221026076,2.2745852,0.31779642423059534,6.235901809578529,-0.3680129111065578,-0.6797331303190822,-0.6563712039536023,-0.6243560767805013,-61.548527,AGN
3FGL J0049.0+4224,-32.39110487267119,-27.821278760326315,1.7653672,-0.4755638587112215,3.572518094896527,0.6103714599423058,-0.7441126672416805,-0.21849052193571153,-0.2857654268078691,-20.456451,AGN
3FGL J0102.1+0943,-29.767135871529796,-27.712073591579546,2.0650234,-0.7310816812392441,3.7314903755498383,-0.3020753274453917,-0.6902051409815396,-0.5073783832090867,-0.29987821906091255,-53.052097,AGN
3FGL J0112.9-7506,-29.775162983835692,-27.97391939540793,2.1721509,-3.0862578836884484,3.678476783470549,-0.7343473323047949,-0.698580464613628,-0.5521213409043308,-0.4059362319461393,-41.94519,AGN
3FGL J0127.6+4851,-28.49366824256082,-27.673130814183498,2.4481723,-1.7834167863843668,4.20456455148913,-0.5518522621228569,-0.7083981567765543,-0.6338109881565702,-0.7665191891288293,-13.57893,AGN
3FGL J0138.5-4612,-30.121151272505205,-27.957480469197595,2.0609827,-0.5641880749265552,3.693389020716649,-0.29989520611084197,-0.5478038886600485,-0.5488685059004542,-0.5851529309987537,-68.76349,AGN
3FGL J0158.6+0102,-28.026174671303313,-27.770433573880503,2.5585058,0.34558154913681804,3.789087732261582,-0.7249082688828892,-0.9349736098443433,-0.028509537719664458,-0.2902053765254937,-57.513157,AGN
3FGL J0200.3-4108,-31.35840067889342,-27.92016794060629,1.8781707,-0.6872598648626577,3.846288548110567,-0.9888026564481267,0.8269761349571996,-0.47471885160480776,-0.6231220575817921,-70.08185,AGN
