Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_4FGL,Category_3FGL,CLASS_3FGL,Flags,ASSOC_FGL
3FGL J0228.5+8213,126.32635,19.998413,-26.087056145965363,-27.83606487347969,0.10939129914257455,3.7231011316221223,2.7715609073638916,-0.7704688523534737,-0.6280482147359217,-0.8412599188095348,-0.6271608779045807,AGN,UNAS,None,8,3FGL J0228.5+8213
3FGL J0232.6+0646,162.46416,-48.17772,-25.962092712182343,-27.70930224148723,0.848959108740999,4.006103958807338,2.6659579277038574,-0.7215114827482543,-0.6999667847241238,-0.9194171280701683,-0.8134135739200044,AGN,UNAS,None,1,3FGL J0232.6+0646
3FGL J0234.2-0629,177.42293,-58.034374,-26.554371621238754,-27.852930540364575,-0.19301100082713618,3.562483276912179,1.813387393951416,-0.10529706249234715,-0.7013063211036313,0.031216300762567747,-0.23066909142580183,AGN,UNAS,None,0,3FGL J0234.2-0629
3FGL J0239.0+2555,151.271,-30.96236,-26.57732011856571,-27.79080963933716,-0.4332450856700798,3.2945188676311643,2.0618743896484375,-0.7862897976199766,-0.7684469703283906,-0.3583952575150139,-0.34499400881332465,AGN,UNAS,None,0,3FGL J0239.0+2555
3FGL J0239.4+1326,159.19914,-41.696938,-26.019740721376056,-27.630909128110805,-0.9615283842657463,3.932947645997825,1.9952142238616943,-0.9781881122632585,0.5561850385029156,-0.5433693973325063,-0.5966145737305769,AGN,UNAS,None,0,3FGL J0239.4+1326
3FGL J0248.4+5130,140.78333,-7.2564096,-25.203410395777272,-27.31143442847727,-0.2641414949766511,3.4976884952668383,2.0670924186706543,0.17876947537240653,-0.8210260073284452,-0.11092553010067185,-0.5336930001024264,AGN,UNAS,None,0,3FGL J0248.4+5130
3FGL J0307.3+4916,144.53299,-7.8150034,-24.963182127889795,-27.296183476170206,0.4017659656475082,3.9792314896186314,2.0957446098327637,-0.6200764329704547,-0.4083816186435157,-0.6809797809219945,-0.3874332086890424,AGN,UNAS,None,0,3FGL J0307.3+4916
3FGL J0308.4-2852,224.3672,-59.818363,-26.539910521148823,-27.959915777732782,0.26585207089058926,3.262073437754139,2.5369458198547363,-0.7269831554272049,-0.6922396871474557,-0.41801620224804803,-0.9999154605817256,AGN,UNAS,None,0,3FGL J0308.4-2852
3FGL J0312.7-2222,212.36014,-57.68242,-26.40884133737332,-27.707425682189186,0.8343165431633764,3.5784603806549597,1.6247706413269043,0.9475798104087889,-0.4326039419144951,0.35753905062389507,-0.35570969583009127,AGN,UNAS,None,0,3FGL J0312.7-2222
3FGL J0322.5-3721,240.43991,-56.697277,-25.958207952678876,-27.86828529001321,0.6638696881676223,3.897573253072612,2.1997873783111572,0.38147992872823716,-0.5883437536857863,-0.6834970782602984,-0.799123868971469,AGN,UNAS,None,0,3FGL J0322.5-3721
3FGL J0324.5-1315,199.47653,-51.675007,-26.32172694040515,-27.824799179349604,-3.1811350363292,3.6905785065800667,2.646927833557129,-0.5860673289982686,-0.9408874043037326,0.0034095691978203897,-0.9999531391918498,AGN,UNAS,None,0,3FGL J0324.5-1315
3FGL J0330.6+0437,179.52138,-40.14347,-25.72849612367577,-27.57362213249148,0.8758897952483499,4.121634801316707,2.23633074760437,-0.24783930165526435,-0.6512177070449989,-0.4274547845989954,-0.9999925061218958,AGN,UNAS,None,0,3FGL J0330.6+0437
3FGL J0333.6+0233,182.2145,-40.93062,-26.23388989213325,-27.731117834367385,-1.0506444275785543,3.6462669632759774,2.0710270404815674,-0.45014949261596104,-0.7029995788863624,-0.18033181034032378,-0.7781829409411907,AGN,UNAS,None,0,3FGL J0333.6+0233
3FGL J0340.4-2423,218.53232,-52.02948,-26.610042598874717,-27.93939780886812,0.12538578709521825,3.366244525775056,2.088470220565796,-0.6702143769305563,-0.40921582903462106,-0.6484648103267072,-0.5606198978321724,AGN,UNAS,None,0,3FGL J0340.4-2423
3FGL J0348.4+6039,142.99782,4.8845844,-26.19741163934957,-27.506609030682075,-0.29696686240196796,3.6711786832179376,1.8813974857330322,0.9997723984524943,-0.8709640900213205,-0.3630680049829421,-0.010361715318134509,AGN,UNAS,None,0,3FGL J0348.4+6039
3FGL J0351.0-2816,225.37735,-50.453266,-26.739087676271904,-28.026852080118783,-0.6883369907511578,3.6490844565230387,2.042626142501831,0.8518923914665584,-0.45012160167998844,-0.7242736955972671,-0.22998269799277604,AGN,UNAS,None,16,3FGL J0351.0-2816
3FGL J0359.7+7649,133.0238,17.812963,-26.645649228817852,-27.99369337133034,-0.4524117796455535,3.9927033740856297,2.1660029888153076,-0.9116381172904889,0.04689159854660702,-0.6257591788406216,-0.76681166829007,AGN,UNAS,None,0,3FGL J0359.7+7649
3FGL J0401.0-5359,264.13782,-46.30611,-26.854412670759125,-28.012608294102108,0.5888070127894023,3.377864375241566,2.223421096801758,-0.6006905708828294,-0.770119093641734,-0.7046313106922676,0.2861506282750405,AGN,UNAS,None,0,3FGL J0401.0-5359
3FGL J0414.9-0840,201.84969,-38.605083,-26.20686784219763,-27.809151683973823,-0.7026084974035363,3.9815698921215,2.40366268157959,-0.6771169478495545,-0.6792278126771268,-0.5619579084149878,-0.9999683912855907,AGN,UNAS,None,0,3FGL J0414.9-0840
3FGL J0415.7-4351,249.10869,-45.978413,-25.99471908137927,-27.97163608629137,0.4292881189625412,3.666303780382667,2.483173370361328,-0.5123437508784879,-0.7360290314980212,-0.9118738359285551,-0.07509973173809711,AGN,UNAS,None,0,3FGL J0415.7-4351
3FGL J0418.2+3412,164.4212,-11.517148,-25.996974404595687,-27.52133788992922,0.17916612053290942,3.7409552991700497,2.372267723083496,-0.5696394079899483,-0.8708726530619345,-0.04619388559223384,-0.9999970147593309,AGN,UNAS,None,0,3FGL J0418.2+3412
3FGL J0420.4-6013,271.15588,-41.781445,-26.498410021737644,-27.898181222585595,-2.805610432027831,3.7002675150000464,1.845286250114441,-0.8832749040379735,-0.16006380523503705,-0.47349210490536947,-0.31903834158775124,AGN,UNAS,None,0,3FGL J0420.4-6013
3FGL J0420.6-3742,240.28976,-45.18857,-25.55998954596948,-27.637093160360354,0.2986103758978138,3.9870750181808488,2.3351693153381348,-0.6564024803757665,-0.6014162465192239,-0.7352053784906335,-0.5661491520362788,AGN,UNAS,None,0,3FGL J0420.6-3742
3FGL J0425.8+5600,149.768,4.7503834,-25.512223128021382,-27.041567114097564,-2.2495054011081206,3.9449423472935643,2.347608804702759,-0.7495310472336546,-0.8091762838560029,-0.6681181598558436,-0.17983981685861108,OTHER,UNAS,None,4,3FGL J0425.8+5600
3FGL J0427.9-6704,279.135,-38.544476,-25.38780661230584,-27.827803058931107,-0.4527286444615949,3.634054246101704,2.457216262817383,-0.6237681931075112,-0.7329397834724929,-0.6670393881481046,-0.6570265203735045,OTHER,UNAS,None,0,3FGL J0427.9-6704
3FGL J0430.1-3103,231.40211,-42.53188,-26.688161413164135,-28.042083035632363,0.7459867465617149,3.7871227317702627,1.9710824489593506,0.9996557008218733,-0.6423234760233476,-0.21271544962462904,-0.9218972291928482,AGN,UNAS,None,0,3FGL J0430.1-3103
3FGL J0447.1-2540,225.60225,-37.6949,-25.98140273556491,-27.82530137229123,-0.5871266897671656,3.65572487653851,2.5013539791107178,-0.6636749520269694,-0.6978750949264131,-0.7259891484128789,-0.7512389777437518,AGN,UNAS,None,0,3FGL J0447.1-2540
3FGL J0451.6+7231,138.7758,17.546276,-26.275737814248053,-27.834311695179693,0.6875164811363225,3.7312047431693625,2.6509671211242676,-0.8193352929315064,-0.6620560022774307,-0.4717129512863802,-0.8303447294875226,AGN,UNAS,None,0,3FGL J0451.6+7231
3FGL J0451.7+5722,151.11449,8.319546,-25.721691317971032,-27.430582618528746,0.442525458872679,3.3436605231310885,2.4866271018981934,-0.9908980178012876,0.2516081022955624,-0.34145360716382994,-0.5026742847368146,AGN,UNAS,None,520,3FGL J0451.7+5722
3FGL J0506.3-0357,204.0365,-25.115173,-26.076807821536978,-27.4625568574961,1.1215789834720113,3.30657984446339,2.1675987243652344,0.9991386629241098,-0.568905918909092,-0.598216141556187,-0.946843995712991,AGN,UNAS,None,16,3FGL J0506.3-0357
3FGL J0506.9+0321,197.19197,-21.37455,-26.55074578544013,-27.731114838510358,-1.5887274756374337,3.500133496383958,1.8043303489685059,0.2559679575585446,0.0944038601613371,-0.4883493998595838,-0.4554918847971878,AGN,UNAS,None,0,3FGL J0506.9+0321
3FGL J0523.3-2528,228.20206,-29.826363,-24.639590920502165,-27.41323832962211,1.0581930808124507,3.9150831986280323,2.1538543701171875,-0.5790563554292496,-0.5138090062555711,-0.5417423485428504,-0.9592447668827419,OTHER,UNAS,None,512,3FGL J0523.3-2528
3FGL J0524.4+2839,177.7351,-4.045806,-25.325489088360865,-27.210377599360804,-1.1001336916822937,3.974836965451645,2.124197244644165,-0.6446466149842373,-0.5049931276917261,-0.4572184106509819,-0.5303566716462821,AGN,UNAS,None,4,3FGL J0524.4+2839
3FGL J0524.5-6937,280.29965,-32.831596,-26.33980752064143,-27.602636699012663,0.3574575565476332,3.5951323735511727,1.6333856582641602,0.9977180422165867,-0.46273612471072856,-0.5049631084081726,0.22072467717817493,OTHER,UNAS,None,1,3FGL J0524.5-6937
3FGL J0526.4+2247,182.87454,-6.931372,-25.44372214237266,-26.77797800405255,0.45906830937626214,4.038154545121915,2.4045255184173584,-0.8514337358129586,-0.6236008322646718,-0.8097351553568837,-0.1917968550819415,AGN,UNAS,None,0,3FGL J0526.4+2247
3FGL J0533.8-3754,242.7934,-30.88655,-25.943035687684933,-27.77835455136051,-1.5418523725650506,4.050848548665865,2.343245506286621,-0.4330463656779254,-0.7856600214518255,-0.7225287363855886,-0.15184503624003623,AGN,UNAS,None,256,3FGL J0533.8-3754
3FGL J0538.9+1646,189.59848,-7.659905,-26.01947955414925,-27.453642748203638,0.7709893595853136,3.8141281436047634,1.8907150030136108,0.023153052338115508,0.4399203676813526,-0.38119115780525126,-0.5864841278580718,AGN,UNAS,None,0,3FGL J0538.9+1646
3FGL J0540.0+1208,193.73526,-9.836587,-26.042719888727735,-27.414047022723985,-1.4980204989474402,3.879204399028477,2.1070892810821533,-0.08358974759494817,-0.8753028113179652,-0.3324291019313376,-0.2988629311006355,AGN,UNAS,None,0,3FGL J0540.0+1208
3FGL J0557.7-0720,213.4565,-15.24574,-26.176730650072756,-27.43493896958729,-1.0557090454640925,3.498306017995427,2.1480634212493896,-0.8089276008352212,-0.2988866367713004,-0.7461798823513022,-0.172757044340822,AGN,UNAS,None,0,3FGL J0557.7-0720
3FGL J0559.8+3042,180.03539,3.5618856,-26.08659646742579,-27.441078851289074,0.7005455302186319,3.663447296486757,1.7110546827316284,-0.9999953066817263,0.999801934432957,0.0023288091614438395,-0.4839796808641839,AGN,UNAS,None,0,3FGL J0559.8+3042
3FGL J0601.5+2309,186.79189,0.1465086,-25.30700971629902,-26.92899923443541,0.43426675203882037,3.8241905350415313,2.4846689701080322,-0.6780363081264914,-0.665413597280059,-0.7934080864669532,-0.7343855511864937,AGN,UNAS,None,256,3FGL J0601.5+2309
3FGL J0605.0-0000,207.59874,-10.302232,-25.578214719614692,-27.34574931234206,0.22786252864764903,3.9488381551314955,2.0085489749908447,-0.28309637566458956,-0.5725710755266692,-0.47627232740447517,-0.38921242324820665,AGN,UNAS,None,0,3FGL J0605.0-0000
3FGL J0623.1-4143,249.54938,-22.665697,-26.5213369681366,-27.8856537962801,-0.6139750061447152,3.4577963620437173,2.2900795936584473,-0.9178029938819195,0.24280270313850863,-0.6370885777240841,-0.7686549406792701,AGN,UNAS,None,0,3FGL J0623.1-4143
3FGL J0638.4+5704,158.42148,20.810717,-26.057636109921923,-27.929492914909336,0.35770408443043905,4.1225699737441515,2.9271509647369385,-0.8845666490745744,-0.8077782072109592,-0.21123896242128368,-0.8525412852487604,AGN,UNAS,None,1,3FGL J0638.4+5704
3FGL J0644.6+6035,155.04752,22.594389,-25.674838468258635,-27.873067132951245,0.05741648189487748,4.099094514131664,2.276465654373169,-0.8162257518858936,-0.5032566306097491,-0.5160005793528826,-0.4628879915814917,AGN,UNAS,None,0,3FGL J0644.6+6035
3FGL J0647.6+0032,212.02522,-0.59796613,-24.605772524703966,-26.94188136336237,0.8962084138263177,3.8976970924079515,2.457404375076294,-0.4111868807979477,-0.8356414861643424,-0.7212980203119403,-0.5730556333847211,OTHER,UNAS,None,0,3FGL J0647.6+0032
3FGL J0647.8+1751,196.55954,7.268618,-25.556300151635135,-27.202762569421278,1.2423765635500077,3.7167934550537356,2.702812433242798,-0.6101823817556127,-0.8949053358124048,-0.45679447794949535,-0.6524532042513629,AGN,UNAS,None,1,3FGL J0647.8+1751
3FGL J0650.9+6524,150.12836,24.45203,-26.16955311154203,-28.045740898698845,-2.6072739731973242,3.8531116882448604,2.5400683879852295,-0.8324936377297658,-0.6059805749532393,-0.6098149205370507,-0.8838774144739625,AGN,UNAS,None,1,3FGL J0650.9+6524
3FGL J0716.0-4525,256.6907,-14.9429865,-26.497180542473387,-27.756129389297765,-2.7436327729211616,3.6441377758782623,2.258249521255493,-0.8822537063956676,-0.5687212348633901,-0.6657158670291284,-0.4621490012325013,AGN,UNAS,None,0,3FGL J0716.0-4525
3FGL J0721.5-0221,218.4831,5.5968394,-26.31401955784299,-27.614640154941835,-2.0920608136134473,3.70108870508562,2.002668619155884,0.8035768872804164,-0.44035589225446997,-0.5581615111712227,-0.39029433826530663,AGN,UNAS,None,256,3FGL J0721.5-0221
3FGL J0725.8-3532,248.37883,-9.017494,-26.029217825325464,-27.444007176015592,0.25735453832008665,3.572375169179414,2.35854434967041,-0.8115409727663679,-0.69082224917392,-0.6237116009592443,-0.11480575887986005,AGN,UNAS,None,0,3FGL J0725.8-3532
3FGL J0731.8-3010,244.19069,-5.3990955,-26.48490131919466,-27.56194145820552,-0.3528872009494566,3.4720674066161235,1.6692367792129517,-0.9998970361061206,0.9998946320336461,-0.4191134886896623,0.18706682342479275,AGN,UNAS,None,0,3FGL J0731.8-3010
3FGL J0733.3+5904,157.97292,28.310799,-25.983994264864176,-27.975093418844637,0.09890083348544246,4.3099087013189825,2.7803707122802734,-0.814185857740426,-0.8602108173974847,-0.3084678594485318,-0.7515844524722357,AGN,UNAS,None,0,3FGL J0733.3+5904
3FGL J0737.8-8245,295.07507,-25.45458,-26.052413889154828,-27.654834820064032,-1.763022158412651,3.7326305347968303,1.9193196296691895,-0.2203475232968781,-0.7137584951258283,-0.29592031860129986,-0.1673561579639341,AGN,UNAS,None,0,3FGL J0737.8-8245
3FGL J0746.4-0225,221.48625,11.082273,-25.651186289814405,-27.568618330224357,-0.1809777316616963,4.091157331513528,2.0025746822357178,-0.6140233439024987,-0.48423486152282796,-0.5129408432068301,-0.32624270438842307,AGN,UNAS,None,0,3FGL J0746.4-0225
3FGL J0747.5-4927,262.8065,-11.9038315,-25.856746180057595,-27.418586426900646,-0.25375098379946504,3.6801520775779237,2.273484230041504,-0.7231593391506516,-0.7635385323643958,-0.29845383832734385,-0.4633834789453144,AGN,UNAS,None,0,3FGL J0747.5-4927
3FGL J0749.0+4459,174.22607,28.617638,-25.881847305162065,-27.886472316541987,-0.687881764627693,4.323988445247852,2.3717525005340576,-0.716658109037959,-0.5740780173802255,-0.5671577945085893,-0.8519277459530681,AGN,UNAS,None,0,3FGL J0749.0+4459
3FGL J0749.5+1320,207.2346,18.820091,-25.94401304634427,-27.623951044447676,0.8047628990341139,3.841011512681735,2.2493107318878174,-0.9097590800580474,0.03524679460657557,-0.7152654296318703,-0.7625267821196859,AGN,UNAS,None,0,3FGL J0749.5+1320
3FGL J0752.6-1629,234.62473,5.4891796,-25.80204011281273,-27.492756005994227,0.4536061392459225,3.739561098888916,2.1992740631103516,-0.689069843690954,-0.41606474097934315,-0.5758825942476845,-0.7317179594463101,AGN,UNAS,None,1,3FGL J0752.6-1629
3FGL J0802.3-0941,229.91704,10.974437,-25.62491264615767,-27.557115038850284,-1.0448547018545984,3.5802761739974915,2.282055616378784,-0.6490850104227932,-0.5928482262152073,-0.5254673190097823,-0.49755286248127495,AGN,UNAS,None,0,3FGL J0802.3-0941
3FGL J0813.5-0356,226.22044,16.261818,-26.504003157719392,-27.70961417117002,0.68813560199492,3.469690233276106,1.667009711265564,-0.9994345155630443,0.9899114037983795,0.021278003067697556,-0.34821232385333634,AGN,UNAS,None,0,3FGL J0813.5-0356
3FGL J0823.6-4838,265.20532,-6.4258246,-24.961495575932805,-26.952036949403336,1.3285160421805875,4.498429578223003,2.612471342086792,-0.5209255402626027,-0.8708479959930315,-0.7569134786945546,-0.9086073680690313,AGN,UNAS,None,0,3FGL J0823.6-4838
3FGL J0826.3-6400,278.43707,-14.649408,-25.959218433138886,-27.677385063928533,-1.447216420816403,3.565351656399849,2.342020034790039,-0.7688789569982749,-0.5765684247961099,-0.816796467298679,-0.28814059135789155,AGN,UNAS,None,0,3FGL J0826.3-6400
3FGL J0830.8+2629,197.41391,32.552692,-26.179143829193322,-27.789558149219694,-0.2899325722372776,4.028596135181331,2.556795120239258,-0.7006350034277311,-0.7864284986527581,-0.44446285787754547,-0.9999852619696054,AGN,UNAS,None,0,3FGL J0830.8+2629
3FGL J0838.8-2829,250.60503,7.8007984,-25.086252813884812,-27.4460114126322,1.143984614174512,3.759709410218777,2.225034475326538,-0.5157506253581491,-0.5022601927110577,-0.6259216295794384,-0.9462110759133158,OTHER,UNAS,None,0,3FGL J0838.8-2829
3FGL J0843.4+6713,147.7995,35.605545,-25.65020054224971,-27.80692857289761,0.7436713687504989,4.024863699154188,1.9921931028366089,-0.6885765582433113,-0.4480457654268242,-0.290800574178774,-0.8977323249371465,PSR,UNAS,None,0,3FGL J0843.4+6713
3FGL J0848.5+7018,144.01395,35.168575,-26.501958345131875,-28.009420053794504,-2.3840516300984076,3.9989924452998205,2.0133776664733887,0.24455699697691782,-0.667437805437625,-0.34672057595854444,-0.6070125313030804,AGN,UNAS,None,0,3FGL J0848.5+7018
3FGL J0855.4+7142,142.1557,35.225597,-25.695754429470107,-27.745079939272554,0.20443468027803158,4.34361952478186,2.5718791484832764,-0.5890010317331776,-0.7123852720147898,-0.6902800166444242,-0.9999896920244272,AGN,UNAS,None,0,3FGL J0855.4+7142
3FGL J0900.0+6754,146.39307,36.91735,-26.562404827329072,-28.061354076600114,0.2601993378123141,3.832597280894139,2.2386300563812256,-0.42950195498341703,-0.6318236864444325,-0.44979452680579185,-0.9999509340319873,AGN,UNAS,None,256,3FGL J0900.0+6754
3FGL J0919.5-2200,251.39648,19.026884,-26.444341252429147,-27.743496641956988,-0.3160320382427069,3.6249467268225164,2.1976702213287354,-0.9994266485832994,0.9782416229950722,-0.05576232177442163,-0.9999819073752112,AGN,UNAS,None,0,3FGL J0919.5-2200
3FGL J0930.7+5133,165.73724,45.36049,-26.790061694579038,-28.13137232806425,-0.7366424346125606,3.4916155770241297,2.0683469772338867,-0.7665093382060433,-0.31541363463275274,-0.4576568984659924,-0.6505255192199211,AGN,UNAS,None,0,3FGL J0930.7+5133
3FGL J0931.8+6739,145.16565,39.773136,-26.353400815629758,-28.063394958094136,0.07907822469456231,3.784354085866046,2.1661109924316406,0.09924715701423087,-0.688625734664367,-0.47883913007950885,-0.538020331778664,AGN,UNAS,None,0,3FGL J0931.8+6739
3FGL J0935.1-1736,250.49886,24.695732,-26.140003056861616,-27.551961015218893,0.3866197546797399,3.5099536145983894,1.7486419677734375,0.9986122168956176,-0.6666877778435081,-0.23843937131195794,-0.453939302351075,AGN,UNAS,None,0,3FGL J0935.1-1736
3FGL J0935.2+0903,224.67506,40.36692,-25.876860083361848,-27.784481329114556,1.332622763571416,4.210503422631812,2.4023611545562744,-0.1264086145353022,-0.677531900693354,-0.8624397692207081,-0.9999727744409561,OTHER,UNAS,None,0,3FGL J0935.2+0903
3FGL J0936.3-2114,253.62492,22.432587,-26.37721835375154,-27.72641981249052,-1.012956293191614,3.8475298120392987,1.8428966999053955,0.15237336474744456,-0.5016740004470066,-0.37105409870947276,-0.43797270566742486,AGN,UNAS,None,0,3FGL J0936.3-2114
3FGL J0937.8-6407,283.65424,-8.7593565,-25.82467757767749,-27.52115816506904,0.19190948318710394,3.8035821719812755,2.545048713684082,-0.5658351259186597,-0.8527316300072291,-0.6051441364236813,-0.4120250524414972,AGN,UNAS,None,1,3FGL J0937.8-6407
3FGL J0937.9-1435,248.50693,27.203981,-26.296499088544262,-27.725169958978924,0.6019431925976884,3.926855692520354,1.8897830247879028,0.9996615104779492,-0.3996023431786813,-0.418055719748217,-0.7715195934629063,AGN,UNAS,None,0,3FGL J0937.9-1435
3FGL J0946.2+5209,163.97554,47.513985,-26.18747693885198,-28.062517078041967,0.646773004017464,3.976885389597991,2.7351112365722656,-0.7245862837322423,-0.7258989230645956,-0.9981149336858353,-0.9985059059315889,AGN,UNAS,None,0,3FGL J0946.2+5209
3FGL J0952.8+0711,229.72258,43.266056,-26.449292219090513,-27.707330308352635,0.3224774134596689,3.676919427141742,1.6993800401687622,0.9991931653704899,-0.03194543798328459,-0.3606983226225816,-0.42956698665530235,AGN,UNAS,None,0,3FGL J0952.8+0711
