Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags
-27.538046592740017,-27.809125448390397,2.2100296,0.2668593040932182,3.683796539192846,-0.49798882,-0.4738833,-0.7442837,-0.43384165,40.543133,OTHER,sbg,3FGL J0955.4+6940,PowerLaw,1015.19855,M 82,0
-24.55956811433947,-25.51031576053523,2.546475,3.0531638830624455,3.744561226862562,-0.40063214,-0.6777257,-0.7409849,-0.9165123,-1.6901059,OTHER,HMB,3FGL J1018.9-5856,LogParabola,1350.214,1FGL J1018.6-5856,0
-27.19566826551455,-25.679038891120985,2.3901007,2.1848892193714615,4.051743151116316,-0.28713804,-0.6492822,-0.64168155,-0.7244292,-0.6330746,OTHER,BIN,3FGL J1045.1-5941,LogParabola,3281.8196,Eta Carinae,0
-26.773122772740987,-25.820890851874466,2.7986279,1.8480577051822762,3.1491851380740763,0.58748084,-0.5106462,-0.76632786,-0.91673636,-0.8029164,OTHER,spp,3FGL J1101.9-6053,LogParabola,1629.2163,,20
-27.39133159496771,-26.030475353309033,2.3874407,2.042186639879946,3.8434693543555967,-0.52505696,-0.5194687,-0.6016011,-0.7671582,-0.087617256,OTHER,spp,3FGL J1111.9-6038,LogParabola,2979.1165,,0
-28.594215391011183,-27.54979799604484,2.3527286,-1.3925764139626353,3.694121010811121,-0.78464276,-0.7355109,-0.45662904,-0.6552898,9.930705,OTHER,spp,3FGL J1209.1-5224,PowerLaw,1178.4216,,0
-27.1455521026532,-25.767150209912998,2.4878008,0.13262291822459926,3.9834520143802186,-0.5104581,-0.72731334,-0.78809196,-0.61285406,-0.31910145,OTHER,spp,3FGL J1212.2-6251,PowerLaw,1541.7622,,16
-27.446042139807012,-25.8353981604236,2.423083,1.4566545657116177,4.0607695084802335,-0.10347571,-0.6206147,-0.6607779,-0.7962457,-0.05242593,OTHER,spp,3FGL J1214.0-6236,LogParabola,2189.5098,,0
-32.268293506118816,-26.305989969493346,1.6418201,-0.3999867689696722,3.8468623832737743,0.9992894,-0.6587412,-0.5684889,0.13383783,-0.3575578,OTHER,PWN,3FGL J1303.0-6312e,PowerLaw,17494.146,HESS J1303-631,5
-26.529066911335487,-27.415730013225502,2.4269416,-0.5729568977242034,4.040933878500059,-0.67354715,-0.72050136,-0.58678263,-0.62376755,13.373529,OTHER,sbg,3FGL J1305.4-4926,PowerLaw,740.5398,NGC 4945,0
-29.484473100075544,-26.270941431691753,2.1008358,0.6156693957892504,4.111929477671694,0.9996153,-0.5922082,-0.49671358,-0.68759304,0.14045842,OTHER,snr,3FGL J1305.7-6241,PowerLaw,4143.1157,Kes 17,0
-27.573217639212558,-27.35339825739599,2.0932982,1.8178488357924405,4.195556201505315,0.9998341,-0.2653788,-0.67746735,-0.96123135,14.98316,OTHER,glc,3FGL J1326.7-4727,LogParabola,1607.4164,Omega Cen,0
-27.453870767736937,-27.867411405030744,2.599977,-0.4394696660256435,3.664113353448932,-0.80197453,-0.6563586,-0.56761855,-0.9999898,80.834595,OTHER,css,3FGL J1330.5+3023,PowerLaw,652.1419,3C 286,0
-24.866323264104427,-26.194463536883514,2.4732194,1.2050863141638264,4.065545872429757,-0.39606974,-0.7278452,-0.75483584,-0.9648328,-0.18717425,OTHER,spp,3FGL J1345.1-6224,PowerLaw,626.965,,532
-29.05956762528811,-26.210588720003198,2.1836739,1.0675991871438735,3.9403645861231498,-0.5512364,-0.49017867,-0.56195146,-0.7245458,0.04781959,OTHER,spp,3FGL J1441.5-5955c,PowerLaw,2982.2705,,36
-24.034243457443264,-25.990547314384084,2.5589745,1.1371085827956864,3.944372712237439,-0.6499847,-0.75838387,-0.7167439,-0.99793726,0.43215373,OTHER,spp,3FGL J1549.1-5347c,PowerLaw,509.99487,,609
-32.17080887971587,-26.580573725553844,1.7892175,0.9286777415911397,3.5994265016576206,0.9833738,-0.0014771638,0.012313326,-0.34393668,-1.6047833,OTHER,spp,3FGL J1551.1-5610,PowerLaw,11464.523,,16
-27.765331458874993,-26.30012027227931,2.0767007,0.3465798951731024,3.436434166784649,-0.46042842,-0.5939704,-0.5761289,-0.51685613,-1.7586524,OTHER,spp,3FGL J1552.9-5610,PowerLaw,2455.051,,64
-28.878259537449775,-25.732765103005107,1.8643473,0.9731629176887983,4.248720937664962,0.9997405,0.019213004,-0.51783043,-0.476601,-0.65924525,OTHER,spp,3FGL J1615.3-5146e,PowerLaw,6018.2393,,516
-27.008888435073516,-25.49953339919858,2.1447906,0.09333392739859636,4.959303129195855,-0.54881907,-0.6893966,-0.6063951,-0.46509698,-0.13110612,OTHER,PWN,3FGL J1616.2-5054e,PowerLaw,2725.7573,HESS J1616-508,0
-30.13093350715908,-27.21563413398176,2.140068,0.884611237156634,3.7785544770385635,0.9856203,-0.73566633,-0.16574556,-0.99998766,19.467222,OTHER,glc,3FGL J1616.8-2300,PowerLaw,2685.8433,M80,0
-27.17071478720707,-25.940419502868686,2.4569876,1.5115473207337806,3.8583560014370946,0.99921685,-0.5658203,-0.7210109,-0.94552445,-0.14605142,OTHER,spp,3FGL J1628.9-4852,LogParabola,1911.8887,,8
-26.688481575495082,-25.37939186042022,2.1106853,0.7198614915602998,4.480594715169618,0.121134266,-0.6064094,-0.60820985,-0.61012983,0.12089922,OTHER,PWN,3FGL J1633.0-4746e,PowerLaw,2956.6348,HESS J1632-478,512
-28.41001540982677,-25.530942297872837,2.2146459,1.258512662792642,4.050807908155478,-0.71959764,-0.6720781,-0.7385524,-0.76067984,0.13210484,OTHER,spp,3FGL J1636.2-4709c,PowerLaw,3479.6523,,884
-26.316953475967875,-25.56691023633835,2.4718857,2.280157286401496,4.000603661319551,0.057235602,-0.5694228,-0.624856,-0.90504843,-0.15647167,OTHER,snr,3FGL J1636.2-4734,LogParabola,2186.559,SNR G337.0-00.1,64
