Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,Missing_Values_Flag
4FGL J0003.3-5905,0.9968196904842144,-56.965885,-27.0244749,-28.7364169,6.94761677,2.5030756,0.13562056,-0.045128092,0.68722254,1.50283738,0.9977469,-0.7594614,-0.6808105,-0.5068701,-0.8270633,-0.99723655,AGN,bcu,,PMN J0003-5905,4,0.9987005152561698,0.0011510570461857864,0.001299484743830138,0.0011510570461857872,0.9769447140161646,0.04465543692324689,0.023055285983835445,0.04465543692324689,0.9868790725756981,0.010193404122323876,0.013120927424301803,0.010193404122323871,0.9676044063536394,0.014786887036305553,0.0323955936463606,0.014786887036305551,0
4FGL J0003.9-1149,-0.9742148774039106,-71.0751,-26.8341035,-28.649837,7.42502254,1.9320688,0.1586458,0.27118722,3.3432026,1.47214492,0.833287,0.99420655,-0.3809477,-0.603182,-0.6146128,-0.9999936,AGN,bll,3FGL J0003.8-1151,PMN J0004-1148,0,0.9385697408123972,0.05754172048928248,0.0614302591876029,0.05754172048928248,0.7041561460906685,0.32008297604156627,0.2958438539093316,0.32008297604156627,0.7639900073516451,0.08677740367328311,0.23600999264835487,0.08677740367328311,0.5221268427551822,0.11024726281842631,0.4778731572448178,0.11024726281842631,0
4FGL J0004.0+0840,-0.9844506461566398,-52.397846,-26.8732591,-28.5591821,7.84554412,1.6673219,0.2954434,0.46910653,2.8967838,2.42944327,-0.6549203,-0.87394583,0.053723566,-0.40610647,-0.9265024,-0.6266245,AGN,bll,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0,0.992465605771196,0.007346189538395119,0.00753439422880413,0.007346189538395117,0.996311196598683,0.022576900113104273,0.0036888034013169437,0.022576900113104266,0.8840868438421858,0.0517478268749166,0.11591315615781417,0.051747826874916594,0.9702035873623697,0.01715145600933098,0.029796412637630467,0.017151456009330976,0
4FGL J0004.3+4614,0.17820490797851615,-15.854909,-26.2566637,-28.0977961,6.82124131,2.526971,0.15878025,0.06729238,0.8891839,3.80355301,0.78436494,0.28394482,-0.71331286,-0.69412714,-0.99994564,-0.8453689,AGN,fsrq,,MG4 J000421+4615,0,0.9991870216992212,8.973705243607671E-4,8.129783007787835E-4,8.973705243607677E-4,0.9997529746913842,7.832349069549683E-4,2.470253086157587E-4,7.8323490695497E-4,0.9739991569796077,0.017000946408432572,0.026000843020392343,0.017000946408432596,0.998273352727193,8.681717179859437E-4,0.0017266472728069018,8.68171717985945E-4,0
4FGL J0004.4-4737,-0.9202972641238163,-67.53783,-25.9121971,-28.5508715,6.81956076,2.3042858,0.07818232,0.09203692,2.147012,4.93535877,-0.35318813,-0.6425631,-0.68792325,-0.5983481,-0.79795176,-0.9999849,AGN,fsrq,3FGL J0004.7-4740,PKS 0002-478,0,0.9998160008886938,1.341808683004405E-4,1.8399911130627402E-4,1.3418086830044085E-4,0.9998239569321294,5.132703972821258E-4,1.760430678707128E-4,5.132703972821256E-4,0.9950365000808009,0.0045819876503942585,0.004963499919198984,0.004581987650394249,0.9999315074117693,4.603171142934396E-5,6.849258823072487E-5,4.6031711429342534E-5,0
4FGL J0005.9+3824,0.9909088033735035,-23.613338,-25.6106533,-28.0608487,6.10938694,2.5520496,0.08891583,0.18990411,3.11948,3.28726378,-0.21210183,-0.5759856,-0.8141681,-0.85213053,-0.8250857,-0.99999815,AGN,fsrq,3FGL J0006.4+3825,S4 0003+38,0,0.9984935841533362,0.0018756289171457314,0.0015064158466638995,0.0018756289171457281,0.9914790290908184,0.020815264539934247,0.008520970909181549,0.020815264539934247,0.9497686261347023,0.024970359356518604,0.05023137386529782,0.0249703593565186,0.9742450377228777,0.010096264655396084,0.025754962277122248,0.010096264655396085,0
4FGL J0006.3-0620,0.8249064700729867,-66.62518,-27.1841397,-28.6771974,7.67888532,2.1056306,0.22726855,0.16953455,1.3159934,3.01615131,-0.7247152,-0.09081931,-0.6298404,-0.46428668,-0.7571772,-0.19542092,AGN,bll,,PKS 0003-066,0,0.9993025025588731,7.030318384062407E-4,6.974974411269504E-4,7.030318384062378E-4,0.9997519981805248,8.854096151442638E-4,2.480018194751662E-4,8.85409615144265E-4,0.9914751323751352,0.008903700137906279,0.008524867624864865,0.008903700137906275,0.9992057312770314,4.4918682337578494E-4,7.942687229686847E-4,4.4918682337578657E-4,0
4FGL J0006.4+0135,0.9985684186443669,-59.29749,-27.1076931,-28.659425,7.86410171,1.7409216,0.33404583,0.32114387,1.7532287,1.83492597,0.7859185,0.014901766,-0.33946154,-0.45800528,-0.67855245,-0.9975516,AGN,bll,3FGL J0006.2+0135,NVSS J000626+013611,0,0.9977295482302609,0.0025296626880231656,0.002270451769739287,0.0025296626880231647,0.9905421430110677,0.02585896213041255,0.009457856988932416,0.025858962130412548,0.9770139254380436,0.01556601925265434,0.022986074561956556,0.015566019252654328,0.9567474769351402,0.01786358280136304,0.04325252306485984,0.017863582801363045,0
4FGL J0007.7+4008,0.6677051935751214,-21.972776,-26.1163794,-28.3988323,7.53346456,1.9425657,0.1552492,0.17945859,2.3599446,3.24895351,0.9754525,-0.45553756,-0.6128516,-0.38939533,-0.82312024,-0.71462035,AGN,bcu,3FGL J0007.9+4006,NVSS J000741+400830,0,0.995778946052224,0.00407693803354476,0.004221053947776085,0.004076938033544759,0.9992970414252778,0.002595245113511707,7.029585747223038E-4,0.002595245113511705,0.9579203306527919,0.028007158613302833,0.04207966934720818,0.02800715861330284,0.9914207520847328,0.003267482088345372,0.008579247915267155,0.0032674820883453696,0
4FGL J0008.0+4711,-0.6036872199277739,-15.033559,-24.7251291,-27.653288,7.21712105,1.9286299,0.04325207,0.07913111,3.960164,1.8615971,-0.49768177,-0.36878565,-0.5170913,-0.42894265,-0.6222457,-0.6937647,AGN,bll,3FGL J0008.0+4713,MG4 J000800+4712,0,0.9753077001474906,0.0207729164180576,0.024692299852509498,0.0207729164180576,0.391722109552023,0.32480266177875755,0.608277890447977,0.32480266177875755,0.8747192375342806,0.0477269651894381,0.12528076246571943,0.04772696518943811,0.5381181678099467,0.07611057400916928,0.46188183219005324,0.07611057400916928,0
4FGL J0008.0-3937,-0.9881325784462734,-74.58333,-26.7384609,-28.4699167,6.70423393,2.5210016,0.2322572,0.4068936,2.4667616,2.52690715,0.96521664,-0.5599435,-0.81050414,-0.84634143,-0.949194,-0.9996388,AGN,bcu,,PMN J0008-3945,16,0.9813666421360883,0.02105750301031542,0.018633357863911612,0.02105750301031542,0.9510702083184542,0.08640111781778922,0.04892979168154577,0.08640111781778922,0.875362529689914,0.04914844925997683,0.12463747031008574,0.04914844925997683,0.8767794969021476,0.04852896816094319,0.12322050309785229,0.04852896816094319,0
4FGL J0008.4-2339,0.9999999413614526,-79.690834,-26.7828062,-28.4833499,8.78905406,1.3491105,0.26736003,0.27816898,2.683634,2.62716846,-0.997901,0.99924535,-0.17414077,-0.18504943,-0.035520542,-0.78427786,AGN,bll,3FGL J0008.6-2340,RBS 0016,0,0.9997349838992409,3.4125244650351526E-4,2.6501610075907987E-4,3.412524465035136E-4,0.999394698362812,0.0038462769356318515,6.053016371880197E-4,0.003846276935631852,0.9870252012489743,0.013231300891173716,0.012974798751025512,0.01323130089117371,0.9978898692517064,0.0013987522463283877,0.0021101307482935543,0.001398752246328388,0
4FGL J0008.4+1455,0.6138090831246668,-46.6767,-26.2911933,-28.4000608,7.6580583,1.9389116,0.15499178,0.1600625,2.1714606,2.10204993,0.9982614,0.12763087,-0.42588946,-0.52930766,-0.5766764,-0.9999996,AGN,bcu,3FGL J0008.3+1456,NVSS J000825+145635,0,0.9921274939194638,0.007005612479201579,0.007872506080536317,0.007005612479201581,0.9875046621282932,0.026345401233540885,0.01249533787170669,0.02634540123354089,0.9705752067083112,0.01913984216962649,0.029424793291688584,0.019139842169626494,0.9241992530909338,0.024155684635403293,0.07580074690906623,0.02415568463540329,0
