0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Flux_Density,Unc_Energy_Flux100,Spectral_Index,Signif_Curve,ln(Variability_Index),hr12,hr23,hr34,hr45,GLAT,class,CLASS1,Source_Name,SpectrumType,Pivot_Energy,ASSOC1,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-25.47639486848784,-26.996604993524276,2.732786,-1.360942325754102,3.971194509710279,-0.7246513,-0.8780153,-0.44555563,-0.9656969,0.92570114,OTHER,spp,3FGL J0001.0+6314,PowerLaw,472.15625,,28,0.9973118861895223,0.002688113810496606,0.9927336027070829,0.0072663972929169094,0.9999088968329239,9.110316707474174e-05,0.9438408149909511,0.05615918500905022,0.0,0.0,0.0,0.0
-25.66556409127903,-27.39913902765631,1.7730473,2.3389895687511206,3.621120522711261,-0.08380534,-0.4344012,-0.70631915,-0.94180804,-44.903366,OTHER,glc,3FGL J0023.9-7203,LogParabola,856.4519,47 Tuc,0,5.966066773488432e-05,0.9999403393322779,0.1452780932994945,0.8547219067005049,0.015471173184445639,0.9845288268155545,0.05195347717267305,0.9480465228273273,1.0,0.983,1.0,1.0
-30.737952156679786,-27.21064780696626,2.0867453,-0.13002563929498903,3.4433864223059514,0.8748904,-0.74927413,-0.6897258,-0.16747986,1.3377548,OTHER,snr,3FGL J0025.7+6404,PowerLaw,3518.6775,Tycho,0,0.9983623015797543,0.0016376984202355984,0.9712952969487201,0.028704703051279052,0.9962783315686428,0.0037216684313572685,0.9789887736133065,0.021011226386694663,0.0,0.0,0.0,0.0
-26.75180818778272,-27.778174350113105,2.5623276,0.6103808184156143,3.677519762467593,-0.553906,-0.58923995,-0.91297513,-0.5906225,-21.544806,OTHER,gal,3FGL J0042.5+4117,PowerLaw,572.78046,M31,0,0.9992000852895389,0.0007999147104714445,0.9621071965904717,0.03789280340952779,0.9465132255975601,0.053486774402440075,0.9675861120538993,0.032413887946100506,0.0,0.0,0.0,0.0
-28.041658976556633,-27.71221941429488,2.169111,0.12669502853079476,4.051957954236285,-0.5747277,-0.65921307,-0.48312023,-0.6927539,-87.95155,OTHER,sbg,3FGL J0047.5-2516,PowerLaw,1149.6525,NGC 253,0,0.9997574490880634,0.00024255091194646508,0.9932698723849562,0.006730127615043385,0.9967944541209302,0.0032055458790696983,0.99569564145214,0.004304358547860253,0.0,0.0,0.0,0.0
-25.2708008946213,-26.955253915698716,2.22098,0.9177176498961931,3.781899669450822,-0.4339719,-0.6432912,-0.6395211,-0.76817554,-44.41674,OTHER,GAL,3FGL J0059.0-7242e,PowerLaw,665.53204,SMC,4,0.9640415627742419,0.03595843722575155,0.9251175017665608,0.07488249823343829,0.8508685493849921,0.14913145061500738,0.9231356098150724,0.07686439018492701,0.0,0.0,0.001,0.0
-26.251442363381432,-27.05557524306933,2.504486,0.8914698847818788,3.750335513709239,-0.5004157,-0.68228036,-0.67271966,-0.99997044,0.3920805,OTHER,spp,3FGL J0128.4+6257,PowerLaw,672.94214,,0,0.9086847804774213,0.09131521952256937,0.4812652400458569,0.5187347599541432,0.7307536915391348,0.26924630846086295,0.8521971208897279,0.14780287911027154,0.0,0.577,0.002,0.0
-30.36021303662356,-26.27639416624453,2.2950974,1.303892074371153,3.780477119453751,-0.49566734,-0.71492845,-0.71594435,-0.999454,0.9424945,OTHER,spp,3FGL J0220.1+6202c,PowerLaw,4001.0137,,48,0.008360375612568516,0.9916396243874107,0.2704649661213944,0.7295350338786063,0.17582054424170024,0.8241794557582997,0.40290502044041554,0.5970949795595855,1.0,0.878,0.999,0.947
-28.961560816869746,-26.42553216795297,2.475545,0.637101835273835,3.8068450699439933,0.9557523,-0.7311285,-0.847135,-0.5881218,1.6175137,OTHER,spp,3FGL J0224.0+6235,PowerLaw,1949.5594,,16,0.9875160363763155,0.012483963623668892,0.9133599377169673,0.08664006228303286,0.9272301361952133,0.07276986380478694,0.7826079931582804,0.2173920068417192,0.0,0.0,0.0,0.0
-21.998440535502567,-26.147503925085527,2.1896782,2.819967656550498,5.84159549763674,-0.4776806,-0.6705284,-0.71204525,-0.85391206,1.0862774,OTHER,HMB,3FGL J0240.5+6113,LogParabola,547.57886,LS I+61 303,0,0.9681721063021483,0.031827893697872,0.13522881876890547,0.8647711812310945,0.5254596154208949,0.4745403845791052,0.630323308880969,0.36967669111903123,0.0,0.997,0.403,0.027
-27.727842615561407,-27.78736963227493,2.3233023,-0.674834746021869,3.725882489659019,-0.6703641,-0.6277343,-0.68740994,-0.3623248,-51.9359,OTHER,sbg,3FGL J0242.7-0001,PowerLaw,920.24646,NGC 1068,0,0.9988503246171309,0.0011496753828843327,0.9951083714599667,0.004891628540033298,0.9996778790343361,0.00032212096566361565,0.9795055371296795,0.020494462870321105,0.0,0.0,0.0,0.0
-29.46564577842787,-27.665017368058546,2.1977007,0.8938630228120802,3.6175861967408673,-0.5939346,-0.6340726,-0.57058513,-0.9999661,-35.709038,OTHER,pwn,3FGL J0454.6-6825,PowerLaw,1776.1125,PWN G279.8-35.8,0,0.9862140276807166,0.01378597231928366,0.8034869630066728,0.19651303699332676,0.6314289364270677,0.3685710635729328,0.8772123483176325,0.12278765168236698,0.0,0.001,0.003,0.0
-28.130343047913584,-27.36523501977798,2.3491838,-0.30276620649875946,3.626638503128031,-0.5906053,-0.8520776,-0.45908022,-0.3842624,6.3492813,OTHER,spp,3FGL J0500.3+5237,PowerLaw,1231.9395,,0,0.9988237131198897,0.0011762868801344702,0.9922445830652131,0.007755416934787641,0.998916127591856,0.0010838724081435591,0.9869894467630376,0.013010553236962803,0.0,0.0,0.0,0.0
-22.4214203610387,-26.249608457426937,2.017084,1.8811791306664467,4.226893442106269,-0.49599028,-0.6005208,-0.67542744,-0.64879835,-32.850204,OTHER,GAL,3FGL J0526.6-6825e,LogParabola,396.32202,LMC,0,0.09103397828724269,0.9089660217127647,0.5076541400769575,0.4923458599230426,0.4570023641710322,0.542997635828968,0.5767423828872149,0.42325761711278564,1.0,0.49,0.566,0.13
-18.28548727006569,-25.841143354285013,5.715894,0.8273012478202758,5.597953800203161,-0.99999434,0.99443537,-0.39162585,-0.999101,-5.781213,OTHER,PWN,3FGL J0534.5+2201s,PowerLaw,100.79754,Crab,20,0.9749881623081331,0.025011837691867336,0.9864504932535819,0.013549506746417018,0.999916705784802,8.329421519720529e-05,0.642069359278373,0.35793064072162667,0.0,0.001,0.0,0.009
-24.729277572010645,-26.13478842627149,2.1944747,0.29605567087980345,4.120546035750273,-0.5254956,-0.6444767,-0.48491386,-0.73834515,-1.4995799,OTHER,SNR,3FGL J0540.3+2756e,PowerLaw,705.1263,S147,0,0.8285831056777795,0.17141689432223048,0.9503379825783652,0.04966201742163421,0.9869189274246315,0.013081072575368492,0.7167182704338761,0.28328172956612413,0.0,0.0,0.0,0.0
-25.978782585902074,-26.94597715768177,2.8348546,1.7669612216938597,3.974079348281132,-0.24274996,-0.7792552,-0.8701869,-0.59673154,-0.7620364,OTHER,spp,3FGL J0610.6+1728,LogParabola,903.2897,,0,0.9828474657627165,0.01715253423726374,0.27821419821038434,0.7217858017896156,0.5386449175138359,0.461355082486164,0.7877573718325359,0.2122426281674653,0.0,0.98,0.31,0.0
-24.09464834144195,-25.6868500555864,1.999889,2.537691561936918,3.9241041223925874,-0.24429186,-0.5376386,-0.54189444,-0.65352607,3.0336995,OTHER,SNR,3FGL J0617.2+2234e,LogParabola,1444.2197,IC 443,0,0.5205875192968983,0.4794124807031015,0.0369028876276113,0.9630971123723886,0.04686113785314787,0.9531388621468526,0.3425647183886024,0.6574352816113976,0.0,0.997,1.0,0.99
-28.281231608405992,-26.588836147890373,2.3564208,1.5956516050815772,3.7621928634676847,-0.02327583,-0.5898471,-0.53805995,-0.8921625,-1.3048923,OTHER,spp,3FGL J0631.6+0644,LogParabola,2599.9565,,0,0.04684346294042757,0.953156537059588,0.15777735049332675,0.8422226495066714,0.30325175352641753,0.6967482464735829,0.3627944568916583,0.6372055431083414,1.0,0.995,1.0,0.987
-27.29474381087447,-26.80111898038221,2.5558372,0.09507338044610561,3.6704433948506954,-0.6274545,-0.836226,-0.8138625,-0.27849662,1.2806075,OTHER,spp,3FGL J0640.9+0752,PowerLaw,947.25964,,17,0.9965800098821109,0.0034199901178767343,0.9741503412594018,0.025849658740597765,0.993416493838639,0.00658350616136237,0.9405664934358591,0.05943350656414084,0.0,0.0,0.0,0.0
