Source_Name_1,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J0001.2-0748,-28.353826052025752,-27.686984878942162,2.1493483,0.6419789836105418,3.906773510910414,-0.32466768297282894,-0.5991181563942726,-0.42514678541356277,-0.9088875391495517,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.9777483258550038,0.022251674144995827,0.9725092043999092,0.027490795600090705,0.9528098804364812,0.047190119563518866,0.8953684716014628,0.10463152839853773,302,0
3FGL J0002.2-4152,-30.245040628153227,-28.02967273863602,2.0889208,-1.6080757406115354,4.0316009625820435,-0.8073907957081463,-0.7380671086874941,0.06745562131471436,-0.5806243152750442,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.9999648265136306,3.5173486368570395E-5,0.9916265342509472,0.008373465749052164,0.9999931349203257,6.865079673687833E-6,0.9987426480587003,0.00125735194130016,288,0
3FGL J0003.2-5246,-31.54365876020846,-27.907395033912433,1.8952075,-0.0954506696725643,3.812875084908427,-0.9997487737079693,0.991051088555087,-0.3971292560211149,-0.4543910915669077,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9999565001274571,4.349987254288188E-5,0.9896363743640322,0.010363625635969046,0.998495659131571,0.0015043408684283922,0.9969393450590008,0.0030606549409993556,291,0
3FGL J0003.8-1151,-30.751142925081226,-27.97315838860841,2.0235214,0.5819362512239435,3.881391535684466,0.7961203941053213,-0.38962400691509436,-0.6645561355471007,-0.4490346613946677,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.9995784246786716,4.215753213280848E-4,0.9839035705345457,0.01609642946545354,0.9860192555731705,0.013980744426828852,0.9883008398596813,0.011699160140318928,308,0
3FGL J0004.7-4740,-26.87682869614172,-27.845742731513365,2.4035163,0.6075822115632094,4.726791667598244,-0.5321414324985754,-0.6983471242049015,-0.6358005037263156,-0.9999927145669273,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.9983293227395846,0.0016706772604153665,0.9851491067645904,0.014850893235409548,0.9911591331125514,0.00884086688744856,0.9473373188956995,0.05266268110430054,296,0
3FGL J0006.4+3825,-25.8193488947493,-27.59842798986845,2.6171293,0.8233172678218296,4.387791237378734,-0.7274684208776793,-0.714511877219373,-0.884553713410013,-0.6399088615045486,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.999923383780641,7.661621935833164E-5,0.9745187005884262,0.025481299411574135,0.9784068176060603,0.02159318239394012,0.9896447858311052,0.010355214168894336,298,0
3FGL J0008.0+4713,-28.196298173653947,-27.237142944515924,2.0209966,0.9218680695704783,3.603143826646084,-0.12863138602416413,-0.5190584664401893,-0.418792940636835,-0.6331874013196694,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.9740839380089509,0.025916061991049396,0.8942522091115775,0.10574779088842222,0.8676925824007827,0.1323074175992176,0.9611888997270677,0.038811100272932234,292,0
3FGL J0008.6-2340,-32.76020458520079,-27.684863762417628,1.5989343,-0.1639293000735365,3.8575459957616287,0.032599993121025315,0.9995702073175866,-0.7395764568911064,0.416237882001124,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.9993442759455207,6.557240544792477E-4,0.9896881200037416,0.01031187999625774,0.9997478739970986,2.5212600290216064E-4,0.9837809081897273,0.016219091810273176,315,0
3FGL J0009.1+0630,-29.01520690165684,-27.710919559008723,2.1793637,-0.9968615122868939,4.116717136009044,-0.513312783326616,-0.5993156472970991,-0.5418718931079535,-0.5171100659118245,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.9999470184299784,5.2981570021916916E-5,0.9924329776698605,0.0075670223301392,0.9998974706927813,1.0252930721797146E-4,0.9963929260140355,0.00360707398596401,311,0
3FGL J0009.3+5030,-27.535807940829027,-26.978527819020282,1.9286355,0.7596332726993131,4.599523674403958,-0.5314424675012004,-0.47112913835755854,-0.4031814383500992,-0.5631493005140553,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.9998202563325159,1.7974366748383356E-4,0.9739351594488546,0.026064840551144774,0.9917762670226432,0.008223732977356464,0.9928135857135124,0.007186414286487033,289,0
