Source_Name,Flux_Density_1,Unc_Energy_Flux100_1,Spectral_Index_old,Signif_Curve_1,var_1,hr12,hr23,hr34,hr45,GLAT_1,Pivot_Energy_1,SpectrumType_1,GLON,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P,Flags
3FGL J0000.1+6545,-27.62569233911256,-26.90194039790841,2.410956,1.2227793474596678,3.707542142711125,-0.44527157427518593,-0.6975439794146356,-0.910687938432753,-0.3411646902546724,3.4029577,1159.0813,PowerLaw,117.69388,0.7943598833178461,0.2056401166821397,0.6985645045450691,0.3014354954549311,0.7342391683101609,0.2657608316898394,0.8838447707209561,0.11615522927904336,0.0,0.013,0.001,0.0,4
3FGL J0000.2-3738,-31.572484157651193,-28.030843002008744,1.8667319,0.40310004688774054,3.803219190636362,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,-74.946754,3296.3293,PowerLaw,345.41052,0.9997987710887614,2.0122891124679606E-4,0.9909298868937619,0.00907011310623806,0.9916209285179955,0.008379071482004657,0.996722620154686,0.003277379845314565,0.0,0.0,0.0,0.0,0
3FGL J0001.6+3535,-28.87831197874102,-27.86393860190465,2.3505216,-1.9187253080623454,3.4779820800903285,-0.9224010247545994,-0.3741723321579636,-0.626016615516253,-0.2812784259754225,-26.188492,1104.2643,PowerLaw,111.661446,0.9998002838294665,1.9971617054852806E-4,0.9955979327063129,0.004402067293686644,0.9999894814835674,1.0518516433715436E-5,0.9798494431658944,0.020150556834105104,0.0,0.0,0.0,0.0,8
3FGL J0002.0-6722,-30.66141013659135,-27.904511120552147,1.9460614,0.3138621879170869,3.8313551023606913,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,-49.061836,2466.7234,PowerLaw,310.13892,0.9998484160703297,1.5158392968441428E-4,0.9926380422960592,0.007361957703940443,0.9938698022587581,0.006130197741241747,0.9972083757434602,0.0027916242565405145,0.0,0.0,0.0,0.0,0
3FGL J0003.4+3100,-26.92441146248139,-27.875721990618057,2.5538373,0.2699922511083639,3.6515926098302733,-0.712003724275364,-0.6043619034224237,-0.8943478813352859,-0.8739048759540178,-30.745094,572.5596,PowerLaw,110.96407,0.9918770494765289,0.008122950523490368,0.9719763394081686,0.028023660591830604,0.9484078239432984,0.05159217605670263,0.9338652540542228,0.06613474594577651,0.0,0.0,0.0,0.0,0
3FGL J0003.5+5721,-29.850704975345312,-27.520680551325064,2.1830583,0.5991388180236966,3.4378945608161273,0.9984257717351934,-0.6529445643244444,-0.6811770596181577,-0.5857441366203813,-4.9115977,2119.9404,PowerLaw,116.4863,0.9985062347426561,0.001493765257327251,0.8722413937521621,0.12775860624783858,0.9205396721455807,0.07946032785441948,0.981082222695799,0.0189177773042012,0.0,0.0,0.0,0.0,0
3FGL J0004.2+6757,-28.13952776393181,-26.841616931216677,2.4968367,1.3640582357676834,3.550035977320103,-0.023348192043394566,-0.8100646563187508,-0.6738800287530278,-0.8533512025906097,5.494,1328.3618,PowerLaw,118.509155,0.5594229873940264,0.44057701260597204,0.265196954916189,0.7348030450838107,0.33031249140955804,0.6696875085904417,0.6418755115308594,0.35812448846914163,0.0,0.961,0.997,0.007,25
3FGL J0004.2+0843,-30.972925255785086,-27.86031076587199,2.0504425,-0.23529942296034895,3.8140060375761227,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,-52.363342,2762.5613,PowerLaw,103.59949,0.9975503204665287,0.0024496795334791916,0.9939926017240561,0.006007398275943514,0.9986117900963353,0.0013882099036659997,0.9065296137304333,0.09347038626956776,0.0,0.0,0.0,0.0,0
3FGL J0006.2+0135,-29.957469208986623,-27.897549448104716,2.1869004,-1.7786281042231946,3.8191673986930605,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,-59.296867,1807.7529,PowerLaw,100.400505,0.999557147242973,4.428527570162211E-4,0.9955112852322837,0.004488714767716406,0.9999870940265075,1.2905973492740664E-5,0.9934571896112114,0.006542810388787626,0.0,0.0,0.0,0.0,0
3FGL J0006.6+4618,-28.992048980380552,-27.616043344847967,2.4172597,-0.0727806073384616,3.888137873237709,-0.8645629819284496,-0.7492476058178281,-0.717673918205059,0.05096828296026606,-15.866622,1249.3093,PowerLaw,114.90795,0.9997240158822087,2.759841177642481E-4,0.9933577451234645,0.006642254876535722,0.9994845459353793,5.154540646214984E-4,0.9899441694163006,0.010055830583700512,0.0,0.0,0.0,0.0,0
3FGL J0007.4+1742,-29.14930237159584,-27.884762157483962,2.3119533,-0.22643609077819515,3.8409798979286696,-0.6096157118203253,-0.6260283608557524,-0.6709078123324567,-0.45703604490283833,-43.910923,1239.5774,PowerLaw,108.33184,0.9997484584669051,2.515415331082752E-4,0.9945408103510925,0.005459189648907561,0.9985723882119123,0.0014276117880880517,0.9902264454386537,0.009773554561347106,0.0,0.0,0.0,0.0,0
