Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J1315.1-5329,-25.22917928,-27.2167988,2.2808414,1.665058411,5.066149405,-0.541403732,-0.716640847,-0.832498313,-0.999799345,9.21905,AGN,bcu,579.0733,LogParabola,PMN J1315-5334,0.97360357,0.02639643,0.583699412,0.416300588,0.757909034,0.242090966,0.952632263,0.047367737,280,0
3FGL J1326.8+2211,-25.14783448,-27.40042262,2.333554,1.323600138,5.1453093,-0.5915535,-0.707180607,-0.768992897,-0.736634343,80.55346,AGN,fsrq,547.5172,LogParabola,B2 1324+22,0.999812264,1.88E-04,0.959189479,0.040810521,0.967159156,0.032840844,0.99024366,0.00975634,286,0
3FGL J1328.9-5607,-24.07536939,-26.77247768,2.219383,1.791379831,6.669831867,-0.531969333,-0.676626371,-0.690423206,-0.726520989,6.3582315,AGN,bcu,582.5673,LogParabola,PMN J1329-5608,0.9995353,4.65E-04,0.948120003,0.051879997,0.996796891,0.003203109,0.986494357,0.013505643,293,0
3FGL J1330.1-7002,-24.96850908,-26.95107321,2.2233799,1.466506431,6.722028591,-0.457435187,-0.660697828,-0.71269329,-0.660269628,-7.424247,AGN,bcu,656.42834,LogParabola,PKS 1326-697,0.99958041,4.20E-04,0.959972269,0.040027731,0.999171064,8.29E-04,0.990206782,0.009793218,296,0
3FGL J1332.0-0508,-23.91558089,-26.9232489,2.4544137,2.048199167,7.536347778,-0.578933094,-0.734652426,-0.85861912,-0.714214813,56.263336,AGN,fsrq,543.83813,LogParabola,PKS 1329-049,0.999907482,9.25E-05,0.985153718,0.014846282,0.998704848,0.001295152,0.955138392,0.044861608,294,0
3FGL J1337.6-1257,-25.83090559,-27.2781179,2.3662615,1.439251308,4.606031175,-0.664485411,-0.681372873,-0.788822329,-0.624173859,48.374725,AGN,fsrq,715.7036,LogParabola,PKS 1335-127,0.999795206,2.05E-04,0.923194195,0.076805805,0.88626574,0.11373426,0.989784277,0.010215723,302,0
3FGL J1344.2-1724,-25.39072869,-27.171216,2.0442808,1.493479885,5.607950786,-0.42207881,-0.58662541,-0.587972842,-0.712708544,43.66825,AGN,fsrq,683.6584,LogParabola,PMN J1344-1723,0.999887812,1.12E-04,0.975085626,0.024914374,0.985651555,0.014348445,0.992813349,0.007186651,294,0
3FGL J1345.6+4453,-23.2039362,-27.01207143,2.1950743,1.295911069,8.002177334,-0.518878539,-0.673200357,-0.625820857,-0.733345228,69.19336,AGN,fsrq,373.58002,LogParabola,B3 1343+451,0.999881211,1.19E-04,0.990881918,0.009118082,0.999969795,3.02E-05,0.993732491,0.006267509,303,0
3FGL J1418.4-0233,-28.18345505,-26.65387558,1.5323377,1.23647434,4.436644546,-0.053108323,-0.310155458,-0.199203099,-0.42097182,53.64918,AGN,bll,2198.059,LogParabola,NVSS J141826-023336,0.998894026,0.001105974,0.96655001,0.03344999,0.956216383,0.043783617,0.911627457,0.088372543,302,0
3FGL J1427.0+2347,-24.93951705,-26.03028919,1.7598388,0.807533699,5.34831347,-0.351554354,-0.451402805,-0.408430356,-0.339622764,68.20282,AGN,BLL,866.8785,LogParabola,PKS 1424+240,0.976501287,0.023498713,0.98997501,0.01002499,0.997666515,0.002333485,0.92967437,0.07032563,296,0
