0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0000.3-7355,307.70898,-42.729538,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,7.7957216775443445,PowerLaw,0.14627089,0.39123338,,,,0.0,0.0,0,0.9998121258597693,0.0001878741402126607,0.9983440816263353,0.001655918373664161,0.9978748739529172,0.002125126047084898,0.9968817941436753,0.0031182058563245627,0.0,0.0,0.0,0.0
4FGL J0003.3+2511,109.38164,-36.411484,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,7.385374399125749,PowerLaw,0.32086015,1.0453527,,,,0.0,0.0,0,0.9997683818253058,0.00023161817471562156,0.9406127473745071,0.0593872526254937,0.7372044337246347,0.26279556627536504,0.9651553605023439,0.03484463949765684,0.0,0.0,0.0,0.0
4FGL J0003.6+3059,111.004486,-30.771994,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,7.220573670450081,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,,,0.0,0.0,0,0.9557081117155728,0.04429188828444601,0.45942286381621456,0.540577136183786,0.16750512267407316,0.8324948773259271,0.3262514018554261,0.6737485981445731,0.0,0.619,1.0,0.998
4FGL J0004.0+5715,116.52632,-5.0228662,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,7.228797729201412,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,,,0.0,0.0,0,0.9897386546150293,0.010261345384984473,0.9714508137696889,0.0285491862303115,0.4993029595040065,0.5006970404959935,0.7257567328013623,0.274243267198638,0.0,0.0,0.471,0.0
4FGL J0004.4-4001,336.9915,-73.84534,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,7.125287918530437,PowerLaw,0.068658195,0.21702,,,,0.0,0.0,4,0.9998632246184815,0.00013677538150644005,0.9988075113008129,0.001192488699187658,0.9997694304583042,0.00023056954169672526,0.997950948435889,0.0020490515641096675,0.0,0.0,0.0,0.0
4FGL J0005.6+6746c,118.60844,5.282127,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,7.123345414944714,PowerLaw,0.18199188,0.54935044,,,,0.0,0.0,56,0.9431585729891759,0.056841427010839225,0.6944640456392713,0.30553595436072867,0.0966522872547042,0.9033477127452957,0.6250731356616153,0.3749268643383857,0.0,0.104,1.0,0.015
4FGL J0006.6+4618,114.92035,-15.869719,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,7.102681232238237,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,,,0.0,0.0,0,0.9995942074530995,0.00040579254692698025,0.9984862014041829,0.0015137985958181574,0.9851644800695495,0.0148355199304495,0.9980932440198862,0.0019067559801136157,0.0,0.0,0.0,0.0
4FGL J0008.4+6926,119.14811,6.885729,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,8.022136580655049,PowerLaw,0.11486513,0.4245506,,,,0.0,0.0,0,0.9996152374152361,0.0003847625847749195,0.9961979212783697,0.0038020787216298773,0.9423039250923543,0.057696074907646215,0.9817267342807552,0.018273265719245067,0.0,0.0,0.0,0.0
4FGL J0008.9+2509,110.91511,-36.72459,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,5.912856661667867,PowerLaw,0.16841836,0.5522985,,,,0.0,0.0,0,0.9996363804012789,0.0003636195987332295,0.9965974280901472,0.003402571909851715,0.9775050364032475,0.02249496359675261,0.9717163872743281,0.028283612725671113,0.0,0.0,0.0,0.0
