Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT,Category_3FGL,CLASS_3FGL,Pivot_Energy,SpectrumType,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J0312.7+0133,-27.238612000920664,-27.5508356492148,2.2825437,0.28249051963184985,5.538971037015624,-0.5600127727203114,-0.6256113313968246,-0.6173279258589557,-0.6195562189698772,-45.508545,AGN,fsrq,942.38837,PowerLaw,PKS 0310+013,0.9999742657971032,2.5734202897033933E-5,0.997941784525546,0.0020582154744549553,0.9991919667085872,8.080332914117221E-4,0.9920491073570519,0.007950892642947524,210,0
3FGL J0312.7+3613,-29.285650398466625,-27.61161297819785,2.2837563,-0.03391382761309929,4.078980046921238,-0.6428274306368071,-0.6836884680548715,-0.5880709214159241,-0.6038205412435559,-18.429363,AGN,bll,1612.8793,PowerLaw,V Zw 326,0.9996628970659568,3.371029340439727E-4,0.9692633361255334,0.030736663874466604,0.9739036413023434,0.02609635869765614,0.9907441975735639,0.009255802426436342,204,0
3FGL J0314.3-5103,-27.257453087035337,-27.86653536983386,2.4003832,0.4323315513376454,3.9294663419814437,-0.7173007259976318,-0.6130888706956237,-0.6967096371994852,-0.40097371640119733,-53.97884,AGN,bll,785.15015,PowerLaw,PMN J0314-5104,0.9941426569392978,0.005857343060702532,0.9889871010269197,0.011012898973079948,0.9471135697377943,0.052886430262205325,0.9087023468559072,0.09129765314409277,205,0
3FGL J0315.5-1026,-28.106682045563737,-27.721393078821357,2.410067,-2.0838936777459534,4.70783967407695,-0.7000568845245394,-0.7062537938832898,-0.36147046224711477,-0.8312921399948762,-52.22063,AGN,fsrq,935.71094,PowerLaw,PKS 0313-107,0.99996135552472,3.864447527970718E-5,0.9979681016259865,0.00203189837401309,0.9999940788206964,5.921179303564675E-6,0.9917073314806419,0.008292668519357735,194,0
3FGL J0316.1+0904,-28.563788901952186,-26.960173277865884,1.9163166,0.5576603344246645,4.422491045268624,0.49639338789463355,-0.5887101012194698,-0.4425462780301472,-0.3599203362816159,-39.598804,AGN,bll,2390.0652,PowerLaw,GB6 J0316+0904,0.9999045652241648,9.543477583494133E-5,0.9969437670000003,0.003056232999999657,0.9922242060528333,0.007775793947167425,0.9893536990649594,0.010646300935040097,180,0
3FGL J0316.1-2611,-29.99846350086218,-27.542686481497014,1.8568014,0.12253041566097304,4.038496524758019,-0.69392835028532,-0.31757416720087345,-0.3015422220545049,-0.7183180729028844,-57.75791,AGN,bll,2621.1536,PowerLaw,RBS 0405,0.9995872764314133,4.1272356858725203E-4,0.9902788170166932,0.00972118298330662,0.9730562896404987,0.02694371035950162,0.9957632284547371,0.004236771545262997,204,0
3FGL J0316.2-6436,-29.088780115120755,-27.77599390672338,2.0915697,-0.5275674221818648,4.04042955344099,-0.7105665723326685,-0.6285290228239002,-0.3817136599404805,-0.4838471284239516,-46.049824,AGN,bll,1753.2529,PowerLaw,SUMSS J031614-643732,0.9999271079530112,7.289204698860743E-5,0.9963597617293561,0.0036402382706435745,0.9983314535778102,0.0016685464221895755,0.995983779291255,0.004016220708745392,197,0
3FGL J0316.6+4119,-31.67717546534462,-27.19348024633013,1.9015613,-1.8904274300747785,3.656928928982081,-0.6994912351445179,0.9973018118195027,-0.5862874022367318,-0.6353638593556465,-13.735869,AGN,rdg,6418.716,PowerLaw,IC 310,0.9975330863084982,0.0024669136915022893,0.9846424392438987,0.015357560756100782,0.9992630644500038,7.369355499965384E-4,0.9903937824018263,0.009606217598173625,207,0
3FGL J0318.7+2134,-30.472438997342586,-27.27729501555846,1.8372924,-1.134207528997428,4.588264242449676,-0.19159136399485938,-0.5881427901765296,-0.42055367815028527,-0.16936937607902372,-29.649446,AGN,bcu,4041.601,PowerLaw,MG3 J031849+2135,0.999961353097203,3.8646902796716097E-5,0.9978352582743447,0.0021647417256551024,0.999963979555914,3.602044408602875E-5,0.998702241476608,0.0012977585233921057,210,0
3FGL J0319.8+1847,-31.591702574200443,-27.17046705606294,1.5718331,-0.8576081357459568,4.335024514750152,0.9608605951923611,0.25437231729218035,-0.27948894054577783,-0.19223365204495732,-31.67412,AGN,bll,6632.801,PowerLaw,RBS 0413,0.9998215163398572,1.784836601426325E-4,0.9969493961564745,0.0030506038435252248,0.9999515134919387,4.848650806161648E-5,0.9971102804694351,0.0028897195305641094,205,0
3FGL J0322.0+2335,-29.534302845432194,-27.274385112747996,1.9459643,0.015576750057015388,4.035682836622108,-0.5142283067449566,-0.5104498445742339,-0.4855288901894755,-0.3680191965752619,-27.59371,AGN,bll,2838.114,PowerLaw,MG3 J032201+2336,0.9995745629087839,4.2543709121673395E-4,0.9917436738387222,0.008256326161278166,0.9886210749461979,0.01137892505380259,0.99611453721329,0.0038854627867101394,206,0
3FGL J0323.6-0109,-30.144010006611538,-27.412388925517362,1.851988,-0.13451965222078352,3.7171109195228937,-0.639422043665875,-0.4186240194125122,-0.28014139819046324,-0.26476491454233136,-45.22574,AGN,bll,3061.5952,PowerLaw,1RXS J032342.6-011131,0.9996657706610436,3.3422933895658097E-4,0.9952334318541296,0.00476656814587007,0.9950505390936065,0.004949460906394041,0.9977376579998123,0.0022623420001876746,201,0
3FGL J0325.2-5634,-28.692132929820737,-27.97243862025435,2.215677,-1.233501860343237,3.616049319024719,-0.6081021621038094,-0.46550210155320565,-0.6710196298446159,-0.5108187460938681,-49.859493,AGN,bll,1238.7606,PowerLaw,1RXS J032521.8-563543,0.9945390095130351,0.005460990486964859,0.9948723722875688,0.005127627712431485,0.9980342615510367,0.001965738448963062,0.9202776116898929,0.07972238831010695,213,0
3FGL J0325.6-1648,-29.789391585764665,-27.180807970302727,1.785382,-0.45448019957184366,4.2112420799973025,0.11283396971110149,-0.4781114823336298,-0.4079544518986082,-0.19973650235465257,-52.950264,AGN,bll,3163.1738,PowerLaw,RBS 0421,0.9998993720682234,1.0062793177681313E-4,0.9973728870534705,0.002627112946530273,0.9994932626480686,5.067373519316406E-4,0.9986517286670844,0.0013482713329156129,206,0
