Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,GLON,Category_Prob_O,Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Flags
3FGL J0001.2-0748,-28.353826,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,89.0222015,AGN,3FGL J0001.2-0748,0.8486383666680073,0.11513238066971838,0.15136163333199254,0.11513238066971838,0.9380421536770792,0.04256668252305877,0.06195784632292061,0.04256668252305877,0.820895853922124,0.06491648748711537,0.17910414607787592,0.06491648748711536,0.749599317376393,0.07302014149582794,0.25040068262360715,0.07302014149582793,0.9797140568550903,0.019891015026673443,0.020285943144909675,0.019891015026673446,0.9714678251971832,0.012308755960782701,0.02853217480281672,0.012308755960782704,0.8954560741915075,0.04145260165198342,0.10454392580849245,0.04145260165198342,0.9534693693815548,0.01293077183704087,0.046530630618445326,0.01293077183704087,0
3FGL J0002.2-4152,-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,334.070099,AGN,3FGL J0002.2-4152,0.9999784185991496,1.7536231050826647E-5,2.1581400850452948E-5,1.7536231050826298E-5,0.996719413746533,0.003874624200167277,0.0032805862534670874,0.0038746242001672752,0.9990237351928237,0.00267052362686627,9.762648071761348E-4,0.0026705236268662704,0.9999791002959697,2.329624272859871E-5,2.0899704030194204E-5,2.329624272860131E-5,0.9999632615193393,2.3712326115793735E-5,3.673848066077165E-5,2.3712326115792153E-5,0.9902166673382115,0.013622869458664127,0.009783332661788572,0.013622869458664127,0.9986171156040644,0.0014813822161967177,0.0013828843959356534,0.0014813822161967177,0.9999939198628792,8.31855503560668E-6,6.080137120714452E-6,8.318555035605756E-6,0
3FGL J0003.2-5246,-31.5436588,-27.907395,1.8952075,-0.09545067,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,318.976135,AGN,3FGL J0003.2-5246,0.9998848456359153,9.66928636800756E-5,1.1515436408484824E-4,9.669286368007531E-5,0.9919422542646967,0.007806887844821835,0.00805774573530326,0.007806887844821835,0.996878631271472,0.005401648525802436,0.0031213687285278715,0.005401648525802437,0.9914348464828004,0.007581728907489709,0.008565153517199569,0.007581728907489712,0.9999513433539917,4.059173298188774E-5,4.865664600831119E-5,4.05917329818877E-5,0.9889088041896437,0.011408576546941511,0.011091195810356303,0.011408576546941511,0.9965653080116915,0.0039661742711390394,0.003434691988308472,0.003966174271139039,0.9984464508594789,0.001542692343408931,0.0015535491405211975,0.0015426923434089298,0
3FGL J0003.8-1151,-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,84.4318924,AGN,3FGL J0003.8-1151,0.9992337729170456,7.219001397079604E-4,7.662270829544659E-4,7.219001397079613E-4,0.9894709743716326,0.008244326087369067,0.01052902562836739,0.008244326087369067,0.9670422775869131,0.027310713784293242,0.03295772241308684,0.02731071378429324,0.9137572785205667,0.042160204252073064,0.08624272147943343,0.042160204252073064,0.9995877496803687,3.6521543263495575E-4,4.122503196311247E-4,3.6521543263495445E-4,0.983503986853584,0.009991220109587525,0.01649601314641603,0.009991220109587527,0.988294127716169,0.009910396104824708,0.011705872283831048,0.0099103961048247,0.9865239568388744,0.005485127730931842,0.013476043161125804,0.00548512773093184,0
3FGL J0004.7-4740,-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,323.815582,AGN,3FGL J0004.7-4740,0.9991984930385692,0.0013835351781773763,8.015069614307436E-4,0.0013835351781773782,0.9860892581563464,0.00944782606935588,0.013910741843653492,0.00944782606935588,0.9516070844098964,0.029868752998327995,0.048392915590103634,0.029868752998328002,0.9372006657285181,0.029764108434938163,0.06279933427148188,0.02976410843493816,0.9986144104939306,0.003674303292869753,0.0013855895060695673,0.003674303292869756,0.9847479906853744,0.010885821946777416,0.015252009314625309,0.010885821946777416,0.9505111377312412,0.033596795072759006,0.049488862268758746,0.03359679507275901,0.9911260130838409,0.003370613263767145,0.008873986916159166,0.003370613263767144,0
3FGL J0006.4+3825,-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,113.331886,AGN,3FGL J0006.4+3825,0.999728642935577,3.489995451229954E-4,2.7135706442306477E-4,3.4899954512299537E-4,0.8747620190946781,0.08739286910163521,0.12523798090532187,0.08739286910163521,0.9806298554207983,0.016265594669346836,0.01937014457920183,0.016265594669346833,0.8108519115571781,0.07381264297784373,0.1891480884428218,0.07381264297784373,0.9999221080481392,2.166942794170671E-4,7.78919518607241E-5,2.1669427941706858E-4,0.9737885230276222,0.012694022750214279,0.026211476972377763,0.012694022750214279,0.9881184733640457,0.010404207770867048,0.011881526635954202,0.010404207770867044,0.9785580788883342,0.007066049660808087,0.021441921111665804,0.007066049660808086,0
3FGL J0008.0+4713,-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,115.33255,AGN,3FGL J0008.0+4713,0.8341799482074739,0.16410223274326574,0.1658200517925261,0.16410223274326574,0.5144204996051693,0.15480116732255583,0.4855795003948307,0.15480116732255583,0.8496297549272755,0.06213388714861489,0.15037024507272453,0.06213388714861489,0.5524320641374276,0.06759301744054674,0.44756793586257243,0.06759301744054674,0.9730083723889011,0.04289478307651982,0.026991627611098752,0.04289478307651982,0.8915276790284363,0.03920173029420117,0.10847232097156356,0.03920173029420116,0.958125215448456,0.023468431384785205,0.04187478455154382,0.023468431384785198,0.8682397469835512,0.03201133051807081,0.1317602530164489,0.032011330518070806,0
3FGL J0008.6-2340,-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,50.2801132,AGN,3FGL J0008.6-2340,0.9985520591102057,0.001634370611737147,0.0014479408897943643,0.001634370611737145,0.9958177537549754,0.005048152781296813,0.004182246245024586,0.0050481527812968096,0.9842176561061838,0.013908044018523037,0.01578234389381634,0.013908044018523047,0.9984336747042049,0.00350914770529478,0.0015663252957953005,0.003509147705294778,0.9993446905334818,0.001160969015873362,6.553094665181829E-4,0.0011609690158733627,0.9910145179888503,0.008886153660724259,0.008985482011149648,0.008886153660724257,0.9851594494511217,0.012561900629018142,0.014840550548878288,0.012561900629018134,0.9997708239659202,2.3219881064929804E-4,2.2917603407983592E-4,2.3219881064930143E-4,0
3FGL J0009.1+0630,-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,104.489098,AGN,3FGL J0009.1+0630,0.9999319828506291,5.674070788098551E-5,6.801714937090942E-5,5.674070788098542E-5,0.9965471032861957,0.0036448920918921595,0.0034528967138042965,0.0036448920918921595,0.995134860145327,0.005816281473137982,0.004865139854673006,0.005816281473137983,0.999374614291551,4.8029844270031856E-4,6.253857084490058E-4,4.802984427003156E-4,0.9999461450524353,3.716454186040825E-5,5.385494756459985E-5,3.716454186040855E-5,0.9912091512096961,0.011084687720231322,0.008790848790303951,0.011084687720231322,0.9958230028108955,0.006648605305709336,0.004176997189104455,0.006648605305709334,0.9999010994243115,9.110668795320197E-5,9.890057568856807E-5,9.110668795320112E-5,0
3FGL J0009.3+5030,-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,116.116417,AGN,3FGL J0009.3+5030,0.9996601867245296,2.896013524939719E-4,3.398132754703777E-4,2.8960135249397076E-4,0.955509741575775,0.030002931760288492,0.04449025842422504,0.030002931760288495,0.989500983020876,0.010846763497495939,0.010499016979124106,0.010846763497495937,0.9744324424980247,0.011600494743688449,0.025567557501975185,0.011600494743688449,0.9998064631085932,1.6137975518470867E-4,1.935368914068895E-4,1.6137975518470865E-4,0.9727826804774098,0.014709661904745687,0.027217319522590072,0.014709661904745687,0.9922321789994932,0.009304619004159135,0.007767821000506814,0.009304619004159128,0.9915562783824416,0.002965480739615547,0.008443721617558509,0.0029654807396155445,0
