Source_Name,AGN_BDT_MEAN,AGN_BDT_STD,PSR_BDT_MEAN,PSR_BDT_STD,AGN_NN_MEAN,AGN_NN_STD,PSR_NN_MEAN,PSR_NN_STD,AGN_RF_MEAN,AGN_RF_STD,PSR_RF_MEAN,PSR_RF_STD,AGN_LR_MEAN,AGN_LR_STD,PSR_LR_MEAN,PSR_LR_STD
4FGL J0001.2+4741,0.9998920083429628,0.00011981958706956527,0.00010799165703710122,0.00011981958706956372,0.9979094864596324,0.001391849591694866,0.002090513540367613,0.001391849591694866,0.9961500587387786,0.004743895655258858,0.0038499412612214784,0.004743895655258856,0.9996378617234242,0.00012462773214861318,0.000362138276575777,0.0001246277321486145
4FGL J0001.2-0747,0.9999158033840332,4.475455253532109e-05,8.419661596701615e-05,4.47545525353194e-05,0.9972663761656081,0.0016859688008455788,0.002733623834391947,0.001685968800845577,0.9990874761078579,0.0004364197882556916,0.0009125238921420022,0.00043641978825568464,0.9987716393886731,0.0003734560598164694,0.0012283606113269883,0.0003734560598164694
4FGL J0001.5+2113,0.9963453186196098,0.007410023062145,0.003654681380390124,0.0074100230621449974,0.9966781525778997,0.0025044433383940136,0.003321847422100318,0.0025044433383940106,0.9404370243594921,0.03395272092350532,0.05956297564050791,0.03395272092350531,0.9999260463054954,5.4355409180865064e-05,7.39536945046287e-05,5.435540918086705e-05
4FGL J0001.6-4156,0.9999456669358782,2.972314429841047e-05,5.433306412183873e-05,2.972314429841294e-05,0.9972150829975042,0.0015097034246400061,0.0027849170024956214,0.0015097034246400053,0.99944409579813,0.00027902216426761755,0.000555904201869876,0.00027902216426761684,0.9996203307609254,0.00014620177781259186,0.0003796692390746759,0.0001462017778125949
4FGL J0002.1-6728,0.9997756780340081,0.00014755023712890208,0.0002243219659918317,0.00014755023712890455,0.9968746088042745,0.0018120597490454385,0.003125391195725625,0.0018120597490454415,0.9980137920165891,0.00214334491115125,0.0019862079834106604,0.0021433449111512492,0.9989534904614766,0.0003127182183998373,0.0010465095385234666,0.0003127182183998348
4FGL J0002.3-0815,0.9970529287142579,0.0279652878226874,0.0029470712857421937,0.027965287822687396,0.9962766363945665,0.0023967331228128804,0.0037233636054335383,0.002396733122812877,0.9785239381583506,0.016675906810848847,0.021476061841649387,0.01667590681084886,0.9981762746195614,0.0008713548303023788,0.0018237253804385643,0.0008713548303023747
4FGL J0002.4-5156,0.999899530801914,0.00011395564296777901,0.00010046919808600081,0.00011395564296777738,0.996728123524256,0.0019558145959652174,0.003271876475744051,0.0019558145959652205,0.9924939560573208,0.007332677404358223,0.007506043942679116,0.0073326774043582215,0.9993815997032511,0.0002519856393920569,0.0006184002967487209,0.0002519856393920604
4FGL J0003.1-5248,0.9998284392608584,0.00010593809524951921,0.0001715607391417369,0.00010593809524951642,0.9959193036155406,0.0024102525231246017,0.004080696384459499,0.002410252523124599,0.9983013268068711,0.00139517282593519,0.001698673193128905,0.0013951728259351908,0.9980757866852176,0.0006413429678656152,0.0019242133147823741,0.0006413429678656129
4FGL J0003.2+2207,0.9671556263781013,0.07699748963613903,0.03284437362189881,0.07699748963613903,0.9413343398173432,0.05241046671247229,0.05866566018265676,0.05241046671247229,0.9452410426793298,0.025444063415789128,0.05475895732067006,0.02544406341578912,0.910341785784698,0.036096468508788324,0.08965821421530204,0.036096468508788324
4FGL J0003.3-1928,0.9971735956420464,0.0036355609986102443,0.002826404357953694,0.003635560998610245,0.9949189945931808,0.0035024111697565083,0.005081005406819061,0.0035024111697565074,0.9690524003629302,0.01831001526012541,0.03094759963706992,0.01831001526012541,0.9969970667798884,0.0010758127252336691,0.003002933220111588,0.0010758127252336713
