Flux_Density_1,Unc_Energy_Flux100_1,Spectral_Index_old,Signif_Curve_1,var_1,hr12,hr23,hr34,hr45,GLAT_1,Source_Name,Pivot_Energy_1,SpectrumType_1,GLON,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
-27.62569233911256,-26.90194039790841,2.410956,1.2227793474596678,3.707542142711125,-0.44527157427518593,-0.6975439794146356,-0.910687938432753,-0.3411646902546724,3.4029577,3FGL J0000.1+6545,1159.0813,PowerLaw,117.69388,4,0.28782456114101596,0.7121754388589837,0.3299559848179054,0.6700440151820942,0.1945193131308992,0.8054806868691015,0.6525813778564924,0.3474186221435071,0.942,0.796,0.999,0.013
-31.572484157651193,-28.030843002008744,1.8667319,0.40310004688774054,3.803219190636362,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,-74.946754,3FGL J0000.2-3738,3296.3293,PowerLaw,345.41052,0,0.9996915494163225,0.0003084505836784559,0.9922292501370816,0.007770749862920346,0.9524720014012938,0.04752799859870617,0.9948858122425751,0.005114187757426116,0.0,0.0,0.0,0.0
-28.87831197874102,-27.86393860190465,2.3505216,-1.9187253080623454,3.4779820800903285,-0.9224010247545994,-0.3741723321579636,-0.626016615516253,-0.2812784259754225,-26.188492,3FGL J0001.6+3535,1104.2643,PowerLaw,111.661446,8,0.9990936219664537,0.0009063780335463913,0.9962160937141404,0.0037839062858585383,0.9998823228852055,0.00011767711479386825,0.9331083242960073,0.06689167570399233,0.0,0.0,0.0,0.0
-30.66141013659135,-27.904511120552147,1.9460614,0.3138621879170869,3.8313551023606913,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,-49.061836,3FGL J0002.0-6722,2466.7234,PowerLaw,310.13892,0,0.9998933123691763,0.00010668763082361178,0.9951010233801263,0.004898976619872823,0.9603995983789979,0.03960040162100224,0.9971008177546198,0.002899182245379947,0.0,0.0,0.0,0.0
-26.92441146248139,-27.875721990618057,2.5538373,0.2699922511083639,3.6515926098302733,-0.712003724275364,-0.6043619034224237,-0.8943478813352859,-0.8739048759540178,-30.745094,3FGL J0003.4+3100,572.5596,PowerLaw,110.96407,0,0.9832511440641942,0.016748855935804174,0.6089009634432478,0.39109903655675354,0.47511357271139787,0.5248864272886018,0.8522125314938911,0.14778746850610927,0.0,0.256,0.671,0.0
-29.850704975345312,-27.520680551325064,2.1830583,0.5991388180236966,3.4378945608161273,0.9984257717351934,-0.6529445643244444,-0.6811770596181577,-0.5857441366203813,-4.9115977,3FGL J0003.5+5721,2119.9404,PowerLaw,116.4863,0,0.9897153100844092,0.010284689915591373,0.5824744192358646,0.4175255807641349,0.5580960971032248,0.44190390289677406,0.9163230315972385,0.08367696840276086,0.0,0.317,0.161,0.0
-28.13952776393181,-26.841616931216677,2.4968367,1.3640582357676834,3.550035977320103,-0.023348192043394566,-0.8100646563187508,-0.6738800287530278,-0.8533512025906097,5.494,3FGL J0004.2+6757,1328.3618,PowerLaw,118.509155,25,0.3091651516431065,0.6908348483568945,0.04536106807742168,0.9546389319225785,0.0444551621660238,0.9555448378339751,0.2976572445856401,0.7023427554143606,0.904,1.0,1.0,1.0
-30.972925255785086,-27.86031076587199,2.0504425,-0.23529942296034895,3.8140060375761227,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,-52.363342,3FGL J0004.2+0843,2762.5613,PowerLaw,103.59949,0,0.9893505963210378,0.0106494036789624,0.990941361207849,0.009058638792151767,0.9924895248345408,0.00751047516545796,0.9206846834991081,0.07931531650089192,0.0,0.0,0.0,0.0
-29.957469208986623,-27.897549448104716,2.1869004,-1.7786281042231946,3.8191673986930605,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,-59.296867,3FGL J0006.2+0135,1807.7529,PowerLaw,100.400505,0,0.9997187877548547,0.00028121224514586436,0.9978518402016296,0.0021481597983697026,0.9998525289768592,0.00014747102314121484,0.9847797620216128,0.015220237978387813,0.0,0.0,0.0,0.0
-28.992048980380552,-27.616043344847967,2.4172597,-0.0727806073384616,3.888137873237709,-0.8645629819284496,-0.7492476058178281,-0.717673918205059,0.05096828296026606,-15.866622,3FGL J0006.6+4618,1249.3093,PowerLaw,114.90795,0,0.9911195981167805,0.00888040188322,0.990891217965741,0.00910878203425767,0.9947675482282833,0.005232451771715985,0.9379445768806947,0.062055423119304974,0.0,0.0,0.0,0.0
