Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J1845.8-2521,9.51765,-10.120241,-20.632943812325568,2.3712509,0.12543832,0.32553846,4.982439,0.9921346,-0.4990432,0.0023301733,-0.51971227,-0.5788261,-0.98798466,-0.99994683,1.2539917718793783,7.081698838158904,LogParabola,0.09126262,0.24176385,3FGL J1845.5-2524,,,0.0,0.0,0,0.006430183447902457,0.9935698165520971,0.017091427806120753,0.9829085721938791,0.005372791976859639,0.9946272080231406,0.02024659896680224,0.9797534010331973,1.0,1.0,1.0,1.0
4FGL J1846.0+0507,36.88621,3.5356374,-20.962312964777066,2.2645366,0.23113869,0.53881603,3.4785488,-0.65526235,-0.93937784,0.003904907,0.3005374,-0.342053,-0.91195375,-0.6340187,1.9540197168750264,7.834095742709612,LogParabola,0.26800588,0.67961466,,,,0.0,0.0,0,0.1218353029710467,0.8781646970289538,0.14879790901532544,0.851202090984673,0.21237316773376375,0.7876268322662359,0.2676801207555894,0.7323198792444118,1.0,0.973,1.0,1.0
4FGL J1846.9-0247,29.929707,-0.28072873,-19.56598614356631,2.5097442,0.24678253,0.51638556,4.789104,0.052436575,0.7097387,0.0051096412,-0.5180719,-0.79313594,-1.0,0.9999929,2.1779819687780693,7.539368167851437,LogParabola,0.21034421,0.6406421,,,,0.0,0.0,282,0.011822818135759593,0.9881771818642394,0.029419417881678785,0.9705805821183219,0.0013707832580182363,0.9986292167419817,0.06763273065992455,0.9323672693400755,1.0,0.999,1.0,1.0
4FGL J1847.0-0625,26.718159,-1.9485618,-20.998408424833787,2.4261117,0.3050676,0.63733053,3.7020867,-0.3027341,0.9625816,0.005786032,0.17238228,-0.5057112,-0.9462178,-0.9999785,1.9985034745173471,7.737368367262386,LogParabola,0.2858212,0.78417575,,,,0.0,0.0,1,0.3224391647061675,0.6775608352938322,0.044345944508305465,0.9556540554916946,0.026041593293998758,0.9739584067060009,0.2203748098700043,0.7796251901299961,0.929,0.996,1.0,1.0
4FGL J1847.2-0141,30.947845,0.16072634,-18.96898147563544,2.5275946,0.14154582,0.34839284,6.4299493,-0.9994967,0.9975383,0.004618582,-0.6073498,-0.8152095,-0.9953163,0.002415426,1.8844604630420931,7.55805038496968,LogParabola,0.088882126,0.4831007,,,,0.0,0.0,22,0.003197797019437278,0.9968022029805631,0.0013403129309761317,0.9986596870690237,0.00010470142120141191,0.9998952985787978,0.06366743229061825,0.9363325677093813,1.0,1.0,1.0,1.0
4FGL J1847.2-0200c,30.665327,0.0016002875,-19.967659926777984,2.4330611,1.477602,0.19380674,2.551651,0.9620092,-0.6839679,0.0050548688,-0.7613167,-0.7230936,-0.78897643,-0.48816344,2.4087765812001423,8.62219129140944,PowerLaw,0.4273562,0.89475155,,,,0.0,0.0,49,0.31241495432412086,0.6875850456758784,0.5133320048271725,0.4866679951728276,0.005875423183991563,0.9941245768160093,0.45467133333014403,0.5453286666698561,0.89,0.52,1.0,0.761
4FGL J1847.7-3433,1.109732,-14.298603,-21.833505970820866,2.153824,0.29428726,0.5143201,3.4043596,-0.37430108,0.96333,0.005406872,-0.041611448,-0.4484619,-0.9307109,-0.99978703,2.09149952682217,7.570525722883366,LogParabola,0.25498533,0.74027854,,,,0.0,0.0,0,0.9873391078094957,0.012660892190504288,0.4593553964797363,0.5406446035202636,0.42912226538904213,0.5708777346109584,0.5841739748267384,0.4158260251732612,0.0,0.581,0.928,0.105
4FGL J1848.2-0016,32.329712,0.58121896,-20.307293966210363,2.519572,0.20052314,0.2287955,2.7250595,-0.13840659,-0.4033965,0.004352664,-0.6887866,-0.6923529,-0.8323523,-0.99940586,1.3684705336127991,7.869474875038266,PowerLaw,0.1169832,0.6209705,,,,0.0,0.0,286,0.07746939141278017,0.9225306085872196,0.01670644746246936,0.9832935525375313,0.004509892215345943,0.9954901077846526,0.33349490971274803,0.6665050902872511,0.996,1.0,1.0,0.998
4FGL J1848.7-6307,332.5113,-23.700737,-23.094373149418512,1.954741,0.20368597,-0.025313877,0.27363774,0.99941385,-0.8859713,4.3567916E-4,-0.28979897,-0.30435994,-0.64653015,-0.42993015,1.6862294147592778,8.684630018208905,PowerLaw,0.082256995,0.3111194,,,,0.0,0.0,0,0.9995156781283968,0.00048432187160325443,0.9972548396446791,0.0027451603553205763,0.998471999554916,0.0015280004450837776,0.9977535638512097,0.002246436148791551,0.0,0.0,0.0,0.0
4FGL J1849.4-0117,31.54713,-0.14576794,-20.045074425721634,2.4405427,0.8946135,0.12737316,2.1977015,0.99905765,-0.48910737,0.0028618025,-0.78486687,-0.6629274,-0.763671,-0.99999946,2.439594928270714,8.600754992119777,PowerLaw,0.25753164,0.9847509,1FGL J1849.7-0121c,,,0.0,0.0,20,0.32675952568316957,0.67324047431683,0.24345666441139008,0.7565433355886095,0.009504772663423734,0.9904952273365765,0.5943901330009629,0.40560986699903656,0.894,0.899,1.0,0.089
