Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
3FGL J0001.0+6314,117.2930908203125,0.9257011413574219,-25.06388057366717,-26.996604993524276,-1.360942325754102,3.971194509710279,2.732785940170288,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,472.15625,PowerLaw,,28,0.989934358535278,0.009906215074781562,0.010065641464722124,0.009906215074781562,0.9922944874931154,0.015587014641386641,0.007705512506884619,0.015587014641386641,0.9079942966582245,0.03944165398484703,0.09200570334177546,0.03944165398484703,0.999912848330146,7.442795726536455E-5,8.715166985390274E-5,7.442795726536573E-5,0.9774415715768325,0.030391239085490337,0.022558428423167427,0.03039123908549034,0.9571669937172603,0.08394123909471869,0.042833006282739686,0.08394123909471869,0.8643174771089671,0.05828272041252606,0.1356825228910329,0.05828272041252606,0.9986563383735276,0.0011641311439135008,0.0013436616264723394,0.0011641311439135
3FGL J0001.2-0748,89.02220153808594,-67.32424926757812,-25.574629884237865,-27.686984908335887,0.6419789728126855,3.90677350257576,2.149348258972168,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0,0.9791174489487835,0.02064233702355124,0.020882551051216634,0.02064233702355124,0.9800181960201179,0.06203799051143047,0.019981803979882026,0.06203799051143047,0.855719605226699,0.04953257313389231,0.14428039477330104,0.04953257313389231,0.938921962885831,0.014109820743928364,0.06107803711416904,0.014109820743928364,0.8726277491522761,0.1081763513347951,0.12737225084772372,0.1081763513347951,0.8620884385704564,0.17209239675196825,0.13791156142954356,0.17209239675196825,0.8052053345644742,0.06386194857157533,0.19479466543552584,0.06386194857157532,0.7057821257390319,0.08168524767801155,0.29421787426096807,0.08168524767801155
3FGL J0001.4+2120,107.6654281616211,-40.047157287597656,-25.54347707292238,-27.807881441357374,1.4846860300648468,4.87011829582341,2.799172658858443,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,310.68167,LogParabola,TXS 2358+209,0,0.9999178384675789,9.949501090565105E-5,8.216153242120518E-5,9.949501090565253E-5,0.992414277838024,0.014986317551348218,0.007585722161975941,0.014986317551348218,0.9747357724751857,0.01829054678402413,0.025264227524814286,0.018290546784024125,0.9943189793999452,0.00324084406384923,0.00568102060005479,0.0032408440638492303,0.9999073535346777,1.7213631127641435E-4,9.264646532220201E-5,1.7213631127641632E-4,0.9601538267993203,0.0699606734218672,0.03984617320067987,0.0699606734218672,0.9694872213763016,0.02323176033854274,0.030512778623698465,0.023231760338542747,0.9563873362248106,0.05034329668333061,0.04361266377518935,0.05034329668333061
3FGL J0002.2-4152,334.0700988769531,-72.1427230834961,-26.526337623882803,-28.029672703706314,-1.6080757419882903,4.031600965159877,2.088920831680298,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0,0.9999436450813166,4.489139136155363E-5,5.6354918683399606E-5,4.489139136155411E-5,0.9947892309241848,0.015742546837716684,0.0052107690758151845,0.015742546837716684,0.9972721890528234,0.0028087137564924373,0.002727810947176649,0.0028087137564924446,0.9999972522801621,1.953734530919469E-6,2.7477198379079632E-6,1.953734530918522E-6,0.9999642581986945,3.1473266220643724E-5,3.574180130532383E-5,3.147326622064367E-5,0.9817151939357103,0.05403495209128956,0.01828480606428982,0.05403495209128956,0.9962067272987697,0.006120812908848133,0.0037932727012301246,0.006120812908848136,0.9999823960875177,1.8430690517651073E-5,1.7603912482214893E-5,1.843069051765135E-5
3FGL J0003.2-5246,318.97613525390625,-62.82470703125,-26.53002520081035,-27.907395030137014,-0.09545066589884078,3.812875095276755,1.8952075242996216,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0,0.9998600870551856,9.912125131017436E-5,1.3991294481445463E-4,9.912125131017576E-5,0.9940927840560617,0.01477511509675035,0.005907215943938383,0.01477511509675035,0.9939223161125302,0.007385732452067905,0.0060776838874697404,0.007385732452067913,0.9985176537341806,6.789147092167946E-4,0.0014823462658194327,6.789147092167943E-4,0.9997898322639083,2.310374331622737E-4,2.1016773609163405E-4,2.310374331622738E-4,0.9738593480772427,0.06217830998461705,0.02614065192275723,0.06217830998461705,0.9934241798175195,0.008942728684970352,0.006575820182480523,0.008942728684970357,0.9900147831067116,0.0056797394703555085,0.009985216893288433,0.005679739470355508
3FGL J0003.8-1151,84.43189239501953,-71.084228515625,-26.67389431808266,-27.973158380294528,0.5819362501580878,3.88139153182789,2.0235214233398438,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0,0.9997561892720245,2.3403011671591098E-4,2.4381072797553078E-4,2.3403011671590534E-4,0.9926080245276168,0.0164967846232789,0.007391975472383275,0.016496784623278898,0.9881155265759751,0.008830354422767497,0.011884473424024941,0.008830354422767507,0.9919459985296137,0.0025535290704590745,0.008054001470386303,0.0025535290704590753,0.9991470246785771,8.189761170556564E-4,8.529753214229694E-4,8.189761170556545E-4,0.9620274181332331,0.0851847455957234,0.03797258186676686,0.0851847455957234,0.9626193766635244,0.028096987778486848,0.037380623336475675,0.028096987778486845,0.9521554883676268,0.025653282218576868,0.04784451163237326,0.025653282218576868
3FGL J0004.7-4740,323.8155822753906,-67.51864624023438,-25.413302189832038,-27.84574272676745,0.607582196233669,4.726791670559944,2.4035162925720215,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0,0.9951289491998241,0.008370531474874612,0.004871050800175986,0.008370531474874612,0.9933371928785087,0.014611223343622035,0.006662807121491279,0.014611223343622035,0.9387895940200115,0.03590100753711756,0.06121040597998855,0.03590100753711755,0.987011255486877,0.004011391735253574,0.012988744513123061,0.004011391735253575,0.9984491366134841,0.0034387854717793536,0.0015508633865158133,0.003438785471779351,0.9633739810240584,0.07168716206161117,0.03662601897594143,0.07168716206161116,0.9363225470791624,0.03645147805340358,0.06367745292083768,0.036451478053403596,0.9172575924268056,0.03695432567503531,0.08274240757319443,0.03695432567503531
3FGL J0006.4+3825,113.3318862915039,-23.613311767578125,-25.290752442077466,-27.598428018704073,0.8233172782629792,4.387791256342585,2.617129325866699,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0,0.9998822007918267,2.4799005185949745E-4,1.1779920817321746E-4,2.479900518594962E-4,0.988542671226679,0.018267900670846778,0.011457328773320837,0.01826790067084678,0.9907342393771819,0.009628923347033415,0.009265760622818106,0.00962892334703341,0.9740678871222308,0.0061263820077564375,0.02593211287776926,0.006126382007756438,0.9994365570968033,6.386816828154642E-4,5.63442903196747E-4,6.386816828154645E-4,0.9266493219120574,0.07714964078879984,0.07335067808794261,0.07714964078879984,0.9824815432248212,0.015043770632775493,0.01751845677517866,0.015043770632775498,0.7837801084788435,0.07338710575968743,0.2162198915211565,0.07338710575968742
3FGL J0007.0+7302,119.66210174560547,10.460556983947754,-21.577666684262105,-26.281765178832583,3.120187876508757,3.832299956436161,1.5566727965162144,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,913.7095,PLSuperExpCutoff,LAT PSR J0007+7303,0,0.004567342365628076,0.02634628037401589,0.9954326576343718,0.02634628037401589,0.04895690437051128,0.13122981503634285,0.9510430956294887,0.13122981503634285,0.11569461943048971,0.05697407831034226,0.8843053805695102,0.05697407831034226,2.2809026924050182E-4,1.428256879863563E-4,0.9997719097307594,1.428256879863563E-4,0.007453472075108991,0.049107830748333185,0.9925465279248911,0.049107830748333185,0.01978847982353714,0.06152864484525152,0.980211520176463,0.06152864484525153,0.02408045336079279,0.024133060349173983,0.9759195466392072,0.02413306034917398,4.266989224242886E-5,4.522964761664356E-5,0.9999573301077576,4.5229647616643563E-5
3FGL J0008.0+4713,115.33255004882812,-15.002617835998535,-24.54452049649656,-27.2371429638311,0.9218680679753957,3.6031438341006123,2.020996570587158,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0,0.9801024282766826,0.024495258603796574,0.019897571723317346,0.024495258603796574,0.6983224890183499,0.20876470620445792,0.30167751098165013,0.20876470620445792,0.9698185264617726,0.018492236630033892,0.030181473538227532,0.018492236630033885,0.7290473488192842,0.04755715152793844,0.27095265118071576,0.047557151527938435,0.8968941745808062,0.09421844817876388,0.10310582541919378,0.09421844817876389,0.25340216626492523,0.2114461197277458,0.7465978337350746,0.2114461197277458,0.9085331570504462,0.05132541666314965,0.09146684294955378,0.05132541666314965,0.25304351212646237,0.06175607927397718,0.7469564878735377,0.06175607927397718
