Source_Name_3FGL,GLON_1,GLAT_1,ln(Energy_Flux100)_1,ln(Unc_Energy_Flux100)_1,ln(Signif_Curve),ln(Variability_Index)_1,500MeV_Index,HR12_1,HR23_1,HR34_1,HR45_1,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1_1,Flags_1,AGN_BDT_1,AGN_BDT_STD_1,PSR_BDT_1,PSR_BDT_STD_1,AGN_NN_1,AGN_NN_STD_1,PSR_NN_1,PSR_NN_STD_1,AGN_RF_1,AGN_RF_STD_1,PSR_RF_1,PSR_RF_STD_1,AGN_LR_1,AGN_LR_STD_1,PSR_LR_1,PSR_LR_STD_1,AGN_BDT_O_1,AGN_BDT_STD_O_1,PSR_BDT_O_1,PSR_BDT_STD_O_1,AGN_NN_O_1,AGN_NN_STD_O_1,PSR_NN_O_1,PSR_NN_STD_O_1,AGN_RF_O_1,AGN_RF_STD_O_1,PSR_RF_O_1,PSR_RF_STD_O_1,AGN_LR_O_1,AGN_LR_STD_O_1,PSR_LR_O_1,PSR_LR_STD_O_1,Source_Name_4FGL,GLON_2,GLAT_2,ln(Energy_Flux100)_2,ln(Unc_Energy_Flux100)_2,ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index)_2,HR12_2,HR23_2,HR34_2,HR45_2,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1_2,AGN_BDT_2,AGN_BDT_STD_2,PSR_BDT_2,PSR_BDT_STD_2,AGN_NN_2,AGN_NN_STD_2,PSR_NN_2,PSR_NN_STD_2,AGN_RF_2,AGN_RF_STD_2,PSR_RF_2,PSR_RF_STD_2,AGN_LR_2,AGN_LR_STD_2,PSR_LR_2,PSR_LR_STD_2,AGN_BDT_O_2,AGN_BDT_STD_O_2,PSR_BDT_O_2,PSR_BDT_STD_O_2,AGN_NN_O_2,AGN_NN_STD_O_2,PSR_NN_O_2,PSR_NN_STD_O_2,AGN_RF_O_2,AGN_RF_STD_O_2,PSR_RF_O_2,PSR_RF_STD_O_2,AGN_LR_O_2,AGN_LR_STD_O_2,PSR_LR_O_2,PSR_LR_STD_O_2,Flags_2
3FGL J0003.4+3100,110.96407,-30.745094,-26.03305315568977,-27.875721978452916,0.26999224013213596,3.6515926531326808,2.553837299346924,-0.712003724275364,-0.6043619034224237,-0.8943478813352859,-0.8739048759540178,UNAS,None,572.5596,PowerLaw,none,0,0.9865286919504517,0.0805781066485093,0.01347130804954834,0.0805781066485093,0.9857224048312044,0.02287542838176716,0.014277595168795568,0.022875428381767163,0.9561868112513011,0.019787957704636004,0.04381318874869886,0.019787957704636004,0.9472649372671231,0.014223399151116116,0.052735062732876856,0.014223399151116116,0.9608474417505078,0.05188852634622341,0.039152558249492146,0.05188852634622341,0.8277864603416484,0.19200254238825606,0.17221353965835154,0.19200254238825606,0.911882129021645,0.0426464939099778,0.08811787097835494,0.042646493909977795,0.46104567862191914,0.1023945628073784,0.5389543213780809,0.1023945628073784,4FGL J0003.6+3059,111.004486,-30.771994,-26.955465423476884,-28.9143853800747,7.349621216396928,1.8310047,0.22232746,0.76952976,4.9781256,1.8189670200830914,-0.81660074,-0.4883601,-0.047854107,-0.7507247,-0.8001265,-1.0,UNAS,None,3FGL J0003.4+3100,,,0.7584479250172276,0.19940226726525562,0.24155207498277237,0.19940226726525562,0.6183043185037463,0.22300353631086647,0.38169568149625366,0.22300353631086647,0.6134398050750953,0.07550606450245621,0.38656019492490457,0.07550606450245621,0.6463549007697672,0.06602590529973666,0.35364509923023274,0.06602590529973666,0.2744593673358519,0.21931198861471807,0.725540632664148,0.21931198861471807,0.15369094841026015,0.16530924167462052,0.8463090515897398,0.16530924167462052,0.19712410531550362,0.07697570307287291,0.8028758946844964,0.07697570307287291,0.16077022229042387,0.0649452251561426,0.8392297777095762,0.0649452251561426,0
3FGL J0003.5+5721,116.4863,-4.9115977,-25.951463880369015,-27.52068054539671,0.5991388304005333,3.437894547754549,2.183058261871338,0.9984257717351934,-0.6529445643244444,-0.6811770596181577,-0.5857441366203813,UNAS,None,2119.9404,PowerLaw,none,0,0.998650232731346,0.0034297036068988845,0.0013497672686540057,0.003429703606898886,0.9449724020488727,0.09195912197444937,0.05502759795112728,0.09195912197444936,0.981548499017409,0.012038536958764317,0.018451500982590907,0.012038536958764315,0.9277981208620588,0.020005132440039267,0.07220187913794121,0.02000513244003927,0.989057220142532,0.015740949654571193,0.010942779857468096,0.01574094965457119,0.6601547596066707,0.2471079272747996,0.33984524039332914,0.2471079272747996,0.9226951638014304,0.05390711083812814,0.07730483619856972,0.05390711083812814,0.5564250344298388,0.12136254750256112,0.44357496557016124,0.12136254750256112,4FGL J0004.0+5715,116.52632,-5.0228662,-26.054545384160928,-27.97222573836838,7.174689071460679,2.2391906,0.19627067,0.21672615,2.326301,2.345760364967579,-0.107881784,0.97506714,-0.7008091,-0.5856442,-0.83654135,-0.999656,UNAS,None,3FGL J0003.5+5721,,,0.9853935023415927,0.015431346132027823,0.014606497658407403,0.015431346132027825,0.9828528362248983,0.022548148801276126,0.017147163775101677,0.022548148801276126,0.9760919857783615,0.014541082425126079,0.023908014221638525,0.014541082425126075,0.9542554446142051,0.010103519853436035,0.04574455538579498,0.010103519853436035,0.8744434013796065,0.08753460426153259,0.12555659862039356,0.08753460426153259,0.8970069773088328,0.12790526769238664,0.1029930226911672,0.12790526769238664,0.7253825447121314,0.09271730178683463,0.2746174552878687,0.09271730178683464,0.7471350614184143,0.07500845141881621,0.2528649385815857,0.07500845141881621,0
3FGL J0006.6+4618,114.90795,-15.866622,-26.205476947756104,-27.616043380369984,-0.07278060525101489,3.888137870847306,2.417259693145752,-0.8645629819284496,-0.7492476058178281,-0.717673918205059,0.05096828296026606,UNAS,None,1249.3093,PowerLaw,none,0,0.999793752217306,5.623927732674162E-4,2.0624778269400646E-4,5.623927732674148E-4,0.9927365691388845,0.015400909187608827,0.007263430861115468,0.015400909187608825,0.9934589797949104,0.005222250656300919,0.0065410202050895485,0.005222250656300925,0.9998042277820537,1.043053287835195E-4,1.957722179463329E-4,1.0430532878352085E-4,0.9989352039284786,0.0017813237625656242,0.001064796071521464,0.0017813237625656237,0.9640961907650824,0.0724838046335264,0.03590380923491763,0.0724838046335264,0.9754129534599686,0.019948086420217545,0.024587046540031438,0.019948086420217545,0.9973257151564506,0.0023406929387723317,0.002674284843549309,0.0023406929387723317,4FGL J0006.6+4618,114.92035,-15.869719,-27.233269861711417,-28.57580050469854,8.228710929106262,1.5733788,0.4580926,0.57534486,2.3926308,2.2812373406456636,-0.011914012,-0.99921906,0.91955614,-0.27789238,-0.56709397,-0.999892,UNAS,None,3FGL J0006.6+4618,,,0.9990451557759582,0.0013924184024700075,9.548442240417765E-4,0.0013924184024700066,0.9970901498185155,0.003300015183153536,0.0029098501814843907,0.003300015183153535,0.9905603695014996,0.006118470011528412,0.009439630498500374,0.006118470011528415,0.984757391171295,0.0052591535178792646,0.015242608828704957,0.005259153517879264,0.998171720790561,0.0018554967218562103,0.001828279209439024,0.00185549672185621,0.9868332118071758,0.024630963316192613,0.01316678819282423,0.024630963316192613,0.9865087790115264,0.014683792153647578,0.013491220988473506,0.014683792153647578,0.9637981542030221,0.020227674668198057,0.036201845796977966,0.020227674668198057,0
3FGL J0010.5-1425,84.006,-74.11172,-26.518111229796443,-27.99461530214686,1.047668413035857,4.034630606460684,2.30835223197937,0.9989722999406816,-0.684107978875886,-0.7668650333131017,-0.999941859799739,UNAS,None,1005.85754,PowerLaw,none,0,0.9763434048236911,0.03723406754205978,0.02365659517630888,0.037234067542059775,0.9184161878075268,0.10691236071107198,0.08158381219247329,0.10691236071107198,0.8544055942197283,0.05042138451104023,0.14559440578027158,0.05042138451104023,0.837682410042894,0.03704253255296419,0.16231758995710596,0.03704253255296419,0.9609743044128647,0.06354916265176709,0.03902569558713532,0.06354916265176709,0.7151311311445975,0.24518108780420622,0.2848688688554025,0.24518108780420622,0.6623654310122528,0.09908617256847801,0.3376345689877472,0.09908617256847801,0.45625289212946074,0.09194121519750115,0.5437471078705393,0.09194121519750113,4FGL J0009.7-1418,83.705765,-73.91203,-26.473629351993548,-28.558238300590297,6.64542624948959,2.4355028,0.11727818,0.11756131,1.5849361,2.5243615145333593,0.9998706,-0.34324774,-0.8094941,-0.7947528,-0.3452183,-1.0,UNAS,None,3FGL J0010.5-1425,,,0.999465099368675,4.631230106365417E-4,5.349006313250497E-4,4.631230106365416E-4,0.9971713332746919,0.003506876206024316,0.0028286667253081587,0.003506876206024315,0.9947060354187475,0.004792312706549457,0.00529396458125254,0.004792312706549451,0.9979850295730227,8.017102512201993E-4,0.0020149704269772197,8.017102512201985E-4,0.9954917708182606,0.006360612313727795,0.004508229181739448,0.006360612313727796,0.985825172781019,0.019997329857506584,0.01417482721898097,0.019997329857506588,0.9779099478566874,0.018674240596281786,0.02209005214331267,0.01867424059628179,0.9874487747606847,0.006314907681465127,0.012551225239315227,0.006314907681465127,0
3FGL J0031.2-2320,71.50226,-84.071144,-26.652405056659916,-28.04248518716892,0.5911794669612936,3.5117344477575867,2.139113187789917,0.9718754356961963,-0.44261855764458496,-0.5809619294915024,-0.9991398106993409,UNAS,None,1541.3683,PowerLaw,none,0,0.9733530548829687,0.026886469478528092,0.0266469451170312,0.02688646947852809,0.9401454322381044,0.09577640801685051,0.05985456776189559,0.09577640801685051,0.8644440188905352,0.045537345501215895,0.13555598110946476,0.04553734550121589,0.8643430277377508,0.03350194446241644,0.1356569722622491,0.03350194446241644,0.9599301124821675,0.036171753643761975,0.04006988751783243,0.036171753643761975,0.7558993878107851,0.2566609729122748,0.2441006121892148,0.2566609729122748,0.8612670773382811,0.05973133231510369,0.13873292266171894,0.059731332315103684,0.4595155627161515,0.09753182482060925,0.5404844372838484,0.09753182482060925,4FGL J0031.0-2327,70.318275,-84.105675,-27.617495961398614,-29.190352813557737,7.341178432165106,1.6079216,0.40240973,0.7693234,3.3719153,1.8921056986515132,-0.9999863,0.99981797,0.009363027,-0.57584566,-0.9109904,-0.8334808,UNAS,None,3FGL J0031.2-2320,,,0.9443544615801049,0.0722997109329294,0.055645538419895134,0.0722997109329294,0.9482230031681939,0.09171557478811164,0.05177699683180626,0.09171557478811164,0.8924829293399177,0.03840535622834697,0.10751707066008231,0.03840535622834697,0.9185989627141885,0.028776111968379106,0.0814010372858115,0.028776111968379106,0.820270052129222,0.1569312292703023,0.179729947870778,0.1569312292703023,0.7361709602317121,0.28853322016950633,0.26382903976828787,0.28853322016950633,0.7702640530053657,0.0736079849953092,0.22973594699463443,0.0736079849953092,0.7453459181421616,0.11347304257177487,0.25465408185783855,0.11347304257177486,0
3FGL J0048.1-6343,303.53308,-53.392723,-26.278048535099366,-27.995943103171815,1.2123953958626876,3.9503576561423306,2.108412027359009,0.9992849899534153,-0.448148742168516,-0.5882807022473242,-0.8289985228842581,UNAS,None,1597.7219,PowerLaw,none,0,0.8212245384616751,0.1646991155166285,0.1787754615383249,0.1646991155166285,0.8294147601547536,0.1490773830890519,0.17058523984524634,0.1490773830890519,0.825193892270332,0.06467541509840768,0.17480610772966793,0.06467541509840768,0.7621986356286229,0.04921082050627034,0.23780136437137708,0.04921082050627034,0.6945171333420451,0.24065920410369926,0.3054828666579549,0.24065920410369926,0.5231546573494313,0.2739127564898215,0.47684534265056866,0.2739127564898215,0.4034305058065561,0.13437380997854384,0.596569494193444,0.13437380997854384,0.36972170884441413,0.08422421269315603,0.6302782911555859,0.08422421269315603,4FGL J0048.6-6347,303.44296,-53.33411,-26.77849381716441,-28.77887614389596,7.25699590625464,1.8272698,0.18599944,0.4204481,4.662656,2.0229174776457777,-1.0,0.9999996,-0.3950667,-0.6484089,-0.77653164,-0.9994747,UNAS,None,3FGL J0048.1-6343,,,0.707911280819604,0.19861562190589752,0.2920887191803961,0.19861562190589752,0.9095627159901698,0.11470254647371042,0.09043728400983031,0.11470254647371042,0.6693419018354093,0.07619272857427499,0.3306580981645906,0.07619272857427499,0.93553816794824,0.01971291525677352,0.06446183205175991,0.01971291525677352,0.2594074222806435,0.17347630965369026,0.7405925777193564,0.17347630965369026,0.5646519558146118,0.2929055225733252,0.4353480441853883,0.2929055225733252,0.32557963700376835,0.08703425437083971,0.6744203629962315,0.0870342543708397,0.6173822617677659,0.1084684724498595,0.38261773823223416,0.10846847244985951,0
3FGL J0051.6+6445,122.95131,1.8875066,-25.525422440536108,-27.151148153007917,-0.1872993260520221,3.7877248040595046,2.2792558670043945,-0.5864049889008074,-0.5664620972598615,-0.6776057072968389,-0.7259309655319925,UNAS,None,1719.2827,PowerLaw,none,12,0.9977308814641618,0.02090440894173962,0.0022691185358381136,0.02090440894173962,0.991206462772784,0.016153685978927513,0.008793537227215997,0.016153685978927513,0.9844412480560846,0.010630954868769962,0.015558751943915485,0.010630954868769953,0.9968838758599806,0.0010972932858428655,0.0031161241400193226,0.0010972932858428666,0.9516508738000572,0.061351728981476235,0.04834912619994283,0.061351728981476235,0.9432602970393528,0.09430435504010362,0.05673970296064731,0.09430435504010361,0.9169338584354783,0.05027322098008596,0.08306614156452174,0.05027322098008596,0.9567809604483489,0.02082609975711215,0.04321903955165119,0.02082609975711215,4FGL J0052.1+6444,123.01039,1.8703632,-25.47406903374944,-27.345320409884472,7.146285221433168,2.3635426,0.17707159,0.2683908,2.5112798,1.427891125618789,-0.31627405,0.8034038,-0.49460497,-0.8260148,-0.8538699,-0.9958066,UNAS,None,3FGL J0051.6+6445,,,0.9612303012843801,0.03870835510759948,0.03876969871561982,0.03870835510759948,0.5928979548097282,0.21840886991730166,0.4071020451902718,0.21840886991730166,0.8678095819817736,0.0442515437247947,0.13219041801822654,0.04425154372479471,0.5963658320550836,0.06292898325068402,0.40363416794491636,0.06292898325068402,0.5039639110511541,0.20371649934733926,0.4960360889488459,0.2037164993473393,0.1087680628403893,0.15300134184196937,0.8912319371596108,0.15300134184196937,0.4383751436842608,0.09464075289088376,0.5616248563157392,0.09464075289088378,0.10566405439509569,0.03578269813151182,0.8943359456049043,0.03578269813151182,0
3FGL J0102.1+4458,124.92201,-17.858519,-26.537449755970517,-27.897000635120076,-1.0210373028884947,3.707005463587132,2.2651009559631348,-0.7477973337978396,-0.8754619713293417,0.2072842959149067,-0.8026115570556448,UNAS,None,1645.4283,PowerLaw,none,0,0.9995132717508306,4.699018102107213E-4,4.8672824916935E-4,4.699018102107205E-4,0.9933333201119839,0.014604622309790519,0.00666667988801596,0.014604622309790519,0.9912673655899795,0.007466487379070915,0.00873263441002052,0.0074664873790709135,0.9999284721456748,5.053670519435148E-5,7.152785432513023E-5,5.053670519435079E-5,0.9987997065002002,0.0013196707259957017,0.001200293499799638,0.0013196707259957004,0.9705236335014271,0.06182639335682146,0.02947636649857291,0.06182639335682146,0.9720479717997061,0.021983453874167672,0.02795202820029384,0.02198345387416768,0.9995198819329846,5.614643472505995E-4,4.8011806701535255E-4,5.614643472506003E-4,4FGL J0102.1+4458,124.92797,-17.86201,-27.25038751492924,-28.680066312749265,8.080128189445755,0.91132617,0.4647627,0.8726094,2.2573323,2.3289619174874066,-0.98871744,0.5564955,-0.80950654,-0.04574342,-0.5732996,-0.9993227,UNAS,None,3FGL J0102.1+4458,,,0.9991021989917379,7.570068546264484E-4,8.978010082620496E-4,7.570068546264487E-4,0.9977771041740547,0.0028325234383970383,0.0022228958259452227,0.002832523438397037,0.9886282872052248,0.006955631367662168,0.011371712794775208,0.006955631367662165,0.99534179240868,0.001940821754958769,0.004658207591319884,0.0019408217549587688,0.9956877272955424,0.0047772472963118874,0.004312272704457521,0.004777247296311888,0.9909347966250007,0.014433502343253319,0.009065203374999222,0.014433502343253317,0.9802867911926663,0.01630110964803728,0.019713208807333772,0.016301109648037274,0.9912753111423381,0.006835400912829567,0.008724688857661814,0.006835400912829567,0
3FGL J0116.8+6913,125.19848,6.46833,-25.47198025742242,-27.18829401436344,0.6454817253220596,3.924471295493958,2.7590959072113037,-0.6992343801289643,-0.8965807583064365,-0.7670797546737129,-0.9997503281674898,UNAS,None,504.93448,PowerLaw,none,16,0.9955621395309303,0.00337063066884143,0.004437860469069745,0.003370630668841431,0.9648239188341703,0.037990657423431724,0.03517608116582971,0.037990657423431724,0.9564545968375362,0.020974139727358152,0.04354540316246378,0.020974139727358152,0.9139135401557696,0.015844579343338827,0.08608645984423037,0.015844579343338827,0.9809934738473797,0.018381947675908755,0.019006526152620367,0.018381947675908755,0.6622297891938729,0.24853001327285992,0.3377702108061271,0.24853001327285992,0.8682297118758068,0.059687795880721796,0.13177028812419325,0.059687795880721796,0.46922509581972915,0.07300178682032755,0.5307749041802708,0.07300178682032754,4FGL J0116.8+6914,125.19039,6.4810796,-26.27336882331524,-27.824994300383338,6.52214835657046,2.655203,0.28711644,0.80516225,4.885349,1.2846426862656393,-0.54190946,-0.47316465,-0.8081395,-0.99972814,-0.8591309,-0.58321196,UNAS,None,3FGL J0116.8+6913,,,0.78317088209016,0.21433117751336478,0.21682911790984008,0.21433117751336478,0.20907395411762883,0.1651197668696704,0.7909260458823713,0.1651197668696704,0.7455955565114603,0.059994336701847666,0.2544044434885398,0.05999433670184767,0.2085983591795873,0.05784593942164141,0.7914016408204126,0.05784593942164141,0.41560436651733007,0.2833791075966056,0.58439563348267,0.2833791075966056,0.025081293952258568,0.03772886853138206,0.9749187060477413,0.03772886853138206,0.4146813472975544,0.09961079744270118,0.5853186527024457,0.09961079744270118,0.004538818501540359,0.0026723146863767886,0.9954611814984596,0.0026723146863767886,0
3FGL J0132.1-5340,289.86023,-62.40861,-26.537509472291855,-28.006481492879278,-0.5396751339890892,3.552486982233475,2.3194029331207275,-0.011045533134215553,-0.7005356796986765,-0.7036124318193355,-0.546612191737479,UNAS,None,1242.8344,PowerLaw,none,0,0.999473640788803,6.267324404370896E-4,5.263592111970645E-4,6.267324404370906E-4,0.9946255428812039,0.013882719603547611,0.0053744571187961734,0.013882719603547613,0.9828895352231946,0.010915044728471202,0.01711046477680544,0.010915044728471199,0.9990961096522305,3.9858228848913105E-4,9.038903477693838E-4,3.985822884891317E-4,0.9983814247213479,0.0018269606824249335,0.0016185752786520102,0.0018269606824249333,0.9756822581162192,0.06269634895862629,0.02431774188378075,0.06269634895862629,0.9405534348339654,0.0368248991585262,0.05944656516603455,0.0368248991585262,0.9827383022872195,0.01127765291885398,0.01726169771278055,0.01127765291885398,4FGL J0131.7-5346,290.05676,-62.33528,-26.749005618127832,-28.710483262901008,7.139761394622199,2.0263999,0.2802202,0.27520075,1.6393372,2.069258029345104,-0.332824,-0.4851149,-0.44293854,-0.80894834,-0.78668714,-0.03235632,UNAS,None,3FGL J0132.1-5340,,,0.9979515233544534,0.0016822304934875022,0.0020484766455466374,0.0016822304934875022,0.9979306873315895,0.003032248364555139,0.0020693126684103824,0.0030322483645551382,0.9814465567893805,0.010786923073330722,0.018553443210619337,0.010786923073330717,0.9966549690436415,0.0012243063947424426,0.0033450309563585394,0.001224306394742442,0.9914559804396049,0.007313136165322567,0.008544019560395105,0.007313136165322567,0.9914437587043056,0.013986064088157344,0.008556241295694399,0.013986064088157344,0.9223196186474254,0.03426998429155713,0.07768038135257459,0.03426998429155713,0.98141241653299,0.010016995160520679,0.01858758346700998,0.010016995160520679,0
