Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
4FGL J0001.2+4741,0.9998848891222694,9.910632938397144e-05,0.0001151108777305038,9.910632938396936e-05,0.9926421988063295,0.013138940833017795,0.007357801193670498,0.013138940833017797,0.9980153756270778,0.0032511754543598954,0.0019846243729221866,0.0032511754543598915,0.9990698833185813,0.0006398272040714287,0.0009301166814188025,0.0006398272040714278
4FGL J0001.2-0747,0.9996541114666302,0.0002499892973147832,0.00034588853336984344,0.0002499892973147817,0.9903555370283293,0.017931855470683482,0.00964446297167081,0.01793185547068348,0.9979323585875859,0.003268878598725907,0.0020676414124140294,0.0032688785987259137,0.9966351861311328,0.0018107873277573364,0.003364813868867346,0.0018107873277573366
4FGL J0001.5+2113,0.9905158468377908,0.00983148989322545,0.009484153162209085,0.009831489893225454,0.9884593681458421,0.01926767093730448,0.01154063185415807,0.01926767093730448,0.9325688096062186,0.03479856219729214,0.06743119039378154,0.034798562197292146,0.9990051779928454,0.0007580462312487288,0.000994822007154457,0.0007580462312487269
4FGL J0001.6-4156,0.999846254866925,8.427449366075302e-05,0.00015374513307503843,8.427449366075473e-05,0.9957185191037404,0.005208021139807866,0.004281480896259625,0.00520802113980787,0.9994936351239369,0.0013527614821379293,0.0005063648760630521,0.0013527614821379288,0.9990159944931714,0.0005154210853275498,0.0009840055068284748,0.0005154210853275498
4FGL J0002.1-6728,0.9984962463712941,0.001124121275524828,0.0015037536287058526,0.0011241212755248268,0.9940323347622296,0.009579864333429108,0.005967665237770279,0.009579864333429102,0.9948992503949906,0.006328822299620995,0.005100749605009443,0.006328822299620993,0.9946179893360092,0.002866263604592418,0.005382010663990555,0.002866263604592418
4FGL J0002.3-0815,0.9982999971152688,0.0019478230367552772,0.0017000028847311646,0.0019478230367552761,0.9848373330264186,0.023676749115349793,0.015162666973581405,0.023676749115349793,0.980008532244706,0.016331285024678524,0.019991467755293965,0.016331285024678524,0.9869712260171819,0.009315601079561135,0.013028773982818117,0.009315601079561135
4FGL J0002.4-5156,0.9998529447628139,0.0001822115319849957,0.0001470552371861469,0.0001822115319849943,0.9956638254895994,0.004893144992397507,0.004336174510400356,0.004893144992397506,0.9949523872786616,0.007753558436428638,0.005047612721338256,0.007753558436428642,0.9992151595401404,0.0007279168057273437,0.0007848404598595353,0.000727916805727343
4FGL J0003.1-5248,0.9992626543212129,0.0005597038119796507,0.0007373456787869853,0.0005597038119796496,0.9929807715909937,0.009141097204258045,0.007019228409006236,0.009141097204258045,0.9982704759350607,0.002856756441056549,0.0017295240649394489,0.0028567564410565487,0.9897102429891659,0.0056283286850391055,0.010289757010834037,0.0056283286850391055
4FGL J0003.2+2207,0.992592964921597,0.011164097529184926,0.007407035078403093,0.011164097529184926,0.962244468513191,0.07596135500396273,0.037755531486808915,0.07596135500396271,0.9491891467253245,0.029639206665461607,0.050810853274675515,0.029639206665461614,0.9476536156745773,0.045649241484281775,0.052346384325422865,0.045649241484281775
4FGL J0003.3-1928,0.9698007063640242,0.030014703003759885,0.030199293635975653,0.03001470300375988,0.9880210124461899,0.01468089547464949,0.011978987553810022,0.014680895474649491,0.8772653422568595,0.054349290749141764,0.1227346577431404,0.054349290749141764,0.9933367135618398,0.003468237962074708,0.00666328643815997,0.003468237962074705
