Source_Name,AGN_BDT_MEAN_O,AGN_BDT_STD_O,PSR_BDT_MEAN_O,PSR_BDT_STD_O,AGN_NN_MEAN_O,AGN_NN_STD_O,PSR_NN_MEAN_O,PSR_NN_STD_O,AGN_RF_MEAN_O,AGN_RF_STD_O,PSR_RF_MEAN_O,PSR_RF_STD_O,AGN_LR_MEAN_O,AGN_LR_STD_O,PSR_LR_MEAN_O,PSR_LR_STD_O
4FGL J0000.3-7355,0.9996898259536194,0.0002775754677758397,0.0003101740463805919,0.0002775754677758383,0.987659309250798,0.01836321975648971,0.012340690749202023,0.018363219756489708,0.9961581861607574,0.00569523205249897,0.003841813839242549,0.00569523205249897,0.9978557580107944,0.0014598939034584503,0.0021442419892056847,0.0014598939034584505
4FGL J0003.3+2511,0.9986215830819766,0.001902213375082506,0.00137841691802344,0.0019022133750825057,0.8700654936758315,0.15492211849626128,0.12993450632416853,0.15492211849626128,0.9582936125853814,0.025784588128209007,0.041706387414618525,0.025784588128209007,0.7652391883882944,0.07420733653106704,0.23476081161170553,0.07420733653106705
4FGL J0003.6+3059,0.613934650316352,0.23288191645686301,0.386065349683648,0.23288191645686301,0.1908346891005641,0.19694803475204145,0.8091653108994359,0.19694803475204145,0.2895813899516534,0.09134863120845346,0.7104186100483466,0.09134863120845346,0.1846421238991756,0.07058987533884074,0.8153578761008244,0.07058987533884074
4FGL J0004.0+5715,0.8891938045481078,0.10259998178843793,0.11080619545189223,0.10259998178843793,0.7615578290775402,0.22269112235082858,0.23844217092245992,0.2226911223508286,0.6904756241774901,0.10886173476134813,0.30952437582250986,0.10886173476134814,0.5037783962855741,0.08752650737051526,0.4962216037144259,0.08752650737051526
4FGL J0004.4-4001,0.9998448915880157,0.0001295521653002197,0.00015510841198423508,0.00012955216530021854,0.9987184072939101,0.0021383564873434287,0.0012815927060898882,0.0021383564873434283,0.9977412954970492,0.004101230805103884,0.0022587045029509424,0.004101230805103884,0.9998110099620485,0.00011267858469205755,0.00018899003795138874,0.00011267858469205544
4FGL J0005.6+6746c,0.706547426465732,0.20401936506271892,0.293452573534268,0.20401936506271892,0.27479360266697433,0.25465494810356015,0.7252063973330257,0.25465494810356015,0.5928836225640413,0.11094988576064531,0.40711637743595874,0.11094988576064531,0.10120586337348865,0.05948466127648303,0.8987941366265113,0.05948466127648303
4FGL J0006.6+4618,0.9996167376478894,0.0003762863718036489,0.0003832623521106215,0.00037628637180364905,0.9974702522623125,0.004035048561256465,0.0025297477376876013,0.004035048561256466,0.997252320796844,0.005003065207005432,0.002747679203155993,0.005003065207005432,0.9879666577108934,0.0049236809203124865,0.012033342289106552,0.0049236809203124865
4FGL J0008.4+6926,0.9989353523997409,0.0010257153382776086,0.0010646476002590948,0.0010257153382776077,0.9706327468896365,0.061131509597088095,0.02936725311036338,0.061131509597088095,0.9760108186617542,0.02158107224932795,0.023989181338245853,0.021581072249327947,0.9351837434590426,0.04576990828815268,0.06481625654095742,0.04576990828815268
4FGL J0008.9+2509,0.9997669617586783,0.00035284856731002405,0.00023303824132168955,0.0003528485673100238,0.9870950539759402,0.019434119017974066,0.012904946024059696,0.019434119017974066,0.9645174399939018,0.023379966647039122,0.03548256000609824,0.023379966647039122,0.9792208098535847,0.011704494271330586,0.02077919014641534,0.011704494271330586
4FGL J0009.1-5012,0.9991385610794773,0.0009868612664202213,0.0008614389205226312,0.0009868612664202209,0.996203813733253,0.0049558210500816,0.003796186266747037,0.004955821050081601,0.9825778492487275,0.016826441085000445,0.017422150751272507,0.01682644108500045,0.9947002164924418,0.002633611383173829,0.0052997835075582036,0.002633611383173828
4FGL J0009.2+6847,0.290271403104113,0.2175965304619947,0.709728596895887,0.2175965304619947,0.017505969456206368,0.039340100578224034,0.9824940305437936,0.039340100578224034,0.17970143203487327,0.07350602781857019,0.8202985679651267,0.07350602781857017,0.011318254648243257,0.004521361110269932,0.9886817453517567,0.004521361110269933
4FGL J0009.2+1745,0.9995292888144439,0.0005703328658266584,0.0004707111855560211,0.0005703328658266577,0.996965056966014,0.004532822983380898,0.0030349430339860328,0.0045328229833809,0.9807317238074361,0.014154138040071956,0.019268276192564004,0.014154138040071956,0.9882764416764406,0.006246611269651512,0.011723558323559502,0.006246611269651513
4FGL J0009.7-1418,0.9993962756986736,0.0005132445535466354,0.0006037243013263045,0.0005132445535466359,0.9968615523092744,0.006339585624696099,0.003138447690725559,0.006339585624696097,0.9934783927457824,0.008657779187952824,0.006521607254217517,0.008657779187952823,0.998199932184759,0.0011825495637632433,0.0018000678152410605,0.001182549563763243
4FGL J0017.1-4605,0.9960450230674124,0.003329086003703255,0.003954976932587702,0.003329086003703255,0.9879976406849732,0.01934226074853784,0.012002359315026757,0.01934226074853784,0.9850668286682545,0.013811325767667562,0.014933171331745557,0.01381132576766756,0.988887449461671,0.006372089049210307,0.011112550538329064,0.006372089049210308
4FGL J0022.0-5921,0.9999181720728395,7.517625037198062e-05,8.182792716047535e-05,7.517625037198126e-05,0.9989566626423343,0.001944594823768503,0.001043337357665704,0.0019445948237685035,0.9986506176585509,0.0025788381251051046,0.0013493823414491128,0.002578838125105103,0.9998749036811281,8.105394295483689e-05,0.00012509631887195445,8.105394295483501e-05
4FGL J0023.6-4209,0.999765976296163,0.0002441389446094861,0.0002340237038369257,0.0002441389446094849,0.9989611488105166,0.001963958820090972,0.0010388511894834592,0.001963958820090971,0.9958269518668046,0.008124675991065889,0.004173048133195362,0.008124675991065889,0.9997437488865114,0.00017830851786852997,0.0002562511134885744,0.00017830851786853046
4FGL J0024.1+2402,0.9999581648869824,3.1547632216012006e-05,4.18351130175909e-05,3.154763221601104e-05,0.9985059726165734,0.002593861512650968,0.0014940273834267053,0.002593861512650968,0.999078023853442,0.0019674139351867122,0.0009219761465580084,0.0019674139351867114,0.9994320111664262,0.00040786462433188775,0.0005679888335738033,0.0004078646243318861
4FGL J0025.4-4838,0.9993134098223704,0.0007779235444997573,0.0006865901776295202,0.0007779235444997585,0.9982157289749329,0.0027565203720622744,0.0017842710250670286,0.002756520372062272,0.9851766075268356,0.012656743200951467,0.014823392473164347,0.012656743200951467,0.9996354398480557,0.00025562775047380216,0.0003645601519442503,0.00025562775047380216
4FGL J0026.1-0732,0.9975211912744634,0.002790257871906146,0.0024788087255366094,0.002790257871906146,0.962957264761953,0.06535391078856853,0.03704273523804698,0.06535391078856853,0.9918105372521465,0.010430272446184233,0.00818946274785342,0.010430272446184235,0.8120471133878451,0.09391275375752521,0.18795288661215495,0.09391275375752522
4FGL J0031.0-2327,0.991973972079315,0.01086604246968486,0.008026027920684955,0.01086604246968486,0.9157147896901867,0.13394519312264405,0.08428521030981333,0.13394519312264405,0.9180663836775914,0.03645064329922723,0.08193361632240863,0.03645064329922723,0.7954174612389636,0.10571152509635513,0.20458253876103635,0.10571152509635513
4FGL J0031.5-5648,0.9997616076352785,0.00024298661080518016,0.00023839236472141716,0.00024298661080518233,0.9988783417426791,0.0020618846694341023,0.001121658257320896,0.0020618846694341023,0.9966209643192953,0.005589780389962526,0.0033790356807047377,0.005589780389962522,0.9999468494012858,3.688701460028334e-05,5.3150598714259354e-05,3.6887014600284016e-05
4FGL J0034.6+6438,0.7592974809494003,0.14502448523375058,0.24070251905059967,0.14502448523375058,0.34591156295876796,0.256058092318108,0.6540884370412321,0.256058092318108,0.7055491379853731,0.09132400578666922,0.2944508620146267,0.09132400578666922,0.11353197378535454,0.0733156134434682,0.8864680262146454,0.0733156134434682
4FGL J0035.2-1739,0.9996589382496488,0.00034947234752195157,0.00034106175035114963,0.0003494723475219538,0.9899331643225365,0.017058288287737748,0.010066835677463519,0.017058288287737748,0.9981810954112945,0.003788671606406354,0.0018189045887054105,0.003788671606406355,0.9899117828480422,0.00522426765002523,0.010088217151957764,0.005224267650025231
4FGL J0037.2-2653,0.9983021107699431,0.002245479666564416,0.0016978892300568657,0.002245479666564417,0.9879317628465697,0.029509157285892332,0.012068237153430392,0.029509157285892335,0.9706076708251793,0.02311964425323965,0.029392329174820646,0.023119644253239653,0.9726926621052719,0.017791831555176447,0.027307337894728008,0.017791831555176447
4FGL J0039.1+6257,0.0013902992814068757,0.003212418982650302,0.9986097007185931,0.003212418982650303,0.0025803718955342064,0.00677161054928268,0.9974196281044658,0.006771610549282679,0.015541527128107184,0.012729379593416272,0.9844584728718928,0.012729379593416268,0.0076201169135083815,0.0035069215744663812,0.9923798830864916,0.0035069215744663812
4FGL J0039.7+4203,0.999526491736425,0.0005070322627323983,0.0004735082635749078,0.0005070322627323986,0.9983342830435871,0.002410291209879503,0.0016657169564129378,0.002410291209879504,0.9942633937242994,0.009048244337240748,0.005736606275700611,0.009048244337240748,0.9974763587996478,0.001176744595167591,0.002523641200352173,0.001176744595167591
4FGL J0040.7-7157,0.9991275088120061,0.0011595442557555621,0.0008724911879938718,0.0011595442557555625,0.9892900904884964,0.01943093886307656,0.010709909511503626,0.01943093886307656,0.962825152088175,0.027357861049977828,0.037174847911824974,0.02735786104997783,0.9785531260608727,0.022190190462305887,0.021446873939127305,0.022190190462305887
4FGL J0045.9-2021,0.9998545449253705,0.00010374963304076083,0.00014545507462945505,0.00010374963304076335,0.9948392584666396,0.010589117289748056,0.0051607415333604885,0.010589117289748056,0.9989093638252109,0.0025024765412812876,0.0010906361747892173,0.0025024765412812863,0.999277396491933,0.000583066106054979,0.0007226035080669407,0.0005830661060549786
4FGL J0046.7-7048,0.9966974805811298,0.0027955543456765195,0.0033025194188700856,0.002795554345676519,0.9813588945535038,0.027241724911080515,0.018641105446496192,0.027241724911080515,0.9915603126227703,0.010423394826748263,0.008439687377229754,0.010423394826748263,0.98778225461512,0.009188721087385146,0.012217745384879937,0.009188721087385148
4FGL J0048.6-6347,0.6762478768419207,0.20913271772892625,0.32375212315807944,0.20913271772892625,0.9302657726996938,0.08284671660641905,0.06973422730030612,0.08284671660641907,0.49237578628530704,0.09366890742699023,0.507624213714693,0.09366890742699023,0.705895432584937,0.11907015874172881,0.29410456741506313,0.11907015874172881
4FGL J0052.1+6444,0.8503311602873925,0.13330660948706557,0.14966883971260744,0.13330660948706557,0.35747988237343536,0.260370199633683,0.6425201176265646,0.260370199633683,0.6617781381802538,0.09623182731850727,0.3382218618197461,0.09623182731850727,0.10427542083312068,0.06199395682729258,0.8957245791668793,0.061993956827292584
4FGL J0055.7+4507,0.9992710650183416,0.0010672189906634035,0.0007289349816584859,0.0010672189906634026,0.997358469004213,0.00613205580810902,0.0026415309957870245,0.00613205580810902,0.9522739139866258,0.03192249123945614,0.047726086013374185,0.03192249123945614,0.9980183369221544,0.001981689913781454,0.001981663077845598,0.001981689913781454
4FGL J0057.5+6814,0.9815211220345061,0.022003786642061297,0.018478877965493842,0.0220037866420613,0.9381910509407831,0.09542228127353801,0.06180894905921687,0.09542228127353801,0.9698469366724198,0.021995383659527214,0.030153063327580172,0.021995383659527225,0.8071369314852238,0.10082917750785168,0.1928630685147761,0.10082917750785168
4FGL J0057.9+6326,0.9990790689563728,0.000794305768238604,0.0009209310436272216,0.0007943057682386034,0.9942167122910398,0.0189242313293156,0.005783287708960137,0.018924231329315606,0.9934596230826299,0.00897513218484989,0.0065403769173700615,0.008975132184849893,0.9927425538358999,0.004291188546548244,0.007257446164100037,0.004291188546548244
4FGL J0058.1+6915,0.995439459024644,0.0035071454252135472,0.0045605409753559645,0.003507145425213548,0.9908751710180245,0.020147015762484528,0.009124828981975582,0.020147015762484528,0.9895561177561215,0.012050728907678413,0.010443882243878573,0.012050728907678417,0.8515418443563667,0.06918839314406036,0.14845815564363335,0.06918839314406036
