Source_Name,AGN_BDT_MEAN_O,AGN_BDT_STD_O,PSR_BDT_MEAN_O,PSR_BDT_STD_O,AGN_NN_MEAN_O,AGN_NN_STD_O,PSR_NN_MEAN_O,PSR_NN_STD_O,AGN_RF_MEAN_O,AGN_RF_STD_O,PSR_RF_MEAN_O,PSR_RF_STD_O,AGN_LR_MEAN_O,AGN_LR_STD_O,PSR_LR_MEAN_O,PSR_LR_STD_O
4FGL J0001.2+4741,0.9999606272346795,0.00011050479732870776,3.9372765320413205e-05,0.0001105047973287063,0.9970871154914789,0.0021440741322416835,0.0029128845085212023,0.0021440741322416813,0.9953710864494897,0.007712098377800487,0.004628913550510458,0.007712098377800478,0.9995987598474829,0.00014641816807660563,0.00040124015251724983,0.00014641816807660433
4FGL J0001.2-0747,0.9999041008053084,7.017664794877965e-05,9.589919469152568e-05,7.017664794877778e-05,0.995788049553724,0.003035128109187674,0.00421195044627613,0.0030351281091876734,0.9984326069001391,0.004127290903449527,0.0015673930998609039,0.004127290903449533,0.9979780166097076,0.0006301983322601,0.0020219833902924184,0.0006301983322600982
4FGL J0001.5+2113,0.9963826464778148,0.0032785948257557126,0.003617353522185065,0.003278594825755714,0.9954443822292359,0.0032331683351590782,0.004555617770764108,0.00323316833515908,0.9711255816548943,0.02011745741758847,0.028874418345105707,0.020117457417588466,0.9999097727361944,5.2325886662786505e-05,9.022726380581605e-05,5.232588666278654e-05
4FGL J0001.6-4156,0.9999678463793327,2.1413306066447885e-05,3.215362066739382e-05,2.1413306066446e-05,0.9971135900344211,0.0024132400046913928,0.0028864099655788356,0.0024132400046913884,0.9997266811543677,0.00021310216015107584,0.0002733188456323252,0.00021310216015108245,0.9999332173389761,2.7496715162126926e-05,6.67826610238347e-05,2.7496715162125276e-05
4FGL J0002.1-6728,0.9999385794968897,4.434845261609553e-05,6.142050311039265e-05,4.4348452616097416e-05,0.9965796669414612,0.0037523318422167645,0.0034203330585387956,0.0037523318422167636,0.999206775604583,0.0017788083793571178,0.0007932243954168216,0.0017788083793571143,0.9998191344863021,7.454309824406311e-05,0.00018086551369776808,7.454309824406389e-05
4FGL J0002.8+6217,0.00029663756327877745,0.0005293773233485248,0.9997033624367211,0.0005293773233485249,0.05254879048045287,0.03425010468474874,0.9474512095195472,0.03425010468474874,0.013486986931465028,0.012081191954162086,0.9865130130685349,0.012081191954162093,0.004486567435706167,0.002163488521048352,0.9955134325642939,0.002163488521048352
4FGL J0003.1-5248,0.9999082924386676,4.352811238663829e-05,9.170756133226957e-05,4.3528112386636687e-05,0.9951253261402948,0.0036679646115664573,0.0048746738597051946,0.003667964611566455,0.9991423752004395,0.0022989297380982578,0.0008576247995605987,0.0022989297380982543,0.9987889871065787,0.00038326222729571577,0.0012110128934210795,0.00038326222729571626
4FGL J0003.2+2207,0.9889730059446483,0.011041694085773313,0.011026994055351591,0.011041694085773315,0.9834380257770411,0.015381271112037024,0.016561974222958954,0.015381271112037024,0.9524524383777787,0.025204158910682138,0.047547561622221346,0.025204158910682138,0.9360079743419666,0.031708196321749156,0.06399202565803352,0.031708196321749156
4FGL J0003.3-1928,0.9964841206871582,0.003464881534331931,0.0035158793128417256,0.0034648815343319346,0.9886994352568536,0.010085027673435155,0.01130056474314653,0.010085027673435153,0.9438333492997077,0.02461597308177821,0.05616665070029239,0.02461597308177821,0.9964840283505388,0.0013426442651596105,0.0035159716494610714,0.0013426442651596113
4FGL J0003.3-5905,0.998343062381855,0.001159802525249512,0.0016569376181451005,0.001159802525249509,0.9937898491638566,0.004077156666097192,0.006210150836143288,0.004077156666097192,0.9904532719489139,0.007662200426952239,0.009546728051086186,0.007662200426952261,0.9970786669411432,0.0010341132565474481,0.0029213330588566933,0.0010341132565474477
4FGL J0003.9-1149,0.999301939967333,0.000499106898790384,0.0006980600326669104,0.0004991068987903783,0.9415617684466114,0.048602176597789225,0.058438231553388564,0.04860217659778922,0.9805392544503027,0.013632656285920856,0.019460745549697154,0.013632656285920872,0.9698768967852038,0.008445503143651277,0.030123103214796238,0.008445503143651277
4FGL J0004.0+0840,0.9986476472318355,0.0012905169262160746,0.0013523527681644162,0.0012905169262160726,0.9944616761097629,0.0032786837377197053,0.0055383238902370485,0.0032786837377197053,0.9845446099651527,0.010147739326621458,0.015455390034847248,0.010147739326621451,0.9933305350334382,0.0020728644065809957,0.006669464966561871,0.0020728644065809948
4FGL J0004.4-4737,0.9998294172873905,0.00011040468229635675,0.00017058271260956366,0.00011040468229635512,0.9972547632500876,0.002045453811299554,0.002745236749912479,0.0020454538112995536,0.9974508685409829,0.0030363002877752576,0.0025491314590172574,0.0030363002877752654,0.9999689624092437,1.6258927381704534e-05,3.103759075631642e-05,1.625892738170249e-05
4FGL J0005.9+3824,0.9997113291576815,0.0002989972641429905,0.0002886708423184464,0.0002989972641429858,0.9956794514275213,0.0024541017404826307,0.004320548572478687,0.0024541017404826285,0.9936608761164775,0.0037925984595833027,0.0063391238835225645,0.0037925984595833023,0.9944551757810675,0.0017914128569383799,0.005544824218932664,0.001791412856938381
4FGL J0006.3-0620,0.9999759656468785,2.0654358551045658e-05,2.4034353121372557e-05,2.0654358551047555e-05,0.9962690503022995,0.0027956568097961807,0.00373094969770072,0.0027956568097961816,0.9941715220015295,0.008210377126673992,0.0058284779984704976,0.008210377126673996,0.9994953182746803,0.00018740618750919243,0.0005046817253197606,0.00018740618750919634
4FGL J0006.4+0135,0.9991342340733257,0.0007953572962433517,0.0008657659266742417,0.0007953572962433547,0.982300076877099,0.012384655132159583,0.01769992312290098,0.012384655132159583,0.9910532448162105,0.009754625378841733,0.00894675518378959,0.009754625378841733,0.9790024165460395,0.00597094147983157,0.020997583453960533,0.005970941479831571
4FGL J0007.0+7303,0.21042892220119777,0.23388166406840188,0.7895710777988022,0.23388166406840188,0.02027690779553631,0.019593857495754215,0.9797230922044637,0.019593857495754215,0.18887134534831565,0.06880243688926474,0.8111286546516844,0.06880243688926473,2.8468150132087674e-14,1.333978032411703e-13,0.9999999999999714,1.333979188229742e-13
4FGL J0007.7+4008,0.9982115884389803,0.0019058555879077237,0.0017884115610198065,0.001905855587907723,0.9961703104033399,0.002417910178117135,0.0038296895966600034,0.0024179101781171357,0.9885128343023466,0.010031306990597415,0.011487165697653347,0.010031306990597412,0.9950091600795004,0.001304218353141008,0.004990839920499719,0.001304218353141007
4FGL J0008.0+4711,0.9958495011462355,0.002999801279261177,0.00415049885376453,0.0029998012792611744,0.9836621987808927,0.010274960707926698,0.016337801219107422,0.010274960707926696,0.9672621496939208,0.022221198068257828,0.03273785030607926,0.02222119806825782,0.9618899861734351,0.008118391361799381,0.038110013826564836,0.008118391361799383
