Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD
4FGL J0429.0-0006,0.9996679664029443,0.0005242852641484823,0.00033203359705561976,0.0005242852641484805,0.9980363720027214,0.013468957435727144,0.001963627997278503,0.013468957435727145,0.9616827803183098,0.024978130238653144,0.03831721968169005,0.02497813023865314,0.9941440390945504,0.0032765555996145074,0.0058559609054495325,0.003276555599614508
4FGL J0534.5+2201i,0.999856468789234,0.00015671895501206555,0.00014353121076597416,0.00015671895501206615,0.9796735254705237,0.10431521270552001,0.020326474529476248,0.10431521270552001,0.9544658070791113,0.03292381597984094,0.04553419292088873,0.03292381597984095,0.9773389109762052,0.0419537397139117,0.02266108902379486,0.0419537397139117
4FGL J0850.4-2558,0.9692691864147829,0.030935802262393616,0.03073081358521712,0.03093580226239362,0.5830966883716133,0.3200164806774232,0.4169033116283866,0.3200164806774232,0.8751781591321716,0.05520091251294941,0.12482184086782841,0.05520091251294941,0.7206744342007937,0.09607533795153508,0.27932556579920637,0.09607533795153507
4FGL J1039.7-1540,0.9999555038568663,7.167222907055978e-05,4.449614313378431e-05,7.167222907055849e-05,0.9966511205574219,0.015403255427267984,0.003348879442578077,0.015403255427267984,0.9826565071544122,0.01531946832679732,0.01734349284558777,0.01531946832679732,0.9901015262294749,0.005619210503221437,0.009898473770525183,0.005619210503221436
4FGL J1202.9-5717,0.8417897090327014,0.13158065030611504,0.15821029096729858,0.13158065030611504,0.6580298240698592,0.32153736055946996,0.34197017593014084,0.32153736055946996,0.6642464747266632,0.09709449520750303,0.3357535252733367,0.09709449520750302,0.7869467751690216,0.08478420519970344,0.21305322483097866,0.08478420519970344
4FGL J1209.9-5923,0.8640391661712188,0.13133084375206067,0.13596083382878119,0.13133084375206067,0.1674880659133028,0.2244098898078173,0.8325119340866972,0.22440988980781726,0.5566979916619023,0.09810520479264917,0.44330200833809785,0.09810520479264917,0.2807603386858168,0.11132573209236031,0.7192396613141832,0.11132573209236031
4FGL J1320.5-6256c,0.8112273703382975,0.16328181133396139,0.18877262966170236,0.16328181133396139,0.9699637594114661,0.13354746992695393,0.03003624058853402,0.13354746992695393,0.7179921817042408,0.0865923596877189,0.2820078182957592,0.08659235968771892,0.9337141567990572,0.044738483316523005,0.06628584320094265,0.044738483316523005
4FGL J1622.8-4454,0.659270859418303,0.23050388250593104,0.34072914058169707,0.23050388250593107,0.5196100239066657,0.34162385326011435,0.48038997609333434,0.34162385326011435,0.6608590415864949,0.08890842866100113,0.3391409584135051,0.08890842866100113,0.7008927266585361,0.09754453601210915,0.2991072733414639,0.09754453601210915
4FGL J1758.3-1920,0.4644092808503957,0.2574635660714919,0.5355907191496043,0.2574635660714919,0.16528660299411865,0.23959551674393548,0.8347133970058814,0.23959551674393548,0.5912701893711222,0.09534151317680785,0.40872981062887775,0.09534151317680785,0.21143048980689602,0.1133169876367705,0.788569510193104,0.1133169876367705
4FGL J1838.0-0516,0.24012477829775827,0.3283384520208529,0.7598752217022416,0.3283384520208529,0.05758559600765422,0.11567686232121217,0.9424144039923458,0.11567686232121217,0.20856868686482877,0.08100710677788574,0.7914313131351712,0.08100710677788574,0.08204994115519454,0.08902442790612307,0.9179500588448053,0.08902442790612307
4FGL J1841.3-4442,0.9992128507625601,0.0006504856175466227,0.0007871492374399195,0.0006504856175466223,0.99437514036895,0.026971786668991648,0.005624859631050011,0.026971786668991648,0.9941839559944162,0.0075391200966404195,0.005816044005583779,0.007539120096640419,0.9843719056271026,0.006804913625852429,0.01562809437289735,0.006804913625852429
4FGL J2048.4-2517,0.9924824715067316,0.008245258538529107,0.007517528493268467,0.008245258538529107,0.9652176588885547,0.09115500667553669,0.034782341111445264,0.09115500667553668,0.9241623729879554,0.03997236258236416,0.07583762701204452,0.03997236258236416,0.9066086562648876,0.049625144924893394,0.09339134373511238,0.049625144924893394
4FGL J2106.9+2455,0.9992653347670514,0.0013306890189497074,0.0007346652329485899,0.0013306890189497072,0.9953041004487059,0.026166236402857704,0.0046958995512940685,0.026166236402857704,0.9667698167730373,0.021640668502276774,0.03323018322696269,0.021640668502276774,0.9912683844543154,0.004503613028137431,0.008731615545684666,0.004503613028137432
4FGL J2325.9+6206c,0.684334826537774,0.2561084249443865,0.315665173462226,0.2561084249443865,0.48612341119681357,0.3661577285487396,0.5138765888031864,0.3661577285487396,0.6689650842644246,0.09458694404082976,0.3310349157355754,0.09458694404082976,0.5019831833100763,0.1168357500002346,0.49801681668992376,0.1168357500002346
