GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS2,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing
84.59542,-71.0751,-21.97127392701843,2.1277146,0.17358784,0.26229075,2.7669737,0.99950075,-0.29548064,0.0033132231,-0.45793995,-0.6076023,-0.6580359,-1.0,1.5524747920231485,7.426558358068478,AGN,bll,4FGL J0003.9-1149,PowerLaw,0.12814528,0.41594663,3FGL J0003.8-1151,PMN J0004-1148,0.9983225,0.97085786,0,4FGL J0003.9-1149,0.9913507322479337,0.008649267752066987,0.8074546583965534,0.1925453416034463,0.8631860714840771,0.13681392851592247,0.9294292024451103,0.0705707975548896,286
103.49598,-52.397846,-22.222525699318215,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.0046211286,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.2013589920112535,7.711431694327143,AGN,bcu,4FGL J0004.0+0840,PowerLaw,0.24869604,0.7982378,3FGL J0004.2+0843,SDSS J000359.23+084138.1,0.9922678,0.0,0,4FGL J0004.0+0840,0.9964882364464339,0.0035117635535663236,0.9942837434169168,0.005716256583083263,0.9745434314393117,0.02545656856068774,0.9746704934683023,0.025329506531698045,300
323.986,-67.53783,-21.445507270992135,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.815536717983364,6.739808977320824,AGN,fsrq,4FGL J0004.4-4737,PowerLaw,0.05322211,0.1629187,3FGL J0004.7-4740,PKS 0002-478,0.9971799,0.97325,0,4FGL J0004.4-4737,0.9998556916050356,0.00014430839496428282,0.997870561460608,0.002129438539391864,0.9998904910474391,0.00010950895256128225,0.9964382834825575,0.0035617165174430363,307
113.23228,-23.613338,-21.51279290343917,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.1472511395315137,6.3003217053390745,AGN,fsrq,4FGL J0005.9+3824,PowerLaw,0.06724274,0.22276911,3FGL J0006.4+3825,S4 0003+38,0.9926908,0.9090593,0,4FGL J0005.9+3824,0.9987937588885347,0.0012062411114649675,0.9872681899371821,0.012731810062817936,0.9330838031811398,0.06691619681886099,0.9675861288095519,0.03241387119044722,312
93.64702,-66.62518,-22.795607922552346,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.9017499185413453,7.615092995925076,AGN,bll,4FGL J0006.3-0620,PowerLaw,0.25072128,0.7789327,,PKS 0003-066,0.9901411,0.9994688,0,4FGL J0006.3-0620,0.9999448351707239,5.516482927661646e-05,0.996533812446379,0.003466187553621078,0.9981149638849569,0.001885036115043218,0.9905070038897019,0.009492996110298217,271
100.47745,-59.29749,-22.455238164858724,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.8819517755489519,7.8077893037477315,AGN,bcu,4FGL J0006.4+0135,PowerLaw,0.1977467,0.64328295,3FGL J0006.2+0135,NVSS J000626+013611,0.99729097,0.8214364,0,4FGL J0006.4+0135,0.9976140059263708,0.0023859940736288424,0.9513735876920142,0.04862641230798549,0.9200186389376792,0.07998136106232048,0.9788721701258423,0.021127829874158167,298
119.66263,10.46168,-16.51948192873269,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.4167521249790607,7.280903372475891,PSR,PSR,4FGL J0007.0+7303,PLSuperExpCutoff,0.005550027,0.05125429,3FGL J0007.0+7302,PSR J0007+7303,1.0,0.0,0,4FGL J0007.0+7303,0.23168462757112407,0.7683153724288757,0.0003394723718900428,0.9996605276281112,1.4852481934784703e-18,1.0,0.14643289818897143,0.853567101811028,299
113.93701,-21.972776,-21.73536038592122,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.8828733722903617,7.535923308007861,AGN,bcu,4FGL J0007.7+4008,PowerLaw,0.115732834,0.39049816,3FGL J0007.9+4006,NVSS J000741+400830,0.9971315,0.0,0,4FGL J0007.7+4008,0.9905551022266613,0.00944489777333868,0.992283880137292,0.007716119862708551,0.9693769451268957,0.030623054873103444,0.8702752111649817,0.1297247888350192,340
115.31625,-15.033559,-20.00387653262499,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,3.880337E-4,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.005695249286218,7.247026095921789,AGN,bll,4FGL J0008.0+4711,LogParabola,0.02349014,0.07345087,3FGL J0008.0+4713,MG4 J000800+4712,0.99995524,0.9736737,0,4FGL J0008.0+4711,0.9773591184730291,0.02264088152697027,0.9200173484394936,0.07998265156050627,0.7693859767157736,0.23061402328422606,0.9511563121982503,0.04884368780175027,289
335.9962,-74.58333,-22.55065775087046,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,-0.773522,-0.9073874,-0.995771,-0.9979873,0.9000284818799061,6.721935932046319,AGN,bcu,4FGL J0008.0-3937,LogParabola,0.36578268,1.418392,,PMN J0008-3945,0.9207396,0.8798844,16,4FGL J0008.0-3937,0.9891174926982436,0.010882507301756843,0.8012853324856348,0.1987146675143651,0.3028392507090622,0.6971607492909371,0.8356471503989881,0.16435284960101218,294
