Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,Spectrum_Type,ASSOC1_1,GLON_1,Category_Prob_O,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Flags_1,Source_Name,RAJ2000,DEJ2000,GLON_2,GLAT_2,CLASS1,ASSOC1_2,Flags_2
3FGL J0000.2-3738,-31.5724842,-28.030843,1.8667319,0.403100047,3.80321919,0.152274173,0.038811724,-0.321320026,-0.648189274,-74.946754,UNAS,none,3296.3293,PowerLaw,none,345.410522,AGN,0.9996645213328295,3.7627300053392457E-4,3.354786671704586E-4,3.762730005339233E-4,0.9864706065000118,0.009560454805492238,0.013529393499988067,0.00956045480549224,0.9961555967920942,0.004963661860008507,0.0038444032079057713,0.004963661860008505,0.9538006700558432,0.019171973445481477,0.04619932994415681,0.019171973445481477,0.99984870704146,1.1294114048057523E-4,1.5129295854003652E-4,1.1294114048057555E-4,0.9847128433445211,0.010362225076643476,0.01528715665547894,0.010362225076643476,0.9970334447120415,0.0020771346231647165,0.0029665552879584328,0.002077134623164715,0.9907129214956977,0.003217427323273288,0.00928707850430233,0.0032174273232732876,0,4FGL J2359.9-3736,359.9816,-37.616,345.66284,-74.919624,bcu,NVSS J000008-373819,0
3FGL J0002.0-6722,-30.6614101,-27.9045111,1.9460614,0.313862188,3.8313551,0.091517931,-0.522755946,-0.422249344,-0.497951868,-49.061836,UNAS,none,2466.7234,PowerLaw,none,310.138916,AGN,0.9998769208907213,1.0287966210827163E-4,1.2307910927869555E-4,1.0287966210827065E-4,0.9904962358653441,0.0067366982121664426,0.009503764134655987,0.006736698212166441,0.997949972646404,0.002782294241551225,0.002050027353596097,0.002782294241551226,0.9613470110982908,0.013629495760175366,0.03865298890170919,0.013629495760175369,0.9999089947314601,6.340199876319064E-5,9.100526853997877E-5,6.340199876318972E-5,0.9874828384936196,0.010105921231726945,0.012517161506380329,0.010105921231726949,0.9976393236124519,0.0012625642493876473,0.0023606763875481038,0.001262564249387647,0.9930899780316046,0.0022826687933559793,0.006910021968395435,0.0022826687933559784,0,4FGL J0002.1-6728,0.5378,-67.4746,310.08493,-48.963467,bcu,SUMSS J000215-672653,0
3FGL J0004.2+0843,-30.9729253,-27.8603108,2.0504425,-0.235299423,3.81400604,-0.755126177,-0.47767032,5.8E-4,-0.870637758,-52.363342,UNAS,none,2762.5613,PowerLaw,none,103.599487,AGN,0.9932935939105312,0.008262531228937069,0.00670640608946885,0.00826253122893707,0.9878370144036914,0.010807612640577245,0.01216298559630859,0.010807612640577243,0.9217056405142002,0.045659582350992725,0.07829435948579981,0.04565958235099274,0.9892911534278416,0.009629013456033488,0.01070884657215852,0.009629013456033486,0.996080888786834,0.020660734039838476,0.00391911121316607,0.020660734039838476,0.9898626313262339,0.009845241384440637,0.010137368673765969,0.009845241384440638,0.912200628264577,0.04044612137682241,0.08779937173542282,0.040446121376822415,0.998147354449851,0.001078974631398048,0.0018526455501489303,0.0010789746313980462,0,4FGL J0004.0+0840,1.0073,8.6757,103.49598,-52.397846,bcu,SDSS J000359.23+084138.1,0
3FGL J0006.2+0135,-29.9574692,-27.8975494,2.1869004,-1.7786281,3.8191674,-0.611431725,-0.563139983,-0.645471413,-0.395172527,-59.296867,UNAS,none,1807.7529,PowerLaw,none,100.400505,AGN,0.9997294258397719,2.4280971168618112E-4,2.7057416022814053E-4,2.4280971168618123E-4,0.9966677289349672,0.0037380971924876214,0.003332271065032686,0.003738097192487622,0.9894961261245099,0.010426804488454374,0.01050387387549015,0.010426804488454372,0.9997901337805524,2.697461455223882E-4,2.0986621944756297E-4,2.697461455223878E-4,0.9997922909303704,1.8601154418821958E-4,2.0770906962965007E-4,1.8601154418822004E-4,0.9915930272427778,0.009930966525712626,0.008406972757222204,0.009930966525712627,0.9947396024403116,0.003468159662940996,0.005260397559688408,0.0034681596629409952,0.9999791441252741,3.330476639016735E-5,2.0855874725873314E-5,3.3304766390167764E-5,0,4FGL J0006.4+0135,1.6094,1.5982,100.47745,-59.29749,bcu,NVSS J000626+013611,0
3FGL J0007.9+4006,-29.5186219,-27.8112533,2.2756045,-0.020848936,3.79300492,-0.236407818,-0.785758008,-0.459872231,-0.589559308,-22.007206,UNAS,none,1504.622,PowerLaw,none,113.977173,AGN,0.9997043559943258,3.581734577195533E-4,2.95644005674092E-4,3.581734577195541E-4,0.9688600837336528,0.02091886993082243,0.031139916266347257,0.02091886993082243,0.9778317039675972,0.02037552272058153,0.02216829603240273,0.02037552272058152,0.9743797272130621,0.011267466749716614,0.025620272786937896,0.011267466749716612,0.99989620797828,9.219431294883189E-5,1.0379202171997587E-4,9.21943129488335E-5,0.9870933010417139,0.010111814958617826,0.012906698958286195,0.010111814958617826,0.994885957669861,0.004148339679784814,0.0051140423301390715,0.004148339679784816,0.996685345491034,0.0011858875164292885,0.00331465450896604,0.0011858875164292891,0,4FGL J0007.7+4008,1.9275,40.134,113.93701,-21.972776,bcu,NVSS J000741+400830,0
3FGL J0008.3+1456,-28.5917141,-27.8123656,2.2695491,0.449795246,3.53920976,-0.494925858,-0.54508004,-0.666567991,-0.676152872,-46.658096,UNAS,none,1148.4678,PowerLaw,none,107.678589,AGN,0.9463031670497087,0.06661625882711508,0.0536968329502913,0.06661625882711508,0.90697300911234,0.05278383852996983,0.09302699088765998,0.05278383852996983,0.7899826659242656,0.12473335692888292,0.2100173340757345,0.12473335692888293,0.6154567730062729,0.09130402127474374,0.3845432269937271,0.09130402127474375,0.9973690338057829,0.004142671828884653,0.00263096619421705,0.004142671828884653,0.9758672610766042,0.011179329591910715,0.024132738923395975,0.011179329591910715,0.9674202680622054,0.019764737946612633,0.032579731937794634,0.019764737946612623,0.9496669341482559,0.013061178929887706,0.05033306585174407,0.013061178929887703,0,4FGL J0008.4+1455,2.1246,14.9232,107.72407,-46.6767,bcu,NVSS J000825+145635,0
3FGL J0014.3-0455,-27.9521676,-27.4488107,2.504053,0.061235917,3.99604223,-0.596598806,-0.827170747,-0.51270479,-0.730616651,-66.09583,UNAS,none,964.4531,PowerLaw,none,99.5900879,AGN,0.9998926861090052,1.0577250877330832E-4,1.0731389099491687E-4,1.0577250877330826E-4,0.9901316458202907,0.006924083773436195,0.009868354179709219,0.006924083773436196,0.988520930889169,0.009676382970799159,0.011479069110830988,0.009676382970799159,0.9734540177382137,0.010770606672872893,0.02654598226178636,0.010770606672872891,0.9999529931495533,3.8950682180612534E-5,4.700685044668485E-5,3.895068218061148E-5,0.9893805388307472,0.009888983472984728,0.010619461169252808,0.009888983472984728,0.9953152968505878,0.002951930497881708,0.004684703149412091,0.0029519304978817052,0.9964742207117699,0.0013647891244779645,0.0035257792882300385,0.0013647891244779637,16,4FGL J0014.3-0500,3.5864,-5.012,99.509476,-66.18239,bcu,GALEXASC J001420.46-045929.1,0
3FGL J0016.5+1713,-28.4049423,-27.8717828,2.438119,0.813639432,3.96809548,-0.565130471,-0.648743167,-0.914618552,-0.338922225,-44.850296,UNAS,none,890.5665,PowerLaw,none,111.140984,AGN,0.9959876755999387,0.006193871134222537,0.004012324400061322,0.006193871134222536,0.9630796788666669,0.030633265209902116,0.03692032113333318,0.030633265209902116,0.8803265794182744,0.05387532330128158,0.11967342058172568,0.05387532330128158,0.7126482985382798,0.12842122058371233,0.2873517014617202,0.12842122058371236,0.9988612456368853,0.0040636839838454255,0.0011387543631147638,0.004063683983845425,0.9806557428780414,0.011067131725588653,0.019344257121958627,0.011067131725588654,0.9722044689639248,0.017939021308442108,0.02779553103607518,0.0179390213084421,0.9702134122963686,0.013650788510832776,0.02978658770363144,0.013650788510832778,0,4FGL J0016.5+1702,4.1396,17.0389,111.096794,-45.029816,fsrq,GB6 J0015+1700,4
3FGL J0020.9+0323,-32.6652516,-27.7289009,1.6399021,0.432712698,3.99663314,-0.998829858,0.999604743,-0.200424413,-0.476083427,-58.60079,UNAS,none,6460.085,PowerLaw,none,108.197884,AGN,0.9997538678821575,2.2218143881564287E-4,2.461321178426245E-4,2.2218143881564255E-4,0.9891864471060449,0.011841328767732688,0.010813552893955233,0.011841328767732688,0.9982805306071492,0.0031090748283095697,0.001719469392850827,0.0031090748283095697,0.9806642991787853,0.013306784899431677,0.019335700821214708,0.013306784899431679,0.9999413406271676,5.181541572523679E-5,5.8659372832478075E-5,5.181541572523665E-5,0.9862461016232866,0.011091147500952882,0.013753898376713413,0.01109114750095288,0.997439291424329,0.0032312968158286328,0.0025607085756710114,0.0032312968158286315,0.9951160277252814,0.0029584461161365266,0.004883972274718603,0.0029584461161365266,0,4FGL J0021.0+0322,5.2565,3.3783,108.237045,-58.623074,bcu,2MASS J00205023+0323578,0
3FGL J0032.3-5522,-27.2345789,-27.7746422,2.2745852,0.317796424,6.23590181,-0.368012911,-0.67973313,-0.656371204,-0.624356077,-61.548527,UNAS,none,907.47565,PowerLaw,none,308.619324,AGN,0.9999425220100079,6.727905514841496E-5,5.7477989992170184E-5,6.727905514841352E-5,0.9972203458686179,0.003585300559956382,0.0027796541313821264,0.003585300559956385,0.9855802488036342,0.012480334805973789,0.014419751196365826,0.012480334805973785,0.999867510425716,1.2739594004449093E-4,1.324895742840008E-4,1.273959400444902E-4,0.9999617251672963,4.144342889957152E-5,3.82748327037575E-5,4.144342889957118E-5,0.9910001752732547,0.010090641875448033,0.008999824726745289,0.010090641875448034,0.9942240528939998,0.004244115667449362,0.005775947106000065,0.004244115667449362,0.99996204139451,2.8231790671005646E-5,3.795860549017918E-5,2.8231790671006134E-5,0,4FGL J0032.3-5522,8.0778,-55.3668,308.63895,-61.549007,bcu,SUMSS J003210-552228,0
