Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD
3FGL J0121.8-3917,0.9960216627348468,0.0098318300222521,0.0003380654069039306,0.001090004843090466,0.003640271858249314,0.009786969080891196,0.9030363957649031,0.11578021669733943,0.039362781986737275,0.06649940385374571,0.05760082224835959,0.06326644260640867,0.9067843309950641,0.02704258574222972,0.03333164650956635,0.01554811856158296,0.05988402249536961,0.020856143428304642,0.9899505374665207,0.03039354745151629,1.8616152301150388e-09,6.8330419689742254e-09,0.01004946067186403,0.03039354689451484
3FGL J0534.5+2201i,0.7577014417268939,0.2395535486933966,0.09213689247036957,0.15241339966194561,0.1501616658027366,0.18433145005347823,0.09924941698874559,0.2287560399901625,0.6073027713417678,0.29093706592802715,0.29344781166948675,0.25354791684302314,0.7226637241476968,0.06227057896758331,0.08893834405976465,0.03872269052130103,0.1883979317925386,0.05596588213555439,9.53734760719847e-55,3.0108793593504095e-53,0.15053190766741,0.35115451084773913,0.84946809233259,0.35115451084773913
3FGL J0833.1-4511e,0.4786791030698446,0.29098699652942966,0.06305498008095724,0.11632805842307117,0.4582659168491981,0.2872172308093322,0.12260703991126957,0.25507809981505114,0.6343072138238062,0.29189934928908734,0.24308574626492427,0.22198418962740857,0.6367273872088517,0.06456798576002573,0.1136019907663291,0.039491595769803066,0.2496706220248193,0.05824215120616038,2.7460889032367776e-54,8.665982282640103e-53,0.14565213951773381,0.346830450311913,0.8543478604822661,0.34683045031191295
3FGL J0937.7+5008,0.9480879079822523,0.09620901460810861,0.00032248347910878117,0.0006625462778173586,0.05158960853863893,0.09626556412054713,0.9588016497570807,0.057865623124771115,0.020412075610193356,0.035090722127669775,0.02078627463272602,0.0374826769654197,0.9171816035800292,0.025455189661203293,0.028532800754067337,0.015041326254394267,0.05428559566590339,0.020226871982686346,0.9956837702403649,0.013972120144364997,2.2226309232422727e-09,9.346960454714591e-09,0.004316227537004297,0.013972118878572923
3FGL J1031.0+7440,0.9914377492906514,0.02503974069005632,0.0005898527141611591,0.001992532397648196,0.007972397995187308,0.024968892475880387,0.9588345306095377,0.057783979653142296,0.02052508631554275,0.03537126298170655,0.020640383074919548,0.03770066173571519,0.9264733841298453,0.02303379175100481,0.025913190981619268,0.013360596404961607,0.04761342488853538,0.01774783197912275,0.9972493005554481,0.008885793892764598,1.712338741296503e-09,6.495509440992179e-09,0.002750697732213046,0.008885793170109969
3FGL J1159.6-0723,0.981675703387693,0.03625087787357351,0.0034909769139417303,0.007871127292696805,0.014833319698365289,0.03544686277499825,0.9547135718487266,0.06041416931036043,0.023549188607858568,0.038850498614277265,0.021737239543414867,0.03826086838404617,0.8877954201905716,0.03704324712892251,0.041895589190704144,0.018541915961972546,0.07030899061872421,0.028669567399196638,0.998053370548208,0.007478202385284122,1.1464028264974392e-09,4.210056987505685e-09,0.0019466283053892646,0.007478202038806999
3FGL J1513.9-5908,0.025385162301288837,0.0513442940839348,0.02543086525266864,0.08058935428653234,0.9491839724460425,0.10390771496095641,0.8451387963043034,0.18805141118759264,0.03445774043649941,0.06562067933052919,0.12040346325919714,0.15698653715464514,0.1345567388094741,0.04864173348292878,0.21760620172561712,0.06795910473648324,0.6478370594649089,0.07823251215497058,0.9990251506916128,0.0029576776036016146,4.0672796343696955e-11,2.075182448069068e-10,0.0009748492677143501,0.0029576775902379736
3FGL J1514.0-5915e,0.6271796000066039,0.2790167124376809,0.14576272083027306,0.1995300846534767,0.2270576791631231,0.22240321819040193,0.1263967184970049,0.25464024908507316,0.6422386788043377,0.2840039996842509,0.23136460269865738,0.2032972941009961,0.6908629518377791,0.06301792535480676,0.08832124106618333,0.03724214023623557,0.22081580709603746,0.05788417560217282,1.6860720298090194e-54,5.322902465209535e-53,0.15235744256517655,0.3528668838560586,0.8476425574348234,0.3528668838560586
3FGL J1655.1-3954,0.9132971636497663,0.14709039257206913,0.0010015510502304425,0.003935083635316298,0.08570128530000326,0.14717838202889771,0.8019832323893782,0.22126973348097395,0.05309128751870828,0.09573631033587254,0.14492548009191358,0.16507076940031457,0.731991454136569,0.07399599322599815,0.065531669562166,0.03260602018824597,0.20247687630126499,0.0662756488639421,0.9906501472949755,0.027303705743708367,4.225402928214463e-09,1.3757288364815057e-08,0.009349848479621701,0.02730370416469948
3FGL J1832.4-5659,0.9236590479553342,0.11292644338946424,0.013655697353064745,0.029115143236068276,0.06268525469160116,0.11103531969494225,0.8888235720606762,0.11855642754974093,0.03909597166591921,0.06588759790021226,0.07208045627340465,0.07296670062921794,0.8229868653018181,0.04824271325259041,0.06897204139271869,0.026196779770632214,0.10804109330546319,0.03727062627086648,0.9925374225210696,0.023891531712795455,2.3498830681098633e-09,8.998044631577095e-09,0.007462575129047371,0.02389153095180675
