Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD
4FGL J0429.0-0006,0.9965259398963563,0.003192103278671254,0.0004095740204038929,0.00034410590269908496,0.0030644860832398945,0.003009736716742306,0.9880051242015867,0.010759794714783593,0.002095458465697442,0.004717096516102503,0.009899417332715824,0.0077787870327068265,0.9679198268551146,0.011741282460571845,0.007287828036453269,0.004697089659105999,0.024792345108432118,0.010209375282731135,0.9725204030541689,0.007350006766607375,0.0015125986658438353,0.0005916649771545847,0.025966998279987243,0.007085044603357425
4FGL J0534.5+2201i,0.9752297260309651,0.02688561880219557,0.00017267792776950373,0.00017800255846281708,0.024597596041265334,0.026805118622514237,0.788965629556779,0.2696788467218014,0.0456739541381888,0.13254197419710986,0.16536041630503223,0.2219274101534853,0.7684081800611363,0.05524064709883786,0.02153590232619837,0.01848098224422405,0.21005591761266518,0.0529675456533436,0.9694294405274726,0.03279181186689464,0.024427815236393032,0.029591263979708664,0.006142744236134368,0.0068862167528604456
4FGL J0850.4-2558,0.8724739388961255,0.0944176217041849,0.016731329429608244,0.014956007684282376,0.11079473167426625,0.08806050342197139,0.8489934950928809,0.12607601276724809,0.03147238652242382,0.0318945437738766,0.11953411838469523,0.11355170901396078,0.9060627045268786,0.026838842371376376,0.027671702226633073,0.013230385901520461,0.06626559324648822,0.019353956052807618,0.8133788978030442,0.03533508143961661,0.03343853421247361,0.012066269386406552,0.15318256798448218,0.03125868857113231
4FGL J1039.7-1540,0.9854155471384008,0.035084923901326816,0.0007989478457763773,0.0007229736961524742,0.013785505015822694,0.03501815943272182,0.9776115493645996,0.022000903909842478,0.0062789115686221475,0.009587561409488828,0.01610953906677834,0.014997321094718854,0.9664553018286648,0.009911869711347566,0.006941009312439806,0.004128833865618785,0.026603688858895375,0.00847317128289102,0.9893667841405761,0.0029254670318023777,0.0016425250595052754,0.000646989554090911,0.00899069079991861,0.0026128833011608956
4FGL J1202.9-5717,0.6622615553433779,0.16401259784053854,0.052433563974129314,0.04500221953893348,0.2853048806824927,0.14679207129485403,0.5994717459557618,0.16726228416895805,0.043144862011131005,0.05010291189325167,0.35738339203310715,0.14993592624309407,0.8063471098935092,0.03979032160825537,0.04837022856904502,0.017343926844552705,0.14528266153744585,0.03161511026020564,0.7432775302537296,0.04671168010090796,0.03048656401736035,0.010567535401286668,0.22623590572891022,0.04275169947563119
4FGL J1209.9-5923,0.22666083917409396,0.14395686517896364,0.008258553276123922,0.006869441962259978,0.7650806075497821,0.14594111657070186,0.2895682651290585,0.19327149306252217,0.11618275573985785,0.10341760512320042,0.5942489791310837,0.18724797875306579,0.5764207684556095,0.05681745836267156,0.0661627099542847,0.019719547083369534,0.35741652159010573,0.052691104628561435,0.1839476920915156,0.044543122750507494,0.06643482944583237,0.022867776770421448,0.7496174784626521,0.0534951478161435
4FGL J1320.5-6256c,0.26655289859210574,0.19063238128363735,0.02103492052333147,0.04409544201232404,0.7124121808845627,0.19976056037243584,0.18059137733257152,0.21818364979633117,0.01882844044167135,0.03281028233151338,0.8005801822257571,0.21558182966405035,0.4141353326605955,0.061610744860183954,0.12260088687175581,0.042957273883733375,0.46326378046764866,0.06367091326263287,0.2910525115108731,0.0764067728912394,0.006174241611917669,0.003446989506047453,0.7027732468772092,0.07706617287119145
4FGL J1622.8-4454,0.1622899217974437,0.10244698134469232,0.014504264494161085,0.013281373142544326,0.8232058137083952,0.10795498558757984,0.5403323457823362,0.17666610209022546,0.0538741949978281,0.05596043232577318,0.40579345921983573,0.16010671335342425,0.5663906229062546,0.05970719059263909,0.059879707837534456,0.019129899775929073,0.3737296692562109,0.056159213187831236,0.544492926736793,0.05972439923778805,0.03813462763703646,0.010517369104465676,0.4173724456261707,0.0593266290937186
4FGL J1758.3-1920,0.3422950210845611,0.1705315701804918,0.14049804435800445,0.11663463531227138,0.5172069345574345,0.20701083959153466,0.22897193104405386,0.19603442224613302,0.09374986279919212,0.10488745760757134,0.677278206156754,0.20310034319686193,0.3807236216886869,0.06035056798605105,0.11273097458787401,0.035359289092579974,0.5065454037234391,0.06018061996953997,0.11585787828118237,0.030858546288950885,0.06138882674568205,0.02701052804852849,0.8227532949731355,0.045338876899432834
4FGL J1838.0-0516,0.17610752615008402,0.15339906327402225,0.19683211565753492,0.22756514287967586,0.627060358192381,0.24615461795497426,0.08154726788470144,0.10663640301665127,0.10702566536571018,0.12492460935675072,0.8114270667495883,0.15075816746943513,0.1528433185251214,0.039498800710402085,0.16888444310632322,0.04237367177833583,0.6782722383685553,0.057255736040120894,0.06234551999535786,0.028473093814424484,0.018135919869372102,0.0277545021532777,0.91951856013527,0.042037712012469974
4FGL J1841.3-4442,0.9881777325772458,0.058599051655065834,0.0004811103533150045,0.00046731523990820544,0.011341157069439174,0.058587522442594596,0.9903246601177443,0.008246580006590459,0.001476545702771478,0.0028353778447840626,0.008198794179484194,0.006740433027615825,0.9667154082139404,0.0077810796230478076,0.005617292876531319,0.0025282090013978207,0.02766729890952828,0.006806411648119676,0.9742988139588895,0.005022537495540207,0.003940399946192518,0.001318207069425292,0.02176078609491806,0.004641102520411565
4FGL J2048.4-2517,0.9736507954865097,0.018259011688015456,0.003003046571034472,0.0027705667140615897,0.02334615794245589,0.016957010679558307,0.9690754225161077,0.03147011908212713,0.008380956499816981,0.01546084481246482,0.022543620984075426,0.0213418416394599,0.9411485109562234,0.018047931842051244,0.014582926084217821,0.008992351453311282,0.04426856295955882,0.01370224862536912,0.8806553547620439,0.026789896066440253,0.006772503212251249,0.0038155394845425412,0.1125721420257049,0.026193128041307325
4FGL J2106.9+2455,0.9949853269114136,0.004842582847124651,0.0003757956294858137,0.00037788347797406715,0.004638877459100492,0.004699960484402393,0.9860695892354943,0.015999290858546338,0.0030669329396196456,0.005615602254189563,0.010863477824886043,0.0131947407870857,0.9609319044664784,0.01692360892087047,0.008027609587416709,0.0067110817206900205,0.031040485946104906,0.015195076200387011,0.971844943874585,0.007622404207120261,0.0020074094749547287,0.0006693375977028398,0.02614764665046031,0.007309046984839152
4FGL J2325.9+6206c,0.6798706190227982,0.18219866560856246,0.039211702663225406,0.04150089884992352,0.28091767831397635,0.17320002359068107,0.5857197531133084,0.245935321297063,0.0374883812936846,0.04839354379737226,0.37679186559300704,0.23044470202806658,0.48830464398614404,0.06811625123709396,0.08591812469804627,0.027256666091411766,0.4257772313158097,0.06209403552626211,0.6045909348620284,0.05843185870934472,0.07060399046476633,0.020514223261173675,0.32480507467320524,0.05695037881513025
