Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD
4FGL J0429.0-0006,0.999615461964715,0.000493236941770972,0.0003845380352849376,0.0004932369417709715,0.9995092577604546,0.0020599107004160163,0.0004907422395453112,0.0020599107004160163,0.9863442022255315,0.009632492213508242,0.013655797774468485,0.00963249221350824,0.998665818196482,0.00043398785193726075,0.0013341818035178972,0.00043398785193726004
4FGL J0534.5+2201i,0.9999188991020476,5.810600214777495e-05,8.110089795234031e-05,5.81060021477763e-05,0.933020693988412,0.19634754203233912,0.06697930601158793,0.19634754203233912,0.9397997102718235,0.03329727557225145,0.060200289728176495,0.03329727557225145,0.9910123106660911,0.009425283956161802,0.008987689333909013,0.009425283956161802
4FGL J0850.4-2558,0.9843390919309644,0.017654405406019136,0.015660908069035508,0.017654405406019136,0.9506002301275507,0.06756994168944026,0.049399769872449324,0.06756994168944028,0.9681170415080458,0.01944146514084118,0.03188295849195421,0.019441465140841174,0.9637289945855149,0.010431819248779162,0.03627100541448507,0.010431819248779164
4FGL J1039.7-1540,0.9999287341882238,7.083189439324547e-05,7.126581177623409e-05,7.083189439324482e-05,0.9966286065958814,0.008947034959180337,0.003371393404118557,0.008947034959180337,0.991500157934117,0.007773549177570137,0.008499842065882878,0.007773549177570136,0.9985600312351914,0.0004895897606248674,0.0014399687648085054,0.0004895897606248682
4FGL J1202.9-5717,0.958166331318844,0.09305401092569532,0.041833668681156115,0.0930540109256953,0.9151130424634036,0.1468005279067008,0.08488695753659638,0.1468005279067008,0.9384472128237566,0.02638005270428618,0.06155278717624331,0.026380052704286183,0.9720558683193026,0.008943875776886627,0.027944131680697388,0.008943875776886625
4FGL J1209.9-5923,0.9889750420631686,0.016873788225889516,0.011024957936831389,0.016873788225889516,0.6805275222436059,0.28821388422561034,0.31947247775639426,0.28821388422561034,0.9105823899595583,0.034051830267649325,0.08941761004044162,0.03405183026764931,0.8113298600963044,0.044921284639675055,0.18867013990369566,0.044921284639675055
4FGL J1320.5-6256c,0.9391056951078092,0.11827425832618162,0.06089430489219087,0.11827425832618162,0.9804190256707112,0.08711220515042613,0.01958097432928894,0.08711220515042611,0.8382638790585792,0.06118602141246212,0.16173612094142073,0.06118602141246213,0.9872742176727471,0.005464754512094286,0.012725782327252902,0.005464754512094286
4FGL J1622.8-4454,0.9690465467075394,0.05640177837418716,0.03095345329246053,0.05640177837418716,0.8642549299250547,0.19911487809208528,0.13574507007494527,0.19911487809208528,0.9351457322315727,0.02844700580799067,0.0648542677684272,0.028447005807990658,0.9604915644977243,0.009985087260707586,0.039508435502275716,0.009985087260707584
4FGL J1758.3-1920,0.8820004094975751,0.17994448759561504,0.117999590502425,0.17994448759561504,0.5810126115054534,0.30400928662670584,0.41898738849454664,0.30400928662670584,0.8208563003187292,0.06321743344992986,0.1791436996812707,0.06321743344992987,0.8221346497999019,0.05843184840317014,0.17786535020009808,0.05843184840317014
4FGL J1838.0-0516,0.5869756730884073,0.3465991485070752,0.41302432691159274,0.3465991485070752,0.4222631378982055,0.29804285905782474,0.5777368621017945,0.29804285905782474,0.4647839693645419,0.09080257155856959,0.5352160306354581,0.09080257155856959,0.6245604896601127,0.12669394300114242,0.37543951033988726,0.12669394300114242
4FGL J1841.3-4442,0.9996757928284944,0.00023366856263588843,0.0003242071715056832,0.00023366856263589038,0.9990699252850251,0.002708511040651672,0.0009300747149748787,0.002708511040651673,0.9966755413007935,0.002864014602679728,0.0033244586992065106,0.002864014602679734,0.9962805213150081,0.0009926052152087182,0.0037194786849919143,0.0009926052152087201
4FGL J2048.4-2517,0.9955415620973918,0.0052021810325508615,0.0044584379026082095,0.005202181032550861,0.9944383414817728,0.012575118669081552,0.005561658518227155,0.012575118669081554,0.9828742231948071,0.012081746089079658,0.017125776805192887,0.012081746089079665,0.9875163388019654,0.0041706364647672335,0.012483661198034571,0.0041706364647672335
4FGL J2106.9+2455,0.9988621041784984,0.006352145706726299,0.0011378958215016016,0.006352145706726298,0.9989728973837833,0.004365724057706061,0.0010271026162167521,0.004365724057706061,0.985179258777498,0.010438366224394613,0.014820741222501944,0.010438366224394608,0.9979874071007213,0.000625230349819376,0.002012592899278763,0.0006252303498193768
4FGL J2325.9+6206c,0.9255326610444413,0.18200183180393123,0.07446733895555865,0.18200183180393123,0.8436962946004037,0.20304940994935589,0.15630370539959643,0.20304940994935589,0.8736601070377801,0.04470446949749306,0.12633989296221992,0.04470446949749306,0.9340566975659692,0.018128641397138743,0.06594330243403088,0.018128641397138743
