Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
3FGL J0001.2-0748,0.8486383666680073,0.11513238066971838,0.15136163333199254,0.11513238066971838,0.9380421536770792,0.04256668252305877,0.06195784632292061,0.04256668252305877,0.820895853922124,0.06491648748711537,0.17910414607787592,0.06491648748711536,0.749599317376393,0.07302014149582794,0.25040068262360715,0.07302014149582793
3FGL J0002.2-4152,0.9999784185991496,1.7536231050826647e-05,2.1581400850452948e-05,1.7536231050826298e-05,0.996719413746533,0.003874624200167277,0.0032805862534670874,0.0038746242001672752,0.9990237351928237,0.00267052362686627,0.0009762648071761348,0.0026705236268662704,0.9999791002959697,2.329624272859871e-05,2.0899704030194204e-05,2.329624272860131e-05
3FGL J0003.2-5246,0.9998848456359153,9.66928636800756e-05,0.00011515436408484824,9.669286368007531e-05,0.9919422542646967,0.007806887844821835,0.00805774573530326,0.007806887844821835,0.996878631271472,0.005401648525802436,0.0031213687285278715,0.005401648525802437,0.9914348464828004,0.007581728907489709,0.008565153517199569,0.007581728907489712
3FGL J0003.8-1151,0.9992337729170456,0.0007219001397079604,0.0007662270829544659,0.0007219001397079613,0.9894709743716326,0.008244326087369067,0.01052902562836739,0.008244326087369067,0.9670422775869131,0.027310713784293242,0.03295772241308684,0.02731071378429324,0.9137572785205667,0.042160204252073064,0.08624272147943343,0.042160204252073064
3FGL J0004.7-4740,0.9991984930385692,0.0013835351781773763,0.0008015069614307436,0.0013835351781773782,0.9860892581563464,0.00944782606935588,0.013910741843653492,0.00944782606935588,0.9516070844098964,0.029868752998327995,0.048392915590103634,0.029868752998328002,0.9372006657285181,0.029764108434938163,0.06279933427148188,0.02976410843493816
3FGL J0006.4+3825,0.999728642935577,0.0003489995451229954,0.00027135706442306477,0.00034899954512299537,0.8747620190946781,0.08739286910163521,0.12523798090532187,0.08739286910163521,0.9806298554207983,0.016265594669346836,0.01937014457920183,0.016265594669346833,0.8108519115571781,0.07381264297784373,0.1891480884428218,0.07381264297784373
3FGL J0008.0+4713,0.8341799482074739,0.16410223274326574,0.1658200517925261,0.16410223274326574,0.5144204996051693,0.15480116732255583,0.4855795003948307,0.15480116732255583,0.8496297549272755,0.06213388714861489,0.15037024507272453,0.06213388714861489,0.5524320641374276,0.06759301744054674,0.44756793586257243,0.06759301744054674
3FGL J0008.6-2340,0.9985520591102057,0.001634370611737147,0.0014479408897943643,0.001634370611737145,0.9958177537549754,0.005048152781296813,0.004182246245024586,0.0050481527812968096,0.9842176561061838,0.013908044018523037,0.01578234389381634,0.013908044018523047,0.9984336747042049,0.00350914770529478,0.0015663252957953005,0.003509147705294778
3FGL J0009.1+0630,0.9999319828506291,5.674070788098551e-05,6.801714937090942e-05,5.674070788098542e-05,0.9965471032861957,0.0036448920918921595,0.0034528967138042965,0.0036448920918921595,0.995134860145327,0.005816281473137982,0.004865139854673006,0.005816281473137983,0.999374614291551,0.00048029844270031856,0.0006253857084490058,0.0004802984427003156
3FGL J0009.3+5030,0.9996601867245296,0.0002896013524939719,0.0003398132754703777,0.00028960135249397076,0.955509741575775,0.030002931760288492,0.04449025842422504,0.030002931760288495,0.989500983020876,0.010846763497495939,0.010499016979124106,0.010846763497495937,0.9744324424980247,0.011600494743688449,0.025567557501975185,0.011600494743688449
