Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
4FGL J0002.1+6721c,0.35183308495999815,0.20281546597656602,0.6481669150400019,0.20281546597656605,0.07232545643153875,0.11823321113142825,0.9276745435684612,0.11823321113142825,0.2064722844115156,0.07378504435562784,0.7935277155884845,0.07378504435562784,0.12242619432479378,0.05751446662411347,0.8775738056752063,0.05751446662411347
4FGL J0002.7+7220,0.9981583693881305,0.0019104043949546947,0.0018416306118695343,0.0019104043949546956,0.9848923881098524,0.020287923666091282,0.015107611890147631,0.020287923666091282,0.9571081452863414,0.02910678675477619,0.042891854713658674,0.02910678675477619,0.9650853107340525,0.01682353193554331,0.03491468926594753,0.016823531935543312
4FGL J0024.0-7204,0.002631973407130654,0.0015617238509914573,0.9973680265928694,0.0015617238509914573,0.045363042814604126,0.044017416599488136,0.9546369571853959,0.044017416599488136,0.013285149934527484,0.008100965905419677,0.9867148500654725,0.00810096590541969,7.487302295616782e-08,2.457482001621995e-07,0.999999925126977,2.457482001621995e-07
4FGL J0025.3+6408,0.990005292792527,0.00678164680444399,0.009994707207473013,0.006781646804443991,0.9073716207359426,0.11418064237346522,0.09262837926405745,0.11418064237346522,0.9703518698305412,0.022150414937960935,0.029648130169458775,0.022150414937960935,0.7281832319302942,0.08661916640202505,0.2718167680697057,0.08661916640202505
4FGL J0043.2+4114,0.8983724464951149,0.12118506619585441,0.10162755350488514,0.1211850661958544,0.12558659611292,0.14399772683022183,0.87441340388708,0.14399772683022183,0.358382720156113,0.11008845664821519,0.6416172798438868,0.11008845664821519,0.1429584654640216,0.06352209346902908,0.8570415345359784,0.06352209346902907
4FGL J0047.3+6943,0.9997891878879744,0.00015362192435108152,0.00021081211202554344,0.000153621924351082,0.9736966389355767,0.039422571541666854,0.02630336106442337,0.039422571541666854,0.9973864304040273,0.004769945594091809,0.0026135695959727066,0.004769945594091811,0.9736336259798231,0.01420774202653588,0.026366374020176952,0.014207742026535878
4FGL J0047.5-2517,0.9962771854270063,0.003782490445569674,0.0037228145729937233,0.0037824904455696735,0.9617663300941229,0.06960698819810936,0.038233669905877087,0.06960698819810936,0.9695461839974757,0.022678934740034764,0.03045381600252427,0.022678934740034767,0.9460311799737292,0.02102226444978344,0.053968820026270806,0.021022264449783435
4FGL J0058.0-7245e,0.8567311459205118,0.12041066919866596,0.1432688540794881,0.12041066919866596,0.4440836030170445,0.2917893918297744,0.5559163969829556,0.2917893918297744,0.8842492003557443,0.04708080467673404,0.11575079964425568,0.047080804676734034,0.3679360554904657,0.09980848736677614,0.6320639445095344,0.09980848736677614
4FGL J0059.7-7210,0.9017570747440186,0.1089810598221081,0.09824292525598147,0.1089810598221081,0.6247032597794732,0.29352403409595323,0.3752967402205269,0.2935240340959533,0.5417377541123927,0.11754048775587674,0.4582622458876074,0.11754048775587674,0.5025216592328415,0.13230430584296338,0.49747834076715847,0.13230430584296338
4FGL J0102.9-7051,0.9968818592859919,0.003573054429544944,0.00311814071400808,0.003573054429544944,0.9949299652713557,0.007129787945888982,0.005070034728644277,0.007129787945888982,0.9659638457801064,0.022473421771318954,0.03403615421989349,0.02247342177131895,0.9859987293505263,0.009731141298149145,0.01400127064947371,0.009731141298149143
4FGL J0138.6+6821,0.9733844466539029,0.03591450459127669,0.026615553346097158,0.03591450459127669,0.23050869491867126,0.24419739112380245,0.7694913050813286,0.24419739112380245,0.9253124903553904,0.035339333300965156,0.07468750964460957,0.035339333300965156,0.23064683955017545,0.07138034272599594,0.7693531604498246,0.07138034272599594
4FGL J0212.1+5321,0.0020041345473013126,0.0010194950964470503,0.9979958654526987,0.0010194950964470503,0.015533521863848583,0.021278260206923316,0.9844664781361513,0.021278260206923312,0.010628500226045843,0.0038203959710219446,0.9893714997739541,0.0038203959710219467,1.4851270887591638e-05,1.464957445322093e-05,0.9999851487291124,1.464957445322093e-05
4FGL J0221.4+6241e,0.0030611138235150537,0.002633380660838907,0.9969388861764849,0.002633380660838907,0.018326757041999122,0.029856823270569724,0.981673242958001,0.029856823270569724,0.014214222115310022,0.007146839278480204,0.9857857778846901,0.0071468392784802045,0.0006913410518593081,0.0003373001118125567,0.9993086589481407,0.0003373001118125567
4FGL J0222.4+6156e,0.0032760780092775483,0.0224493955135574,0.9967239219907224,0.0224493955135574,0.007343894591339289,0.009775144476170778,0.9926561054086608,0.009775144476170778,0.02365143151715106,0.016738610625809933,0.976348568482849,0.016738610625809926,1.0273673469085586e-07,1.9448007152825154e-07,0.9999998972632652,1.9448007152825154e-07
4FGL J0240.5+6113,0.7677959282584794,0.15957119085516006,0.23220407174152058,0.15957119085516006,0.00525944233849037,0.00740197733920081,0.9947405576615097,0.00740197733920081,0.7335283984346453,0.09174691486202861,0.2664716015653547,0.09174691486202863,1.8442228332249399e-09,1.6739971798325185e-08,0.9999999981557771,1.673997179832518e-08
4FGL J0242.6-0000,0.999586414259948,0.00029130732966395107,0.000413585740052101,0.0002913073296639525,0.9948878959008611,0.0066269109519855466,0.0051121040991387754,0.006626910951985547,0.994962283760201,0.006995236216855568,0.005037716239798984,0.006995236216855569,0.9981580171760724,0.001114145531077593,0.0018419828239274402,0.0011141455310775936
4FGL J0328.6+5330,0.6063829833792933,0.1711718867817974,0.39361701662070675,0.1711718867817974,0.12917742430789508,0.16991239610553927,0.870822575692105,0.16991239610553927,0.42944677310569135,0.10086608710926825,0.5705532268943087,0.10086608710926825,0.11348554937110239,0.028454927570632737,0.8865144506288976,0.028454927570632737
4FGL J0359.7+4445,0.9673869829066336,0.03174388479089892,0.03261301709336628,0.03174388479089892,0.9716693679226521,0.057182336615364225,0.0283306320773479,0.05718233661536423,0.957380349940759,0.02634972254579513,0.04261965005924091,0.02634972254579513,0.9471523411561947,0.027894608636294355,0.05284765884380515,0.027894608636294355
4FGL J0402.5+5402,0.999683049085133,0.0002819711793705239,0.00031695091486712236,0.0002819711793705223,0.9748400754858157,0.046403634933256,0.025159924514184143,0.046403634933256,0.9938797536730697,0.008458419466444322,0.00612024632693028,0.008458419466444324,0.9921155003902131,0.004711198373750899,0.007884499609786818,0.0047111983737509
4FGL J0427.2+5533e,0.9778892166935814,0.023229286087595107,0.02211078330641857,0.02322928608759511,0.5926350404991029,0.31261903034134086,0.4073649595008973,0.31261903034134086,0.8968124299566461,0.053511325990262766,0.10318757004335387,0.05351132599026277,0.42874317418777264,0.1442525501791018,0.5712568258122274,0.1442525501791018
4FGL J0427.8-6704,0.9991485037619151,0.0005884687747079299,0.000851496238084902,0.0005884687747079293,0.9951494958916999,0.007017586280984205,0.0048505041083000385,0.007017586280984203,0.9917876779340916,0.009960880052461568,0.008212322065908455,0.009960880052461568,0.9916883109159765,0.0053913805351724345,0.008311689084023414,0.005391380535172434
4FGL J0452.9+5117,0.9047991249981223,0.07513264321054705,0.09520087500187772,0.07513264321054705,0.69939933985951,0.2314439634189643,0.30060066014049003,0.2314439634189643,0.7215279154786156,0.07788386163871902,0.27847208452138444,0.07788386163871902,0.6147394621913271,0.06604270685753784,0.3852605378086729,0.06604270685753784
4FGL J0500.3+4639e,0.1385653085317306,0.1495478294784405,0.8614346914682695,0.1495478294784405,0.04614257852735349,0.07588735053759588,0.9538574214726465,0.07588735053759588,0.35045735594942123,0.10944325278636692,0.6495426440505787,0.1094432527863669,0.11441632202102829,0.02928170541851203,0.8855836779789718,0.02928170541851203
4FGL J0517.9+5030,0.9711031254572123,0.03242562424200701,0.028896874542787658,0.03242562424200702,0.7398940450443511,0.2380139611442796,0.260105954955649,0.2380139611442796,0.920771118304682,0.037062604150239827,0.07922888169531805,0.037062604150239827,0.7062632987627228,0.08914557848850323,0.29373670123727724,0.08914557848850323
4FGL J0519.9-6845e,0.008612648238976948,0.014427483029263003,0.9913873517610231,0.014427483029263003,0.047789519351450864,0.04500684708574057,0.9522104806485492,0.04500684708574058,0.19845928833976428,0.09664157577213658,0.8015407116602358,0.0966415757721366,1.4071158561023477e-05,1.678086044033659e-05,0.9999859288414391,1.678086044033659e-05
4FGL J0521.2+1637,0.9974023768457275,0.004042516342162945,0.0025976231542725143,0.004042516342162943,0.9940567598048672,0.009378675345423144,0.005943240195132784,0.009378675345423146,0.9530964222908913,0.028949617811775054,0.046903577709108746,0.028949617811775057,0.9973198484556192,0.0018824348993924205,0.002680151544380814,0.0018824348993924213
4FGL J0523.3-2527,0.003143970466384875,0.0028803609403237392,0.9968560295336151,0.0028803609403237392,0.05028700685377572,0.04848982407601005,0.9497129931462244,0.04848982407601005,0.029980677201479594,0.027585532567522244,0.9700193227985204,0.027585532567522244,6.404805169837336e-05,6.193264460697586e-05,0.9999359519483016,6.193264460697587e-05
