Source_Name,AGN_BDT_S,AGN_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffRF,diffLR2,diffBDT,diffNN,diffNN2,diffLR,diffRF2,diffBDT2
4FGL J0001.2+4741,0.9995792766074503,4.491948676785437E-4,0.9998150418028251,8.189290678601918E-4,0.9929046592809814,0.007413917222689536,0.9996685853122059,1.9491174844818684E-4,4FGL J0001.2+4741,0.999884889,9.91063294E-5,0.992642199,0.0131389408,0.998015376,0.00325117545,0.999069883,6.39827204E-4,-0.6313073060968887,0.9357250027242267,-0.6643777591398735,0.5448651259513412,0.8951128218306827,0.8951128218306827,-0.6893409469663097,-0.6803559313337609
4FGL J0001.2-0747,0.9995805260391674,3.363657697699989E-4,0.9996165659541064,0.0014179842877897189,0.9979893883986551,0.002141021282228651,0.9981575730104136,8.965701203546895E-4,4FGL J0001.2-0747,0.999654111,2.49989297E-4,0.990355537,0.0179318555,0.997932359,0.0032688786,0.996635186,0.00181078733,0.014594385824014438,0.840732086640803,-0.17558264114624306,0.5148496301730385,0.7534364308979545,0.7534364308979545,0.01744616598950804,-0.21876471224455216
4FGL J0001.5+2113,0.9985932709782229,0.0020418218688749625,0.9983088259526952,0.006900846332233497,0.934653694267415,0.03557835365046835,0.9997470793182357,1.8092697611394332E-4,4FGL J0001.5+2113,0.990515847,0.00983148989,0.988459368,0.0192676709,0.93256881,0.0347985622,0.999005178,7.58046231E-4,0.04189286493025391,0.9787019417760351,0.8044220402012184,0.48125514612070774,0.9519627474301753,0.9519627474301753,0.05859979604164419,0.8215869688722199
4FGL J0001.6-4156,0.9998771405163761,7.665943955158697E-5,0.9996988893606975,0.0010659149047451465,0.9994446233577046,9.057870202884401E-4,0.998862168994559,5.33228447670658E-4,4FGL J0001.6-4156,0.999846255,8.42744937E-5,0.995718519,0.00520802114,0.999493635,0.00135276148,0.999015994,5.15421085E-4,-0.030105262435224964,-0.28847861758480287,0.2711044170213452,0.7487555022505957,-0.2074192030435952,-0.2074192030435952,-0.036230808623724825,0.36648711870088696
4FGL J0002.1-6728,0.997847624086481,0.0018081971913372252,0.9994563624750349,0.0017630877036978864,0.9921360760834209,0.008512116550695453,0.9945478828282335,0.002411684823709371,4FGL J0002.1-6728,0.998496246,0.00112412128,0.994032335,0.00957986433,0.99489925,0.0063288223,0.994617989,0.0028662636,-0.2605028187687496,-0.02445908037436059,-0.30464071381878854,0.556838592889474,-0.01871549210216287,-0.01871549210216287,-0.3246165510214193,-0.35871193508453575
4FGL J0002.3-0815,0.9997394274319995,2.5473015114624195E-4,0.9973118495792489,0.008970870439883271,0.9820168660597668,0.013479615047696491,0.9952352703765869,0.003963943995083249,4FGL J0002.3-0815,0.998299997,0.00194782304,0.984837333,0.0236767491,0.980008532,0.016331285,0.986971226,0.00931560108,0.09484138275907819,0.8871187490337338,0.7327550208471404,0.49268881534917824,0.816290898737847,0.816290898737847,0.12297465017399105,0.7389944581410514
4FGL J0002.4-5156,0.9996250460797643,4.2634514797206246E-4,0.999722321146207,6.963078719530489E-4,0.9885434909064612,0.011066792563580334,0.999272248120475,6.703842660520333E-4,4FGL J0002.4-5156,0.999852945,1.82211532E-4,0.995663825,0.00489314499,0.994952387,0.00775355844,0.99921516,7.27916806E-4,-0.474288804850515,0.07842671031145526,-0.4915323423763862,0.8211523451383776,0.05768896655673218,0.05768896655673218,-0.5791105287931209,-0.5345409026458614
4FGL J0003.1-5248,0.9991996632259987,5.921774728025865E-4,0.9977666389522978,0.005284033099878693,0.9969106109759505,0.0037812566307551874,0.9874758510813099,0.005793842218943393,4FGL J0003.1-5248,0.999262654,5.59703812E-4,0.992980772,0.0091410972,0.998270476,0.00285675644,0.989710243,0.00562832869,-0.28694653974615164,-0.3856494247262408,-0.0773057334046859,0.45327404123911336,-0.276617788344761,-0.276617788344761,-0.3596330947201301,-0.10637144588289946
4FGL J0003.2+2207,0.9926684076669924,0.00615787918767548,0.9816146402069967,0.061862302009379026,0.9330936438250949,0.032019351483424434,0.9625966596181166,0.03493871202150625,4FGL J0003.2+2207,0.992592965,0.0111640975,0.962244469,0.075961355,0.949189147,0.0296392067,0.947653616,0.0456492415,-0.3688950750481309,0.32734483919336543,0.005917180226976551,0.1977261389745636,0.25994519459384996,0.25994519459384996,-0.5026804863064566,0.006757614486287976
4FGL J0003.3-1928,0.9777124305905437,0.0609969539138085,0.9996145350197126,0.0013723172908376492,0.788662000850916,0.07632467854448696,0.9973981787875894,0.0013637037154073588,4FGL J0003.3-1928,0.969800706,0.030014703,0.988021012,0.0146808955,0.877265342,0.0543492907,0.993336714,0.00346823796,-0.9456275268197262,1.1710455956111492,0.11638022047384843,0.7862736571981794,1.0898260198682668,1.0898260198682668,-1.160874082128498,0.12970688014557757
4FGL J0003.3-5905,0.9987005152561698,0.0011510570461857864,0.9769447140161646,0.04465543692324689,0.9868790725756981,0.010193404122323876,0.9676044063536394,0.014786887036305553,4FGL J0003.3-5905,0.997025611,0.00256251583,0.982664338,0.0322034628,0.987384546,0.0122327628,0.958530946,0.0172534306,-0.03174460798042888,0.5258931144765742,0.596228065626573,-0.10388725125057419,0.39930803423274175,0.39930803423274175,-0.0413212806106206,0.6536171353797197
4FGL J0003.9-1149,0.9385697408123972,0.05754172048928248,0.7041561460906685,0.32008297604156627,0.7639900073516451,0.08677740367328311,0.5221268427551822,0.11024726281842631,4FGL J0003.9-1149,0.958559081,0.0474483123,0.362276802,0.295635502,0.863905054,0.0621565079,0.486549653,0.121363351,-0.9360468077827253,0.29314607302811,-0.26802028560782143,0.7846276384633069,0.21698442336658838,0.21698442336658838,-1.15139474585498,-0.34738864284264726
4FGL J0004.0+0840,0.992465605771196,0.007346189538395119,0.996311196598683,0.022576900113104273,0.8840868438421858,0.0517478268749166,0.9702035873623697,0.01715145600933098,4FGL J0004.0+0840,0.994309702,0.00656325346,0.980418165,0.0230616077,0.892923348,0.0524943472,0.941830098,0.0289874537,-0.1198783860372778,0.9788196526682066,-0.18719831170858178,0.49245416644676343,0.8424052058797702,0.8424052058797702,-0.16833248967069958,-0.2510275863651161
4FGL J0004.3+4614,0.9991870216992212,8.973705243607671E-4,0.9997529746913842,7.832349069549683E-4,0.9739991569796077,0.017000946408432572,0.998273352727193,8.681717179859437E-4,4FGL J0004.3+4614,0.999478317,4.61779319E-4,0.993723465,0.0103374203,0.990695459,0.00892047381,0.995915237,0.00209743789,-0.8696379511742561,1.1242839363376915,-0.28863565460682766,0.5816032507784992,1.0388106633813017,1.0388106633813017,-0.982080739464647,-0.3246098382674885
