Source_Name,AGN_BDT_MEAN,AGN_BDT_STD,PSR_BDT_MEAN,PSR_BDT_STD,AGN_NN_MEAN,AGN_NN_STD,PSR_NN_MEAN,PSR_NN_STD,AGN_RF_MEAN,AGN_RF_STD,PSR_RF_MEAN,PSR_RF_STD,AGN_LR_MEAN,AGN_LR_STD,PSR_LR_MEAN,PSR_LR_STD
4FGL J0002.1+6721c,0.8201604822171373,0.11936171771071404,0.17983951778286278,0.11936171771071402,0.8888406621143029,0.06674307994773367,0.11115933788569717,0.06674307994773367,0.8004858976272305,0.0548459078083946,0.19951410237276948,0.0548459078083946,0.8088882034159236,0.043756542032681665,0.1911117965840764,0.043756542032681665
4FGL J0002.7+7220,0.9995409226779658,0.00043469882569281964,0.0004590773220342246,0.0004346988256928199,0.9969850734475979,0.0019182570314575582,0.003014926552402152,0.0019182570314575582,0.9893760714256583,0.010317868385519935,0.01062392857434164,0.010317868385519947,0.992761722817726,0.0022826942956218313,0.007238277182274086,0.00228269429562183
4FGL J0013.6+4051,0.9994957355485201,0.00035758825767827053,0.0005042644514799834,0.00035758825767827113,0.9977868729123663,0.001396550715907706,0.0022131270876336725,0.0013965507159077056,0.9917320655293079,0.00896101256953019,0.00826793447069216,0.008961012569530183,0.9992492055591531,0.00026624105512647214,0.0007507944408468242,0.0002662410551264718
4FGL J0024.0-7204,0.002080958596231924,0.0022895993441700113,0.9979190414037681,0.0022895993441700113,0.10034916892695485,0.07207730963168842,0.8996508310730451,0.07207730963168842,0.017734737611077647,0.016462051353657935,0.9822652623889223,0.016462051353657935,0.00017947487919980608,0.00017705379020421227,0.9998205251208001,0.00017705379020421227
4FGL J0025.3+6408,0.993086072622129,0.011093310463391503,0.006913927377871,0.0110933104633915,0.9826086363589427,0.01238534052475993,0.017391363641057356,0.012385340524759932,0.9757558817443193,0.01774785070033686,0.02424411825568071,0.017747850700336864,0.9033930908930656,0.027045215561101437,0.09660690910693426,0.027045215561101437
4FGL J0043.2+4114,0.9851992897273726,0.039757697100294066,0.014800710272627401,0.039757697100294066,0.7650919336574743,0.13040248966954943,0.23490806634252562,0.13040248966954943,0.8638272440442447,0.04935331801561945,0.13617275595575526,0.04935331801561946,0.7442813060462247,0.05759283450576599,0.25571869395377533,0.05759283450576598
4FGL J0047.3+6943,0.9997074773420404,0.00021271815736368193,0.00029252265795969587,0.00021271815736368215,0.9946104427997551,0.0037494377125964684,0.0053895572002448195,0.0037494377125964692,0.9973893479632007,0.0025725806727292045,0.0026106520367992925,0.0025725806727291975,0.9919824431745656,0.002225749619710672,0.008017556825434312,0.002225749619710671
4FGL J0047.5-2517,0.9995116780959481,0.0005182199616290916,0.0004883219040517982,0.0005182199616290923,0.989118081672829,0.00881920670940303,0.010881918327170902,0.00881920670940303,0.9929725264611502,0.008246015438430402,0.007027473538849791,0.008246015438430404,0.9889180621566486,0.0034256488353581614,0.01108193784335144,0.0034256488353581623
4FGL J0058.0-7245e,0.986732474318394,0.012723443185307196,0.013267525681605984,0.012723443185307196,0.8838436450287327,0.0752421754924913,0.11615635497126735,0.0752421754924913,0.9071281584572815,0.0417657365538358,0.0928718415427185,0.0417657365538358,0.884474001334182,0.029792280693728704,0.1155259986658181,0.029792280693728707
4FGL J0059.7-7210,0.9400787570914324,0.0894389498435972,0.05992124290856758,0.08943894984359718,0.9496962192920338,0.040093265750831796,0.0503037807079661,0.040093265750831796,0.8918395455859331,0.04785399390878414,0.10816045441406687,0.04785399390878414,0.960533431415271,0.015294485635134266,0.03946656858472901,0.015294485635134268
4FGL J0102.9-7051,0.9941973819380355,0.05892710321820902,0.005802618061964539,0.05892710321820902,0.9934360110120651,0.004285962972200748,0.006563988987934844,0.004285962972200747,0.9652949462187653,0.0237916812283812,0.03470505378123469,0.023791681228381198,0.9935641899687773,0.0027332915503850033,0.006435810031222866,0.0027332915503850046
4FGL J0138.6+6821,0.9921842498705412,0.039738088717203066,0.007815750129458805,0.03973808871720306,0.9330809073253965,0.04111902718637073,0.06691909267460347,0.04111902718637073,0.9573667694954094,0.025767649697621124,0.0426332305045905,0.025767649697621124,0.8339980023453023,0.04087466845191694,0.16600199765469772,0.04087466845191694
4FGL J0212.1+5321,0.0005874850980310399,0.0006206202295744119,0.9994125149019689,0.0006206202295744119,0.042849192771609985,0.030370488533856096,0.9571508072283901,0.030370488533856096,0.011343050257600218,0.011231707246282778,0.9886569497423998,0.011231707246282778,0.0038532356906808484,0.002221669483908078,0.9961467643093191,0.002221669483908078
4FGL J0221.4+6241e,0.28845813874975407,0.2578983680988969,0.7115418612502459,0.2578983680988969,0.10306884063048005,0.06403114343525342,0.89693115936952,0.06403114343525342,0.272611747016006,0.07143111981359525,0.7273882529839941,0.07143111981359523,0.044730714513669195,0.01162696012724383,0.9552692854863308,0.01162696012724383
4FGL J0222.4+6156e,0.008951075378484805,0.01003949814919198,0.9910489246215152,0.010039498149191979,0.038096969908409696,0.02581616726933981,0.9619030300915903,0.025816167269339805,0.1035678708715558,0.04580478917331838,0.8964321291284442,0.04580478917331837,0.00022019061024346586,0.00016307123944198827,0.9997798093897565,0.00016307123944198827
4FGL J0240.5+6113,0.9834074697955281,0.04824178639149454,0.016592530204471906,0.04824178639149454,0.031231562530127505,0.02164376566225382,0.9687684374698725,0.021643765662253817,0.7273091239160108,0.08426382307660063,0.2726908760839893,0.08426382307660063,3.923046679767272e-05,4.620234959237095e-05,0.9999607695332025,4.620234959237095e-05
4FGL J0242.6-0000,0.9997068253229194,0.00017581827768947783,0.0002931746770805252,0.0001758182776894779,0.9978340552753299,0.0013724415606991248,0.0021659447246700674,0.0013724415606991252,0.9974820575945705,0.002366763553282584,0.002517942405429486,0.0023667635532825795,0.999561947294331,0.000162921623336484,0.00043805270566888956,0.00016292162333648422
4FGL J0328.6+5330,0.8841088987369743,0.09370412318454063,0.11589110126302557,0.09370412318454063,0.6586506518451044,0.14191713589833135,0.34134934815489554,0.14191713589833135,0.8448201577498521,0.0483611375829639,0.1551798422501479,0.048361137582963905,0.5602248274853632,0.049468568588306554,0.4397751725146368,0.049468568588306554
4FGL J0359.7+4445,0.9913109147146335,0.01250623373117083,0.00868908528536649,0.01250623373117083,0.9959105160491349,0.002784738311343636,0.004089483950865146,0.0027847383113436346,0.975951518040722,0.015413731267155117,0.02404848195927789,0.015413731267155123,0.9954190688978489,0.0015806403122167842,0.0045809311021510965,0.0015806403122167832
4FGL J0402.5+5402,0.9996690074913817,0.00031782067035968016,0.0003309925086183629,0.00031782067035967854,0.994549089419187,0.0038703549665221365,0.005450910580812929,0.003870354966522136,0.9959126450669641,0.004637582426871437,0.004087354933035972,0.004637582426871428,0.9945611017505012,0.0019460775897346561,0.005438898249498722,0.0019460775897346561
4FGL J0427.2+5533e,0.9714412323217337,0.09952320458520617,0.0285587676782662,0.09952320458520617,0.9258126248860319,0.06548544455426886,0.07418737511396802,0.06548544455426887,0.9012526346827918,0.04401014890562125,0.09874736531720818,0.04401014890562124,0.8366389941828768,0.05165150653333623,0.1633610058171231,0.05165150653333623
