Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O
3FGL J1048.4+7144,135.4301300048828,42.27478790283203,-24.029941935534115,-27.417549302652372,1.032353895436461,5.102481098454174,2.391810178756714,-0.576197074,-0.659267156,-0.753786161,-0.70321571,AGN,FSRQ,0,0.9984965626180036,0.0012246272002394416,0.0010384076588513386,0.0010391565608165627,4.6502972314531034E-4,3.799633693536768E-4,0.9759673166165859,0.023990715965324347,0.011013846554152445,0.00879263191225669,0.013018836829261748,0.020025454160652486,0.9663278764163237,0.01733374590198514,0.01605729786600166,0.011737323516706515,0.01761482571767467,0.010863827297372375,0.9132546961841049,0.049736731923119615,0.04208628422134251,0.03007854994869587,0.04465901959455248,0.039006704040088686
3FGL J1048.6+2338,213.2174072265625,62.1264533996582,-25.724261075834853,-27.73961359502623,0.920744756702649,3.905971252673026,2.2883129119873047,-0.04223186,-0.744125457,-0.58758985,-0.909061122,AGN,bll,0,0.888282635306737,0.07813358667005259,0.10036421778449792,0.07759294010011898,0.011353146908765044,0.008925014172705859,0.7225792599734996,0.1740887804954176,0.21106046032787223,0.14701152294802164,0.06636027969862822,0.057852039529241055,0.7684005463716223,0.07357215532741275,0.1639301479127788,0.06251797468794498,0.06766930571559893,0.029518250154572184,0.6056824041959189,0.08903998229512716,0.3017625513218129,0.08209796799796613,0.09255504448226812,0.056699304246264744
3FGL J1049.8+1425,230.93002319335938,58.998390197753906,-25.967769018519807,-27.79581770565008,0.32936059549350616,4.449111559257472,2.3322930335998535,-0.774524973,-0.60948156,-0.601184361,-0.999976739,AGN,bcu,0,0.9986616770048093,0.0010632139803858224,5.425301628579982E-4,5.296817131722856E-4,7.957928323325602E-4,7.895927835313206E-4,0.9734045283335087,0.019999311823696048,0.014819154194120039,0.013788625748151229,0.011776317472371367,0.01163528788932099,0.9457093425938927,0.024358706364092146,0.036262418506579006,0.01945491231070015,0.018028238899528124,0.010226398482245365,0.9517462902329197,0.023517133850006706,0.02493279929824509,0.01587817689558538,0.023320910468835308,0.015365090409287175
3FGL J1051.4+3941,178.41998291015625,62.167320251464844,-26.449956329346442,-27.719870745093814,0.47608127732129035,3.6991156953086497,1.6643763780593872,-0.999990046,0.999752459,-0.448129476,-0.006033124,AGN,bll,0,0.9961555119415578,0.002905732738054767,0.0011515396450918424,9.379217210072315E-4,0.002692948413350173,0.0022349514484120985,0.9894491313432823,0.010726642550423684,0.0048022220669585,0.0056265178586075,0.00574864658975918,0.007997278719146265,0.9675867470767485,0.01111445372626712,0.012130281161180055,0.006393983110289153,0.020282971762071337,0.008474482671641548,0.9710956918648522,0.021523571808537735,0.01663848532994877,0.017807485151952004,0.01226582280519917,0.012476828853906505
3FGL J1051.5-6517,290.8221740722656,-5.27813720703125,-24.822649072967177,-26.944424848984387,-0.04783732244041671,3.872566534505717,2.5958900451660156,-0.683186495,-0.874349825,-0.593132204,-0.503735721,AGN,bcu,0,0.8185606770451701,0.15142350812063002,0.004338887548067563,0.0033478787859826283,0.17710043540676224,0.1511900137018666,0.7899178862829965,0.17914725240235768,0.036959274727724395,0.04236725029901429,0.17312283898927894,0.15298832953941194,0.6828324690839016,0.09105581734312855,0.05505734029146845,0.020949596263978628,0.2621101906246299,0.08731392134808455,0.7205181997431468,0.06641554885671465,0.009225369212767339,0.0064500408600907284,0.2702564310440859,0.06574068444871156
3FGL J1051.8+0105,250.1446075439453,51.27129364013672,-26.15704677912659,-27.74502707975812,-1.299109440398367,3.4680469633417847,2.065152168273926,0.507360585,-0.764340872,-0.279792328,-0.620344858,AGN,bll,0,0.9984959317642753,0.0013812136161886698,2.878068704315227E-4,3.246956430481825E-4,0.0012162613652931219,0.001212061396727701,0.9873527580598246,0.014946321317374783,0.005921509807877453,0.00966291816936845,0.006725732132298094,0.009973448082663604,0.9653348769270303,0.011949630523346532,0.01093161575480406,0.005207342732798233,0.023733507318165606,0.009451457265933393,0.9533555562483813,0.02873906620104349,0.0017635379014754227,0.00190698403487821,0.044880905850143156,0.028288943044290322
3FGL J1052.8-3741,278.39727783203125,19.46023178100586,-26.256676171722212,-27.73809497341791,-1.7155451324614108,3.5666176767385687,1.996226191520691,-0.838686088,-0.550560134,-0.284218267,-0.336741908,AGN,bcu,0,0.999417059176964,3.3587846728617385E-4,1.8145905362654737E-4,1.1999392403064414E-4,4.0148176940955666E-4,2.706165912383863E-4,0.9886244508936881,0.015379039903734614,0.003571016032165209,0.003546691285305779,0.0078045330741468265,0.013964135595827178,0.9709006205795971,0.009935373364039199,0.008823350978696303,0.0037100596761633457,0.02027602844170657,0.00802670255415113,0.9874854739739458,0.006457523054409595,7.780532527769758E-5,8.564242270825285E-5,0.012436720700776428,0.006438155553866764
3FGL J1053.7+4929,160.25523376464844,58.23515701293945,-25.67855050135717,-27.56657240186425,-2.19534135482239,4.106902895058345,1.7958455085754395,-0.76669439,-0.261305127,-0.330852455,-0.546512192,AGN,bll,0,0.9984438034699983,0.001731259483260354,3.0014107186292536E-4,3.288879699837355E-4,0.0012560554581387826,0.0016057837728336482,0.9927688503115681,0.007962315885207417,0.0031262124298165805,0.004365589460633259,0.004104937258615265,0.005226286940020222,0.9640345133657945,0.017558618804791638,0.009402471482789998,0.00788972829719649,0.026563015151415445,0.015689461947311915,0.993764620961713,0.004931499114820689,8.085362791702437E-5,1.4441364167212616E-4,0.0061545254103699,0.0049053010743978645
3FGL J1054.5+2210,217.0521697998047,63.0566520690918,-24.833086124377267,-27.510502940739936,-1.1637006588209247,4.429838031810715,2.200680732727051,-0.628176605,-0.627937615,-0.571598466,-0.511446692,AGN,bll,0,0.9992712820060417,5.393770834483284E-4,9.708233220890991E-5,8.230279336256184E-5,6.316356617494048E-4,5.115706549273958E-4,0.9911294799039064,0.011307423305040096,0.003934402831499761,0.008779059967475687,0.004936117264593914,0.005598242642139189,0.9761731475660922,0.011142623461813009,0.007873774418779319,0.004336449523933363,0.01595307801512856,0.00948293952000424,0.9847720435121903,0.010154066591930275,6.141980408262746E-4,7.920118415487024E-4,0.014613758446983517,0.009986615041257918
3FGL J1055.8-6025,289.13531494140625,-0.687950611114502,-24.245945559599953,-26.190902747949373,1.9825046446670531,3.9759453346756577,1.5404129586165844,-0.82345882,-0.181506432,-0.663117604,-0.936776969,PSR,PSR,0,3.919253902741254E-4,3.730262082712068E-4,0.9552729818602951,0.07288701953888692,0.04433509274943095,0.07275425592849794,0.0028436518739598862,0.007664335654159682,0.4936280361797054,0.163385889742139,0.5035283119463347,0.16352987449250603,0.04442663160702211,0.024380844037075217,0.6713503939756028,0.08350352674727637,0.28422297441737515,0.0794576730383309,0.04452525202949598,0.032929844566771074,0.5466131790650457,0.1441673489617971,0.4088615689054584,0.1490499913953079
