Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags_3FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,Flags_Catalog
3FGL J1325.4-4301,309.51593,19.4057617,-23.4335946,-26.9042392,0.818496371,4.08307351,2.70298958,-0.751981099,-0.77780652,-0.679797636,-0.577120206,AGN,RDG,481.17035,PowerLaw,Cen A Core,0,0.993149638,0.010388798,0.00685036196,0.010388798,0.905225771,0.120816778,0.0947742291,0.120816778,0.867741409,0.0529723447,0.132258591,0.0529723447,0.842110805,0.0519213891,0.157889195,0.0519213891,0.95758681,0.0485357016,0.0424131896,0.0485357016,0.529430521,0.29954925,0.470569479,0.29954925,0.806773615,0.0658118762,0.193226385,0.0658118762,0.304551542,0.115874516,0.695448458,0.115874516,0
3FGL J1326.1+2931,52.4447975,81.9977264,-26.6960419,-27.8168276,-1.25320946,3.94022181,2.06945848,-0.415543711,-0.804599094,-0.735836061,0.205804489,AGN,bll,4025.8076,PowerLaw,TXS 1323+298,0,0.999899711,1.19965437E-4,1.00289061E-4,1.19965437E-4,0.996185534,0.0146647133,0.00381446561,0.0146647133,0.990834004,0.00628882487,0.00916599623,0.00628882487,0.999998149,1.45659676E-6,1.8506531E-6,1.45659676E-6,0.999866248,1.58162015E-4,1.33751828E-4,1.58162015E-4,0.979658947,0.0366540424,0.0203410531,0.0366540424,0.96647757,0.0232743488,0.0335224297,0.0232743488,0.999947729,6.88226506E-5,5.2271105E-5,6.88226506E-5,0
3FGL J1326.6-5256,308.299438,9.56502628,-24.2482747,-27.0839441,0.692129868,5.8960386,2.37163115,-0.680677892,-0.649743941,-0.646658524,-0.765139901,AGN,bll,885.1631,PowerLaw,PMN J1326-5256,0,0.999642161,3.09239923E-4,3.5783889E-4,3.09239923E-4,0.988885404,0.0218551012,0.0111145957,0.0218551012,0.991994122,0.00712444044,0.00800587761,0.00712444044,0.999585863,1.41721386E-4,4.14137099E-4,1.41721386E-4,0.999244906,8.16374015E-4,7.55093897E-4,8.16374015E-4,0.937535645,0.1174373,0.0624643549,0.1174373,0.957724314,0.0250940521,0.0422756862,0.0250940521,0.998707583,8.22170981E-4,0.00129241687,8.22170981E-4,0
3FGL J1326.7-4727,309.103394,14.98316,-25.3641046,-27.3533983,1.81784884,4.1955562,0.570686044,0.9998341,-0.2653788,-0.67746735,-0.96123135,OTHER,glc,1607.4164,LogParabola,Omega Cen,0,0.00932980611,0.0228008513,0.990670194,0.0228008513,0.203157921,0.176674537,0.796842079,0.176674537,0.154913851,0.0580729656,0.845086149,0.0580729656,0.293612202,0.0717001691,0.706387798,0.0717001691,0.0105267795,0.0212033075,0.98947322,0.0212033075,0.068703894,0.0964809568,0.931296106,0.0964809568,0.124832619,0.0711371763,0.875167381,0.0711371763,0.0584853071,0.0305139786,0.941514693,0.0305139786,0
3FGL J1326.8+2211,3.30443954,80.5534592,-24.6442987,-27.4004226,1.32360013,5.14530929,2.30618184,-0.5915535,-0.707180607,-0.768992897,-0.736634343,AGN,fsrq,547.5172,LogParabola,B2 1324+22,0,0.999260041,9.86679381E-4,7.3995926E-4,9.86679381E-4,0.988165143,0.031713616,0.0118348573,0.031713616,0.974163805,0.0195555446,0.0258361949,0.0195555446,0.968217945,0.00957865276,0.0317820555,0.00957865276,0.998800924,0.00132629344,0.00119907647,0.00132629344,0.929279493,0.14171467,0.0707205066,0.14171467,0.966956074,0.0246836343,0.0330439257,0.0246836343,0.847408075,0.0751581204,0.152591925,0.0751581204,0
3FGL J1327.9+2524,23.0692043,81.6342239,-26.9876663,-27.9801294,-0.0601346278,3.47212154,1.67836237,-0.993741658,0.678844126,-0.825684691,0.55209603,AGN,bll,9199.37,PowerLaw,NVSS J132758+252750,0,0.995277447,0.0458304436,0.00472255271,0.0458304436,0.996429093,0.0074537283,0.00357090713,0.0074537283,0.967513422,0.0206330284,0.0324865779,0.0206330284,0.99975331,2.36639718E-4,2.46689889E-4,2.36639718E-4,0.991147993,0.0104077447,0.00885200696,0.0104077447,0.977251017,0.045504933,0.0227489835,0.045504933,0.929381239,0.0390539729,0.0706187607,0.0390539729,0.993424206,0.00906420249,0.00657579358,0.00906420249,0
3FGL J1328.5-4728,309.413696,14.9222202,-25.2393421,-27.0828084,-1.16876518,3.91636833,1.69943225,-0.9975446,0.893147796,-0.437082737,-0.019002773,AGN,bcu,10204.391,PowerLaw,1WGA J1328.6-4727,512,0.999261128,6.12167678E-4,7.38872007E-4,6.12167678E-4,0.994875346,0.0102167553,0.0051246541,0.0102167553,0.99180285,0.0072577958,0.00819714983,0.0072577958,0.999984674,1.16659339E-5,1.53256165E-5,1.16659339E-5,0.998364113,0.00136412377,0.00163588718,0.00136412377,0.970852431,0.0614320945,0.029147569,0.0614320945,0.986794335,0.0140854689,0.0132056652,0.0140854689,0.999787271,2.36815658E-4,2.12729369E-4,2.36815658E-4,0
3FGL J1328.9-5607,308.176575,6.35823154,-23.3759549,-26.7724777,1.79137983,6.66983187,2.18142846,-0.531969333,-0.676626371,-0.690423206,-0.726520989,AGN,bcu,582.5673,LogParabola,PMN J1329-5608,0,0.999312885,8.09104887E-4,6.87115132E-4,8.09104887E-4,0.986755023,0.0240734594,0.0132449768,0.0240734594,0.982483545,0.014496815,0.0175164554,0.014496815,0.997353493,9.75998667E-4,0.00264650732,9.75998667E-4,0.998016606,0.00221900514,0.00198339429,0.00221900514,0.919250974,0.147273739,0.0807490263,0.147273739,0.959959239,0.0301474312,0.0400407611,0.0301474312,0.99622521,0.00248264072,0.00377479004,0.00248264072,0
3FGL J1330.0-3818,311.203064,23.9380341,-25.7039811,-27.4597399,0.627742666,3.64030625,2.78069091,-0.805546274,-0.78768962,-0.999882297,-0.715389841,AGN,fsrq,439.28693,PowerLaw,Tol 1326-379,0,0.998718843,0.00216677535,0.00128115684,0.00216677535,0.952403876,0.054004938,0.0475961243,0.054004938,0.971954067,0.0160496338,0.0280459332,0.0160496338,0.878098722,0.0321666446,0.121901278,0.0321666446,0.982882964,0.0229917131,0.0171170359,0.0229917131,0.497046568,0.317991398,0.502953432,0.317991398,0.899521573,0.0485330564,0.100478427,0.0485330564,0.227415999,0.105329782,0.772584001,0.105329782,0
3FGL J1330.0+4437,101.590508,70.8629532,-26.3365418,-28.0196638,0.482281619,3.80606408,2.02571964,-0.562359315,-0.251699223,-0.546817661,-0.601567169,AGN,bll,2222.7375,PowerLaw,1RXS J133021.4+444117,0,0.999894329,8.15609916E-5,1.05670511E-4,8.15609916E-5,0.993697944,0.0134795953,0.00630205584,0.0134795953,0.996098583,0.004121102,0.00390141716,0.004121102,0.980239865,0.0056863554,0.0197601349,0.0056863554,0.999507417,4.04473626E-4,4.92583179E-4,4.04473626E-4,0.940872699,0.101174996,0.0591273007,0.101174996,0.992532333,0.00717192477,0.00746766743,0.00717192477,0.819990305,0.0761824546,0.180009695,0.0761824546,0
