Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD
3FGL J0001.0+6314,0.9552703110543764,0.05734797954163654,0.0447296889456236,0.05734797954163655,0.8698900903829064,0.24902627362239713,0.13010990961709348,0.24902627362239713,0.8256433295476976,0.06293878496005632,0.1743566704523023,0.06293878496005632,0.9989840022642079,0.001503001529683069,0.0010159977357922134,0.0015030015296830688
3FGL J0023.9-7203,0.00045749726695818273,0.00036063320095503637,0.9995425027330418,0.00036063320095503637,0.008079074908193372,0.012112874549683026,0.9919209250918066,0.012112874549683026,0.007478372942005628,0.005002785701864057,0.9925216270579945,0.005002785701864061,0.00039175301199185044,0.0002870418327969325,0.9996082469880082,0.0002870418327969325
3FGL J0025.7+6404,0.9803274069744655,0.027457626183439224,0.019672593025534462,0.027457626183439224,0.8202216503514144,0.2505477569480938,0.1797783496485855,0.2505477569480938,0.9162821755596442,0.04400992447920062,0.0837178244403558,0.044009924479200616,0.9832266230298622,0.013745982130757749,0.016773376970137952,0.013745982130757747
3FGL J0042.5+4117,0.7977686711709739,0.1935387813115321,0.2022313288290261,0.1935387813115321,0.7737012957613248,0.27544491203638516,0.2262987042386752,0.27544491203638516,0.8634739158334578,0.06683432843948348,0.13652608416654222,0.06683432843948348,0.5287297629956137,0.14304508390469658,0.4712702370043863,0.14304508390469658
3FGL J0047.5-2516,0.9997835267507837,0.0002761514328429284,0.0002164732492162242,0.00027615143284292966,0.9960857124330094,0.0073636801289922275,0.00391428756699074,0.0073636801289922275,0.9830514564085534,0.015150893554655894,0.016948543591446628,0.015150893554655891,0.9779219986908071,0.011941774664978675,0.022078001309192963,0.011941774664978677
3FGL J0059.0-7242e,0.7793583330295661,0.16211643208667828,0.22064166697043391,0.16211643208667828,0.2951572049744982,0.2511430648666392,0.7048427950255018,0.2511430648666392,0.5787883226896593,0.0967593815080933,0.42121167731034076,0.09675938150809331,0.19632927465841116,0.08492195077948296,0.8036707253415889,0.08492195077948297
3FGL J0128.4+6257,0.49201248865883945,0.2548651899688655,0.5079875113411605,0.2548651899688655,0.011476707499159713,0.021563759757619917,0.9885232925008403,0.021563759757619917,0.4391839061464886,0.0990360881225982,0.5608160938535114,0.0990360881225982,0.17259222078005815,0.043859055167691764,0.8274077792199419,0.043859055167691764
3FGL J0220.1+6202c,0.005911113011778502,0.008130247140336866,0.9940888869882215,0.008130247140336866,0.03773433463469695,0.08753479506025585,0.962265665365303,0.08753479506025587,0.14370159704349356,0.06467449748728528,0.8562984029565064,0.06467449748728529,0.12175462119239402,0.0630126169166507,0.8782453788076059,0.0630126169166507
3FGL J0224.0+6235,0.5882441789066973,0.2519176796986488,0.41175582109330267,0.2519176796986488,0.6590032007001755,0.2822515363791303,0.3409967992998246,0.2822515363791303,0.47977241961612754,0.14115383331687406,0.5202275803838725,0.14115383331687403,0.7465234051508047,0.13310256833213738,0.2534765948491953,0.13310256833213738
3FGL J0240.5+6113,0.44026321991017214,0.2756503039520409,0.5597367800898277,0.2756503039520409,0.04708785032051629,0.13446598098657303,0.9529121496794837,0.13446598098657303,0.5144991512952577,0.14987212265235278,0.48550084870474236,0.14987212265235278,0.08415940341953347,0.07920535149119037,0.9158405965804665,0.07920535149119037
3FGL J0242.7-0001,0.9920562208359331,0.010557049947392757,0.00794377916406684,0.010557049947392757,0.9976625805669781,0.005380475678566074,0.002337419433021926,0.005380475678566073,0.9493949616685219,0.031068643544359988,0.0506050383314781,0.03106864354435999,0.9953737465751789,0.0037334464657659445,0.00462625342482112,0.003733446465765944
3FGL J0454.6-6825,0.9832698716582079,0.041760318819080704,0.016730128341792154,0.0417603188190807,0.27499449646340707,0.23202245132412366,0.7250055035365929,0.23202245132412364,0.6686568844050733,0.0926056120145381,0.33134311559492663,0.09260561201453811,0.21685352624611942,0.08023390247801987,0.7831464737538806,0.08023390247801987
3FGL J0500.3+5237,0.9983728233873986,0.002418308578548035,0.001627176612601413,0.002418308578548035,0.9894762514716361,0.020740264682592154,0.01052374852836382,0.020740264682592154,0.9621023191271734,0.024110227489597014,0.037897680872826654,0.024110227489597007,0.9904961435620078,0.006155790824438861,0.009503856437992215,0.0061557908244388605
3FGL J0526.6-6825e,0.23963238095107775,0.20094593938356195,0.7603676190489221,0.20094593938356195,0.035823956615545376,0.07316005445249268,0.9641760433844547,0.07316005445249268,0.545715356271828,0.09316548092975295,0.454284643728172,0.09316548092975295,0.015601534840359354,0.011089753097583581,0.9843984651596407,0.011089753097583581
3FGL J0534.5+2201s,0.5638169942330398,0.29675377209471404,0.4361830057669603,0.29675377209471404,0.9445203021434321,0.13172478758423908,0.05547969785656792,0.13172478758423908,0.6615562991030745,0.07860454019276072,0.33844370089692566,0.07860454019276072,0.9932404684069219,0.02857751616426954,0.00675953159307816,0.028577516164269536
3FGL J0540.3+2756e,0.6280848096620655,0.23333205021528655,0.3719151903379344,0.23333205021528655,0.46634046312610006,0.3269858849465149,0.5336595368738999,0.3269858849465149,0.6665329855475839,0.09897203354425688,0.33346701445241617,0.09897203354425688,0.8375626388584583,0.11459387314430901,0.16243736114154178,0.11459387314430902
3FGL J0610.6+1728,0.25166137512276104,0.19949059963504678,0.748338624877239,0.1994905996350468,0.025831817661749423,0.06528941897312127,0.9741681823382505,0.06528941897312127,0.476962651365977,0.105686611481582,0.5230373486340232,0.105686611481582,0.052344137919237727,0.03269390620899276,0.9476558620807622,0.032693906208992755
3FGL J0617.2+2234e,0.1317521555248669,0.21687515617067415,0.8682478444751333,0.21687515617067418,0.0008652324998479234,0.003016348758769241,0.9991347675001521,0.003016348758769241,0.395560516393041,0.09699972304183682,0.6044394836069589,0.09699972304183682,0.0006135154980309322,0.0006338092761115738,0.9993864845019691,0.0006338092761115738
3FGL J0631.6+0644,0.0003606458823895557,0.00027845326933610134,0.9996393541176104,0.0002784532693361013,0.0011799040695497068,0.0032337682630167058,0.9988200959304503,0.0032337682630167053,0.01775972556992231,0.015834946754523602,0.9822402744300777,0.015834946754523613,0.03093451847751681,0.016384649764684973,0.9690654815224832,0.016384649764684976
3FGL J0640.9+0752,0.6788584036436477,0.242646986987571,0.32114159635635237,0.24264698698757103,0.6764857739415762,0.3181660730742488,0.3235142260584238,0.3181660730742489,0.7446833100687911,0.10310832110581163,0.2553166899312089,0.10310832110581163,0.9359891755815827,0.04207507183796461,0.06401082441841723,0.04207507183796461
3FGL J0822.6-4250e,0.39057823376131023,0.2442046925050678,0.6094217662386898,0.24420469250506777,0.2804924735697236,0.27324785587153777,0.7195075264302764,0.27324785587153777,0.6304116309264718,0.0963318949763712,0.36958836907352804,0.09633189497637118,0.31957275541110847,0.10589599632927452,0.6804272445888916,0.1058959963292745
3FGL J0838.1-4615,0.2426317079671859,0.18767388205449506,0.7573682920328141,0.18767388205449506,0.6610119333095706,0.29604183658398225,0.3389880666904294,0.29604183658398225,0.40097069634635646,0.12054991420452202,0.5990293036536435,0.12054991420452202,0.45412549342511965,0.1781027518433535,0.5458745065748803,0.1781027518433535
3FGL J0839.1-4739,0.3744273814486926,0.2351788006800764,0.6255726185513074,0.23517880068007643,0.9352318481767846,0.13079494527203306,0.06476815182321541,0.1307949452720331,0.5411707686627106,0.08762639606532853,0.45882923133728937,0.08762639606532853,0.9200085520985831,0.09046777251063569,0.07999144790141687,0.09046777251063569
3FGL J0843.1-4546,0.583682808620011,0.25153126864146724,0.416317191379989,0.25153126864146724,0.9690889123753023,0.07695972122937911,0.030911087624697693,0.07695972122937911,0.5802599638355532,0.09476864644668603,0.4197400361644469,0.09476864644668603,0.999551977787101,0.0008071423619690255,0.00044802221289897255,0.0008071423619690264
