Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,Flags,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,ASSOC_FGL,Category_4FGL,mixPSR,classPSR,missclassPSR,mixAGN,classAGN,missclassAGN
3FGL J0000.2-3738,345.41052,-74.946754,-26.753427924051426,-28.030842998052268,0.40310006230909823,3.8032191870813907,1.866731882095337,0.15227417333511517,0.038811723602553985,-0.3213200255739348,-0.6481892737318573,UNAS,None,3296.3293,PowerLaw,none,0,0.9998157833408733,1.6820003673822343E-4,1.842166591267596E-4,1.6820003673822381E-4,0.9928123112621027,0.018761878132391132,0.007187688737897391,0.01876187813239113,0.9945149971779345,0.004159063584843489,0.0054850028220655885,0.004159063584843486,0.9914822275259237,0.002435891619988937,0.008517772474076224,0.002435891619988936,0.999477173471037,5.024769642482737E-4,5.228265289629548E-4,5.024769642482743E-4,0.9632559902501924,0.07747185763992336,0.03674400974980775,0.07747185763992336,0.9910881802812018,0.008335557144078342,0.008911819718798182,0.008335557144078342,0.959441558615633,0.01573834649304085,0.040558441384367074,0.015738346493040848,3FGL J0000.2-3738,AGN,false,false,false,false,true,false
3FGL J0002.0-6722,310.13892,-49.061836,-26.432553755848524,-27.90451112375519,0.31386218817238465,3.8313551023606913,1.946061372756958,0.09151793144612758,-0.5227559458577041,-0.4222493439699922,-0.49795186771472183,UNAS,None,2466.7234,PowerLaw,none,0,0.9998165261611975,1.4836813665504192E-4,1.8347383880237884E-4,1.483681366550431E-4,0.993699127490877,0.014226852746859564,0.006300872509123057,0.014226852746859564,0.9960020053073958,0.003200474056820918,0.0039979946926041125,0.0032004740568209204,0.9960151215306213,0.0010628358941416763,0.0039848784693786565,0.0010628358941416778,0.9997190706880342,2.639654567122811E-4,2.8092931196576997E-4,2.639654567122821E-4,0.9679516135739779,0.07276280595883917,0.032048386426022035,0.07276280595883917,0.9943581108438776,0.0060439664398893944,0.0056418891561223605,0.006043966439889397,0.9740337327455568,0.009504769116363188,0.02596626725444318,0.009504769116363188,3FGL J0002.0-6722,AGN,false,false,false,false,true,false
3FGL J0004.2+0843,103.59949,-52.363342,-26.538472908843623,-27.860310766476555,-0.2352994291649611,3.8140060482343277,2.0504424571990967,-0.7551261770419344,-0.4776703196090242,5.80084168077114E-4,-0.8706377580490783,UNAS,None,2762.5613,PowerLaw,none,0,0.9971783065053962,0.0026919335948858603,0.0028216934946037036,0.0026919335948858603,0.9940592651554762,0.01407344926935646,0.005940734844523914,0.01407344926935646,0.9337264334055964,0.03431081483247507,0.06627356659440371,0.03431081483247507,0.9989079724840294,5.064559418216569E-4,0.0010920275159705488,5.064559418216564E-4,0.994289525410147,0.006270822354184933,0.005710474589853057,0.006270822354184932,0.9735646998689255,0.06911196093055517,0.02643530013107452,0.06911196093055517,0.9253613443175792,0.0474916259952738,0.07463865568242078,0.0474916259952738,0.9942949853878601,0.005208157491988805,0.005705014612139803,0.005208157491988805,3FGL J0004.2+0843,AGN,false,false,false,false,true,false
3FGL J0006.2+0135,100.400505,-59.296867,-26.40539274430946,-27.89754942572694,-1.778628108341052,3.8191673912776904,2.1869003772735596,-0.6114317251042083,-0.5631399832009076,-0.6454714127750065,-0.3951725265506454,UNAS,None,1807.7529,PowerLaw,none,0,0.9998630320634643,1.307599951722607E-4,1.3696793653578598E-4,1.307599951722605E-4,0.9943937580020973,0.01640349988133692,0.005606241997902798,0.016403499881336915,0.9951082472478183,0.0028605470698976373,0.004891752752181596,0.002860547069897633,0.9999960779253033,3.371687730697016E-6,3.922074696585656E-6,3.3716877306975808E-6,0.9997412578844569,2.397890883566869E-4,2.587421155430982E-4,2.397890883566866E-4,0.9760001305892448,0.06784759752598749,0.023999869410755152,0.06784759752598747,0.9893190137837913,0.009945032896560776,0.010680986216208695,0.00994503289656078,0.9999077710041822,1.0121920241696427E-4,9.222899581782682E-5,1.0121920241696465E-4,3FGL J0006.2+0135,AGN,false,false,false,false,true,false
3FGL J0007.9+4006,113.97717,-22.007206,-26.355610947661376,-27.81125328323451,-0.020848937980927476,3.79300492396931,2.275604486465454,-0.23640781773404712,-0.7857580082559009,-0.4598722314558544,-0.5895593077013017,UNAS,None,1504.622,PowerLaw,none,0,0.9999120155785535,1.1215185715255009E-4,8.79844214465399E-5,1.1215185715254937E-4,0.9930811519096333,0.015587506237486304,0.006918848090366774,0.015587506237486306,0.9938507013638936,0.0057587231342848275,0.00614929863610632,0.005758723134284817,0.9981488535375223,5.635048010955837E-4,0.001851146462477835,5.635048010955843E-4,0.9995292148756084,6.60791675815625E-4,4.7078512439157504E-4,6.607916758156251E-4,0.9676221383281208,0.06416144650090926,0.03237786167187906,0.06416144650090926,0.9767297068252997,0.02133413598697941,0.023270293174700345,0.02133413598697941,0.9845488953098807,0.007551772322492655,0.015451104690119398,0.007551772322492655,3FGL J0007.9+4006,AGN,false,false,false,false,true,false
3FGL J0008.3+1456,107.67859,-46.658096,-26.043447025783802,-27.81236559416826,0.4497952698105705,3.5392097785596297,2.2695491313934326,-0.49492585804791145,-0.5450800398095748,-0.6665679906146269,-0.6761528719520202,UNAS,None,1148.4678,PowerLaw,none,0,0.9992548923126578,0.0014904715638376742,7.451076873421476E-4,0.001490471563837675,0.9881814717596401,0.015589870595281118,0.011818528240359892,0.015589870595281122,0.982431458161271,0.012548237837168876,0.01756854183872908,0.012548237837168859,0.9539177954395329,0.010827707170704585,0.046082204560466945,0.010827707170704585,0.9805524342785654,0.026096535925286154,0.019447565721434645,0.026096535925286154,0.87071292189252,0.13371435448456773,0.12928707810747994,0.13371435448456773,0.8838123468602632,0.08275654331306642,0.1161876531397368,0.08275654331306642,0.6136921448352802,0.0841892402121698,0.3863078551647197,0.0841892402121698,3FGL J0008.3+1456,AGN,false,false,false,false,true,false
3FGL J0014.3-0455,99.59009,-66.09583,-25.756977092622158,-27.448810736173087,0.06123590847495353,3.9960421948830125,2.5040531158447266,-0.5965988060456026,-0.8271707467049291,-0.512704790395914,-0.7306166513081951,UNAS,None,964.4531,PowerLaw,none,16,0.9994275197212487,0.009776492682463037,5.72480278751347E-4,0.009776492682463037,0.9939565444831574,0.01618318481083078,0.006043455516842699,0.01618318481083078,0.9968137540413752,0.0032696967444879833,0.0031862459586248413,0.0032696967444879902,0.9973891681462458,8.042181498093711E-4,0.0026108318537542453,8.042181498093721E-4,0.9999350746640963,7.570974405177674E-5,6.492533590371255E-5,7.570974405177676E-5,0.9712305921265613,0.06653509393548414,0.028769407873438693,0.06653509393548414,0.9920280704625634,0.007847648103279802,0.007971929537436624,0.007847648103279791,0.9813310691926911,0.007737906369232043,0.018668930807308883,0.007737906369232043,3FGL J0014.3-0455,AGN,false,false,false,false,true,false
3FGL J0016.5+1713,111.14098,-44.850296,-26.43181645036967,-27.871782762489993,0.813639428522965,3.968095476418074,2.4381189346313477,-0.5651304706865975,-0.6487431672129087,-0.9146185519314425,-0.33892222501269914,UNAS,None,890.5665,PowerLaw,none,0,0.9988002479729812,0.002363653096190191,0.0011997520270187669,0.002363653096190191,0.9925359631690648,0.014160930299268024,0.007464036830935298,0.014160930299268027,0.981677943571457,0.013803134644536042,0.018322056428543072,0.013803134644536042,0.9862278926111206,0.00526774869114815,0.013772107388879292,0.005267748691148151,0.9972781711969239,0.004176325957587786,0.002721828803076174,0.004176325957587787,0.9443705889630739,0.08198248081548429,0.05562941103692594,0.08198248081548429,0.9343035899415999,0.03664801038696899,0.0656964100584002,0.03664801038696899,0.8556929135965159,0.08676025806305368,0.1443070864034841,0.08676025806305368,3FGL J0016.5+1713,AGN,false,false,false,false,true,false
3FGL J0020.9+0323,108.19788,-58.60079,-26.541562522967354,-27.72890089945561,0.4327127201500953,3.9966331379873834,1.639902114868164,-0.9988298584244456,0.9996047432273832,-0.20042441311169254,-0.47608342748093824,UNAS,None,6460.085,PowerLaw,none,0,0.9999334359463442,4.1775071146989876E-5,6.65640536558716E-5,4.1775071146989496E-5,0.9935884687142195,0.01527412315067315,0.006411531285780515,0.015274123150673152,0.9963332622243145,0.003958269763314213,0.003666737775685589,0.003958269763314215,0.9970447752642211,0.001100058684112873,0.0029552247357788504,0.0011000586841128732,0.9998776297045392,1.0290949493673939E-4,1.2237029546074553E-4,1.0290949493673888E-4,0.9719854539340974,0.07096243403693452,0.028014546065902503,0.07096243403693452,0.9956732668147531,0.004931483889790444,0.004326733185246905,0.004931483889790444,0.9910639694533884,0.004991345812909388,0.008936030546611582,0.0049913458129093894,3FGL J0020.9+0323,AGN,false,false,false,false,true,false
3FGL J0032.3-5522,308.61932,-61.548527,-25.221963495496567,-27.77464221150478,0.31779643354180054,6.235901803402848,2.274585247039795,-0.3680129111065578,-0.6797331303190822,-0.6563712039536023,-0.6243560767805013,UNAS,None,907.47565,PowerLaw,none,0,0.9999146714522256,8.44268130811877E-5,8.532854777447813E-5,8.442681308118676E-5,0.9947753541380778,0.013841578155864604,0.005224645861922246,0.013841578155864604,0.9930129380265093,0.0062424029473653565,0.006987061973490786,0.006242402947365355,0.999982722853852,8.086047882130046E-6,1.727714614787727E-5,8.086047882130275E-6,0.9999016620157318,1.1258631325659143E-4,9.833798426811263E-5,1.1258631325659134E-4,0.9773035841346166,0.06308196848449979,0.022696415865383457,0.06308196848449979,0.9859110641787096,0.012485187243581618,0.014088935821290395,0.012485187243581618,0.9999626830210161,2.94976559593434E-5,3.73169789839484E-5,2.9497655959343764E-5,3FGL J0032.3-5522,AGN,false,false,false,false,true,false
