Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,Category_Prob,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,GLON,Flags
3FGL J0001.2-0748,-28.353826,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.977748326,0.022251674,0.972509204,0.027490796,0.95280988,0.04719012,0.895368472,0.104631528,302,AGN,0.8941876662158369,0.10581233378416328,0.8574037413547108,0.14259625864528896,0.824210289206511,0.1757897107934891,0.8695305778188003,0.1304694221812,213,89.0222015,0
3FGL J0002.2-4152,-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.999964827,3.52E-5,0.991626534,0.008373466,0.999993135,6.87E-6,0.998742648,0.001257352,288,AGN,0.8865294507463896,0.11347054925361069,0.8428012016977215,0.15719879830227823,0.8087935844754041,0.19120641552459566,0.8761203007757609,0.12387969922423946,202,334.070099,0
3FGL J0003.2-5246,-31.5436588,-27.907395,1.8952075,-0.09545067,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9999565,4.35E-5,0.989636374,0.010363626,0.998495659,0.001504341,0.996939345,0.003060655,291,AGN,0.9137484412242666,0.08625155877573328,0.8570814798788123,0.1429185201211879,0.8360252302693304,0.16397476973067002,0.8864442064362985,0.11355579356370163,209,318.976135,0
3FGL J0003.8-1151,-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.999578425,4.22E-4,0.983903571,0.016096429,0.986019256,0.013980744,0.98830084,0.01169916,308,AGN,0.9095644803895803,0.09043551961042046,0.8698624286784163,0.13013757132158396,0.8429718090954266,0.15702819090457368,0.8904694600264674,0.10953053997353314,219,84.4318924,0
3FGL J0004.7-4740,-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.998329323,0.001670677,0.985149107,0.014850893,0.991159133,0.008840867,0.947337319,0.052662681,296,AGN,0.8945982264726273,0.1054017735273723,0.8584784999037702,0.14152150009622946,0.8311639971830872,0.16883600281691313,0.8805378923805576,0.11946210761944219,215,323.815582,0
3FGL J0006.4+3825,-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.999923384,7.66E-5,0.974518701,0.025481299,0.978406818,0.021593182,0.989644786,0.010355214,298,AGN,0.891159246914484,0.10884075308551634,0.8443526571589742,0.155647342841026,0.8279668072256039,0.17203319277439622,0.867983148117149,0.13201685188285076,216,113.331886,0
3FGL J0008.0+4713,-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.974083938,0.025916062,0.894252209,0.105747791,0.867692582,0.132307418,0.9611889,0.0388111,292,AGN,0.9280135587627913,0.07198644123720851,0.8816938016502065,0.11830619834979345,0.8451435248637943,0.15485647513620596,0.9093648252315053,0.09063517476849534,198,115.33255,0
3FGL J0008.6-2340,-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.999344276,6.56E-4,0.98968812,0.01031188,0.999747874,2.52E-4,0.983780908,0.016219092,315,AGN,0.9361823756246518,0.06381762437534838,0.8872515584387575,0.1127484415612423,0.8645977114134041,0.13540228858659586,0.9146346155833642,0.08536538441663626,215,50.2801132,0
3FGL J0009.1+0630,-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.999947018,5.3E-5,0.992432978,0.007567022,0.999897471,1.03E-4,0.996392926,0.003607074,311,AGN,0.912459903815804,0.08754009618419606,0.873885201953012,0.12611479804698794,0.8542989195845475,0.14570108041545263,0.8911508520962386,0.10884914790376067,233,104.489098,0
3FGL J0009.3+5030,-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.999820256,1.8E-4,0.973935159,0.026064841,0.991776267,0.008223733,0.992813586,0.007186414,289,AGN,0.9272101876149123,0.07278981238508747,0.8714147148264049,0.12858528517359483,0.8603204648054272,0.13967953519457268,0.9025280331247622,0.09747196687523754,207,116.116417,0
