Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
3FGL J0000.1+6545,0.3732820622577571,0.24668140121223509,0.6267179377422428,0.24668140121223509,0.25106487921244314,0.1673819799539113,0.7489351207875568,0.1673819799539113,0.6624773163674592,0.094805671464236,0.3375226836325408,0.094805671464236,0.2209006026185908,0.12981965422346534,0.7790993973814093,0.12981965422346534
3FGL J0000.2-3738,0.9996645213328295,0.00037627300053392457,0.0003354786671704586,0.0003762730005339233,0.9864706065000118,0.009560454805492238,0.013529393499988067,0.00956045480549224,0.9961555967920942,0.004963661860008507,0.0038444032079057713,0.004963661860008505,0.9538006700558432,0.019171973445481477,0.04619932994415681,0.019171973445481477
3FGL J0001.6+3535,0.9991779483915628,0.00122185998012591,0.0008220516084371777,0.0012218599801259097,0.9953462620718874,0.0045866243109481605,0.0046537379281127115,0.004586624310948162,0.9393995859033737,0.03301744727025411,0.06060041409662622,0.0330174472702541,0.9997743968507325,0.0004144530318429267,0.0002256031492675838,0.0004144530318429261
3FGL J0002.0-6722,0.9998769208907213,0.00010287966210827163,0.00012307910927869555,0.00010287966210827065,0.9904962358653441,0.0067366982121664426,0.009503764134655987,0.006736698212166441,0.997949972646404,0.002782294241551225,0.002050027353596097,0.002782294241551226,0.9613470110982908,0.013629495760175366,0.03865298890170919,0.013629495760175369
3FGL J0003.4+3100,0.9699221249935583,0.04081104554217332,0.03007787500644173,0.04081104554217331,0.7013478025588139,0.14599108630758784,0.298652197441186,0.14599108630758784,0.8646812466659155,0.054519441200870086,0.13531875333408447,0.054519441200870086,0.4865981099584038,0.12434231915866895,0.5134018900415962,0.12434231915866895
3FGL J0003.5+5721,0.9860393992665668,0.02049421667794074,0.013960600733433292,0.02049421667794074,0.48767494646367104,0.18036759906434266,0.512325053536329,0.18036759906434266,0.9214462702673138,0.04896406292173483,0.07855372973268614,0.048964062921734844,0.5661323680653496,0.12831076034705935,0.43386763193465033,0.12831076034705935
3FGL J0004.2+6757,0.34667484128997217,0.2334592879708979,0.6533251587100279,0.2334592879708979,0.04631210099001565,0.04555623012021227,0.9536878990099843,0.04555623012021227,0.3560047081327277,0.10506582303830068,0.6439952918672721,0.10506582303830068,0.04497156862683661,0.01991739768162967,0.9550284313731634,0.01991739768162967
3FGL J0004.2+0843,0.9932935939105312,0.008262531228937069,0.00670640608946885,0.00826253122893707,0.9878370144036914,0.010807612640577245,0.01216298559630859,0.010807612640577243,0.9217056405142002,0.045659582350992725,0.07829435948579981,0.04565958235099274,0.9892911534278416,0.009629013456033488,0.01070884657215852,0.009629013456033486
3FGL J0006.2+0135,0.9997294258397719,0.00024280971168618112,0.00027057416022814053,0.00024280971168618123,0.9966677289349672,0.0037380971924876214,0.003332271065032686,0.003738097192487622,0.9894961261245099,0.010426804488454374,0.01050387387549015,0.010426804488454372,0.9997901337805524,0.0002697461455223882,0.00020986621944756297,0.0002697461455223878
3FGL J0006.6+4618,0.9945829520687353,0.008529218620250611,0.005417047931264662,0.008529218620250611,0.9824835836370842,0.015609001592685714,0.017516416362915874,0.015609001592685712,0.9543981788830457,0.03146564165722926,0.04560182111695423,0.03146564165722927,0.9938615265760254,0.004864837574730046,0.006138473423974513,0.004864837574730048
