GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,Source_Name,CLASS1,CLASS2,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
127.284904,5.8786836,-21.70763735638255,2.6308134,0.124618165,0.07600726,1.2300527,0.999696,-0.5969231,0.0012654103,-0.8492543,-0.7281539,-0.645651,-0.6788782,0.9066151136840078,7.054103311460646,4FGL J0138.6+6821,unk,OTHER,PowerLaw,0.06828827,0.10362391,,87GB 013451.9+680621,0.0,0.8131367,4,0.9545268495786511,0.04547315042134922,0.8200953690835342,0.17990463091646502,0.17345594147264795,0.8265440585273507,0.8571521914553138,0.14284780854468598,0.0,0.055,1.0,0.0
134.92581,-7.630409,-19.739643799889038,2.21948,0.05438432,0.3844492,12.593907,-0.40320528,-0.08225876,0.0011365938,-0.44777736,-0.66919386,-0.9499313,-0.99872315,1.3790717910422583,6.942567056276762,4FGL J0212.1+5321,bin,OTHER,LogParabola,0.041850407,0.115688115,3FGL J0212.1+5320,1SXPS J021210.6+532136,,0.0,0,0.0012121295727925046,0.9987878704272076,0.0007833419642703986,0.9992166580357296,5.185731761066048e-05,0.9999481426823893,0.008549936359487744,0.9914500636405104,1.0,1.0,1.0,1.0
133.04836,1.599426,-19.38493636812648,2.3995674,0.098926276,0.3669594,5.7796793,-0.6163156,-0.10087867,0.004280359,-0.55508775,-0.7890921,-0.9113483,-0.7837015,1.2827765910075501,7.3905740671830475,4FGL J0221.4+6241e,SNR,OTHER,LogParabola,0.09390817,0.35353556,3FGL J0224.0+6235,HB 3,,,4,0.029729596603162205,0.9702704033968377,0.002441321785522511,0.9975586782144772,0.0009447318636280263,0.9990552681363719,0.04715578086193495,0.9528442191380664,1.0,1.0,1.0,1.0
133.41885,0.9361786,-18.196017148490835,2.4291372,0.02606792,0.25006264,16.489254,0.12975882,-0.3001414,8.648467E-4,-0.6465142,-0.75521547,-0.9039972,-0.7575256,2.235485642140094,7.185078028454871,4FGL J0222.4+6156e,snr,OTHER,LogParabola,0.022289366,0.0713512,3FGL J0223.6+6204,W 3,,,4,0.002803351713607344,0.9971966482863923,0.0006153060489306243,0.9993846939510701,6.546355566114936e-07,0.9999993453644433,0.019832795490073503,0.9801672045099279,1.0,1.0,1.0,1.0
135.68022,1.0876453,-16.878351201223218,2.377353,0.007383757,0.1480988,29.357176,-0.12738049,-0.47728193,1.8054285E-4,-0.6488829,-0.7069762,-0.86431676,-0.75546217,5.523767216310263,7.0782769063028255,4FGL J0240.5+6113,HMB,OTHER,LogParabola,0.0048856502,0.016377944,3FGL J0240.5+6113,LSI +61 303,1.0,0.9958602,0,0.9425514022039582,0.057448597796040266,0.0031834285981699145,0.9968165714018292,1.961005011807959e-08,0.9999999803899496,0.7408255744628278,0.25917442553717196,0.0,1.0,1.0,0.0
172.09357,-51.930832,-21.364433164853878,2.3277144,0.07006294,0.03169729,0.8591335,-0.5768897,-0.45829654,7.475125E-4,-0.72857755,-0.6951972,-0.28587434,-0.99997216,2.875629060867346,6.975209327087471,4FGL J0242.6-0000,sbg,OTHER,PowerLaw,0.03752163,0.10412311,3FGL J0242.7-0001,NGC 1068,0.9995775,0.99712574,0,0.9989545951078378,0.001045404892163163,0.9989036136633443,0.001096386336655184,0.997432754221933,0.0025672457780668715,0.9905967701212501,0.009403229878748693,0.0,0.0,0.0,0.0
145.08734,-2.4598553,-21.257532296269325,2.6413724,0.18953875,0.35021895,3.4375503,0.98996186,-0.043438878,0.0036913261,-0.6693433,-0.705857,-0.9997169,-0.93731385,2.0049531510223235,6.993596588376248,4FGL J0328.6+5330,unk,OTHER,LogParabola,0.14076576,0.33184338,,NVSS J032847+532859,0.0,0.9256498,9,0.5984086284442897,0.40159137155570973,0.3357900200803392,0.6642099799196617,0.04826956788371539,0.9517304321162836,0.321351105463621,0.6786488945363779,0.118,0.721,1.0,0.998
154.47958,-6.2716684,-21.94075953801585,2.3477778,0.10928557,-0.04989707,0.9992463,-0.82502604,0.123326816,8.997897E-4,-0.9003605,-0.36867717,-0.85525453,0.55661815,1.910911789208846,7.5709834669397775,4FGL J0359.7+4445,unk,OTHER,PowerLaw,0.041092955,0.12097612,,1RXS J040006.3+444512,0.0,0.8784544,1,0.9157418874426814,0.08425811255731751,0.9578610088253129,0.04213899117468782,0.9453316140169967,0.054668385983003095,0.9312328905082884,0.06876710949171122,0.0,0.0,0.0,0.0
148.71283,1.0319921,-22.338639078650502,1.9806117,0.2098466,0.013368172,0.11767314,0.32358095,0.9397261,3.0735397E-4,0.026675342,-0.70600724,-0.4248284,-0.34130034,2.57609721927456,9.000424325215484,4FGL J0402.5+5402,unk,OTHER,PowerLaw,0.089380234,0.24306129,,TXS 0358+539,0.0,0.86799777,4096,0.9983750710388566,0.001624928961143649,0.9950399054467322,0.004960094553269451,0.9815063704521895,0.01849362954780876,0.9847497634073833,0.015250236592617926,0.0,0.0,0.0,0.0
150.24223,4.5783525,-19.69515158767664,1.679643,0.045105934,0.081157,3.9692657,-0.9999937,0.9998475,7.122844E-5,0.31692013,-0.1771834,-0.32620916,-0.33774686,2.164786437110098,9.145346920706922,4FGL J0427.2+5533e,SNR,OTHER,LogParabola,0.020915436,0.05339753,3FGL J0425.8+5600,SNR G150.3+04.5,,,4,0.8895573802026041,0.11044261979739617,0.8096879124786895,0.19031208752131146,0.47523301507985605,0.5247669849201434,0.9486478353843908,0.05135216461560904,0.0,0.098,0.678,0.0
