GLON_1,GLAT_1,Flux1000_1,PL_Index_1,Unc_LP_Index_1,LP_beta_1,LP_SigCurv_1,hr12_1,h23_1,Unc_PLEC_Expfactor_1,hr34_1,hr45_1,hr56_1,hr67_1,Variability_Index_1,Pivot_Energy_1,CLASS2_1,CLASS1_1,Source_Name_1,SpectrumType_1,Unc_LP_beta_1,Unc_PLEC_Index_1,ASSOC_FGL_1,ASSOC1_1,ASSOC_PROB_BAY_1,ASSOC_PROB_LR_1,AGN_BDT_1,PSR_BDT_1,AGN_NN_1,PSR_NN_1,AGN_LR_1,PSR_LR_1,AGN_RF_1,PSR_RF_1,Times in Testing_1,AGN_BDT_O,PSR_BDT_O,AGN_NN_O,PSR_NN_O,AGN_LR_O,PSR_LR_O,AGN_RF_O,PSR_RF_O,Times in Testing_O,Flags
114.2502,-14.338059,-22.830346730591675,2.2221549,0.21654156,-0.008456561,0.083895184,-0.85069644,0.7712544,6.6367077E-4,-0.54936385,-0.77652246,-0.40827432,-0.46956557,2.9966683353114543,7.830004901350645,AGN,bcu,4FGL J0001.2+4741,PowerLaw,0.09970732,0.25715718,,B3 2358+474,0.99609655,0.93856317,0.9998767545068316,1.232454931678621E-4,0.998001322163082,0.0019986778369179047,0.9996415939014718,3.5840609852820667E-4,0.9964370565226789,0.003562943477320785,293,0.9995701008275772,4.298991724226854E-4,0.9979235997800653,0.002076400219934762,0.9983440647701384,0.0016559352298621,0.9928834528094476,0.0071165471905523334,293,0
89.03272,-67.30501,-20.91781578468319,2.1049428,0.06357407,0.04876986,1.6251894,0.9979668,-0.55250275,6.851742E-4,-0.613866,-0.42176375,-0.75065684,-0.4770866,3.5034133584357785,7.3856118058565015,AGN,bll,4FGL J0001.2-0747,PowerLaw,0.032234523,0.113792025,3FGL J0001.2-0748,PMN J0001-0746,0.99701446,0.93293214,0.9999144123565764,8.558764342357384E-5,0.9971602155270941,0.002839784472905155,0.9987937549471352,0.0012062450528655551,0.9990662455639756,9.337544360251395E-4,300,0.9998147534827698,1.8524651723040238E-4,0.9988699100366677,0.0011300899633324053,0.9966373578363512,0.003362642163648456,0.9989128746490201,0.0010871253509798242,300,0
107.64935,-40.167652,-20.416477997596324,2.659308,0.033263642,0.15877607,7.324853,-0.24750143,-0.63743556,0.0014264813,-0.773471,-0.8885871,-0.999998,0.0035166957,7.355268893137686,5.874324985627678,AGN,fsrq,4FGL J0001.5+2113,LogParabola,0.023532344,0.07229804,3FGL J0001.4+2120,TXS 2358+209,0.9980486,0.95818156,0.7487203429979089,0.25127965700209104,0.7366357585203852,0.2633642414796137,0.8061406152936496,0.19385938470635225,0.7994378366743886,0.20056216332561133,854,0.7024914827862524,0.2975085172137476,0.7214664229164294,0.27853357708357035,0.6675797792730432,0.33242022072695787,0.7001404315968898,0.2998595684031093,854,0
334.22635,-72.02855,-21.911138513370357,1.7558894,0.10731147,0.06975478,1.480155,0.9294002,-0.64590997,3.695554E-4,-0.2701383,-0.28014797,-0.44513792,-0.2451851,2.7818558990042446,8.296392842657399,AGN,bcu,4FGL J0001.6-4156,PowerLaw,0.04937743,0.14414461,3FGL J0002.2-4152,2MASS J00013275-4155252,0.9963356,0.85456926,0.9999412197359319,5.8780264068749346E-5,0.9971991442159096,0.002800855784089989,0.9996363451278417,3.636548721577974E-4,0.9994623360896088,5.376639103912965E-4,279,0.9999377713936081,6.222860639218058E-5,0.9987597123817303,0.0012402876182696654,0.9994308238270093,5.691761729908504E-4,0.9994777857909938,5.222142090059828E-4,279,2
310.08493,-48.963467,-22.143384938898908,1.846469,0.14089996,0.16372891,2.5449402,-0.96591765,0.24309166,7.553017E-4,-0.33000058,-0.3219046,-0.43773,-0.65706414,2.6011431568519536,8.213162065212007,AGN,bcu,4FGL J0002.1-6728,PowerLaw,0.07705595,0.215343,3FGL J0002.0-6722,SUMSS J000215-672653,0.9966394,0.9044934,0.9997742363443731,2.2576365562739086E-4,0.9968490804667027,0.003150919533296531,0.9989245808695598,0.0010754191304397506,0.9981697174001756,0.0018302825998233795,292,0.9993783388094174,6.216611905825557E-4,0.9970367802674999,0.002963219732500113,0.9965952597729634,0.0034047402270370054,0.9955411362686859,0.004458863731314497,292,0
89.04345,-67.84833,-22.869405969702683,1.9895958,0.2657542,0.15012589,1.2064753,-0.9999972,0.9998278,0.0014246973,-0.46852386,-0.41293314,-0.9998832,0.9992958,2.444482926641616,8.283977233297893,AGN,bcu,4FGL J0002.3-0815,PowerLaw,0.1555762,0.38516793,,WISEA J000236.06-081532.4,0.98085976,0.0,0.9985923852439,0.0014076147560998806,0.9962353554054124,0.0037646445945873344,0.9982032275009872,0.0017967724990127286,0.9775571135112553,0.02244288648874501,303,0.9962317547686406,0.0037682452313589805,0.9888927990847188,0.011107200915280623,0.9918649929570241,0.008135007042975963,0.976783669099683,0.023216330900317633,303,0
319.99948,-63.539017,-23.297421755026786,1.897161,0.5441837,0.6414554,1.9662828,0.82168174,-0.9299943,0.0051993737,-0.7689135,0.47733453,-0.54054445,-0.9996274,2.8981721996350047,8.418545648806752,AGN,bcu,4FGL J0002.4-5156,PowerLaw,0.49992764,1.2824715,,WISE J000229.20-515227.4,0.97965854,0.0,0.9998995640635883,1.0043593641171135E-4,0.9968844897945621,0.0031155102054384793,0.9993655898348291,6.344101651706112E-4,0.9920775419916388,0.007922458008361315,324,0.9999133735558009,8.662644419901047E-5,0.9988561441600617,0.0011438558399387488,0.9987087125431239,0.0012912874568771914,0.9924452887114249,0.007554711288575095,324,0
318.9899,-62.788944,-21.87750305114304,1.8750632,0.11355117,0.05651087,1.1941826,-0.8084972,-0.032542385,5.2519917E-4,-0.5601663,-0.4222626,-0.26994476,-0.6357848,1.6269080175927941,8.235464508984832,AGN,bcu,4FGL J0003.1-5248,PowerLaw,0.052148808,0.18479311,3FGL J0003.2-5246,RBS 0006,0.9830022,0.85980093,0.9998016992605859,1.9830073941420223E-4,0.995874274701292,0.004125725298708154,0.998094386050038,0.0019056139499621515,0.9979873807427727,0.0020126192572269717,286,0.9994883233433965,5.116766566037629E-4,0.9926163160740049,0.0073836839259957135,0.9914043001730302,0.008595699826969224,0.9983864509425667,0.0016135490574333802,286,0
108.438545,-39.380795,-22.724674763682316,2.210459,0.54521567,0.99968916,2.524255,-0.63229907,-0.91275555,0.0026882524,-0.76434726,0.25363842,-0.9812373,-0.99977446,1.6438653677981918,7.85279337717662,AGN,bll,4FGL J0003.2+2207,PowerLaw,0.021697927,0.011519297,,2MASX J00032450+2204559,,0.0,0.9713169354249525,0.02868306457504811,0.9410282809528505,0.05897171904714882,0.9133253394570473,0.08667466054295228,0.9460140390319104,0.05398596096808872,272,0.9597685921844262,0.04023140781557363,0.8179574281758114,0.1820425718241888,0.6259199743048333,0.37408002569516663,0.9082126708868676,0.09178732911313207,272,0
65.197784,-76.580986,-21.635448568221115,2.2775729,0.13078499,0.24640359,3.2834492,0.989867,-0.23987928,0.006033979,-0.5789871,-0.6367852,-0.8652741,-0.9999968,3.8261831601090432,6.860452852581848,AGN,bcu,4FGL J0003.3-1928,LogParabola,0.1037209,0.5402587,,PKS 0000-197,0.9972004,0.91010976,0.9975941469888296,0.0024058530111705605,0.9949731230687817,0.005026876931218429,0.9969762068467848,0.0030237931532140806,0.968946617794082,0.03105338220591772,322,0.987192783113961,0.01280721688603934,0.9936246080584146,0.0063753919415844304,0.9893300052195346,0.010669994780465628,0.8490682122908217,0.15093178770917792,322,0
