Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD
4FGL J0000.3-7355,0.9973414227905016,0.0024405805884821483,0.00045892352160886333,0.0004162952793921395,0.0021996536878894604,0.0022310297286404885,0.9915244003161449,0.00932297719326757,0.00019373296246545134,0.0005219150683061519,0.008281866721389822,0.009073327561362757,0.9440731875245852,0.015258773438748525,0.00619279991627824,0.00394849648250461,0.04973401255913657,0.013718983870044596,0.9906479742690542,0.003580560324068817,0.0015173063650621437,0.0008629749135570113,0.007834719365883676,0.0035206204716063177
4FGL J0000.5+0743,0.9580365009778938,0.03128018280893095,0.002935614942472198,0.002553189601800846,0.03902788407963396,0.030561513270274943,0.9598752699775526,0.03737365615078859,0.004388461022996637,0.00892400446244902,0.0357362689994509,0.0319919844378557,0.8690326665941829,0.03590786774134158,0.04402158508048552,0.019116738597468732,0.08694574832533164,0.026655453580440965,0.9460682275579868,0.016956768033429347,0.003701282801460058,0.0026198767568247237,0.05023048964055316,0.016408982985828782
4FGL J0003.3+2511,0.9260450559913767,0.05396895063803812,0.009695054916103346,0.011074325603828334,0.06425988909251995,0.05058490859031543,0.6023810104885736,0.2527832076042652,0.20299912563011158,0.21043684208089822,0.19461986388131491,0.13287258597865625,0.7809045349588802,0.04693196223625699,0.08007003553985442,0.02570834300286313,0.13902542950126523,0.03372256971339876,0.31908014471198437,0.05876028163303642,0.2708974176084929,0.08467746277048167,0.4100224376795226,0.07773800634355876
4FGL J0003.6+3059,0.4266501969571284,0.16957023037533075,0.44795485760638504,0.18002286953774893,0.12539494543648652,0.08179664542739265,0.3662591007791998,0.21789648306760623,0.4213572483963404,0.2382571161905126,0.21238365082445979,0.1248660678561031,0.29647472021461524,0.07397138315558045,0.5519437147320266,0.08318645540813457,0.15158156505335818,0.03969787166055053,0.39023771895974485,0.08011056884496111,0.34840462797898486,0.08935671651221506,0.2613576530612703,0.06519360999900212
4FGL J0004.0+5715,0.38648589084300383,0.12455188013451866,0.10575270798507827,0.06743707703445949,0.5077614011719179,0.1349783277471381,0.41281943041872887,0.18096897490432937,0.017909486823904183,0.0237268404593099,0.5692710827573669,0.17995872752560313,0.5359941104888171,0.060481698691156216,0.10477804369254277,0.029988908428416953,0.3592278458186401,0.05219704810558302,0.7288538769187798,0.040668148356884974,0.08270535856688119,0.023944807443015838,0.18844076451433903,0.03256966880119322
4FGL J0004.4-4001,0.994597308128924,0.004187478922059549,0.0007876078683894303,0.0006936618292814305,0.0046150840026866,0.0038506860576028824,0.9922778407512294,0.008830398813009075,0.0002460112579827436,0.0007267964495615611,0.0074761479907879454,0.008498747988207126,0.9748941749862968,0.00753367192887462,0.0029596331908114315,0.0027081736494389886,0.022146191822891816,0.006516343107966067,0.9905409634632149,0.0031474689213384886,0.0005257560050158396,0.0002707142590386965,0.008933280531769242,0.0030918430889280333
4FGL J0005.6+6746c,0.325658075244877,0.13325556498811497,0.15445549813319126,0.09592802984476703,0.5198864266219319,0.14856192780444255,0.27600049874840227,0.15544749896117385,0.14279316545715906,0.11769357343535325,0.5812063357944387,0.16965113156441822,0.27025829728860135,0.05739148944409025,0.13942980171373756,0.03414997590759379,0.5903119009976612,0.06029939314550556,0.35172208780750575,0.050639227060038365,0.13267250184045087,0.04239616742159386,0.5156054103520433,0.056793934694316955
4FGL J0006.6+4618,0.9637228342059991,0.028068257638654344,0.008265632666226833,0.006622157290088158,0.028011533127773994,0.02571560622206709,0.949206795083113,0.0538956310403223,0.005648920016868976,0.013742295776953302,0.04514428490001814,0.048892903441499345,0.8975798727200777,0.03018792761174443,0.01563871533051065,0.007935088804427693,0.08678141194941168,0.027128998774374507,0.8317049094412989,0.05073669112528535,0.004378312683154818,0.003622386374553363,0.16391677787554623,0.050836459845583944
4FGL J0008.4+6926,0.6999368840027734,0.1346253910525496,0.019407029366534573,0.03860714030169162,0.280656086630692,0.1306258634741683,0.6008085332588032,0.21631755679598144,0.006514475915315626,0.011908546633591695,0.3926769908258812,0.21386188310896556,0.5681502564264006,0.06504766991264437,0.04714242293627082,0.01578861780202971,0.3847073206373286,0.06106750137300523,0.7706346708482021,0.043742950308422124,0.01751830828224613,0.00963995485162101,0.21184702086955168,0.04376190517109686
4FGL J0008.9+2509,0.9817002360400274,0.039628816193284004,0.002429962837175992,0.002211000252230046,0.015869801122796623,0.03934224274421996,0.925861448105572,0.06091385161359442,0.009187738880340506,0.018681461107958923,0.06495081301408756,0.05177584974309084,0.9079425177174084,0.02440136395246536,0.016710133548507585,0.008200640687210655,0.07534734873408383,0.02072842916994849,0.9268287399894333,0.016480134635972685,0.015852210124288023,0.006792487551216248,0.057319049886278804,0.014231355622216746
