Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
4FGL J1907.7-4037,356.69516,-20.181274,-22.383458428816862,2.5680623,0.21415016,0.10966153,0.707264,-0.6897293,-0.1731928,0.0022877394,-0.76171,-0.7931886,-0.9912372,0.9348223,1.457697233502865,6.75442576190844,UNASS,None,PowerLaw,,None,0.9991056181238561,8.943818761431799E-4,0.9614857686555189,0.0385142313444812,0.9786395460662305,0.021360453933769136,0.9697393772187015,0.03026062278130066,0,0
4FGL J1908.7+0812,42.199318,-0.077988505,-19.50368543391473,2.5572958,0.14523043,0.36957258,6.4381156,-0.21081954,-0.7312154,0.0043203263,-0.66600287,-0.8226542,-0.90812045,-0.9999993,1.759087926814039,7.256972382231715,UNASS,None,LogParabola,,None,0.005398355298656401,0.9946016447013435,4.7607422210299067E-4,0.9995239257778968,4.000648281746664E-4,0.9995999351718253,0.042873905034125255,0.9571260949658748,0,20
4FGL J1908.8-0131,33.553467,-4.571059,-19.937665745121805,2.3281379,0.10095468,0.43952033,7.546541,-0.5871112,-0.0772704,0.0022142178,-0.45883322,-0.57660335,-0.9686736,-0.99999577,1.6038043598049412,7.250007777654291,UNASS,None,LogParabola,3FGL J1908.8-0130,None,0.00128179614017103,0.99871820385983,7.929053482561837E-4,0.9992070946517433,7.893980199793793E-4,0.9992106019800203,0.008346575614344142,0.9916534243856568,0,0
4FGL J1909.2+4646,77.51122,16.550905,-22.32146931104153,2.3301318,0.3165363,0.3542705,2.6764529,0.93434495,-0.26450777,0.0052830977,-0.5212754,-0.5975487,-0.9999999,0.76205915,1.6319588153632165,7.278642951884383,UNASS,None,PowerLaw,,None,0.9808721836096985,0.019127816390301908,0.6050458700564104,0.39495412994358975,0.5052879057322403,0.49471209426775986,0.9017664579185125,0.09823354208148614,0,0
4FGL J1910.1-4704,350.23694,-22.540438,-22.33190011877896,2.592562,0.3083477,0.7320829,2.2316313,-0.84708846,-0.42462823,0.0035856355,-0.7139345,-0.9454204,-0.99999213,0.99998695,1.6589249242610262,6.690498118823905,UNASS,None,PowerLaw,,None,0.991976602271196,0.008023397728803765,0.8631843496052718,0.13681565039472837,0.8316944800721601,0.16830551992784037,0.8959924184799601,0.1040075815200414,0,0
4FGL J1910.2+0904,43.140526,3.3473648E-4,-19.711686804996933,2.243704,0.3585242,0.09955336,2.328901,0.9996115,0.999958,2.0303064E-4,-0.76624495,-0.14112392,-0.88302207,-0.45332468,0.8698667693362092,8.612618455507203,UNASS,None,PowerLaw,,None,0.6246221871017855,0.3753778128982146,0.017205276914873203,0.9827947230851267,6.53805972187642E-4,0.9993461940278122,0.7432147297816428,0.25678527021835845,0,529
4FGL J1910.7-5320,343.66235,-24.243185,-21.591498940837923,2.43537,0.19228761,0.4474807,3.6135356,-0.8004785,-0.12228988,0.014859677,-0.66276336,-0.7877134,-0.8644034,-0.09975706,1.9642720594465624,7.2534433476410936,UNASS,None,LogParabola,3FGL J1911.1-5318,None,0.9086987996936013,0.09130120030639828,0.8498852245511819,0.15011477544881757,0.6497903275520825,0.35020967244791723,0.38304294408406914,0.6169570559159311,0,0
4FGL J1911.4-4856,348.341,-23.260422,-21.878051964760875,2.2296696,0.31792182,0.6596411,3.6169653,0.9758158,0.73735523,0.0063515687,0.029710112,-0.6852919,-0.9999999,0.9736962,1.8659769262822223,7.262703142375485,UNASS,None,LogParabola,,None,0.9986589725238896,0.0013410274761110211,0.7506765013910595,0.2493234986089399,0.800477769189535,0.19952223081046622,0.6731063323434551,0.3268936676565446,0,0
4FGL J1912.2+3621,67.897606,11.837739,-22.17553757276659,2.5817435,0.34842226,0.60003453,3.0008688,0.33873558,-0.2864825,0.029321583,-0.54918605,-0.9024173,-0.99995214,-0.9998083,1.9374622729957836,6.72432023048633,UNASS,None,LogParabola,,None,0.9745987700319588,0.025401229968041627,0.2729592441439885,0.7270407558560109,0.2043479354229315,0.795652064577067,0.8233573756877779,0.1766426243122228,0,0
4FGL J1912.5+1320,47.192554,1.4726971,-20.65385417949431,2.6887443,0.21202211,0.42632186,4.8115153,0.76780003,-0.5942942,0.007822432,-0.7814928,-0.9114442,-0.99999005,0.8837283,1.0332649790421264,6.7864007606674575,UNASS,None,LogParabola,,None,0.022073247208468996,0.9779267527915319,0.0016404192915627784,0.9983595807084377,0.0018260861946469838,0.998173913805353,0.21553745445103437,0.7844625455489651,0,0
4FGL J1912.7+4610,77.17292,15.776268,-21.70164050650161,2.2309566,0.2280242,0.43962666,3.9675035,-0.7027858,0.0058417143,0.005040827,-0.47415292,-0.567499,-0.8739151,-0.9999982,2.3648546946711906,7.404825590726732,UNASS,None,LogParabola,3FGL J1912.7+4610,None,0.5627858687507019,0.43721413124929787,0.6070726642369205,0.3929273357630789,0.4883539044206746,0.5116460955793254,0.2726966958689222,0.7273033041310779,0,0
4FGL J1912.7+0957,44.207527,-0.14555876,-19.48444309365748,2.3771672,0.17866376,0.47819197,7.0116625,0.035173874,0.9485873,0.0046662088,-0.6570355,-0.76473576,-0.99990505,0.9930027,2.010513683974469,7.54118907866948,UNASS,None,LogParabola,,None,0.005217571389155154,0.994782428610845,0.0017966007079831996,0.9982033992920175,3.388183802088761E-4,0.99966118161979,0.06598761448259094,0.93401238551741,0,4
4FGL J1913.4-1526,21.442232,-11.745806,-21.200296950043192,2.2896147,0.24280547,0.57004523,4.8648405,-0.16989921,-0.05603242,0.009166247,-0.25405782,-0.51760393,-0.9757061,-0.99927425,1.7721742894112003,7.386734011225656,UNASS,None,LogParabola,,None,0.13308741621475442,0.8669125837852459,0.05518664105057291,0.9448133589494262,0.032194718159664994,0.9678052818403352,0.146933983485747,0.8530660165142517,0,0
4FGL J1914.6-1157,24.7941,-10.515692,-21.816169779059205,2.58955,0.27568793,0.35080138,2.87608,-0.7111925,-0.6233103,0.0071132802,-0.6098818,-0.84255415,-0.9992413,-0.7938413,0.5979872944936808,6.97367091396302,UNASS,None,PowerLaw,,None,0.772350717593184,0.22764928240681587,0.07786409759358799,0.9221359024064131,0.02282491531193587,0.9771750846880646,0.748376096238051,0.2516239037619486,0,16
4FGL J1914.7+1012,44.66463,-0.45626494,-20.092684680021478,2.2887034,0.21687125,0.29921725,3.4119582,-0.7173632,0.9950621,0.0046065357,-0.70420444,-0.719249,-0.6722058,-0.9261453,1.0344888052240286,7.742965795157389,UNASS,None,LogParabola,,None,0.07898229733937412,0.9210177026606252,0.008213116319554799,0.9917868836804448,0.006421033891584155,0.9935789661084152,0.4289325227749041,0.571067477225096,0,282
4FGL J1915.3+1149,46.154778,0.15400662,-19.73867692392585,2.531668,0.16299817,0.40474978,6.5759583,0.7533702,-0.09374463,0.004304287,-0.68381846,-0.7954832,-0.9972303,-0.9992699,1.8228972717934497,7.1817481301329025,UNASS,None,LogParabola,,None,0.0033419438368566283,0.9966580561631416,3.4974401645716644E-4,0.9996502559835435,2.6734858019344476E-4,0.9997326514198062,0.042997557821274894,0.9570024421787239,0,18
4FGL J1916.8-3025,7.5218997,-18.42003,-20.69916167876684,2.0886204,0.14462689,0.3123461,4.8896666,-0.5436114,-0.5935091,0.001532345,-0.13671489,-0.46843624,-0.7985833,-0.99984735,0.7296337714974462,7.468253134924026,UNASS,None,LogParabola,3FGL J1917.1-3024,None,0.020396747678386614,0.9796032523216144,0.09210487205484452,0.9078951279451558,0.0373070803536878,0.9626929196463112,0.08747708839178396,0.9125229116082162,0,0
4FGL J1917.6-3204,5.9606166,-19.164797,-21.927878158923402,2.4745243,0.24187142,0.30109492,2.417046,0.98693424,-0.60911024,0.0056806398,-0.5368741,-0.7738059,-0.99999756,0.72113264,2.154703330295913,6.838382156637563,UNASS,None,PowerLaw,,None,0.9767259339016677,0.02327406609833284,0.22929021095929178,0.7707097890407077,0.6816597428473785,0.318340257152622,0.8353235823479261,0.16467641765207336,0,0
4FGL J1919.1+2354,57.287704,4.973854,-21.136086066387957,2.3720505,0.29723537,0.9999765,4.1113963,0.7955355,-0.57700175,0.012554834,0.17646588,-0.9429502,-0.62486166,-0.9928416,2.3162767717940014,7.379213599651066,UNASS,None,LogParabola,,None,0.9757916233270739,0.024208376672926572,0.07778020027313409,0.9222197997268663,0.1833569922140201,0.8166430077859798,0.6131236916791177,0.3868763083208814,0,2048
4FGL J1919.4+1313,47.87485,-0.08241083,-20.29225718855882,2.6315305,0.22390623,0.56668544,4.722675,0.99405795,-0.042243943,0.022276662,-0.7716943,-0.92539793,-0.98777336,-0.9929877,1.1028229434190115,6.805147448984213,UNASS,None,LogParabola,,None,0.010204118802253916,0.9897958811977483,5.723889510986925E-4,0.9994276110489001,4.0694609628295463E-4,0.9995930539037162,0.1466853889416535,0.8533146110583454,0,25
4FGL J1920.0-2622,11.749503,-17.578611,-21.26892106634433,2.299987,0.12630357,0.2037641,3.0260162,0.9991072,0.33807108,0.004077379,-0.59309906,-0.66793245,-0.8898831,-0.25793278,2.5594852346108454,7.320605185553391,UNASS,None,LogParabola,,None,0.5485993924308149,0.4514006075691852,0.49586466889915876,0.5041353311008412,0.48443333383418097,0.515566666165819,0.46943967422145944,0.5305603257785408,0,4
4FGL J1920.7+1334,48.31967,-0.19169088,-20.216029765584754,2.565273,0.36934024,0.9597992,4.2569485,0.93879616,-0.91563976,0.002756036,-0.013980054,-0.87739635,-0.99705833,-0.9723135,1.9550895789215266,7.604812156705952,UNASS,None,LogParabola,,None,0.002030368031555628,0.9979696319684446,0.0037469145090757903,0.9962530854909237,9.814468001643607E-4,0.9990185531998356,0.16309779589391354,0.8369022041060861,0,26
4FGL J1921.1+1930,53.614956,2.5086732,-21.171790897338354,2.52713,0.2930666,0.4843224,2.7549925,0.0073031695,-0.789867,0.0034084024,-0.60978174,-0.62829036,-0.9214043,-0.9913365,1.6093033399335828,7.374699671029974,UNASS,None,PowerLaw,3FGL J1921.6+1934,None,0.2518847989540739,0.7481152010459265,0.023654434157891636,0.9763455658421075,0.03471381784948088,0.965286182150519,0.4431015467363496,0.5568984532636497,0,4
4FGL J1922.4+1453,49.68317,0.056882706,-20.19471957385326,2.569241,0.306233,0.3574887,3.9532018,-0.999153,0.983114,0.008142254,-0.7417983,-0.7691806,-0.92106074,-0.9994486,1.716650959143055,7.425035725484343,UNASS,None,LogParabola,,None,0.05489489035774347,0.9451051096422561,0.007594051650901715,0.9924059483490989,0.0023978457199975304,0.9976021542800014,0.17314472669547398,0.8268552733045257,0,26
4FGL J1922.5-5233,344.92734,-25.802912,-22.33111017107486,2.3822541,0.2547961,0.40043378,2.5992634,0.99606425,-0.2620502,0.0062153907,-0.59661686,-0.7450319,-0.9999996,0.9460547,1.8678725169453219,7.105720827923412,UNASS,None,PowerLaw,,None,0.9922124575464668,0.00778754245353319,0.9077162138737236,0.09228378612627622,0.9110302105103402,0.0889697894896596,0.9048381874651135,0.09516181253488677,0,0
